     1→     1→{
     2→     2→ "batch": 12,
     3→     3→ "questions": [
     4→     4→  {
     5→     5→   "Subject": "Science",
     6→     6→   "Chapter No.": "3.0",
     7→     7→   "Chapter Name": "Metals and Non-metals",
     8→     8→   "Medium": "English",
     9→     9→   "Question": "The property of metals by which they can be drawn into thin wires is:",
    10→    10→   "Option 1": "Malleability",
    11→    11→   "Option 2": "Ductility",
    12→    12→   "Option 3": "Sonority",
    13→    13→   "Option 4": "Conductivity",
    14→    14→   "Correct Option": "2.0",
    15→    15→   "Explanation": "Ductility is the physical property of a material associated with the ability to be hammered thin or stretched into wire without breaking.",
    16→    16→   "Exam": "CBSE",
    17→    17→   "Year": "2017.0",
    18→    18→   "_sheet_row": 552
    19→    19→  },
    20→    20→  {
    21→    21→   "Subject": "Science",
    22→    22→   "Chapter No.": "3.0",
    23→    23→   "Chapter Name": "Metals and Non-metals",
    24→    24→   "Medium": "English",
    25→    25→   "Question": "Which of the following ores is concentrated by the 'Froth Floatation Process'?",
    26→    26→   "Option 1": "Oxide ores",
    27→    27→   "Option 2": "Sulphide ores",
    28→    28→   "Option 3": "Carbonate ores",
    29→    29→   "Option 4": "Chloride ores",
    30→    30→   "Correct Option": "2.0",
    31→    31→   "Explanation": "The Froth Floatation process is based on the differential wetting properties of the ore and gangue with water and oil, primarily used for sulphide ores like $ZnS$.",
    32→    32→   "Exam": "CBSE",
    33→    33→   "Year": "2021.0",
    34→    34→   "_sheet_row": 553
    35→    35→  },
    36→    36→  {
    37→    37→   "Subject": "Science",
    38→    38→   "Chapter No.": "3.0",
    39→    39→   "Chapter Name": "Metals and Non-metals",
    40→    40→   "Medium": "English",
    41→    41→   "Question": "The atomic number of an element 'X' is 13. What is the number of electrons in its ion $X^{3+}$?",
    42→    42→   "Option 1": "13.0",
    43→    43→   "Option 2": "10.0",
    44→    44→   "Option 3": "16.0",
    45→    45→   "Option 4": "14.0",
    46→    46→   "Correct Option": "2.0",
    47→    47→   "Explanation": "Element 'X' is Aluminium (2,8,3). To form a +3 ion, it loses 3 electrons, leaving it with 10 electrons.",
    48→    48→   "Exam": "CBSE",
    49→    49→   "Year": "2023.0",
    50→    50→   "_sheet_row": 554
    51→    51→  },
    52→    52→  {
    53→    53→   "Subject": "Science",
    54→    54→   "Chapter No.": "3.0",
    55→    55→   "Chapter Name": "Metals and Non-metals",
    56→    56→   "Medium": "English",
    57→    57→   "Question": "An alloy used for making aircraft bodies is:",
    58→    58→   "Option 1": "Steel",
    59→    59→   "Option 2": "Brass",
    60→    60→   "Option 3": "Duralumin",
    61→    61→   "Option 4": "Bronze",
    62→    62→   "Correct Option": "3.0",
    63→    63→   "Explanation": "Duralumin is an alloy of Aluminium, Copper, Magnesium, and Manganese. It is preferred for aircraft due to its high strength and low weight.",
    64→    64→   "Exam": "",
    65→    65→   "Year": "",
    66→    66→   "_sheet_row": 555
    67→    67→  },
    68→    68→  {
    69→    69→   "Subject": "Science",
    70→    70→   "Chapter No.": "3.0",
    71→    71→   "Chapter Name": "Metals and Non-metals",
    72→    72→   "Medium": "English",
    73→    73→   "Question": "Which of the following non-metals is a form of Carbon and is the hardest natural substance?",
    74→    74→   "Option 1": "Graphite",
    75→    75→   "Option 2": "Coal",
    76→    76→   "Option 3": "Diamond",
    77→    77→   "Option 4": "Fullerene",
    78→    78→   "Correct Option": "3.0",
    79→    79→   "Explanation": "Diamond is an allotrope of Carbon where each atom is bonded to four others in a 3D structure, making it extremely hard.",
    80→    80→   "Exam": "Bihar Board",
    81→    81→   "Year": "2022.0",
    82→    82→   "_sheet_row": 556
    83→    83→  },
    84→    84→  {
    85→    85→   "Subject": "Science",
    86→    86→   "Chapter No.": "3.0",
    87→    87→   "Chapter Name": "Metals and Non-metals",
    88→    88→   "Medium": "English",
    89→    89→   "Question": "The reduction of metal oxides to metals using Aluminium is known as:",
    90→    90→   "Option 1": "Smelting",
    91→    91→   "Option 2": "Calcination",
    92→    92→   "Option 3": "Goldschmidt Aluminothermic process",
    93→    93→   "Option 4": "Roasting",
    94→    94→   "Correct Option": "3.0",
    95→    95→   "Explanation": "Aluminium is used as a reducing agent to extract metals from their oxides (like Chromium or Manganese) because it is more reactive.",
    96→    96→   "Exam": "",
    97→    97→   "Year": "",
    98→    98→   "_sheet_row": 557
    99→    99→  },
   100→   100→  {
   101→   101→   "Subject": "Science",
   102→   102→   "Chapter No.": "3.0",
   103→   103→   "Chapter Name": "Metals and Non-metals",
   104→   104→   "Medium": "English",
   105→   105→   "Question": "What is the chemical formula of 'Bauxite'?",
   106→   106→   "Option 1": "$Al_2O_3$",
   107→   107→   "Option 2": "$Al_2O_3 \\cdot 2H_2O$",
   108→   108→   "Option 3": "$Na_3AlF_6$",
   109→   109→   "Option 4": "$Fe_3O_4$",
   110→   110→   "Correct Option": "2.0",
   111→   111→   "Explanation": "Bauxite is the primary ore of Aluminium, containing hydrated aluminium oxide.",
   112→   112→   "Exam": "CBSE",
   113→   113→   "Year": "2019.0",
   114→   114→   "_sheet_row": 558
   115→   115→  },
   116→   116→  {
   117→   117→   "Subject": "Science",
   118→   118→   "Chapter No.": "3.0",
   119→   119→   "Chapter Name": "Metals and Non-metals",
   120→   120→   "Medium": "English",
   121→   121→   "Question": "Metals react with acids to produce a salt and Hydrogen gas. Which acid does not usually give Hydrogen with metals?",
   122→   122→   "Option 1": "$HCl$",
   123→   123→   "Option 2": "$H_2SO_4$",
   124→   124→   "Option 3": "$HNO_3$",
   125→   125→   "Option 4": "$CH_3COOH$",
   126→   126→   "Correct Option": "3.0",
   127→   127→   "Explanation": "Nitric acid ($HNO_3$) is a strong oxidizing agent. It oxidizes the Hydrogen produced to water and itself gets reduced to nitrogen oxides.",
   128→   128→   "Exam": "CBSE",
   129→   129→   "Year": "2020.0",
   130→   130→   "_sheet_row": 559
   131→   131→  },
   132→   132→  {
   133→   133→   "Subject": "Science",
   134→   134→   "Chapter No.": "3.0",
   135→   135→   "Chapter Name": "Metals and Non-metals",
   136→   136→   "Medium": "English",
   137→   137→   "Question": "Zinc blend ($ZnS$) is converted into Zinc oxide by:",
   138→   138→   "Option 1": "Calcination",
   139→   139→   "Option 2": "Roasting",
   140→   140→   "Option 3": "Reduction",
   141→   141→   "Option 4": "Electrolysis",
   142→   142→   "Correct Option": "2.0",
   143→   143→   "Explanation": "Sulphide ores are heated strongly in the presence of excess air (Roasting) to convert them into oxides.",
   144→   144→   "Exam": "HBSE",
   145→   145→   "Year": "2021.0",
   146→   146→   "_sheet_row": 560
   147→   147→  },
   148→   148→  {
   149→   149→   "Subject": "Science",
   150→   150→   "Chapter No.": "3.0",
   151→   151→   "Chapter Name": "Metals and Non-metals",
   152→   152→   "Medium": "English",
   153→   153→   "Question": "The non-metal which is used in the purple-colored antiseptic solution applied on wounds is:",
   154→   154→   "Option 1": "Chlorine",
   155→   155→   "Option 2": "Iodine",
   156→   156→   "Option 3": "Bromine",
   157→   157→   "Option 4": "Sulphur",
   158→   158→   "Correct Option": "2.0",
   159→   159→   "Explanation": "Iodine, when dissolved in alcohol and water (Tincture of Iodine), is used as a potent antiseptic for wounds.",
   160→   160→   "Exam": "CBSE",
   161→   161→   "Year": "2018.0",
   162→   162→   "_sheet_row": 561
   163→   163→  },
   164→   164→  {
   165→   165→   "Subject": "Science",
   166→   166→   "Chapter No.": "3.0",
   167→   167→   "Chapter Name": "धातु एवं अधातु",
   168→   168→   "Medium": "Hindi",
   169→   169→   "Question": "निम्नलिखित में से कौन सी धातु खुली हवा में रखने पर आग पकड़ लेती है?",
   170→   170→   "Option 1": "मैग्नीशियम",
   171→   171→   "Option 2": "सोडियम",
   172→   172→   "Option 3": "चांदी",
   173→   173→   "Option 4": "तांबा",
   174→   174→   "Correct Option": "2.0",
   175→   175→   "Explanation": "सोडियम और पोटेशियम अत्यधिक अभिक्रियाशील होते हैं। वे हवा में मौजूद ऑक्सीजन के साथ तेजी से अभिक्रिया करते हैं, जिससे अक्सर आग लग जाती है, इसीलिए उन्हें केरोसिन में रखा जाता है।",
   176→   176→   "Exam": "CBSE",
   177→   177→   "Year": "2020.0",
   178→   178→   "_sheet_row": 562
   179→   179→  },
   180→   180→  {
   181→   181→   "Subject": "Science",
   182→   182→   "Chapter No.": "3.0",
   183→   183→   "Chapter Name": "धातु एवं अधातु",
   184→   184→   "Medium": "Hindi",
   185→   185→   "Question": "निम्नलिखित में से किस तत्व के ऑक्साइड को कार्बन द्वारा अपचयित (Reduce) किया जा सकता है?",
   186→   186→   "Option 1": "मैग्नीशियम",
   187→   187→   "Option 2": "कैल्शियम",
   188→   188→   "Option 3": "एल्युमीनियम",
   189→   189→   "Option 4": "जस्ता (Zinc)",
   190→   190→   "Correct Option": "4.0",
   191→   191→   "Explanation": "जस्ता मध्यम रूप से अभिक्रियाशील है। Na, Mg, Ca और Al जैसी धातुएं अत्यधिक अभिक्रियाशील होती हैं और उनकी ऑक्सीजन के प्रति कार्बन से अधिक बंधुता होती है, इसलिए उन्हें विद्युत अपघटनी अपचयन की आवश्यकता होती है।",
   192→   192→   "Exam": "CBSE",
   193→   193→   "Year": "2019.0",
   194→   194→   "_sheet_row": 563
   195→   195→  },
   196→   196→  {
   197→   197→   "Subject": "Science",
   198→   198→   "Chapter No.": "3.0",
   199→   199→   "Chapter Name": "धातु एवं अधातु",
   200→   200→   "Medium": "Hindi",
   201→   201→   "Question": "मैग्नीशियम रिबन को हवा में जलाने पर क्या प्रेक्षण होता है?",
   202→   202→   "Option 1": "चमकदार सफेद लौ और सफेद पाउडर",
   203→   203→   "Option 2": "पीली लौ और काला पाउडर",
   204→   204→   "Option 3": "नीली लौ और सफेद धुआं",
   205→   205→   "Option 4": "लाल लौ और धूसर राख",
   206→   206→   "Correct Option": "1.0",
   207→   207→   "Explanation": "मैग्नीशियम ऑक्सीजन ($O_2$) के साथ अभिक्रिया करके मैग्नीशियम ऑक्साइड ($MgO$) बनाता है। यह एक विशिष्ट चमकदार सफेद रोशनी के साथ जलता है।",
   208→   208→   "Exam": "UP Board",
   209→   209→   "Year": "2022.0",
   210→   210→   "_sheet_row": 564
   211→   211→  },
   212→   212→  {
   213→   213→   "Subject": "Science",
   214→   214→   "Chapter No.": "3.0",
   215→   215→   "Chapter Name": "धातु एवं अधातु",
   216→   216→   "Medium": "Hindi",
   217→   217→   "Question": "निम्नलिखित में से कौन सी धातु जल में डालने पर तैरने लगती है?",
   218→   218→   "Option 1": "लोहा और जस्ता",
   219→   219→   "Option 2": "कैल्शियम और मैग्नीशियम",
   220→   220→   "Option 3": "सोडियम और पोटेशियम",
   221→   221→   "Option 4": "तांबा और चांदी",
   222→   222→   "Correct Option": "2.0",
   223→   223→   "Explanation": "कैल्शियम और मैग्नीशियम जल के साथ अभिक्रिया करके हाइड्रोजन गैस बनाते हैं। हाइड्रोजन गैस के बुलबुले धातु की सतह से चिपक जाते हैं, जिससे वे तैरने लगते हैं।",
   224→   224→   "Exam": "CBSE",
   225→   225→   "Year": "2021.0",
   226→   226→   "_sheet_row": 565
   227→   227→  },
   228→   228→  {
   229→   229→   "Subject": "Science",
   230→   230→   "Chapter No.": "3.0",
   231→   231→   "Chapter Name": "धातु एवं अधातु",
   232→   232→   "Medium": "Hindi",
   233→   233→   "Question": "एक तत्व 'A' बहुत नरम है और उसे चाकू से काटा जा सकता है। यह बहुत अभिक्रियाशील है और हवा में खुला नहीं रखा जा सकता। यह जल के साथ तेजी से अभिक्रिया करता है। 'A' को पहचानें।",
   234→   234→   "Option 1": "मैग्नीशियम",
   235→   235→   "Option 2": "सोडियम",
   236→   236→   "Option 3": "फास्फोरस",
   237→   237→   "Option 4": "कैल्शियम",
   238→   238→   "Correct Option": "2.0",
   239→   239→   "Explanation": "सोडियम समूह 1 की एक ऐसी धातु है जो असाधारण रूप से नरम होती है और हवा तथा जल दोनों के साथ अत्यधिक अभिक्रियाशील होती है।",
   240→   240→   "Exam": "CBSE",
   241→   241→   "Year": "2023.0",
   242→   242→   "_sheet_row": 566
   243→   243→  },
   244→   244→  {
   245→   245→   "Subject": "Science",
   246→   246→   "Chapter No.": "3.0",
   247→   247→   "Chapter Name": "धातु एवं अधातु",
   248→   248→   "Medium": "Hindi",
   249→   249→   "Question": "तांबे के विद्युत अपघटनी परिष्करण में, 'एनोड पंक' (Anode mud) में क्या होता है?",
   250→   250→   "Option 1": "घुलनशील अशुद्धियाँ",
   251→   251→   "Option 2": "Ag और Au जैसी अघुलनशील अशुद्धियाँ",
   252→   252→   "Option 3": "शुद्ध तांबा",
   253→   253→   "Option 4": "कॉपर सल्फेट",
   254→   254→   "Correct Option": "2.0",
   255→   255→   "Explanation": "सोना, चांदी और प्लेटिनम जैसी उत्कृष्ट धातुएं विद्युत अपघट्य में नहीं घुलती हैं और एनोड के नीचे 'एनोड पंक' के रूप में जमा हो जाती हैं।",
   256→   256→   "Exam": "CBSE",
   257→   257→   "Year": "2018.0",
   258→   258→   "_sheet_row": 567
   259→   259→  },
   260→   260→  {
   261→   261→   "Subject": "Science",
   262→   262→   "Chapter No.": "3.0",
   263→   263→   "Chapter Name": "धातु एवं अधातु",
   264→   264→   "Medium": "Hindi",
   265→   265→   "Question": "खाद्य पदार्थों को सुरक्षित रखने के लिए किस अधातु का उपयोग किया जाता है?",
   266→   266→   "Option 1": "ऑक्सीजन",
   267→   267→   "Option 2": "नाइट्रोजन",
   268→   268→   "Option 3": "हाइड्रोजन",
   269→   269→   "Option 4": "कार्बन",
   270→   270→   "Correct Option": "2.0",
   271→   271→   "Explanation": "नाइट्रोजन एक अक्रिय गैस है जो भोजन के ऑक्सीकरण को रोकती है, जिससे वह लंबे समय तक ताजा बना रहता है।",
   272→   272→   "Exam": "Bihar Board",
   273→   273→   "Year": "2021.0",
   274→   274→   "_sheet_row": 568
   275→   275→  },
   276→   276→  {
   277→   277→   "Subject": "Science",
   278→   278→   "Chapter No.": "3.0",
   279→   279→   "Chapter Name": "धातु एवं अधातु",
   280→   280→   "Medium": "Hindi",
   281→   281→   "Question": "सोडियम (परमाणु संख्या 11) और क्लोरीन (परमाणु संख्या 17) के बीच बनने वाला बंध है:",
   282→   282→   "Option 1": "सहसंयोजक",
   283→   283→   "Option 2": "आयनिक",
   284→   284→   "Option 3": "धात्विक",
   285→   285→   "Option 4": "उप-सहसंयोजक",
   286→   286→   "Correct Option": "2.0",
   287→   287→   "Explanation": "सोडियम स्थिरता प्राप्त करने के लिए एक इलेक्ट्रॉन खोता है (2,8), और क्लोरीन उस इलेक्ट्रॉन को ग्रहण करता है (2,8,8), जिसके परिणामस्वरूप आयनिक बंध बनता है।",
   288→   288→   "Exam": "HBSE",
   289→   289→   "Year": "2022.0",
   290→   290→   "_sheet_row": 569
   291→   291→  },
   292→   292→  {
