     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 1678,
     5→     5→    "data": [
     6→     6→      "Biology",
     7→     7→      4.0,
     8→     8→      "प्राणी जगत",
     9→     9→      "Hindi",
    10→    10→      "द्वितीयक मेजबान में Taenia का स्थानांतरण किस रूप में होता है?",
    11→    11→      "(a) oncosphere",
    12→    12→      "(b) cysticercus",
    13→    13→      "(c) morula",
    14→    14→      "(d) egg",
    15→    15→      1.0,
    16→    16→      "द्वितीयक मेजबान (सुअर) मानव मल में मौजूद oncospheres (hexacanth लार्वा) को ग्रहण करता है।",
    17→    17→      "CBSE AIPMT",
    18→    18→      "1989, 90",
    19→    19→      null
    20→    20→    ]
    21→    21→  },
    22→    22→  {
    23→    23→    "sheet": "Class11",
    24→    24→    "row": 1679,
    25→    25→    "data": [
    26→    26→      "Biology",
    27→    27→      4.0,
    28→    28→      "प्राणी जगत",
    29→    29→      "Hindi",
    30→    30→      "दिए गए कुछ जानवरों के बारे में निम्नलिखित में से कौन सा कथन सही है?",
    31→    31→      "(a) गोल कृमि (Round worms) (Aschelminthes) कूटगुहीय (pseudocoelomates) होते हैं",
    32→    32→      "(b) Molluscs अगुहीय (acoelomates) होते हैं",
    33→    33→      "(c) कीड़े (Insects) कूटगुहीय होते हैं",
    34→    34→      "(d) चपटे कृमि (Flatworms) (Platyhelminthes) प्रगुहीय (coelomates) होते हैं",
    35→    35→      1.0,
    36→    36→      "Aschelminthes (गोल कृमि) में भ्रूणीय blastocoel से व्युत्पन्न कूटगुहा (pseudocoelom) होती है।",
    37→    37→      "CBSE AIPMT",
    38→    38→      2010.0,
    39→    39→      null
    40→    40→    ]
    41→    41→  },
    42→    42→  {
    43→    43→    "sheet": "Class11",
    44→    44→    "row": 1680,
    45→    45→    "data": [
    46→    46→      "Biology",
    47→    47→      4.0,
    48→    48→      "प्राणी जगत",
    49→    49→      "Hindi",
    50→    50→      "जानवरों का निम्नलिखित में से कौन सा समूह द्विपार्श्व सममित (bilaterally symmetrical) और त्रिकोरकी (triploblastic) है?",
    51→    51→      "(a) Coelenterates (cnidarians)",
    52→    52→      "(b) Aschelminthes (roundworms)",
    53→    53→      "(c) Ctenophores",
    54→    54→      "(d) Sponges",
    55→    55→      2.0,
    56→    56→      "Aschelminthes द्विपार्श्व सममित और त्रिकोरकी होते हैं। Cnidarians, Ctenophores, और Sponges त्रिकोरकी नहीं होते हैं।",
    57→    57→      "CBSE AIPMT",
    58→    58→      2009.0,
    59→    59→      null
    60→    60→    ]
    61→    61→  },
    62→    62→  {
    63→    63→    "sheet": "Class11",
    64→    64→    "row": 1681,
    65→    65→    "data": [
    66→    66→      "Biology",
    67→    67→      4.0,
    68→    68→      "प्राणी जगत",
    69→    69→      "Hindi",
    70→    70→      "Ascaris की विशेषता है:",
    71→    71→      "(a) वास्तविक coelom की अनुपस्थिति लेकिन विखंडन (metamerism) की उपस्थिति",
    72→    72→      "(b) न तो वास्तविक coelom और न ही विखंडन की उपस्थिति",
    73→    73→      "(c) वास्तविक coelom की उपस्थिति लेकिन विखंडन की अनुपस्थिति",
    74→    74→      "(d) वास्तविक coelom और विखंडन (metamerisation) की उपस्थिति",
    75→    75→      2.0,
    76→    76→      "Ascaris में वास्तविक coelom का अभाव होता है (इसमें pseudocoelom होता है) और यह विखंडन (metamerism) नहीं दर्शाता है।",
    77→    77→      "CBSE AIPMT",
    78→    78→      2008.0,
    79→    79→      null
    80→    80→    ]
    81→    81→  },
    82→    82→  {
    83→    83→    "sheet": "Class11",
    84→    84→    "row": 1682,
    85→    85→    "data": [
    86→    86→      "Biology",
    87→    87→      4.0,
    88→    88→      "प्राणी जगत",
    89→    89→      "Hindi",
    90→    90→      "Ascaris lumbricoides और Anopheles stephensi के बीच क्या सामान्य है?",
    91→    91→      "(a) शीतनिद्रा (Hibernation)",
    92→    92→      "(b) विखंडन (Metamerism)",
    93→    93→      "(c) अवायवीय श्वसन (Anaerobic respiration)",
    94→    94→      "(d) लैंगिक द्विरूपता (Sexual dimorphism)",
    95→    95→      4.0,
    96→    96→      "Ascaris और Anopheles दोनों लैंगिक द्विरूपता प्रदर्शित करते हैं, जहाँ नर और मादा रूपात्मक रूप से भिन्न होते हैं।",
    97→    97→      "CBSE AIPMT",
    98→    98→      2000.0,
    99→    99→      null
   100→   100→    ]
   101→   101→  },
   102→   102→  {
   103→   103→    "sheet": "Class11",
   104→   104→    "row": 1683,
   105→   105→    "data": [
   106→   106→      "Biology",
   107→   107→      4.0,
   108→   108→      "प्राणी जगत",
   109→   109→      "Hindi",
   110→   110→      "Ascaris लार्वा कहलाता है:",
   111→   111→      "(a) cysticercus",
   112→   112→      "(b) rhabditiform",
   113→   113→      "(c) hexacanth",
   114→   114→      "(d) onchosphere",
   115→   115→      2.0,
   116→   116→      "Ascaris के लार्वा को rhabditiform (या rhabditoid) लार्वा कहा जाता है।",
   117→   117→      "CBSE AIPMT",
   118→   118→      1992.0,
   119→   119→      null
   120→   120→    ]
   121→   121→  },
   122→   122→  {
   123→   123→    "sheet": "Class11",
   124→   124→    "row": 1684,
   125→   125→    "data": [
   126→   126→      "Biology",
   127→   127→      4.0,
   128→   128→      "प्राणी जगत",
   129→   129→      "Hindi",
   130→   130→      "Ascaris lumbricoides संक्रमण किसके माध्यम से होता है?",
   131→   131→      "(a) नंगे पैरों के तलवे से",
   132→   132→      "(b) दूषित पके हुए measly pork से",
   133→   133→      "(c) अनुचित तरीके से पके हुए measly pork से",
   134→   134→      "(d) सांस द्वारा हवा से",
   135→   135→      2.0,
