     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 1836,
     5→     5→    "data": [
     6→     6→      "Biology",
     7→     7→      4.0,
     8→     8→      "प्राणी जगत",
     9→     9→      "Hindi",
    10→    10→      "निम्नलिखित विशेषताओं पर विचार करें। A. संगठन का अंग तंत्र स्तर B. द्विपार्श्व सममिति C. शरीर के खंडीभवन के साथ सच्चे प्रगुहीय (True coelomates) उन जानवरों के समूहों का सही विकल्प चुनें जिनमें उपरोक्त सभी विशेषताएं हैं।",
    11→    11→      "(a) Annelida, Arthropoda और Mollusca",
    12→    12→      "(b) Arthropoda, Mollusca और Chordata",
    13→    13→      "(c) Annelida, Mollusca और Chordata",
    14→    14→      "(d) Annelida, Arthropoda और Chordata",
    15→    15→      4.0,
    16→    16→      "Annelida, Arthropoda और Chordata तीनों पशु समूहों में संगठन का अंग तंत्र स्तर, द्विपार्श्व सममिति और खंडित शरीर के साथ सच्ची प्रगुहा (true coelom) होती है। मोलस्क भी द्विपार्श्व सममित होते हैं लेकिन उनमें खंडित शरीर नहीं होता है।",
    17→    17→      "NEET (National)",
    18→    18→      2019.0,
    19→    19→      null
    20→    20→    ]
    21→    21→  },
    22→    22→  {
    23→    23→    "sheet": "Class11",
    24→    24→    "row": 1837,
    25→    25→    "data": [
    26→    26→      "Biology",
    27→    27→      4.0,
    28→    28→      "प्राणी जगत",
    29→    29→      "Hindi",
    30→    30→      "एक महत्वपूर्ण विशेषता जो हेमीकॉर्डेट्स (hemichordates), कॉर्डेट्स (chordates) के साथ साझा करते हैं, वह है:",
    31→    31→      "(a) नोटोकॉर्ड की अनुपस्थिति",
    32→    32→      "(b) अधर ट्यूबलर तंत्रिका रज्जु",
    33→    33→      "(c) गिल दरारों (gill slits) के साथ ग्रसनी (pharynx)",
    34→    34→      "(d) गिल दरारों के बिना ग्रसनी",
    35→    35→      3.0,
    36→    36→      "महत्वपूर्ण विशेषता जो हेमीकॉर्डेट्स, कॉर्डेट्स के साथ साझा करते हैं, वह गिल दरारों के साथ ग्रसनी है।",
    37→    37→      "NEET",
    38→    38→      2017.0,
    39→    39→      null
    40→    40→    ]
    41→    41→  },
    42→    42→  {
    43→    43→    "sheet": "Class11",
    44→    44→    "row": 1838,
    45→    45→    "data": [
    46→    46→      "Biology",
    47→    47→      4.0,
    48→    48→      "प्राणी जगत",
    49→    49→      "Hindi",
    50→    50→      "सही कथन चुनें।",
    51→    51→      "(a) सभी स्तनधारी (mammals) जरायुज (viviparous) होते हैं",
    52→    52→      "(b) सभी साइक्लोस्टोम (cyclostomes) में जबड़े और युग्मित पंख नहीं होते हैं",
    53→    53→      "(c) सभी सरीसृपों (reptiles) में तीन-कक्षीय हृदय होता है",
    54→    54→      "(d) सभी मत्स्य (Pisces) में गिल्स एक ऑपरकुलम (operculum) द्वारा ढके होते हैं",
    55→    55→      2.0,
    56→    56→      "साइक्लोस्टोमेटा (Cyclostomata) बिना जबड़े वाली मछलियों का एक सुपरक्लास है। इनमें युग्मित पंखों (paired fins) का भी अभाव होता है।",
    57→    57→      "NEET, Phase II",
    58→    58→      " 2016,  ",
    59→    59→      null
    60→    60→    ]
    61→    61→  },
    62→    62→  {
    63→    63→    "sheet": "Class11",
    64→    64→    "row": 1839,
    65→    65→    "data": [
    66→    66→      "Biology",
    67→    67→      4.0,
    68→    68→      "प्राणी जगत",
    69→    69→      "Hindi",
    70→    70→      "निम्नलिखित में से किसमें भ्रूण अवस्था (embryonic stage) में नोटोकॉर्ड मौजूद होता है?",
    71→    71→      "(a) सभी कॉर्डेट्स (chordates)",
    72→    72→      "(b) कुछ कॉर्डेट्स",
    73→    73→      "(c) कशेरुकी (Vertebrates)",
    74→    74→      "(d) नॉन-कॉर्डेट्स (Non-chordates)",
    75→    75→      1.0,
    76→    76→      "नोटोकॉर्ड प्राथमिक अक्षीय सहायक संरचना है जो सभी कॉर्डेट भ्रूणों के साथ-साथ कई वयस्कों में मौजूद होती है। अधिकांश में, इसे वयस्कों में कशेरुक दंड द्वारा प्रतिस्थापित किया जाता है।",
    77→    77→      "CBSE AIPMT",
    78→    78→      2002.0,
    79→    79→      null
    80→    80→    ]
    81→    81→  },
    82→    82→  {
    83→    83→    "sheet": "Class11",
    84→    84→    "row": 1840,
    85→    85→    "data": [
    86→    86→      "Biology",
    87→    87→      4.0,
    88→    88→      "प्राणी जगत",
    89→    89→      "Hindi",
    90→    90→      "एनेलिडा (Annelida) और आर्थ्रोपोडा (Arthropoda) के अलावा, विखंडन (metamerism) किसके द्वारा प्रदर्शित किया जाता है?",
    91→    91→      "(a) Cestoda",
    92→    92→      "(b) Chordata",
    93→    93→      "(c) Mollusca",
    94→    94→      "(d) Acanthocephala",
    95→    95→      2.0,
    96→    96→      "कॉर्डेट्स भी विखंडी खंडीभवन (metameric segmentation) प्रदर्शित करते हैं। ऐसा किसी जानवर की लंबाई के साथ समजात संरचनाओं की पुनरावृत्ति के कारण होता है।",
    97→    97→      "CBSE AIPMT",
    98→    98→      1995.0,
    99→    99→      null
   100→   100→    ]
   101→   101→  },
   102→   102→  {
   103→   103→    "sheet": "Class11",
   104→   104→    "row": 1841,
   105→   105→    "data": [
   106→   106→      "Biology",
   107→   107→      4.0,
   108→   108→      "प्राणी जगत",
   109→   109→      "Hindi",
   110→   110→      "सभी कशेरुकियों (vertebrates) की एक सामान्य विशेषता है:",
   111→   111→      "(a) खोपड़ी (skull) की उपस्थिति",
   112→   112→      "(b) शरीर का सिर, गर्दन, धड़ और पूंछ में विभाजन",
