     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 2590,
     5→     5→    "data": [
     6→     6→      "Biology",
     7→     7→      null,
     8→     8→      "उच्च पादपों में प्रकाश संश्लेषण",
     9→     9→      "Hindi",
    10→    10→      "अधिकतम सौर ऊर्जा को अवशोषित किया जाता है",
    11→    11→      "पेड़ लगाना",
    12→    12→      "फसलों की खेती करना",
    13→    13→      "टैंकों में शैवाल की वृद्धि",
    14→    14→      "घास उग रही है",
    15→    15→      4.0,
    16→    16→      "सौर ऊर्जा का अधिकतम लाभ घासों द्वारा उठाया जाता है, क्योंकि उनका सतही क्षेत्रफल अवशोषण के लिए सबसे अधिक होता है। टैंक में शैवालों की संख्या सीमित है, इसलिए वे सीमित मात्रा में प्रकाश अवशोषित करते हैं।",
    17→    17→      "CBSE AIPMT",
    18→    18→      null,
    19→    19→      null
    20→    20→    ]
    21→    21→  },
    22→    22→  {
    23→    23→    "sheet": "Class11",
    24→    24→    "row": 2591,
    25→    25→    "data": [
    26→    26→      "Biology",
    27→    27→      null,
    28→    28→      "उच्च पादपों में प्रकाश-संश्लेषण",
    29→    29→      "Hindi",
    30→    30→      "क्लोरोफिल-ए इसमें पाया जाता है",
    31→    31→      "सभी प्रकाश संश्लेषक स्वपोषी",
    32→    32→      "सभी उच्च पौधों में",
    33→    33→      "सभी ऑक्सीजन मुक्त करने वाले स्वपोषी",
    34→    34→      "कवक को छोड़कर सभी पौधे",
    35→    35→      2.0,
    36→    36→      "क्लोरोफिल-ए (C H O N Mg 55 72 5 4 ) एक नीला हरा वर्णक है, यह प्राथमिक प्रकाश संश्लेषक वर्णक या सार्वभौमिक प्रकाश संश्लेषक वर्णक है जो प्रकाश स्वपोषी जीवाणुओं को छोड़कर सभी पौधों में पाया जाता है, अर्थात् सभी ऑक्सीजन युक्त प्रकाश स्वपोषी में पाया जाता है।",
    37→    37→      "CBSE AIPMT",
    38→    38→      null,
    39→    39→      null
    40→    40→    ]
    41→    41→  },
    42→    42→  {
    43→    43→    "sheet": "Class11",
    44→    44→    "row": 2592,
    45→    45→    "data": [
    46→    46→      "Biology",
    47→    47→      null,
    48→    48→      "उच्च पादपों में प्रकाश-संश्लेषण",
    49→    49→      "Hindi",
    50→    50→      "क्लोरोप्लास्ट में पाए जाने वाले प्रकाश संश्लेषक वर्णक इनमें पाए जाते हैं",
    51→    51→      "थायलाकोइड झिल्लियाँ",
    52→    52→      "प्लास्टोग्लोब्यूल्स",
    53→    53→      "मैट्रिक्स",
    54→    54→      "क्लोरोप्लास्ट लिफाफा",
    55→    55→      1.0,
    56→    56→      "प्रकाश संश्लेषक वर्णक वे वर्णक होते हैं जो क्लोरोप्लास्ट के प्रकाश संश्लेषक थाइलाकोइड पर पाए जाते हैं और प्रकाश संश्लेषण के लिए प्रकाश ऊर्जा को अवशोषित करते हैं। ये मुख्य रूप से दो प्रकार के होते हैं—क्लोरोफिल और कैरोटीनॉयड।",
    57→    57→      "CBSE AIPMT",
    58→    58→      null,
    59→    59→      null
    60→    60→    ]
    61→    61→  },
    62→    62→  {
    63→    63→    "sheet": "Class11",
    64→    64→    "row": 2593,
    65→    65→    "data": [
    66→    66→      "Biology",
    67→    67→      null,
    68→    68→      "उच्च पादपों में प्रकाश-संश्लेषण",
    69→    69→      "Hindi",
    70→    70→      "क्लोरोफिल अणु का आकार है",
    71→    71→      "शीर्ष 15 15 ⋅ Å, पूंछ 25 Å",
    72→    72→      "शीर्ष 20 20 ⋅ Å, पूंछ 25 Å",
    73→    73→      "शीर्ष 15 15 ⋅ Å, पूंछ 20 Å",
    74→    74→      "शीर्ष 10 12 ⋅ Å, पूंछ 25 Å",
    75→    75→      3.0,
    76→    76→      "क्लोरोफिल अणु दो भागों से मिलकर बना होता है: पोर्फिरिन वलय (शीर्ष) 15 Å और फाइटोल पूंछ (20 Å)। प्रकाश संश्लेषण 129 विषय 2 प्रकाश अभिक्रिया",
    77→    77→      "CBSE AIPMT",
    78→    78→      null,
    79→    79→      null
    80→    80→    ]
    81→    81→  },
    82→    82→  {
    83→    83→    "sheet": "Class11",
    84→    84→    "row": 2594,
    85→    85→    "data": [
    86→    86→      "Biology",
    87→    87→      null,
    88→    88→      "उच्च पादपों में प्रकाश संश्लेषण",
    89→    89→      "Hindi",
    90→    90→      "निम्नलिखित में से कौन सा प्रकाश संश्लेषण की प्रकाश अभिक्रिया का उत्पाद नहीं है?",
    91→    91→      "एनएडीपीएच",
    92→    92→      "एनएडीएच",
    93→    93→      "एटीपी",
    94→    94→      "ऑक्सीजन",
    95→    95→      2.0,
    96→    96→      "प्रकाश संश्लेषण की प्रकाश अभिक्रिया के दौरान NADPH, ATP और ऑक्सीजन बनते हैं। प्रकाश अपघटन द्वारा ऑक्सीजन मुक्त होती है।",
    97→    97→      "NEET",
    98→    98→      null,
    99→    99→      null
   100→   100→    ]
   101→   101→  },
   102→   102→  {
   103→   103→    "sheet": "Class11",
   104→   104→    "row": 2595,
   105→   105→    "data": [
   106→   106→      "Biology",
   107→   107→      null,
   108→   108→      "उच्च पादपों में प्रकाश संश्लेषण",
   109→   109→      "Hindi",
   110→   110→      "एक ऐसी प्रक्रिया जो C3 और C4 पौधों के बीच महत्वपूर्ण अंतर पैदा करती है, वह है",
   111→   111→      "स्वेद",
   112→   112→      "ग्लाइकोलिसिस",
   113→   113→      "प्रकाश संश्लेषण",
   114→   114→      "प्रकाश श्वसन",
   115→   115→      4.0,
