     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 2340,
     5→     5→    "data": [
     6→     6→      "Biology",
     7→     7→      null,
     8→     8→      "Digestion and Absorption",
     9→     9→      "English",
    10→    10→      "Lamina propria is connected with",
    11→    11→      "acini",
    12→    12→      "liver",
    13→    13→      "Graafian follicle",
    14→    14→      "intestine",
    15→    15→      4.0,
    16→    16→      "Lamina propria of ileum shows yellow coloured oval, granular masses of lymph nodules called ‘Peyer’s patches.’ TOPIC 2 Functioning of Digestive System",
    17→    17→      "CBSE AIPMT",
    18→    18→      null,
    19→    19→      null
    20→    20→    ]
    21→    21→  },
    22→    22→  {
    23→    23→    "sheet": "Class11",
    24→    24→    "row": 2341,
    25→    25→    "data": [
    26→    26→      "Biology",
    27→    27→      null,
    28→    28→      "Digestion and Absorption",
    29→    29→      "English",
    30→    30→      "Succus entericus is referred to as",
    31→    31→      "pancreatic juice",
    32→    32→      "intestinal juice",
    33→    33→      "gastric juice",
    34→    34→      "chyme",
    35→    35→      2.0,
    36→    36→      "Succus entericus also known as intestinal juice. It is a fluid secreted in small intestine in small quantity. The secretion of the brush border cells of the mucosa along with the secretions of goblet cells constitute succus entericus. It consist of various enzymes like lipases, disaccharides, nucleosidases etc. and mucus.",
    37→    37→      "NEET",
    38→    38→      null,
    39→    39→      null
    40→    40→    ]
    41→    41→  },
    42→    42→  {
    43→    43→    "sheet": "Class11",
    44→    44→    "row": 2342,
    45→    45→    "data": [
    46→    46→      "Biology",
    47→    47→      null,
    48→    48→      "Digestion and Absorption",
    49→    49→      "English",
    50→    50→      "Intrinsic factor that helps in the absorption of vitamin-B12 is secreted by",
    51→    51→      "goblet cells",
    52→    52→      "hepatic cells",
    53→    53→      "oxyntic cells",
    54→    54→      "chief cells",
    55→    55→      3.0,
    56→    56→      "Parietal cells or oxyntic cells secrete HCl and intrinsic factor. These intrinsic factors are essential for absorption of vitamin-B12. Goblet cells secrete mucus. Peptic or chief-cells secrete the proenzyme pepsinogen. Hepatic cells secrete bile.",
    57→    57→      "NEET (Oct.)",
    58→    58→      null,
    59→    59→      null
    60→    60→    ]
    61→    61→  },
    62→    62→  {
    63→    63→    "sheet": "Class11",
    64→    64→    "row": 2343,
    65→    65→    "data": [
    66→    66→      "Biology",
    67→    67→      null,
    68→    68→      "Digestion and Absorption",
    69→    69→      "English",
    70→    70→      "The proteolytic enzyme renin is found in",
    71→    71→      "intestinal juice",
    72→    72→      "bile juice",
    73→    73→      "gastric juice",
    74→    74→      "pancreatic juice",
    75→    75→      3.0,
    76→    76→      "The proteolytic enzyme rennin is found in gastric juice of infants which helps in the digestion of milk proteins, casein into paracasein.",
    77→    77→      "NEET (Oct.)",
    78→    78→      null,
    79→    79→      null
    80→    80→    ]
    81→    81→  },
    82→    82→  {
    83→    83→    "sheet": "Class11",
    84→    84→    "row": 2344,
    85→    85→    "data": [
    86→    86→      "Biology",
    87→    87→      null,
    88→    88→      "Digestion and Absorption",
    89→    89→      "English",
    90→    90→      "The enzyme enterokinase helps in conversion of",
    91→    91→      "trypsinogen into trypsin",
    92→    92→      "caseinogen into casein",
    93→    93→      "pepsinogen into pepsin",
    94→    94→      "protein into polypeptides",
    95→    95→      1.0,
    96→    96→      "The correct option is (a) because the enzyme enterokinase helps in conversion of trypsinogen into trypsin. Trypsinogen is activated by an enzyme, enterokinase, secreted by the intestinal mucosa into active trypsin. Trypsinogen is a zymogen released from pancreas.",
    97→    97→      "NEET (Sep.)",
    98→    98→      null,
    99→    99→      null
   100→   100→    ]
   101→   101→  },
   102→   102→  {
   103→   103→    "sheet": "Class11",
   104→   104→    "row": 2345,
   105→   105→    "data": [
   106→   106→      "Biology",
   107→   107→      null,
   108→   108→      "Digestion and Absorption",
   109→   109→      "English",
   110→   110→      "Oxyntic cells (iii) Milk proteins 4. Fructose (iv) Trypsinogen 1 234",
   111→   111→      "(iii) (iv) (ii) (i)",
   112→   112→      "(iv) (iii) (i) (ii)",
   113→   113→      "(iv) (iii) (ii) (i)",
   114→   114→      "(iii) (iv) (i) (ii)",
   115→   115→      4.0,
   116→   116→      "The correct matches are",
   117→   117→      null,
   118→   118→      null,
   119→   119→      null
   120→   120→    ]
   121→   121→  },
   122→   122→  {
   123→   123→    "sheet": "Class11",
   124→   124→    "row": 2346,
   125→   125→    "data": [
   126→   126→      "Biology",
   127→   127→      null,
   128→   128→      "Digestion and Absorption",
   129→   129→      "English",
   130→   130→      "Fructose is absorbed by facilitated transport into the blood capillaries. 154 27 Identify the cells whose secretion protects the lining of gastrointestinal tract from various enzymes.",
   131→   131→      "Goblet cells",
   132→   132→      "Oxyntic cells",
   133→   133→      "Duodenal cells",
   134→   134→      "Chief cells",
   135→   135→      1.0,
