     1→     1→{
     2→     2→ "batch": 10,
     3→     3→ "questions": [
     4→     4→  {
     5→     5→   "Subject": "Science",
     6→     6→   "Chapter No.": "3.0",
     7→     7→   "Chapter Name": "धातु एवं अधातु",
     8→     8→   "Medium": "Hindi",
     9→     9→   "Question": "धातुओं द्वारा आमतौर पर कौन सा गुण प्रदर्शित नहीं किया जाता है?",
    10→    10→   "Option 1": "विद्युत चालकता",
    11→    11→   "Option 2": "ध्वानिक प्रकृति (Sonorous)",
    12→    12→   "Option 3": "धूसरपन/चमकहीनता",
    13→    13→   "Option 4": "तन्यता",
    14→    14→   "Correct Option": "3.0",
    15→    15→   "Explanation": "धातुएं आमतौर पर चमकदार (Lustrous) होती हैं। चमकहीनता या धूसरपन अधिकांश अधातुओं की विशेषता है।",
    16→    16→   "Exam": "CBSE",
    17→    17→   "Year": "2022.0",
    18→    18→   "_sheet_row": 452
    19→    19→  },
    20→    20→  {
    21→    21→   "Subject": "Science",
    22→    22→   "Chapter No.": "3.0",
    23→    23→   "Chapter Name": "धातु एवं अधातु",
    24→    24→   "Medium": "Hindi",
    25→    25→   "Question": "सिनाबार (Cinnabar) किस धातु का अयस्क है?",
    26→    26→   "Option 1": "पारा (Mercury)",
    27→    27→   "Option 2": "तांबा (Copper)",
    28→    28→   "Option 3": "जस्ता (Zinc)",
    29→    29→   "Option 4": "सीसा (Lead)",
    30→    30→   "Correct Option": "1.0",
    31→    31→   "Explanation": "सिनाबार मरकरी (II) सल्फाइड ($HgS$) है। हवा की उपस्थिति में सिनाबार को गर्म (भर्जन) करके पारा प्राप्त किया जाता है।",
    32→    32→   "Exam": "Bihar Board",
    33→    33→   "Year": "2021.0",
    34→    34→   "_sheet_row": 453
    35→    35→  },
    36→    36→  {
    37→    37→   "Subject": "Science",
    38→    38→   "Chapter No.": "3.0",
    39→    39→   "Chapter Name": "धातु एवं अधातु",
    40→    40→   "Medium": "Hindi",
    41→    41→   "Question": "सोना और चांदी जैसी धातुएं पृथ्वी की भूपर्पटी में किस अवस्था में पाई जाती हैं?",
    42→    42→   "Option 1": "संयुक्त अवस्था",
    43→    43→   "Option 2": "मुक्त अवस्था",
    44→    44→   "Option 3": "ऑक्साइड अवस्था",
    45→    45→   "Option 4": "सल्फाइड अवस्था",
    46→    46→   "Correct Option": "2.0",
    47→    47→   "Explanation": "सोना, चांदी और प्लेटिनम सबसे कम अभिक्रियाशील (उत्कृष्ट धातुएं) हैं और अक्सर प्रकृति में अपनी मूल या मुक्त अवस्था में पाए जाते हैं।",
    48→    48→   "Exam": "CBSE",
    49→    49→   "Year": "2019.0",
    50→    50→   "_sheet_row": 454
    51→    51→  },
    52→    52→  {
    53→    53→   "Subject": "Science",
    54→    54→   "Chapter No.": "3.0",
    55→    55→   "Chapter Name": "धातु एवं अधातु",
    56→    56→   "Medium": "Hindi",
    57→    57→   "Question": "निम्नलिखित में से कौन सी अधातु कमरे के तापमान पर द्रव होती है?",
    58→    58→   "Option 1": "ऑक्सीजन",
    59→    59→   "Option 2": "कार्बन",
    60→    60→   "Option 3": "ब्रोमीन",
    61→    61→   "Option 4": "क्लोरीन",
    62→    62→   "Correct Option": "3.0",
    63→    63→   "Explanation": "ब्रोमीन एकमात्र अधातु है जो कमरे के तापमान पर द्रव है। पारा (Mercury) एकमात्र धातु है जो कमरे के तापमान पर द्रव है।",
    64→    64→   "Exam": "MP Board",
    65→    65→   "Year": "2021.0",
    66→    66→   "_sheet_row": 455
    67→    67→  },
    68→    68→  {
    69→    69→   "Subject": "Science",
    70→    70→   "Chapter No.": "3.0",
    71→    71→   "Chapter Name": "धातु एवं अधातु",
    72→    72→   "Medium": "Hindi",
    73→    73→   "Question": "मिश्रधातु (Alloy) क्या है?",
    74→    74→   "Option 1": "एक यौगिक",
    75→    75→   "Option 2": "एक तत्व",
    76→    76→   "Option 3": "एक समांगी मिश्रण",
    77→    77→   "Option 4": "एक विषमांगी मिश्रण",
    78→    78→   "Correct Option": "3.0",
    79→    79→   "Explanation": "मिश्रधातु दो या दो से अधिक धातुओं, या एक धातु और एक अधातु का समांगी मिश्रण है, जैसे स्टील या पीतल।",
    80→    80→   "Exam": "ICSE",
    81→    81→   "Year": "2020.0",
    82→    82→   "_sheet_row": 456
    83→    83→  },
    84→    84→  {
    85→    85→   "Subject": "Science",
    86→    86→   "Chapter No.": "3.0",
    87→    87→   "Chapter Name": "धातु एवं अधातु",
    88→    88→   "Medium": "Hindi",
    89→    89→   "Question": "किस धातु को केरोसिन (मिट्टी के तेल) में डुबोकर रखा जाता है?",
    90→    90→   "Option 1": "मैग्नीशियम",
    91→    91→   "Option 2": "सोडियम",
    92→    92→   "Option 3": "कैल्शियम",
    93→    93→   "Option 4": "एल्युमीनियम",
    94→    94→   "Correct Option": "2.0",
    95→    95→   "Explanation": "सोडियम और पोटेशियम अत्यधिक अभिक्रियाशील होते हैं। वे हवा में ऑक्सीजन और नमी के साथ तेजी से अभिक्रिया करके आग पकड़ लेते हैं। केरोसिन में रखने से यह संपर्क रुक जाता है।",
    96→    96→   "Exam": "CBSE",
    97→    97→   "Year": "2023.0",
    98→    98→   "_sheet_row": 457
    99→    99→  },
   100→   100→  {
   101→   101→   "Subject": "Science",
   102→   102→   "Chapter No.": "3.0",
   103→   103→   "Chapter Name": "धातु एवं अधातु",
   104→   104→   "Medium": "Hindi",
   105→   105→   "Question": "सोल्डर (Solder) किसकी मिश्रधातु है?",
   106→   106→   "Option 1": "Cu और Zn",
   107→   107→   "Option 2": "Pb और Sn",
   108→   108→   "Option 3": "Cu और Sn",
   109→   109→   "Option 4": "Al और Mg",
   110→   110→   "Correct Option": "2.0",
   111→   111→   "Explanation": "सोल्डर सीसा (Pb) और टिन (Sn) की मिश्रधातु है। इसका गलनांक कम होता है और इसका उपयोग बिजली के तारों की वेल्डिंग के लिए किया जाता है।",
   112→   112→   "Exam": "CBSE",
   113→   113→   "Year": "2018.0",
   114→   114→   "_sheet_row": 458
   115→   115→  },
   116→   116→  {
   117→   117→   "Subject": "Science",
   118→   118→   "Chapter No.": "3.0",
   119→   119→   "Chapter Name": "धातु एवं अधातु",
   120→   120→   "Medium": "Hindi",
   121→   121→   "Question": "धातुओं में ऊष्मा का सबसे कम चालक कौन है?",
   122→   122→   "Option 1": "सीसा (Lead)",
   123→   123→   "Option 2": "पारा (Mercury)",
   124→   124→   "Option 3": "कैल्शियम",
   125→   125→   "Option 4": "1 और 2 दोनों",
   126→   126→   "Correct Option": "4.0",
   127→   127→   "Explanation": "यद्यपि धातुएं आमतौर पर ऊष्मा की सुचालक होती हैं, लेकिन सीसा और पारा तुलनात्मक रूप से बहुत खराब चालक हैं।",
   128→   128→   "Exam": "CBSE",
   129→   129→   "Year": "2021.0",
   130→   130→   "_sheet_row": 459
   131→   131→  },
   132→   132→  {
   133→   133→   "Subject": "Science",
   134→   134→   "Chapter No.": "3.0",
   135→   135→   "Chapter Name": "धातु एवं अधातु",
   136→   136→   "Medium": "Hindi",
   137→   137→   "Question": "कौन सी अधातु चमकदार (Lustrous) होती है?",
   138→   138→   "Option 1": "सल्फर",
   139→   139→   "Option 2": "ऑक्सीजन",
   140→   140→   "Option 3": "नाइट्रोजन",
   141→   141→   "Option 4": "आयोडीन",
   142→   142→   "Correct Option": "4.0",
   143→   143→   "Explanation": "यद्यपि अधातुएं आमतौर पर चमकहीन होती हैं, आयोडीन एक अपवाद है क्योंकि इसमें प्राकृतिक धात्विक चमक होती है।",
   144→   144→   "Exam": "HBSE",
   145→   145→   "Year": "2022.0",
   146→   146→   "_sheet_row": 460
   147→   147→  },
   148→   148→  {
   149→   149→   "Subject": "Science",
   150→   150→   "Chapter No.": "3.0",
   151→   151→   "Chapter Name": "धातु एवं अधातु",
   152→   152→   "Medium": "Hindi",
   153→   153→   "Question": "खाद्य पदार्थों के डिब्बों पर टिन की परत चढ़ाई जाती है, जस्ते की नहीं क्योंकि:",
   154→   154→   "Option 1": "जस्ता टिन से महंगा है",
   155→   155→   "Option 2": "जस्ते का गलनांक उच्च है",
   156→   156→   "Option 3": "जस्ता टिन से अधिक अभिक्रियाशील है",
   157→   157→   "Option 4": "जस्ता टिन से कम अभिक्रियाशील है",
   158→   158→   "Correct Option": "3.0",
   159→   159→   "Explanation": "जस्ता टिन से अधिक अभिक्रियाशील है और भोजन में मौजूद कार्बनिक अम्लों के साथ अभिक्रिया कर सकता है, जिससे भोजन जहरीला हो सकता है।",
   160→   160→   "Exam": "CBSE",
   161→   161→   "Year": "2017.0",
   162→   162→   "_sheet_row": 461
   163→   163→  },
   164→   164→  {
   165→   165→   "Subject": "Science",
   166→   166→   "Chapter No.": "3.0",
   167→   167→   "Chapter Name": "Metals and Non-metals",
   168→   168→   "Medium": "English",
   169→   169→   "Question": "Which of the following methods is suitable for preventing an iron frying pan from rusting?",
   170→   170→   "Option 1": "Applying grease",
   171→   171→   "Option 2": "Applying paint",
   172→   172→   "Option 3": "Applying a coating of zinc",
   173→   173→   "Option 4": "All of the above",
   174→   174→   "Correct Option": "3.0",
   175→   175→   "Explanation": "While grease and paint prevent rusting, they are not suitable for a frying pan as they will burn or contaminate food upon heating. Galvanization (zinc coating) is the most durable and heat-resistant method.",
   176→   176→   "Exam": "CBSE",
   177→   177→   "Year": "2020.0",
   178→   178→   "_sheet_row": 462
   179→   179→  },
   180→   180→  {
   181→   181→   "Subject": "Science",
   182→   182→   "Chapter No.": "3.0",
   183→   183→   "Chapter Name": "Metals and Non-metals",
   184→   184→   "Medium": "English",
   185→   185→   "Question": "An element reacts with oxygen to give a compound with a high melting point. This compound is also soluble in water. The element is likely to be:",
   186→   186→   "Option 1": "Calcium",
   187→   187→   "Option 2": "Carbon",
   188→   188→   "Option 3": "Silicon",
   189→   189→   "Option 4": "Iron",
   190→   190→   "Correct Option": "1.0",
   191→   191→   "Explanation": "Calcium reacts with oxygen to form Calcium Oxide ($CaO$), an ionic compound with a high melting point. $CaO$ reacts with water to form Calcium Hydroxide, which is soluble.",
   192→   192→   "Exam": "CBSE",
   193→   193→   "Year": "2021.0",
   194→   194→   "_sheet_row": 463
   195→   195→  },
   196→   196→  {
   197→   197→   "Subject": "Science",
   198→   198→   "Chapter No.": "3.0",
   199→   199→   "Chapter Name": "Metals and Non-metals",
   200→   200→   "Medium": "English",
   201→   201→   "Question": "Which of the following pairs will give displacement reactions?",
   202→   202→   "Option 1": "$NaCl$ solution and Copper metal",
   203→   203→   "Option 2": "$MgCl_2$ solution and Aluminium metal",
   204→   204→   "Option 3": "$FeSO_4$ solution and Silver metal",
   205→   205→   "Option 4": "$AgNO_3$ solution and Copper metal",
   206→   206→   "Correct Option": "4.0",
   207→   207→   "Explanation": "Copper is more reactive than Silver. Therefore, Copper can displace Silver from its nitrate solution. In the other cases, the metal is less reactive than the one in the salt solution.",
   208→   208→   "Exam": "CBSE",
   209→   209→   "Year": "2017.0",
   210→   210→   "_sheet_row": 464
   211→   211→  },
   212→   212→  {
   213→   213→   "Subject": "Science",
   214→   214→   "Chapter No.": "3.0",
   215→   215→   "Chapter Name": "Metals and Non-metals",
   216→   216→   "Medium": "English",
   217→   217→   "Question": "The electronic configurations of three elements X, Y and Z are X — 2, 8; Y — 2, 8, 7 and Z — 2, 8, 2. Which of the following is correct?",
   218→   218→   "Option 1": "X is a metal",
   219→   219→   "Option 2": "Y is a metal",
   220→   220→   "Option 3": "Z is a non-metal",
   221→   221→   "Option 4": "Y is a non-metal and Z is a metal",
   222→   222→   "Correct Option": "4.0",
   223→   223→   "Explanation": "Y has 7 valence electrons (Group 17, Non-metal) and Z has 2 valence electrons (Group 2, Metal). X is a noble gas (Neon).",
   224→   224→   "Exam": "CBSE",
   225→   225→   "Year": "2023.0",
   226→   226→   "_sheet_row": 465
   227→   227→  },
   228→   228→  {
   229→   229→   "Subject": "Science",
   230→   230→   "Chapter No.": "3.0",
   231→   231→   "Chapter Name": "Metals and Non-metals",
   232→   232→   "Medium": "English",
   233→   233→   "Question": "Which of the following is an oxide of Iron which is formed on prolonged reaction of iron with steam?",
   234→   234→   "Option 1": "$FeO$",
   235→   235→   "Option 2": "$Fe_2O_3$",
   236→   236→   "Option 3": "$Fe_3O_4$",
   237→   237→   "Option 4": "$Fe_2O_3$ and $Fe_3O_4$",
   238→   238→   "Correct Option": "3.0",
   239→   239→   "Explanation": "Iron reacts with steam to form Magnetic Iron Oxide ($Fe_3O_4$), also known as iron (II, III) oxide.",
   240→   240→   "Exam": "CBSE",
   241→   241→   "Year": "2018.0",
   242→   242→   "_sheet_row": 466
   243→   243→  },
   244→   244→  {
   245→   245→   "Subject": "Science",
   246→   246→   "Chapter No.": "3.0",
   247→   247→   "Chapter Name": "Metals and Non-metals",
   248→   248→   "Medium": "English",
   249→   249→   "Question": "During electrolytic refining of zinc, it gets:",
   250→   250→   "Option 1": "Deposited on cathode",
   251→   251→   "Option 2": "Deposited on anode",
   252→   252→   "Option 3": "Deposited on cathode as well as anode",
   253→   253→   "Option 4": "Remains in the solution",
   254→   254→   "Correct Option": "1.0",
   255→   255→   "Explanation": "In electrolytic refining, the pure metal is always deposited at the Cathode (negative electrode), while the impure metal acts as the Anode.",
   256→   256→   "Exam": "CBSE",
   257→   257→   "Year": "2019.0",
   258→   258→   "_sheet_row": 467
   259→   259→  },
   260→   260→  {
   261→   261→   "Subject": "Science",
   262→   262→   "Chapter No.": "3.0",
   263→   263→   "Chapter Name": "Metals and Non-metals",
   264→   264→   "Medium": "English",
   265→   265→   "Question": "Which of the following can undergo a chemical reaction?",
   266→   266→   "Option 1": "$MgSO_4 + Fe$",
   267→   267→   "Option 2": "$ZnSO_4 + Fe$",
   268→   268→   "Option 3": "$MgSO_4 + Pb$",
   269→   269→   "Option 4": "$CuSO_4 + Fe$",
   270→   270→   "Correct Option": "4.0",
   271→   271→   "Explanation": "Iron ($Fe$) is more reactive than Copper ($Cu$). Thus, it can displace Copper from Copper Sulphate. Iron is less reactive than Magnesium and Zinc.",
   272→   272→   "Exam": "CBSE",
   273→   273→   "Year": "2022.0",
   274→   274→   "_sheet_row": 468
   275→   275→  },
   276→   276→  {
   277→   277→   "Subject": "Science",
   278→   278→   "Chapter No.": "3.0",
   279→   279→   "Chapter Name": "Metals and Non-metals",
   280→   280→   "Medium": "English",
   281→   281→   "Question": "Generally, non-metals are not lustrous. Which of the following non-metals is lustrous?",
   282→   282→   "Option 1": "Sulphur",
   283→   283→   "Option 2": "Oxygen",
   284→   284→   "Option 3": "Nitrogen",
   285→   285→   "Option 4": "Iodine",
   286→   286→   "Correct Option": "4.0",
   287→   287→   "Explanation": "Iodine is a rare non-metal that exhibits a shiny, metallic-like luster, making it an exception to the general rule.",
   288→   288→   "Exam": "HBSE",
   289→   289→   "Year": "2020.0",
