     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 2040,
     5→     5→    "data": [
     6→     6→      "Biology",
     7→     7→      null,
     8→     8→      "Transport in Plants",
     9→     9→      "English",
    10→    10→      "The direction and rate of water movement from cell to cell is based on",
    11→    11→      "WP",
    12→    12→      "TP",
    13→    13→      "DPD",
    14→    14→      "incipient plasmolysis",
    15→    15→      3.0,
    16→    16→      "The difference between the diffusion pressure of the solution and its solvents at a particular temperature and atmospheric condition is called DPD. The direction and rate of water movement from cell to cell is based on DPD (Diffusion Pressure Deficit).",
    17→    17→      "CBSE AIPMT",
    18→    18→      null,
    19→    19→      null
    20→    20→    ]
    21→    21→  },
    22→    22→  {
    23→    23→    "sheet": "Class11",
    24→    24→    "row": 2041,
    25→    25→    "data": [
    26→    26→      "Biology",
    27→    27→      null,
    28→    28→      "Transport in Plants",
    29→    29→      "English",
    30→    30→      "Water potential can be obtained by",
    31→    31→      "OP + TP",
    32→    32→      "OP = WP",
    33→    33→      "Ψ Ψ S P +",
    34→    34→      "OP – DPD",
    35→    35→      3.0,
    36→    36→      "Water potential is the difference between the free energy of water in a system and free energy of pure water. It can be obtained by ΨΨΨ WS P = + . It is a function of solute potential and pressure potential. 118",
    37→    37→      "CBSE AIPMT",
    38→    38→      null,
    39→    39→      null
    40→    40→    ]
    41→    41→  },
    42→    42→  {
    43→    43→    "sheet": "Class11",
    44→    44→    "row": 2042,
    45→    45→    "data": [
    46→    46→      "Biology",
    47→    47→      null,
    48→    48→      "Transport in Plants",
    49→    49→      "English",
    50→    50→      "Mainly conduction of water in an angiosperm occurs through",
    51→    51→      "tracheids",
    52→    52→      "xylem vessels",
    53→    53→      "sieve tubes",
    54→    54→      "All of these",
    55→    55→      2.0,
    56→    56→      "The water absorbed by roots has to be conducted upward so as to meet the needs of tissues there. Water moves up through the lumen of xylem vessels.",
    57→    57→      "CBSE AIPMT",
    58→    58→      null,
    59→    59→      null
    60→    60→    ]
    61→    61→  },
    62→    62→  {
    63→    63→    "sheet": "Class11",
    64→    64→    "row": 2043,
    65→    65→    "data": [
    66→    66→      "Biology",
    67→    67→      null,
    68→    68→      "Transport in Plants",
    69→    69→      "English",
    70→    70→      "Root system in a plant is well developed",
    71→    71→      "due to deficiency of auxins",
    72→    72→      "due to deficiency of cytokinins",
    73→    73→      "due to deficiency of minerals",
    74→    74→      "for increased absorption of water",
    75→    75→      4.0,
    76→    76→      "Water in land plants is mainly absorbed through the roots, especially at the tips in the region of root hairs. Therefore, root system in a plant is well developed, for increasing absorption of water. TOPIC 3 Ascent of Sap",
    77→    77→      "CBSE AIPMT",
    78→    78→      null,
    79→    79→      null
    80→    80→    ]
    81→    81→  },
    82→    82→  {
    83→    83→    "sheet": "Class11",
    84→    84→    "row": 2044,
    85→    85→    "data": [
    86→    86→      "Biology",
    87→    87→      null,
    88→    88→      "Transport in Plants",
    89→    89→      "English",
    90→    90→      "A few drops of sap were collected by cutting across a plant stem by a suitable method. The sap was tested chemically. Which one of the following test results indicates that it is phloem sap?",
    91→    91→      "Acidic",
    92→    92→      "Alkaline",
    93→    93→      "Low refractive index",
    94→    94→      "The absence of sugar",
    95→    95→      2.0,
    96→    96→      "The phloem sap is alkaline in nature. It continuously pumps protons from its companion cells to the other neighbouring cells during transport of sugars.",
    97→    97→      "NEET , Phase II",
    98→    98→      null,
    99→    99→      null
   100→   100→    ]
   101→   101→  },
   102→   102→  {
   103→   103→    "sheet": "Class11",
   104→   104→    "row": 2045,
   105→   105→    "data": [
   106→   106→      "Biology",
   107→   107→      null,
   108→   108→      "Transport in Plants",
   109→   109→      "English",
   110→   110→      "Root pressure develops due to",
   111→   111→      "active absorption",
   112→   112→      "low osmotic potential in soil",
   113→   113→      "passive absorption",
   114→   114→      "increase in transpiration",
   115→   115→      1.0,
   116→   116→      "Root pressure is the positive pressure depends on cohesion, adhesion and surface tension property of water. Due to these forces only transpiration driven ascent of xylem sap occurs.",
   117→   117→      "CBSE AIPMT",
   118→   118→      null,
   119→   119→      null
   120→   120→    ]
   121→   121→  },
   122→   122→  {
   123→   123→    "sheet": "Class11",
   124→   124→    "row": 2046,
   125→   125→    "data": [
   126→   126→      "Biology",
   127→   127→      null,
   128→   128→      "Transport in Plants",
   129→   129→      "English",
   130→   130→      "Which of the following criteria does not pertain to facilitated transport?",
   131→   131→      "Requirement of special membrane proteins",
   132→   132→      "High selectivity",
   133→   133→      "Transport saturation",
   134→   134→      "Uphill transport",
   135→   135→      4.0,
   136→   136→      "Uphill transport is a process in which diffusion of a component occurs from a less concentrated stream to a more concentrated permeable stream. Facilitated transport is a form of passive transport in whichmaterials aremoved across the plasma membrane by a transport protein down their concentration gradient. It requires integral membrane proteins and highly selective biological membranes to cross. Saturation occurs in facilitated, diffusion because not enough carriers may be available to handle all the free solute molecules. The rate of movement may reach a maximum. Thus, uphill transport does not pertain to faciliated transport.",
   137→   137→      "NEET",
   138→   138→      null,
   139→   139→      null
   140→   140→    ]
   141→   141→  },
   142→   142→  {
   143→   143→    "sheet": "Class11",
   144→   144→    "row": 2047,
   145→   145→    "data": [
   146→   146→      "Biology",
   147→   147→      null,
   148→   148→      "Transport in Plants",
   149→   149→      "English",
   150→   150→      "The rupture and fractionation do not usually occur in the water column in vessel/tracheids during the ascent of sap because of  C. Surface tension 3. Water loss in liquid phase that develops in the roots of plants by the active absorption of nutrients from",
   151→   151→      "lignified thick walls",
