     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 614,
     5→     5→    "data": [
     6→     6→      "Chemistry",
     7→     7→      4.0,
     8→     8→      "Chemical Thermodynamics",
     9→     9→      "English",
    10→    10→      "A reaction occurs spontaneously if",
    11→    11→      "(a) T\\Delta S < \\Delta H and both \\Delta H and \\Delta S are +ve",
    12→    12→      "(b) T\\Delta S > \\Delta H and both \\Delta H and \\Delta S are +ve",
    13→    13→      "(c) T\\Delta S = \\Delta H and both \\Delta H and \\Delta S are +ve",
    14→    14→      "(d) T\\Delta S > \\Delta H and \\Delta H is +ve and \\Delta S is -ve",
    15→    15→      2.0,
    16→    16→      "The spontaneity of a reaction is based upon the negative value of \\Delta G. When T\\Delta S > \\Delta H (for positive \\Delta H and \\Delta S), \\Delta G becomes negative.",
    17→    17→      "CBSE AIPMT",
    18→    18→      2005.0,
    19→    19→      null
    20→    20→    ]
    21→    21→  },
    22→    22→  {
    23→    23→    "sheet": "Class11",
    24→    24→    "row": 615,
    25→    25→    "data": [
    26→    26→      "Chemistry",
    27→    27→      4.0,
    28→    28→      "Chemical Thermodynamics",
    29→    29→      "English",
    30→    30→      "Considering entropy (S) as a thermodynamic parameter, the criterion for the spontaneity of any process is",
    31→    31→      "(a) \\Delta S_{system} + \\Delta S_{surrounding} > 0",
    32→    32→      "(b) \\Delta S_{system} - \\Delta S_{surrounding} > 0",
    33→    33→      "(c) \\Delta S_{system} > 0",
    34→    34→      "(d) \\Delta S_{surrounding} > 0",
    35→    35→      1.0,
    36→    36→      "For spontaneous process, \\Delta S_{total} must be positive. \\Delta S_{total} = \\Delta S_{system} + \\Delta S_{surrounding} > 0.",
    37→    37→      "CBSE AIPMT",
    38→    38→      2004.0,
    39→    39→      null
    40→    40→    ]
    41→    41→  },
    42→    42→  {
    43→    43→    "sheet": "Class11",
    44→    44→    "row": 616,
    45→    45→    "data": [
    46→    46→      "Chemistry",
    47→    47→      4.0,
    48→    48→      "Chemical Thermodynamics",
    49→    49→      "English",
    50→    50→      "Standard enthalpy and standard entropy changes for the oxidation of ammonia at 298 K are -382.64 \\text{ kJ mol}^{-1} and -145.6 \\text{ JK}^{-1} \\text{mol}^{-1}, respectively. Standard Gibbs energy change for the same reaction at 298 K is",
    51→    51→      "(a) -221.1 kJ mol⁻¹",
    52→    52→      "(b) -339.3 kJ mol⁻¹",
    53→    53→      "(c) -439.3 kJ mol⁻¹",
    54→    54→      "(d) -523.2 kJ mol⁻¹",
    55→    55→      2.0,
    56→    56→      "\\Delta G^\\circ = \\Delta H^\\circ - T\\Delta S^\\circ = -382.64 - [298 \\times (-145.6 \\times 10^{-3})] = -339.3 \\text{ kJ mol}^{-1}.",
    57→    57→      "CBSE AIPMT",
    58→    58→      2004.0,
    59→    59→      null
    60→    60→    ]
    61→    61→  },
    62→    62→  {
    63→    63→    "sheet": "Class11",
    64→    64→    "row": 617,
    65→    65→    "data": [
    66→    66→      "Chemistry",
    67→    67→      4.0,
    68→    68→      "Chemical Thermodynamics",
    69→    69→      "English",
    70→    70→      "What is the entropy change (in J K^{-1} mol^{-1}) when one mole of ice is converted into water at 0^\\circ C? (The enthalpy change for the conversion of ice to liquid water is 6.0 \\text{ kJ mol}^{-1} at 0^\\circ C)",
    71→    71→      "(a) 2.198 \\text{ J K}^{-1} \\text{mol}^{-1}",
    72→    72→      "(b) 21.98 \\text{ J K}^{-1} \\text{mol}^{-1}",
    73→    73→      "(c) 20.13 \\text{ J K}^{-1} \\text{mol}^{-1}",
    74→    74→      "(d) 2.013 \\text{ J K}^{-1} \\text{mol}^{-1}",
    75→    75→      2.0,
    76→    76→      "\\Delta S = \\Delta H_f / T = (6.0 \\times 1000) / 273 = 21.98 \\text{ J K}^{-1} \\text{mol}^{-1}.",
    77→    77→      "CBSE AIPMT",
    78→    78→      2003.0,
    79→    79→      null
    80→    80→    ]
    81→    81→  },
    82→    82→  {
    83→    83→    "sheet": "Class11",
    84→    84→    "row": 618,
    85→    85→    "data": [
    86→    86→      "Chemistry",
    87→    87→      4.0,
    88→    88→      "Chemical Thermodynamics",
    89→    89→      "English",
    90→    90→      "The densities of graphite and diamond at 298 K are 2.25 and 3.31 g \\text{ cm}^{-3}, respectively. If the standard free energy difference (\\Delta G^\\circ) is equal to 1895 \\text{ J mol}^{-1} the pressure at which graphite will be transformed into diamond at 298 K is",
    91→    91→      "(a) 9.92 \\times 10^6 \\text{ Pa}",
    92→    92→      "(b) 9.92 \\times 10^5 \\text{ Pa}",
    93→    93→      "(c) 9.92 \\times 10^8 \\text{ Pa}",
    94→    94→      "(d) 9.92 \\times 10^7 \\text{ Pa}",
    95→    95→      3.0,
    96→    96→      "\\Delta V = (12/3.31 - 12/2.25) \\times 10^{-3} L = -1.91 \\times 10^{-3} L. P = -\\Delta G / \\Delta V = 1895 / (1.91 \\times 10^{-3} \\times 101.3) \\text{ atm} \\approx 9.92 \\times 10^8 \\text{ Pa}.",
    97→    97→      "CBSE AIPMT",
    98→    98→      2003.0,
    99→    99→      null
   100→   100→    ]
   101→   101→  },
   102→   102→  {
   103→   103→    "sheet": "Class11",
   104→   104→    "row": 619,
   105→   105→    "data": [
   106→   106→      "Chemistry",
   107→   107→      4.0,
   108→   108→      "Chemical Thermodynamics",
   109→   109→      "English",
   110→   110→      "2 moles of an ideal gas at 27°C temperature is expanded reversibly from 2 L to 20 L. Find entropy change (R = 2 \\text{ cal/mol K}).",
   111→   111→      "(a) 92.1",
   112→   112→      "(b) 0",
   113→   113→      "(c) 4",
