     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 298,
     5→     5→    "data": [
     6→     6→      "Chemistry",
     7→     7→      3.0,
     8→     8→      "Chemical Bonding and Molecular Structure",
     9→     9→      "English",
    10→    10→      "Strongest hydrogen bonding is shown by",
    11→    11→      "(a) H_{2}O",
    12→    12→      "(b) NH_{3}",
    13→    13→      "(c) HF",
    14→    14→      "(d) H_{2}S",
    15→    15→      3.0,
    16→    16→      "HF has the strongest hydrogen bond because fluorine is the most electronegative atom, producing strong electrostatic attraction.",
    17→    17→      "CBSE AIPMT",
    18→    18→      1992.0,
    19→    19→      null
    20→    20→    ]
    21→    21→  },
    22→    22→  {
    23→    23→    "sheet": "Class11",
    24→    24→    "row": 299,
    25→    25→    "data": [
    26→    26→      "Chemistry",
    27→    27→      3.0,
    28→    28→      "Chemical Bonding and Molecular Structure",
    29→    29→      "English",
    30→    30→      "Which one of the following formulae does not correctly represent the bonding capacities of the atoms involved?",
    31→    31→      "(a) [Structure of Phosphonium ion]",
    32→    32→      "(b) [Structure of Ammonium ion]",
    33→    33→      "(c) [Structure of Nitromethane like species]",
    34→    34→      "(d) H-C=C(OH)2 structure",
    35→    35→      4.0,
    36→    36→      "In option (d), one carbon atom is shown with five valency bonds, which is not possible.",
    37→    37→      "CBSE AIPMT",
    38→    38→      1991.0,
    39→    39→      null
    40→    40→    ]
    41→    41→  },
    42→    42→  {
    43→    43→    "sheet": "Class11",
    44→    44→    "row": 300,
    45→    45→    "data": [
    46→    46→      "Chemistry",
    47→    47→      3.0,
    48→    48→      "Chemical Bonding and Molecular Structure",
    49→    49→      "English",
    50→    50→      "Among LiCl, BeCl_{2}, BCl_{3} and CCl_{4} the covalent bond character follows the order",
    51→    51→      "(a) LiCl < BeCl_{2} > BCl_{3} > CCl_{4}",
    52→    52→      "(b) LiCl < BeCl_{2} < BCl_{3} > CCl_{4}",
    53→    53→      "(c) LiCl < BeCl_{2} < BCl_{3} < CCl_{4}",
    54→    54→      "(d) LiCl > BeCl_{2} > BCl_{3} > CCl_{4}",
    55→    55→      3.0,
    56→    56→      "Electronegativity increases and cation size decreases from Li to C, increasing polarization and thus covalent character (Fajans' rule).",
    57→    57→      "CBSE AIPMT",
    58→    58→      1990.0,
    59→    59→      null
    60→    60→    ]
    61→    61→  },
    62→    62→  {
    63→    63→    "sheet": "Class11",
    64→    64→    "row": 301,
    65→    65→    "data": [
    66→    66→      "Chemistry",
    67→    67→      3.0,
    68→    68→      "Chemical Bonding and Molecular Structure",
    69→    69→      "English",
    70→    70→      "H_{2}O has a net dipole moment while BeF_{2} has zero dipole moment because",
    71→    71→      "(a) H_{2}O molecule is linear while F_{2} is bent",
    72→    72→      "(b) BeF_{2} molecule is linear while H_{2}O is bent",
    73→    73→      "(c) fluorine has more electronegativity than oxygen",
    74→    74→      "(d) beryllium has more electronegativity than oxygen",
    75→    75→      2.0,
    76→    76→      "H_{2}O has a bent structure (104.5°) giving a net dipole. BeF_{2} is linear, so bond dipoles cancel out.",
    77→    77→      "CBSE AIPMT",
    78→    78→      1989.0,
    79→    79→      null
    80→    80→    ]
    81→    81→  },
    82→    82→  {
    83→    83→    "sheet": "Class11",
    84→    84→    "row": 302,
    85→    85→    "data": [
    86→    86→      "Chemistry",
    87→    87→      3.0,
    88→    88→      "Chemical Bonding and Molecular Structure",
    89→    89→      "English",
    90→    90→      "Match List-I with List-II. List-I: A. PCl_{5}, B. SF_{6}, C. BrF_{5}, D. BF_{3}. List-II: I. Square pyramidal, II. Trigonal planar, III. Octahedral, IV. Trigonal bipyramidal.",
    91→    91→      "(a) IV III I II",
    92→    92→      "(b) III IV I II",
    93→    93→      "(c) IV III II I",
    94→    94→      "(d) III IV II I",
    95→    95→      1.0,
    96→    96→      "PCl_{5}: Trigonal bipyramidal (sp^{3}d); SF_{6}: Octahedral (sp^{3}d^{2}); BrF_{5}: Square pyramidal (sp^{3}d^{2}); BF_{3}: Trigonal planar (sp^{2}).",
    97→    97→      "NEET",
    98→    98→      2021.0,
    99→    99→      null
   100→   100→    ]
   101→   101→  },
   102→   102→  {
   103→   103→    "sheet": "Class11",
   104→   104→    "row": 303,
   105→   105→    "data": [
   106→   106→      "Chemistry",
   107→   107→      3.0,
   108→   108→      "Chemical Bonding and Molecular Structure",
   109→   109→      "English",
   110→   110→      "BF_{3} is planar and electron deficient compound. Hybridisation and number of electrons around the central atom, respectively are",
   111→   111→      "(a) sp^{3} and 4",
   112→   112→      "(b) sp and 6",
   113→   113→      "(c) sp^{2} and 6",
   114→   114→      "(d) sp^{2} and 8",
   115→   115→      3.0,
   116→   116→      "Boron in BF_{3} is sp^{2} hybridised (3 sigma bonds). Total valence electrons around B = 3 bonds × 2 = 6 electrons.",
   117→   117→      "NEET",
   118→   118→      2021.0,
   119→   119→      null
   120→   120→    ]
   121→   121→  },
   122→   122→  {
   123→   123→    "sheet": "Class11",
   124→   124→    "row": 304,
   125→   125→    "data": [
   126→   126→      "Chemistry",
   127→   127→      3.0,
   128→   128→      "Chemical Bonding and Molecular Structure",
   129→   129→      "English",
   130→   130→      "Match the coordination number and type of hybridisation with distribution of hybrid orbitals in space based on valence bond theory.",
   131→   131→      "(a) II III IV I",
   132→   132→      "(b) III IV I II",
   133→   133→      "(c) IV I II III",
   134→   134→      "(d) IV III I II",
   135→   135→      2.0,
