     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 193,
     5→     5→    "data": [
     6→     6→      "Chemistry",
     7→     7→      2.0,
     8→     8→      "परमाणु संरचना",
     9→     9→      "Hindi",
    10→    10→      "प्रयोगात्मक रूप से इलेक्ट्रॉन में तरंग गुण (wave properties) किसके द्वारा दिखाया गया था?",
    11→    11→      "(a) डी-ब्रोगली (de-Broglie)",
    12→    12→      "(b) एन बोर (N Bohr)",
    13→    13→      "(c) डेविसन और जर्मर (Davisson and Germer)",
    14→    14→      "(d) श्रोडिंगर (Schrödinger)",
    15→    15→      3.0,
    16→    16→      "डेविसन और जर्मर प्रयोग ने विवर्तन के माध्यम से इलेक्ट्रॉनों की तरंग प्रकृति की पुष्टि की।",
    17→    17→      "NEET",
    18→    18→      1994.0,
    19→    19→      null
    20→    20→    ]
    21→    21→  },
    22→    22→  {
    23→    23→    "sheet": "Class11",
    24→    24→    "row": 194,
    25→    25→    "data": [
    26→    26→      "Chemistry",
    27→    27→      2.0,
    28→    28→      "परमाणु संरचना",
    29→    29→      "Hindi",
    30→    30→      "3s कक्षक (orbital) में कोणीय नोड्स (angular nodes) और रेडियल नोड्स (radial nodes) की संख्या है:",
    31→    31→      "(a) क्रमशः 0 और 2",
    32→    32→      "(b) क्रमशः 1 और 0",
    33→    33→      "(c) क्रमशः 3 और 0",
    34→    34→      "(d) क्रमशः 0 और 1",
    35→    35→      1.0,
    36→    36→      "3s के लिए: n=3, l=0. कोणीय नोड्स = l = 0. रेडियल नोड्स = n - l - 1 = 3 - 0 - 1 = 2.",
    37→    37→      "NEET",
    38→    38→      2020.0,
    39→    39→      null
    40→    40→    ]
    41→    41→  },
    42→    42→  {
    43→    43→    "sheet": "Class11",
    44→    44→    "row": 195,
    45→    45→    "data": [
    46→    46→      "Chemistry",
    47→    47→      2.0,
    48→    48→      "परमाणु संरचना",
    49→    49→      "Hindi",
    50→    50→      "4d, 5p, 5f और 6p-कक्षकों (orbitals) को घटती ऊर्जा के क्रम में व्यवस्थित किया गया है। सही विकल्प है:",
    51→    51→      "(a) 6p>5f>5p>4d",
    52→    52→      "(b) 5p>5f>4d>5p",
    53→    53→      "(c) 5f>6p>4d>5p",
    54→    54→      "(d) 5f>6p>5p>4d",
    55→    55→      4.0,
    56→    56→      "(n+l) नियम का उपयोग करने पर: 4d (4+2=6), 5p (5+1=6), 5f (5+3=8), 6p (6+1=7). ऊर्जा क्रम: 5f > 6p > 5p > 4d.",
    57→    57→      "NEET",
    58→    58→      2019.0,
    59→    59→      null
    60→    60→    ]
    61→    61→  },
    62→    62→  {
    63→    63→    "sheet": "Class11",
    64→    64→    "row": 196,
    65→    65→    "data": [
    66→    66→      "Chemistry",
    67→    67→      2.0,
    68→    68→      "परमाणु संरचना",
    69→    69→      "Hindi",
    70→    70→      "3 कोणीय नोड्स (angular nodes) और 3 कुल नोड्स (total nodes) वाला कक्षक है:",
    71→    71→      "(a) 5p",
    72→    72→      "(b) 3d",
    73→    73→      "(c) 4f",
    74→    74→      "(d) 6d",
    75→    75→      3.0,
    76→    76→      "कोणीय नोड्स = l = 3 (का अर्थ है f-कक्षक)। कुल नोड्स = n - 1 = 3 \\Rightarrow n = 4. अतः, 4f कक्षक।",
    77→    77→      "NEET",
    78→    78→      2019.0,
    79→    79→      null
    80→    80→    ]
    81→    81→  },
    82→    82→  {
    83→    83→    "sheet": "Class11",
    84→    84→    "row": 197,
    85→    85→    "data": [
    86→    86→      "Chemistry",
    87→    87→      2.0,
    88→    88→      "परमाणु संरचना",
    89→    89→      "Hindi",
    90→    90→      "कौन सा कथन गलत है?",
    91→    91→      "(a) N-परमाणु का इलेक्ट्रॉनिक विन्यास 1s^2 2s^2 2p_x^1 2p_y^1 2p_z^1 है (आरेख 2p में विपरीत स्पिन दिखाता है)",
    92→    92→      "(b) एक कक्षक को तीन क्वांटम संख्याओं द्वारा नामित किया जाता है जबकि एक परमाणु में एक इलेक्ट्रॉन को चार क्वांटम संख्याओं द्वारा नामित किया जाता है",
    93→    93→      "(c) 's' कक्षक में इलेक्ट्रॉन का कुल कक्षीय कोणीय संवेग शून्य के बराबर होता है",
    94→    94→      "(d) d_{z^2} के लिए m का मान शून्य है",
    95→    95→      1.0,
    96→    96→      "विकल्प (a) 2p इलेक्ट्रॉनों को गैर-समानांतर स्पिन (एक ऊपर, एक नीचे, एक ऊपर) के साथ चित्रित करता है, जो हुंड के अधिकतम बहुलता के नियम (Hund's Rule) का उल्लंघन करता है।",
    97→    97→      "NEET",
    98→    98→      2018.0,
    99→    99→      null
   100→   100→    ]
   101→   101→  },
   102→   102→  {
   103→   103→    "sheet": "Class11",
   104→   104→    "row": 198,
   105→   105→    "data": [
   106→   106→      "Chemistry",
   107→   107→      2.0,
   108→   108→      "परमाणु संरचना",
   109→   109→      "Hindi",
   110→   110→      "एक ही कक्षक (orbital) में रहने वाले दो इलेक्ट्रॉनों को किसके द्वारा पहचाना (distinguished) जाता है?",
   111→   111→      "(a) चुंबकीय क्वांटम संख्या",
   112→   112→      "(b) दिगंशीय (Azimuthal) क्वांटम संख्या",
   113→   113→      "(c) स्पिन (Spin) क्वांटम संख्या",
   114→   114→      "(d) मुख्य क्वांटम संख्या",
   115→   115→      3.0,
   116→   116→      "पाउली अपवर्जन सिद्धांत कहता है कि किन्हीं दो इलेक्ट्रॉनों की 4 क्वांटम संख्याएँ समान नहीं हो सकतीं। एक ही कक्षक में, n, l, m समान होते हैं, इसलिए वे 's' (स्पिन) में भिन्न होते हैं।",
