     1→     1→{
     2→     2→ "batch": 15,
     3→     3→ "questions": [
     4→     4→  {
     5→     5→   "Subject": "Science",
     6→     6→   "Chapter No.": "4.0",
     7→     7→   "Chapter Name": "Carbon and its Compounds",
     8→     8→   "Medium": "English",
     9→     9→   "Question": "How many structural isomers are possible for Pentane ($C_5H_{12}$)?",
    10→    10→   "Option 1": "2.0",
    11→    11→   "Option 2": "3.0",
    12→    12→   "Option 3": "4.0",
    13→    13→   "Option 4": "5.0",
    14→    14→   "Correct Option": "2.0",
    15→    15→   "Explanation": "Pentane can exist in three forms: n-pentane (straight chain), isopentane (2-methylbutane), and neopentane (2,2-dimethylpropane).",
    16→    16→   "Exam": "CBSE",
    17→    17→   "Year": "2021.0",
    18→    18→   "_sheet_row": 702
    19→    19→  },
    20→    20→  {
    21→    21→   "Subject": "Science",
    22→    22→   "Chapter No.": "4.0",
    23→    23→   "Chapter Name": "Carbon and its Compounds",
    24→    24→   "Medium": "English",
    25→    25→   "Question": "A hydrocarbon 'P' decolourises bromine water but does not react with sodium metal. 'P' is likely to be:",
    26→    26→   "Option 1": "$C_2H_6$",
    27→    27→   "Option 2": "$C_2H_2$",
    28→    28→   "Option 3": "$C_2H_5OH$",
    29→    29→   "Option 4": "$CH_3COOH$",
    30→    30→   "Correct Option": "2.0",
    31→    31→   "Explanation": "Unsaturated hydrocarbons (like Ethyne) undergo addition reactions with Bromine, decolourising it. Unlike alcohols/acids, they do not react with Sodium metal to release Hydrogen.",
    32→    32→   "Exam": "CBSE",
    33→    33→   "Year": "2019.0",
    34→    34→   "_sheet_row": 703
    35→    35→  },
    36→    36→  {
    37→    37→   "Subject": "Science",
    38→    38→   "Chapter No.": "4.0",
    39→    39→   "Chapter Name": "Carbon and its Compounds",
    40→    40→   "Medium": "English",
    41→    41→   "Question": "What is the role of concentrated Sulphuric acid in the esterification reaction?",
    42→    42→   "Option 1": "Oxidising agent",
    43→    43→   "Option 2": "Dehydrating agent and Catalyst",
    44→    44→   "Option 3": "Reducing agent",
    45→    45→   "Option 4": "Solvent",
    46→    46→   "Correct Option": "2.0",
    47→    47→   "Explanation": "Conc. $H_2SO_4$ acts as a catalyst and also removes the water formed during the reaction, shifting the equilibrium to favour ester formation.",
    48→    48→   "Exam": "CBSE",
    49→    49→   "Year": "2022.0",
    50→    50→   "_sheet_row": 704
    51→    51→  },
    52→    52→  {
    53→    53→   "Subject": "Science",
    54→    54→   "Chapter No.": "4.0",
    55→    55→   "Chapter Name": "Carbon and its Compounds",
    56→    56→   "Medium": "English",
    57→    57→   "Question": "Which of the following carbon compounds has the highest boiling point?",
    58→    58→   "Option 1": "$CH_4$",
    59→    59→   "Option 2": "$CH_3CH_2OH$",
    60→    60→   "Option 3": "$CH_3COOH$",
    61→    61→   "Option 4": "$CH_3Cl$",
    62→    62→   "Correct Option": "3.0",
    63→    63→   "Explanation": "Ethanoic acid ($CH_3COOH$) has a higher boiling point than Ethanol due to stronger intermolecular Hydrogen bonding (formation of dimers).",
    64→    64→   "Exam": "CBSE",
    65→    65→   "Year": "2020.0",
    66→    66→   "_sheet_row": 705
    67→    67→  },
    68→    68→  {
    69→    69→   "Subject": "Science",
    70→    70→   "Chapter No.": "4.0",
    71→    71→   "Chapter Name": "Carbon and its Compounds",
    72→    72→   "Medium": "English",
    73→    73→   "Question": "An organic compound 'X' on heating with excess conc. $H_2SO_4$ at 443 K gives an unsaturated hydrocarbon 'Y'. 'X' also reacts with Sodium to evolve 'Z'. Identify 'X', 'Y' and 'Z'.",
    74→    74→   "Option 1": "Ethanol, Ethene, Hydrogen",
    75→    75→   "Option 2": "Ethanol, Ethane, Oxygen",
    76→    76→   "Option 3": "Ethanoic acid, Ethene, Hydrogen",
    77→    77→   "Option 4": "Methane, Ethene, Hydrogen",
    78→    78→   "Correct Option": "1.0",
    79→    79→   "Explanation": "Ethanol (X) dehydrates to Ethene (Y) at 443 K. Ethanol also reacts with Sodium to release Hydrogen gas (Z).",
    80→    80→   "Exam": "CBSE",
    81→    81→   "Year": "2023.0",
    82→    82→   "_sheet_row": 706
    83→    83→  },
    84→    84→  {
    85→    85→   "Subject": "Science",
    86→    86→   "Chapter No.": "4.0",
    87→    87→   "Chapter Name": "Carbon and its Compounds",
    88→    88→   "Medium": "English",
    89→    89→   "Question": "The structure of a soap micelle is such that:",
    90→    90→   "Option 1": "Heads are towards center, Tails outwards",
    91→    91→   "Option 2": "Tails are towards center, Heads outwards",
    92→    92→   "Option 3": "Both heads and tails are random",
    93→    93→   "Option 4": "Heads and tails are both in the center",
    94→    94→   "Correct Option": "2.0",
    95→    95→   "Explanation": "The hydrophobic (water-fearing) hydrocarbon tails aggregate in the center to avoid water, while the hydrophilic (water-loving) ionic heads face the water.",
    96→    96→   "Exam": "CBSE",
    97→    97→   "Year": "2018.0",
    98→    98→   "_sheet_row": 707
    99→    99→  },
   100→   100→  {
   101→   101→   "Subject": "Science",
   102→   102→   "Chapter No.": "4.0",
   103→   103→   "Chapter Name": "Carbon and its Compounds",
   104→   104→   "Medium": "English",
   105→   105→   "Question": "Which of the following will undergo addition reaction?",
   106→   106→   "Option 1": "$CH_4$",
   107→   107→   "Option 2": "$C_3H_8$",
   108→   108→   "Option 3": "$C_2H_6$",
   109→   109→   "Option 4": "$C_3H_6$",
   110→   110→   "Correct Option": "4.0",
   111→   111→   "Explanation": "Only unsaturated hydrocarbons (Alkenes and Alkynes) undergo addition reactions. $C_3H_6$ (Propene) is an alkene.",
   112→   112→   "Exam": "CBSE",
   113→   113→   "Year": "2021.0",
   114→   114→   "_sheet_row": 708
   115→   115→  },
   116→   116→  {
   117→   117→   "Subject": "Science",
   118→   118→   "Chapter No.": "4.0",
   119→   119→   "Chapter Name": "Carbon and its Compounds",
   120→   120→   "Medium": "English",
   121→   121→   "Question": "The gas produced by the action of Ethanoic acid on Baking soda is used for:",
   122→   122→   "Option 1": "Burning",
   123→   123→   "Option 2": "Extinguishing fire",
   124→   124→   "Option 3": "Respiration",
   125→   125→   "Option 4": "Photosynthesis",
   126→   126→   "Correct Option": "2.0",
   127→   127→   "Explanation": "The reaction produces $CO_2$ gas. Since $CO_2$ does not support combustion and is heavier than air, it is used to extinguish fires.",
   128→   128→   "Exam": "UP Board",
   129→   129→   "Year": "2019.0",
   130→   130→   "_sheet_row": 709
   131→   131→  },
   132→   132→  {
   133→   133→   "Subject": "Science",
   134→   134→   "Chapter No.": "4.0",
   135→   135→   "Chapter Name": "Carbon and its Compounds",
   136→   136→   "Medium": "English",
   137→   137→   "Question": "Denatured alcohol is prepared by adding which substance to ethanol?",
   138→   138→   "Option 1": "Water",
   139→   139→   "Option 2": "Methanol and Pyridine",
   140→   140→   "Option 3": "Glucose",
   141→   141→   "Option 4": "Ethanoic acid",
   142→   142→   "Correct Option": "2.0",
   143→   143→   "Explanation": "Ethanol is made unfit for drinking (denatured) by adding poisonous substances like Methanol or bad-smelling Pyridine to prevent industrial misuse.",
   144→   144→   "Exam": "CBSE",
   145→   145→   "Year": "2017.0",
   146→   146→   "_sheet_row": 710
   147→   147→  },
   148→   148→  {
   149→   149→   "Subject": "Science",
   150→   150→   "Chapter No.": "4.0",
   151→   151→   "Chapter Name": "Carbon and its Compounds",
   152→   152→   "Medium": "English",
   153→   153→   "Question": "Which of the following represents the correct electron dot structure of Ethyne ($C_2H_2$)?",
   154→   154→   "Option 1": "Two carbons sharing 1 pair",
   155→   155→   "Option 2": "Two carbons sharing 2 pairs",
   156→   156→   "Option 3": "Two carbons sharing 3 pairs",
   157→   157→   "Option 4": "Two carbons sharing 4 pairs",
   158→   158→   "Correct Option": "3.0",
   159→   159→   "Explanation": "In Ethyne ($HC \\equiv CH$), the two carbon atoms share three pairs of electrons to form a triple bond.",
   160→   160→   "Exam": "CBSE",
   161→   161→   "Year": "2022.0",
   162→   162→   "_sheet_row": 711
   163→   163→  },
   164→   164→  {
   165→   165→   "Subject": "Science",
   166→   166→   "Chapter No.": "4.0",
   167→   167→   "Chapter Name": "Carbon and its Compounds",
   168→   168→   "Medium": "English",
   169→   169→   "Question": "The correct IUPAC name of the compound $CH_3-CH(OH)-CH_3$ is:",
   170→   170→   "Option 1": "Propan-1-ol",
   171→   171→   "Option 2": "Propan-2-ol",
   172→   172→   "Option 3": "Propanone",
   173→   173→   "Option 4": "Isopropanol",
   174→   174→   "Correct Option": "2.0",
   175→   175→   "Explanation": "The longest chain has 3 carbons (Prop-), all single bonds (-an-), and a hydroxyl group on the second carbon (-2-ol).",
   176→   176→   "Exam": "HBSE",
   177→   177→   "Year": "2021.0",
   178→   178→   "_sheet_row": 712
   179→   179→  },
   180→   180→  {
   181→   181→   "Subject": "Science",
   182→   182→   "Chapter No.": "4.0",
   183→   183→   "Chapter Name": "Carbon and its Compounds",
   184→   184→   "Medium": "English",
   185→   185→   "Question": "What happens when Ethanol reacts with alkaline $KMnO_4$?",
   186→   186→   "Option 1": "It gets reduced to Ethane",
   187→   187→   "Option 2": "It gets oxidised to Ethanoic acid",
   188→   188→   "Option 3": "No reaction occurs",
   189→   189→   "Option 4": "It burns to form $CO_2$",
   190→   190→   "Correct Option": "2.0",
   191→   191→   "Explanation": "Alkaline $KMnO_4$ is a strong oxidising agent that converts the $-CH_2OH$ group into a $-COOH$ group.",
   192→   192→   "Exam": "CBSE",
   193→   193→   "Year": "2020.0",
   194→   194→   "_sheet_row": 713
   195→   195→  },
   196→   196→  {
   197→   197→   "Subject": "Science",
   198→   198→   "Chapter No.": "4.0",
   199→   199→   "Chapter Name": "Carbon and its Compounds",
   200→   200→   "Medium": "English",
   201→   201→   "Question": "Soaps do not work in hard water because they form an insoluble precipitate called:",
   202→   202→   "Option 1": "Micelle",
   203→   203→   "Option 2": "Foam",
   204→   204→   "Option 3": "Scum",
   205→   205→   "Option 4": "Lather",
   206→   206→   "Correct Option": "3.0",
   207→   207→   "Explanation": "Soap reacts with Calcium and Magnesium salts in hard water to form an insoluble greyish substance called scum.",
   208→   208→   "Exam": "CBSE",
   209→   209→   "Year": "2021.0",
   210→   210→   "_sheet_row": 714
   211→   211→  },
   212→   212→  {
   213→   213→   "Subject": "Science",
   214→   214→   "Chapter No.": "4.0",
   215→   215→   "Chapter Name": "Carbon and its Compounds",
   216→   216→   "Medium": "English",
   217→   217→   "Question": "A compound 'X' has molecular formula $C_2H_4O_2$. It gives brisk effervescence with sodium carbonate. 'X' is:",
   218→   218→   "Option 1": "Ethanol",
   219→   219→   "Option 2": "Ethanal",
   220→   220→   "Option 3": "Ethanoic acid",
   221→   221→   "Option 4": "Methyl Methanoate",
   222→   222→   "Correct Option": "3.0",
   223→   223→   "Explanation": "Brisk effervescence with carbonates is a test for carboxylic acids. $C_2H_4O_2$ corresponds to $CH_3COOH$ (Ethanoic acid).",
   224→   224→   "Exam": "CBSE",
   225→   225→   "Year": "2023.0",
   226→   226→   "_sheet_row": 715
   227→   227→  },
   228→   228→  {
   229→   229→   "Subject": "Science",
   230→   230→   "Chapter No.": "4.0",
   231→   231→   "Chapter Name": "Carbon and its Compounds",
   232→   232→   "Medium": "English",
   233→   233→   "Question": "Which of the following is used in the manufacture of perfumes and as a flavoring agent?",
   234→   234→   "Option 1": "Ethane",
   235→   235→   "Option 2": "Methane",
   236→   236→   "Option 3": "Ester",
   237→   237→   "Option 4": "Ethanoic acid",
   238→   238→   "Correct Option": "3.0",
   239→   239→   "Explanation": "Esters have pleasant, fruity smells and are used extensively in the perfume and food industries.",
   240→   240→   "Exam": "CBSE",
   241→   241→   "Year": "2019.0",
   242→   242→   "_sheet_row": 716
   243→   243→  },
   244→   244→  {
   245→   245→   "Subject": "Science",
   246→   246→   "Chapter No.": "4.0",
   247→   247→   "Chapter Name": "Carbon and its Compounds",
   248→   248→   "Medium": "English",
   249→   249→   "Question": "Carbon cannot form $C^{4+}$ cation because:",
   250→   250→   "Option 1": "It requires huge energy to remove 4 electrons",
   251→   251→   "Option 2": "It gains stability by losing electrons",
   252→   252→   "Option 3": "It has high electronegativity",
   253→   253→   "Option 4": "None of the above",
   254→   254→   "Correct Option": "1.0",
   255→   255→   "Explanation": "Removing four electrons from a carbon atom requires a very large amount of energy, which is not available under normal conditions.",
   256→   256→   "Exam": "CBSE",
   257→   257→   "Year": "2022.0",
   258→   258→   "_sheet_row": 717
   259→   259→  },
   260→   260→  {
   261→   261→   "Subject": "Science",
   262→   262→   "Chapter No.": "4.0",
   263→   263→   "Chapter Name": "Carbon and its Compounds",
   264→   264→   "Medium": "English",
   265→   265→   "Question": "The melting point of Diamond is very high because:",
   266→   266→   "Option 1": "It is a metal",
   267→   267→   "Option 2": "It has strong covalent network structure",
   268→   268→   "Option 3": "It has van der Waals forces",
   269→   269→   "Option 4": "It is made of Carbon",
   270→   270→   "Correct Option": "2.0",
   271→   271→   "Explanation": "In diamond, each carbon is tetrahedrally bonded to four others by strong covalent bonds, creating a rigid 3D structure.",
   272→   272→   "Exam": "Bihar Board",
   273→   273→   "Year": "2022.0",
   274→   274→   "_sheet_row": 718
   275→   275→  },
   276→   276→  {
   277→   277→   "Subject": "Science",
   278→   278→   "Chapter No.": "4.0",
   279→   279→   "Chapter Name": "Carbon and its Compounds",
   280→   280→   "Medium": "English",
   281→   281→   "Question": "Which of the following belongs to the same homologous series as $C_3H_4$?",
   282→   282→   "Option 1": "$C_2H_6$",
   283→   283→   "Option 2": "$C_2H_2$",
   284→   284→   "Option 3": "$C_3H_6$",
   285→   285→   "Option 4": "$C_4H_{10}$",
   286→   286→   "Correct Option": "2.0",
   287→   287→   "Explanation": "$C_3H_4$ (Propyne) is an alkyne ($C_nH_{2n-2}$). $C_2H_2$ (Ethyne) also belongs to the alkyne series.",
   288→   288→   "Exam": "CBSE",
   289→   289→   "Year": "2018.0",
   290→   290→   "_sheet_row": 719
   291→   291→  },
   292→   292→  {
   293→   293→   "Subject": "Science",
   294→   294→   "Chapter No.": "4.0",
   295→   295→   "Chapter Name": "Carbon and its Compounds",
   296→   296→   "Medium": "English",
   297→   297→   "Question": "Glacial acetic acid is:",
   298→   298→   "Option 1": "Frozen Ethanol",
   299→   299→   "Option 2": "100% pure Ethanoic acid",
   300→   300→   "Option 3": "Dilute Acetic acid",
   301→   301→   "Option 4": "Vinegar",
   302→   302→   "Correct Option": "2.0",
   303→   303→   "Explanation": "Pure ethanoic acid has a melting point of 290 K and often freezes in cold climates, looking like a glacier, hence the name.",
   304→   304→   "Exam": "CBSE",
   305→   305→   "Year": "2021.0",
   306→   306→   "_sheet_row": 720
   307→   307→  },
   308→   308→  {
   309→   309→   "Subject": "Science",
   310→   310→   "Chapter No.": "4.0",
   311→   311→   "Chapter Name": "Carbon and its Compounds",
   312→   312→   "Medium": "English",
   313→   313→   "Question": "Addition of Chlorine to Methane is a:",
