     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 3090,
     5→     5→    "data": [
     6→     6→      "Biology",
     7→     7→      3.0,
     8→     8→      "Plant Kingdom",
     9→     9→      "English",
    10→    10→      "Which one of the following is a correct statement?",
    11→    11→      "Pteridophyte gametophyte has a protonemal and leafy stage",
    12→    12→      "In gymnosperms female gametophyte is free-living",
    13→    13→      "Antheridiophores and archegoniophores are present in pteridophytes",
    14→    14→      "Origin of seed habit can be traced in pteridophytes",
    15→    15→      4.0,
    16→    16→      "Origin of seed habitat can be traced in pteridophytes. Some pteridophytes like Selaginella and Salvinia are heterosporous as they produce two kinds of spores micro (small) spores and macro (large) spores, which germinate and give rise to male and female gametophyte respectively. The female gametophyte in these plants are retained on the parent sporophytes for variable periods. The development of the zygote into young embryos takes place within the female gametophyte. This event is the precursor to the seed habit and considered to an important step in evolution.",
    17→    17→      "NEET",
    18→    18→      2013.0,
    19→    19→      null,
    20→    20→      null
    21→    21→    ]
    22→    22→  },
    23→    23→  {
    24→    24→    "sheet": "Class11",
    25→    25→    "row": 3091,
    26→    26→    "data": [
    27→    27→      "Biology",
    28→    28→      3.0,
    29→    29→      "Plant Kingdom",
    30→    30→      "English",
    31→    31→      "Which one of the following is a vascular cryptogam?",
    32→    32→      "Equisetum",
    33→    33→      "Ginkgo",
    34→    34→      "Marchantia",
    35→    35→      "Cedrus",
    36→    36→      1.0,
    37→    37→      "Pteridophytes are also called vascular cryptogams as these have a well developed vascular system but are non-flowering plants. e.g. Equisetum.",
    38→    38→      "CBSE AIPMT",
    39→    39→      2009.0,
    40→    40→      null,
    41→    41→      null
    42→    42→    ]
    43→    43→  },
    44→    44→  {
    45→    45→    "sheet": "Class11",
    46→    46→    "row": 3092,
    47→    47→    "data": [
    48→    48→      "Biology",
    49→    49→      3.0,
    50→    50→      "Plant Kingdom",
    51→    51→      "English",
    52→    52→      "In which one of the following, male and female gametophytes don’t have free living independent existence?",
    53→    53→      "Pteris",
    54→    54→      "Funaria",
    55→    55→      "Polytrichum",
    56→    56→      "Cedrus",
    57→    57→      1.0,
    58→    58→      "In Pteris (also Dryopteris) the spore germinates to produce the prothallus. The prothallus is a small, green flat, surface loving, thallus-like object. It is monoecious and bears sex organs on the ventral side. The antheridia (male sex organs) arise among the rhizoids towards the posterior side of the prothallus and are emergent. The archegonia develop in central cushion behind the apical notch. In these plants male and female, gametophytes do have free living independent existence. All species of Polytrichum are dioecious. The antheridia and archegonia are borne on different gametophore. The plant body is an erect leafy shoot but is not the entire gametophyte. The leafy shoot arise from protonema (the juvenile stage). The leafy gametophore of Funaria reproduces sexually by formation of antheridia and archegonia. The antheridia are formed at the summit of a relatively small, thin, leafy shoot, which develops first. The female branch arises later as a lateral outgrowth from the base of parent male shoot. Cedrus is a gymnosperm in which main plant body is a sporophyte on which reduced type of gametophytes are formed.",
    59→    59→      "CBSE AIPMT",
    60→    60→      2008.0,
    61→    61→      null,
    62→    62→      null
    63→    63→    ]
    64→    64→  },
    65→    65→  {
    66→    66→    "sheet": "Class11",
    67→    67→    "row": 3093,
    68→    68→    "data": [
    69→    69→      "Biology",
    70→    70→      3.0,
    71→    71→      "Plant Kingdom",
    72→    72→      "English",
    73→    73→      "Which one of the following is heterosporous?",
    74→    74→      "Dryopteris",
    75→    75→      "Salvinia",
    76→    76→      "Adiantum",
    77→    77→      "Equisetum",
    78→    78→      2.0,
    79→    79→      "From the following Salvinia is heterosporous. Heterospory is the production of spores of two different sizes and two different developmental patterns. Small spores are called microspores and larger as megaspore. Microspores germinate to produce the male gametophyte or microgametophyte that bear male sex organs while, megaspore germinates to form female gametophyte or megagametophyte that bears archegonia or female sex organs. It is most important evolutionary development in the vascular plants because it has ultimately lead to seed development, e.g. Selaginella, Marselia, Salvinia, Azolla, Isoetes. Dryopteris is homosporous and 32–64 haploid spores are produced in each sporangium. Adiantum is also homosporous. The spores are the pioneer structures of the gametophytic generation.",
    80→    80→      "CBSE AIPMT",
    81→    81→      2008.0,
    82→    82→      null,
    83→    83→      null
    84→    84→    ]
    85→    85→  },
    86→    86→  {
    87→    87→    "sheet": "Class11",
    88→    88→    "row": 3094,
    89→    89→    "data": [
    90→    90→      "Biology",
    91→    91→      3.0,
    92→    92→      "Plant Kingdom",
    93→    93→      "English",
    94→    94→      "Which of the following propagates through leaf-tip?",
    95→    95→      "Walking fern",
    96→    96→      "Sproux-leaf plant",
    97→    97→      "Marchantia",
    98→    98→      "Moss",
    99→    99→      1.0,
   100→   100→      "Adiantum is also called walking fern. In Adiantum the tips of the leaves, on coming in contact with the soil, give out adventitious roots which, in turn, produce new leaves and develop into new plants.",
   101→   101→      "CBSE AIPMT",
   102→   102→      2004.0,
   103→   103→      null,
   104→   104→      null
   105→   105→    ]
   106→   106→  },
   107→   107→  {
   108→   108→    "sheet": "Class11",
   109→   109→    "row": 3095,
   110→   110→    "data": [
   111→   111→      "Biology",
   112→   112→      3.0,
   113→   113→      "Plant Kingdom",
   114→   114→      "English",
   115→   115→      "Which one the following pairs of plants are not seed producers?",
   116→   116→      "Ficus and Chlamydomonas",
   117→   117→      "Punica and Pinus",
   118→   118→      "Fern and Funaria",
   119→   119→      "Funaria and Ficus",
   120→   120→      3.0,
   121→   121→      "Fern is a pteridophyte and Funaria is a bryophyte, both these produce spores but not seeds. Phanerogams is a group of plants which produce seeds and flowers. It includes gymnospermic and angiospermic plants. While cryptogams is another group of plants which do not produce seeds and flowers, e.g. algae, fungi, bryophytes and pteridophytes.",
   122→   122→      "CBSE AIPMT",
