     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 1467,
     5→     5→    "data": [
     6→     6→      "Biology",
     7→     7→      3.0,
     8→     8→      "Plant Kingdom",
     9→     9→      "English",
    10→    10→      "Which one has the largest gametophyte?",
    11→    11→      "(a) Cycas",
    12→    12→      "(b) Angiosperm",
    13→    13→      "(c) Selaginella",
    14→    14→      "(d) Moss",
    15→    15→      4.0,
    16→    16→      "Moss has the largest gametophyte. As one moves from thallophyte to angiosperms, there is reduction in the gametophyte.",
    17→    17→      "CBSE AIPMT",
    18→    18→      1991.0,
    19→    19→      null
    20→    20→    ]
    21→    21→  },
    22→    22→  {
    23→    23→    "sheet": "Class11",
    24→    24→    "row": 1468,
    25→    25→    "data": [
    26→    26→      "Biology",
    27→    27→      3.0,
    28→    28→      "Plant Kingdom",
    29→    29→      "English",
    30→    30→      "Bryophytes are amphibians because",
    31→    31→      "(a) they require a layer of water for carrying out sexual reproduction",
    32→    32→      "(b) they occur in damp places",
    33→    33→      "(c) they are mostly aquatic",
    34→    34→      "(d) All of the above",
    35→    35→      1.0,
    36→    36→      "As vascular tissues are absent, male gametes require a layer of water for swimming and fertilisation.",
    37→    37→      "CBSE AIPMT",
    38→    38→      "1991, 96",
    39→    39→      null
    40→    40→    ]
    41→    41→  },
    42→    42→  {
    43→    43→    "sheet": "Class11",
    44→    44→    "row": 1469,
    45→    45→    "data": [
    46→    46→      "Biology",
    47→    47→      3.0,
    48→    48→      "Plant Kingdom",
    49→    49→      "English",
    50→    50→      "Apophysis in the capsule of Funaria is",
    51→    51→      "(a) lower part",
    52→    52→      "(b) upper part",
    53→    53→      "(c) middle part",
    54→    54→      "(d) fertile part",
    55→    55→      1.0,
    56→    56→      "Capsule of Funaria is differentiated into operculum, theca and apophysis (sterile, solid basal portion).",
    57→    57→      "CBSE AIPMT",
    58→    58→      1990.0,
    59→    59→      null
    60→    60→    ]
    61→    61→  },
    62→    62→  {
    63→    63→    "sheet": "Class11",
    64→    64→    "row": 1470,
    65→    65→    "data": [
    66→    66→      "Biology",
    67→    67→      3.0,
    68→    68→      "Plant Kingdom",
    69→    69→      "English",
    70→    70→      "Moss peristome takes part in",
    71→    71→      "(a) spore dispersal",
    72→    72→      "(b) photosynthesis",
    73→    73→      "(c) protection",
    74→    74→      "(d) absorption",
    75→    75→      1.0,
    76→    76→      "Peristome functions in the dispersal of the spores.",
    77→    77→      "CBSE AIPMT",
    78→    78→      1990.0,
    79→    79→      null
    80→    80→    ]
    81→    81→  },
    82→    82→  {
    83→    83→    "sheet": "Class11",
    84→    84→    "row": 1471,
    85→    85→    "data": [
    86→    86→      "Biology",
    87→    87→      3.0,
    88→    88→      "Plant Kingdom",
    89→    89→      "English",
    90→    90→      "Protonema occurs in the life cycle of",
    91→    91→      "(a) Riccia",
    92→    92→      "(b) Funaria",
    93→    93→      "(c) Chlamydomonas",
    94→    94→      "(d) Spirogyra",
    95→    95→      2.0,
    96→    96→      "Protonema represents the juvenile stage of moss (Funaria). It is formed by the germination of spores.",
    97→    97→      "CBSE AIPMT",
    98→    98→      "1990, 93",
    99→    99→      null
   100→   100→    ]
   101→   101→  },
   102→   102→  {
   103→   103→    "sheet": "Class11",
   104→   104→    "row": 1472,
   105→   105→    "data": [
   106→   106→      "Biology",
   107→   107→      3.0,
   108→   108→      "Plant Kingdom",
   109→   109→      "English",
   110→   110→      "Sperms of both Funaria and Pteris were released together near the archegonia of Pteris. Only Pteris sperms enter the archegonia as",
   111→   111→      "(a) Pteris archegonia repel Funaria sperms",
   112→   112→      "(b) Funaria sperms get killed by Pteris sperms",
   113→   113→      "(c) Funaria sperms are less mobile",
   114→   114→      "(d) Pteris archegonia release chemical to attract its sperms",
   115→   115→      4.0,
   116→   116→      "Sperms are attracted by the chemical diffusing into the water from the mucilage exuded by the open necks of archegonia.",
   117→   117→      "CBSE AIPMT",
   118→   118→      1989.0,
   119→   119→      null
   120→   120→    ]
   121→   121→  },
   122→   122→  {
   123→   123→    "sheet": "Class11",
   124→   124→    "row": 1473,
   125→   125→    "data": [
   126→   126→      "Biology",
   127→   127→      3.0,
   128→   128→      "Plant Kingdom",
   129→   129→      "English",
   130→   130→      "In bryophytes and pteridophytes, transport of male gametes requires",
   131→   131→      "(a) insects",
   132→   132→      "(b) birds",
   133→   133→      "(c) water",
   134→   134→      "(d) wind",
   135→   135→      3.0,
   136→   136→      "In bryophytes and pteridophytes, water is the medium through which male gametes are transferred to the female reproductive organ.",
   137→   137→      "NEET, Phase I",
   138→   138→      " 2016,  ",
   139→   139→      null
   140→   140→    ]
   141→   141→  },
   142→   142→  {
   143→   143→    "sheet": "Class11",
   144→   144→    "row": 1475,
   145→   145→    "data": [
   146→   146→      "Biology",
   147→   147→      3.0,
   148→   148→      "वनस्पति जगत",
   149→   149→      "Hindi",
   150→   150→      "कुछ liverworts में बीजाणु प्रसार (Spore dissemination) किसके द्वारा सहायता प्राप्त करता है?",
   151→   151→      "(a) elaters",
   152→   152→      "(b) indusium",
   153→   153→      "(c) calyptra",
   154→   154→      "(d) peristome teeth",
   155→   155→      1.0,
   156→   156→      "Elaters प्रकृति में आर्द्रग्राही (hygroscopic) होते हैं और बीजाणुओं के प्रसार में मदद करते हैं।",
   157→   157→      "CBSE AIPMT",
   158→   158→      2007.0,
   159→   159→      null
   160→   160→    ]
   161→   161→  },
   162→   162→  {
   163→   163→    "sheet": "Class11",
   164→   164→    "row": 1476,
   165→   165→    "data": [
   166→   166→      "Biology",
   167→   167→      3.0,
