     1→     1→{
     2→     2→ "batch": 18,
     3→     3→ "questions": [
     4→     4→  {
     5→     5→   "Subject": "SST",
     6→     6→   "Chapter No.": "1.0",
     7→     7→   "Chapter Name": "यूरोप में राष्ट्रवाद का उदय",
     8→     8→   "Medium": "Hindi",
     9→     9→   "Question": "सार्डिनिया-पीडमोंट का वह मुख्यमंत्री कौन था जिसने इटली के एकीकरण आंदोलन का नेतृत्व किया?",
    10→    10→   "Option 1": "जूसेपे मेत्सिनी",
    11→    11→   "Option 2": "काउंट कावूर",
    12→    12→   "Option 3": "जूसेपे गैरीबाल्डी",
    13→    13→   "Option 4": "विक्टर इमानुएल",
    14→    14→   "Correct Option": "2.0",
    15→    15→   "Explanation": "कावूर एक राजनयिक था जिसने ऑस्ट्रियाई सेना को हराने के लिए फ्रांस के साथ एक चतुर कूटनीतिक गठबंधन किया था।",
    16→    16→   "Exam": "CBSE",
    17→    17→   "Year": "2012.0",
    18→    18→   "_sheet_row": 852
    19→    19→  },
    20→    20→  {
    21→    21→   "Subject": "SST",
    22→    22→   "Chapter No.": "1.0",
    23→    23→   "Chapter Name": "यूरोप में राष्ट्रवाद का उदय",
    24→    24→   "Medium": "Hindi",
    25→    25→   "Question": "1848 में फ्रैंकफर्ट संसद कहाँ आयोजित की गई थी?",
    26→    26→   "Option 1": "वर्साय के महल में",
    27→    27→   "Option 2": "हॉल ऑफ मिरर्स में",
    28→    28→   "Option 3": "सेंट पॉल चर्च में",
    29→    29→   "Option 4": "सिटी हॉल में",
    30→    30→   "Correct Option": "3.0",
    31→    31→   "Explanation": "1848 में, 831 निर्वाचित प्रतिनिधि सेंट पॉल चर्च में आयोजित फ्रैंकफर्ट संसद में अपना स्थान लेने के लिए जुलूस में शामिल हुए।",
    32→    32→   "Exam": "CBSE",
    33→    33→   "Year": "2011.0",
    34→    34→   "_sheet_row": 853
    35→    35→  },
    36→    36→  {
    37→    37→   "Subject": "SST",
    38→    38→   "Chapter No.": "1.0",
    39→    39→   "Chapter Name": "यूरोप में राष्ट्रवाद का उदय",
    40→    40→   "Medium": "Hindi",
    41→    41→   "Question": "एले' (Elle) किसका प्रतीक था?",
    42→    42→   "Option 1": "वजन का माप",
    43→    43→   "Option 2": "कपड़े का माप",
    44→    44→   "Option 3": "तरल का माप",
    45→    45→   "Option 4": "दूरी का माप",
    46→    46→   "Correct Option": "2.0",
    47→    47→   "Explanation": "एले' कपड़े को मापने की एक इकाई थी, जिसकी लंबाई जर्मन परिसंघ के एक क्षेत्र से दूसरे क्षेत्र में भिन्न होती थी।",
    48→    48→   "Exam": "CBSE",
    49→    49→   "Year": "2018.0",
    50→    50→   "_sheet_row": 854
    51→    51→  },
    52→    52→  {
    53→    53→   "Subject": "SST",
    54→    54→   "Chapter No.": "1.0",
    55→    55→   "Chapter Name": "यूरोप में राष्ट्रवाद का उदय",
    56→    56→   "Medium": "Hindi",
    57→    57→   "Question": "कौन सी महिला आकृति जर्मन राष्ट्र का रूपक बनी?",
    58→    58→   "Option 1": "मारिएन",
    59→    59→   "Option 2": "जर्मेनिया",
    60→    60→   "Option 3": "ब्रिटानिया",
    61→    61→   "Option 4": "विक्टोरिया",
    62→    62→   "Correct Option": "2.0",
    63→    63→   "Explanation": "जर्मेनिया शाहबलूत (ओक) के पत्तों का मुकुट पहनती है, क्योंकि जर्मन ओक वीरता का प्रतीक है।",
    64→    64→   "Exam": "CBSE",
    65→    65→   "Year": "2015.0",
    66→    66→   "_sheet_row": 855
    67→    67→  },
    68→    68→  {
    69→    69→   "Subject": "SST",
    70→    70→   "Chapter No.": "1.0",
    71→    71→   "Chapter Name": "यूरोप में राष्ट्रवाद का उदय",
    72→    72→   "Medium": "Hindi",
    73→    73→   "Question": "गुप्त संगठन 'यंग इटली' की स्थापना किसने की?",
    74→    74→   "Option 1": "मेटरनिख",
    75→    75→   "Option 2": "जूसेपे मेत्सिनी",
    76→    76→   "Option 3": "लॉर्ड बायरन",
    77→    77→   "Option 4": "जोहान गॉटफ्रीड",
    78→    78→   "Correct Option": "2.0",
    79→    79→   "Explanation": "मेत्सिनी ने अपने क्रांतिकारी विचारों को फैलाने के लिए मार्सिले में 'यंग इटली' और बर्न में 'यंग यूरोप' की स्थापना की।",
    80→    80→   "Exam": "Bihar Board",
    81→    81→   "Year": "2021.0",
    82→    82→   "_sheet_row": 856
    83→    83→  },
    84→    84→  {
    85→    85→   "Subject": "SST",
    86→    86→   "Chapter No.": "1.0",
    87→    87→   "Chapter Name": "यूरोप में राष्ट्रवाद का उदय",
    88→    88→   "Medium": "Hindi",
    89→    89→   "Question": "किस संधि ने ग्रीस (यूनान) को एक स्वतंत्र राष्ट्र के रूप में मान्यता दी?",
    90→    90→   "Option 1": "वर्साय की संधि",
    91→    91→   "Option 2": "कुस्तुनतुनिया की संधि",
    92→    92→   "Option 3": "वियना की संधि",
    93→    93→   "Option 4": "फ्रैंकफर्ट की संधि",
    94→    94→   "Correct Option": "2.0",
    95→    95→   "Explanation": "1832 की कुस्तुनतुनिया की संधि ने यूनानी स्वतंत्रता संग्राम के बाद ग्रीस को एक स्वतंत्र राष्ट्र के रूप में मान्यता दी।",
    96→    96→   "Exam": "CBSE",
    97→    97→   "Year": "2016.0",
    98→    98→   "_sheet_row": 857
    99→    99→  },
   100→   100→  {
   101→   101→   "Subject": "SST",
   102→   102→   "Chapter No.": "1.0",
   103→   103→   "Chapter Name": "यूरोप में राष्ट्रवाद का उदय",
   104→   104→   "Medium": "Hindi",
   105→   105→   "Question": "टूटी हुई जंजीर' किसका प्रतीक है?",
   106→   106→   "Option 1": "गुलामी",
   107→   107→   "Option 2": "शक्ति",
   108→   108→   "Option 3": "आज़ादी मिलना",
   109→   109→   "Option 4": "नए युग की शुरुआत",
   110→   110→   "Correct Option": "3.0",
   111→   111→   "Explanation": "उस समय के दृश्यों में, टूटी हुई जंजीरें मुक्त होने या आज़ादी मिलने के कार्य का प्रतीक थीं।",
   112→   112→   "Exam": "CBSE",
   113→   113→   "Year": "2019.0",
   114→   114→   "_sheet_row": 858
   115→   115→  },
   116→   116→  {
   117→   117→   "Subject": "SST",
   118→   118→   "Chapter No.": "1.0",
   119→   119→   "Chapter Name": "यूरोप में राष्ट्रवाद का उदय",
   120→   120→   "Medium": "Hindi",
   121→   121→   "Question": "जर्मनी के एकीकरण के लिए कौन जिम्मेदार था?",
   122→   122→   "Option 1": "काउंट कावूर",
   123→   123→   "Option 2": "ओटो वॉन बिस्मार्क",
   124→   124→   "Option 3": "नेपोलियन",
   125→   125→   "Option 4": "मेत्सिनी",
   126→   126→   "Correct Option": "2.0",
   127→   127→   "Explanation": "बिस्मार्क को जर्मन एकीकरण का वास्तुकार माना जाता है, जिन्होंने प्रशिया की सेना की मदद से इस प्रक्रिया को पूरा किया।",
   128→   128→   "Exam": "UP Board",
   129→   129→   "Year": "2019.0",
   130→   130→   "_sheet_row": 859
   131→   131→  },
   132→   132→  {
   133→   133→   "Subject": "SST",
   134→   134→   "Chapter No.": "1.0",
   135→   135→   "Chapter Name": "Rise of Nationalism in Europe",
   136→   136→   "Medium": "English",
   137→   137→   "Question": "Who was proclaimed German Emperor in a ceremony held at Versailles in January 1871?",
   138→   138→   "Option 1": "Kaiser William I",
   139→   139→   "Option 2": "Victor Emmanuel II",
   140→   140→   "Option 3": "Louis Philippe",
   141→   141→   "Option 4": "Mazzini",
   142→   142→   "Correct Option": "1.0",
   143→   143→   "Explanation": "Following the Prussian victory over France, the German princes and Otto von Bismarck gathered in the Hall of Mirrors at Versailles to proclaim Kaiser William I of Prussia as the German Emperor.",
   144→   144→   "Exam": "CBSE",
   145→   145→   "Year": "2023.0",
   146→   146→   "_sheet_row": 860
   147→   147→  },
   148→   148→  {
   149→   149→   "Subject": "SST",
   150→   150→   "Chapter No.": "1.0",
   151→   151→   "Chapter Name": "Rise of Nationalism in Europe",
