     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 1099,
     5→     5→    "data": [
     6→     6→      "Biology",
     7→     7→      1.0,
     8→     8→      "The Living World",
     9→     9→      "English",
    10→    10→      "There is no life on moon due to the absence of",
    11→    11→      "(a) O2",
    12→    12→      "(b) water",
    13→    13→      "(c) light",
    14→    14→      "(d) temperature",
    15→    15→      2.0,
    16→    16→      "Water is an essential constituent of cytoplasm of all living organisms. It is absent on the moon.",
    17→    17→      "CBSE AIPMT",
    18→    18→      2002.0,
    19→    19→      null
    20→    20→    ]
    21→    21→  },
    22→    22→  {
    23→    23→    "sheet": "Class11",
    24→    24→    "row": 1100,
    25→    25→    "data": [
    26→    26→      "Biology",
    27→    27→      1.0,
    28→    28→      "The Living World",
    29→    29→      "English",
    30→    30→      "The most important feature of all living systems is to",
    31→    31→      "(a) utilise oxygen to generate energy",
    32→    32→      "(b) replicate the genetic information",
    33→    33→      "(c) produce gametes",
    34→    34→      "(d) utilise solar energy for metabolic activities",
    35→    35→      2.0,
    36→    36→      "Reproduction is necessary for continuity of life. In any case, cell division is necessary which involves replication of DNA.",
    37→    37→      "CBSE AIPMT",
    38→    38→      2000.0,
    39→    39→      null
    40→    40→    ]
    41→    41→  },
    42→    42→  {
    43→    43→    "sheet": "Class11",
    44→    44→    "row": 1101,
    45→    45→    "data": [
    46→    46→      "Biology",
    47→    47→      1.0,
    48→    48→      "The Living World",
    49→    49→      "English",
    50→    50→      "Homeostasis is",
    51→    51→      "(a) tendency to change with change in environment",
    52→    52→      "(b) tendency to resist change",
    53→    53→      "(c) disturbance in regulatory control",
    54→    54→      "(d) plants and animals extracts used in homeopathy",
    55→    55→      2.0,
    56→    56→      "Homeostasis is the tendency of maintaining a relatively stable internal physiological environment in an organism, or steady-state equilibrium.",
    57→    57→      "CBSE AIPMT",
    58→    58→      1991.0,
    59→    59→      null
    60→    60→    ]
    61→    61→  },
    62→    62→  {
    63→    63→    "sheet": "Class11",
    64→    64→    "row": 1102,
    65→    65→    "data": [
    66→    66→      "Biology",
    67→    67→      1.0,
    68→    68→      "The Living World",
    69→    69→      "English",
    70→    70→      "Employment of hereditary principles in the improvement of human race is",
    71→    71→      "(a) Euthenics",
    72→    72→      "(b) Eugenics",
    73→    73→      "(c) Euphenics",
    74→    74→      "(d) Ethnology",
    75→    75→      2.0,
    76→    76→      "Eugenics refers to improvement of human race by modifying fertility or employing the hereditary principles.",
    77→    77→      "CBSE AIPMT",
    78→    78→      1990.0,
    79→    79→      null
    80→    80→    ]
    81→    81→  },
    82→    82→  {
    83→    83→    "sheet": "Class11",
    84→    84→    "row": 1103,
    85→    85→    "data": [
    86→    86→      "Biology",
    87→    87→      1.0,
    88→    88→      "The Living World",
    89→    89→      "English",
    90→    90→      "Select the correctly written scientific name of Mango which was first described by Carolus Linnaeus.",
    91→    91→      "(a) Mangifera indica Linn",
    92→    92→      "(b) Mangifera indica",
    93→    93→      "(c) Mangifera Indica",
    94→    94→      "(d) Mangifera indica Car. Linn.",
    95→    95→      1.0,
    96→    96→      "The correct form of writing the scientific name of mango as described by Carolus Linnaeus is Mangifera indica Linn. The name of taxonomist is written in abbreviated form.",
    97→    97→      "NEET (National)",
    98→    98→      2019.0,
    99→    99→      null
   100→   100→    ]
   101→   101→  },
   102→   102→  {
   103→   103→    "sheet": "Class11",
   104→   104→    "row": 1104,
   105→   105→    "data": [
   106→   106→      "Biology",
   107→   107→      1.0,
   108→   108→      "The Living World",
   109→   109→      "English",
   110→   110→      "Which of the following is against the rules of ICBN?",
   111→   111→      "(a) Handwritten scientific names should be underlined",
   112→   112→      "(b) Every species should have a generic name and a specific epithet",
   113→   113→      "(c) Scientific names are in Latin and should be italicised",
   114→   114→      "(d) Generic and specific names should be written starting with small letters",
   115→   115→      4.0,
   116→   116→      "The universal rule of nomenclature is that the first word denoting the genus starts with a capital letter while the specific epithet starts with a small letter.",
   117→   117→      "NEET (Odisha)",
   118→   118→      2019.0,
   119→   119→      null
   120→   120→    ]
   121→   121→  },
   122→   122→  {
   123→   123→    "sheet": "Class11",
   124→   124→    "row": 1105,
   125→   125→    "data": [
   126→   126→      "Biology",
   127→   127→      1.0,
   128→   128→      "The Living World",
   129→   129→      "English",
   130→   130→      "Nomenclature is governed by certain universal rules. Which one of the following is contrary to the rules of nomenclature?",
   131→   131→      "(a) The first word in a biological name represents the genus name and the second is a specific epithet",
   132→   132→      "(b) The names are written in Latin and are Italicised",
   133→   133→      "(c) When written by hand, the names are to be underlined",
   134→   134→      "(d) Biological names can be written in any language",
   135→   135→      4.0,
   136→   136→      "Biological names originate from latin language and are printed in italics, they cannot be written in any language.",
   137→   137→      "NEET",
   138→   138→      2016.0,
   139→   139→      null
   140→   140→    ]
   141→   141→  },
   142→   142→  {
   143→   143→    "sheet": "Class11",
   144→   144→    "row": 1107,
   145→   145→    "data": [
   146→   146→      "Biology",
   147→   147→      1.0,
   148→   148→      "जीव जगत",
   149→   149→      "Hindi",
   150→   150→      "Taxonomic key में जानवरों की पहचान के लिए उपयोग किए जाने वाले विपरीत लक्षणों के जोड़े को आमतौर पर क्या कहा जाता है?",
   151→   151→      "(a) लीड (lead)",
   152→   152→      "(b) कपलेट (couplet)",
   153→   153→      "(c) डबलेट (doublet)",
   154→   154→      "(d) अल्टरनेट (alternate)",
   155→   155→      2.0,
