     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 1520,
     5→     5→    "data": [
     6→     6→      "Biology",
     7→     7→      3.0,
     8→     8→      "वनस्पति जगत",
     9→     9→      "Hindi",
    10→    10→      "निम्नलिखित में से कौन heterosporous है?",
    11→    11→      "(a) Dryopteris",
    12→    12→      "(b) Salvinia",
    13→    13→      "(c) Adiantum",
    14→    14→      "(d) Equisetum",
    15→    15→      2.0,
    16→    16→      "Salvinia, heterosporous है। Heterospory दो अलग-अलग आकारों और दो अलग-अलग विकासात्मक पैटर्न के बीजाणुओं (spores) का उत्पादन है।",
    17→    17→      "CBSE AIPMT",
    18→    18→      2008.0,
    19→    19→      null
    20→    20→    ]
    21→    21→  },
    22→    22→  {
    23→    23→    "sheet": "Class11",
    24→    24→    "row": 1521,
    25→    25→    "data": [
    26→    26→      "Biology",
    27→    27→      3.0,
    28→    28→      "वनस्पति जगत",
    29→    29→      "Hindi",
    30→    30→      "निम्नलिखित में से कौन पत्ती के सिरे (leaf-tip) के माध्यम से फैलता (propagates) है?",
    31→    31→      "(a) Walking fern",
    32→    32→      "(b) Sproux-leaf plant",
    33→    33→      "(c) Marchantia",
    34→    34→      "(d) Moss",
    35→    35→      1.0,
    36→    36→      "Adiantum को walking fern भी कहा जाता है। Adiantum में पत्तियों के सुझाव (tips), मिट्टी के संपर्क में आने पर, अपस्थानिक जड़ें (adventitious roots) निकालते हैं।",
    37→    37→      "CBSE AIPMT",
    38→    38→      2004.0,
    39→    39→      null
    40→    40→    ]
    41→    41→  },
    42→    42→  {
    43→    43→    "sheet": "Class11",
    44→    44→    "row": 1522,
    45→    45→    "data": [
    46→    46→      "Biology",
    47→    47→      3.0,
    48→    48→      "वनस्पति जगत",
    49→    49→      "Hindi",
    50→    50→      "पौधों के निम्नलिखित में से कौन सा जोड़ा बीज उत्पादक (seed producers) नहीं है?",
    51→    51→      "(a) Ficus और Chlamydomonas",
    52→    52→      "(b) Punica और Pinus",
    53→    53→      "(c) Fern और Funaria",
    54→    54→      "(d) Funaria और Ficus",
    55→    55→      3.0,
    56→    56→      "Fern एक pteridophyte है और Funaria एक bryophyte है, ये दोनों बीजाणु (spores) पैदा करते हैं लेकिन बीज (seeds) नहीं।",
    57→    57→      "CBSE AIPMT",
    58→    58→      2003.0,
    59→    59→      null
    60→    60→    ]
    61→    61→  },
    62→    62→  {
    63→    63→    "sheet": "Class11",
    64→    64→    "row": 1523,
    65→    65→    "data": [
    66→    66→      "Biology",
    67→    67→      3.0,
    68→    68→      "वनस्पति जगत",
    69→    69→      "Hindi",
    70→    70→      "फर्न (ferns) में अर्धसूत्रीविभाजन (meiosis) तब होता है जब:",
    71→    71→      "(a) बीजाणु (spore) अंकुरित होते हैं",
    72→    72→      "(b) युग्मक (gametes) बनते हैं",
    73→    73→      "(c) बीजाणु (spores) बनते हैं",
    74→    74→      "(d) antheridia और archegonia बनते हैं",
    75→    75→      3.0,
    76→    76→      "फर्न (ferns) में sporangium एक द्विगुणित (diploid) संरचना है। इसमें द्विगुणित बीजाणु मातृ कोशिकाएं (spore mother cells) होती हैं जो अर्धसूत्रीविभाजन से गुजरती हैं और अगुणित बीजाणु (haploid spores) पैदा करती हैं।",
    77→    77→      "CBSE AIPMT",
    78→    78→      2000.0,
    79→    79→      null
    80→    80→    ]
    81→    81→  },
    82→    82→  {
    83→    83→    "sheet": "Class11",
    84→    84→    "row": 1524,
    85→    85→    "data": [
    86→    86→      "Biology",
    87→    87→      3.0,
    88→    88→      "वनस्पति जगत",
    89→    89→      "Hindi",
    90→    90→      "Walking fern' का नाम इसलिए रखा गया है क्योंकि:",
    91→    91→      "(a) यह चलने वाले जानवरों के माध्यम से फैलता है",
    92→    92→      "(b) यह अपनी पत्ती के सिरों (leaf tips) द्वारा वानस्पतिक रूप से फैलता है",
    93→    93→      "(c) यह जानता है कि अपने आप कैसे चलना है",
    94→    94→      "(d) इसके बीजाणु (spores) चलने में सक्षम हैं",
    95→    95→      2.0,
    96→    96→      "Adiantum को walking fern कहा जाता है। इसकी पत्तियों के सिरे, मिट्टी के संपर्क में आने पर, अपस्थानिक जड़ें (adventitious roots) निकालते हैं।",
    97→    97→      "CBSE AIPMT",
    98→    98→      1998.0,
    99→    99→      null
   100→   100→    ]
   101→   101→  },
   102→   102→  {
   103→   103→    "sheet": "Class11",
   104→   104→    "row": 1525,
   105→   105→    "data": [
   106→   106→      "Biology",
   107→   107→      3.0,
   108→   108→      "वनस्पति जगत",
   109→   109→      "Hindi",
   110→   110→      "एक अच्छी तरह से विकसित archegonium जिसमें गर्दन (neck) में 4-6 पंक्तियाँ neck canal cells की होती हैं, किसकी विशेषता है?",
   111→   111→      "(a) केवल gymnosperms",
   112→   112→      "(b) bryophytes और pteridophytes",
   113→   113→      "(c) pteridophytes और gymnosperms",
   114→   114→      "(d) gymnosperms और फूल वाले पौधे",
   115→   115→      2.0,
   116→   116→      "Archegonium, bryophytes और pteridophytes का फ्लास्क के आकार का मादा प्रजनन अंग है।",
   117→   117→      "CBSE AIPMT",
   118→   118→      1995.0,
   119→   119→      null
   120→   120→    ]
   121→   121→  },
   122→   122→  {
   123→   123→    "sheet": "Class11",
   124→   124→    "row": 1526,
   125→   125→    "data": [
   126→   126→      "Biology",
   127→   127→      3.0,
   128→   128→      "वनस्पति जगत",
   129→   129→      "Hindi",
   130→   130→      "Funaria और Selaginella के बीच निम्नलिखित में से क्या सामान्य (common) नहीं है?",
   131→   131→      "(a) Archegonium",
   132→   132→      "(b) Embryo",
