     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 403,
     5→     5→    "data": [
     6→     6→      "Chemistry",
     7→     7→      3.0,
     8→     8→      "रासायनिक आबंधन तथा आण्विक संरचना",
     9→     9→      "Hindi",
    10→    10→      "कौन सी संरचना रैखिक (linear) है?",
    11→    11→      "(a) SO_{2}",
    12→    12→      "(b) CO_{2}",
    13→    13→      "(c) CO_{3}^{2-}",
    14→    14→      "(d) SO_{4}^{2-}",
    15→    15→      2.0,
    16→    16→      "CO_{2} में sp संकरण होता है, इस प्रकार इसकी ज्यामिति रैखिक होती है। अन्य कोणीय या समतलीय/चतुष्फलकीय हैं।",
    17→    17→      "CBSE AIPMT",
    18→    18→      1992.0,
    19→    19→      null
    20→    20→    ]
    21→    21→  },
    22→    22→  {
    23→    23→    "sheet": "Class11",
    24→    24→    "row": 404,
    25→    25→    "data": [
    26→    26→      "Chemistry",
    27→    27→      3.0,
    28→    28→      "रासायनिक आबंधन तथा आण्विक संरचना",
    29→    29→      "Hindi",
    30→    30→      "एक sp^{3} संकर कक्षक में होता है:",
    31→    31→      "(a) \\frac{1}{4} s-लक्षण",
    32→    32→      "(b) \\frac{1}{2} s-लक्षण",
    33→    33→      "(c) \\frac{1}{3} s-लक्षण",
    34→    34→      "(d) \\frac{2}{3} s-लक्षण",
    35→    35→      1.0,
    36→    36→      "sp^{3} संकर कक्षक में, चार में से एक भाग s-कक्षक का होता है, इसलिए इसमें 25% या 1/4 s-लक्षण होता है।",
    37→    37→      "CBSE AIPMT",
    38→    38→      1991.0,
    39→    39→      null
    40→    40→    ]
    41→    41→  },
    42→    42→  {
    43→    43→    "sheet": "Class11",
    44→    44→    "row": 405,
    45→    45→    "data": [
    46→    46→      "Chemistry",
    47→    47→      3.0,
    48→    48→      "रासायनिक आबंधन तथा आण्विक संरचना",
    49→    49→      "Hindi",
    50→    50→      "निम्नलिखित में से किस अणु में, केंद्रीय परमाणु को sp^{2} संकरण अपनाने के लिए कहा जाता है?",
    51→    51→      "(a) BeF_{2}",
    52→    52→      "(b) BF_{3}",
    53→    53→      "(c) C_{2}H_{2}",
    54→    54→      "(d) NH_{3}",
    55→    55→      2.0,
    56→    56→      "BeF_{2} (sp), BF_{3} (sp^{2}), C_{2}H_{2} (sp), NH_{3} (sp^{3})। BF_{3} में sp^{2} संकरण होता है।",
    57→    57→      "CBSE AIPMT",
    58→    58→      1989.0,
    59→    59→      null
    60→    60→    ]
    61→    61→  },
    62→    62→  {
    63→    63→    "sheet": "Class11",
    64→    64→    "row": 406,
    65→    65→    "data": [
    66→    66→      "Chemistry",
    67→    67→      3.0,
    68→    68→      "रासायनिक आबंधन तथा आण्विक संरचना",
    69→    69→      "Hindi",
    70→    70→      "निम्नलिखित में से किस अणु में परमाणुओं की रैखिक व्यवस्था (linear arrangement) नहीं है?",
    71→    71→      "(a) H_{2}S",
    72→    72→      "(b) C_{2}H_{2}",
    73→    73→      "(c) BeH_{2}",
    74→    74→      "(d) CO_{2}",
    75→    75→      1.0,
    76→    76→      "H_{2}S में 2 एकाकी युग्मों के साथ sp^{3} संकरण होता है, जिसके परिणामस्वरूप एक मुड़ी हुई (bent) संरचना होती है। अन्य रैखिक हैं।",
    77→    77→      "CBSE AIPMT",
    78→    78→      1989.0,
    79→    79→      null
    80→    80→    ]
    81→    81→  },
    82→    82→  {
    83→    83→    "sheet": "Class11",
    84→    84→    "row": 407,
    85→    85→    "data": [
    86→    86→      "Chemistry",
    87→    87→      3.0,
    88→    88→      "रासायनिक आबंधन तथा आण्विक संरचना",
    89→    89→      "Hindi",
    90→    90→      "समबाहु (Equilateral) आकार में होता है:",
    91→    91→      "(a) sp संकरण",
    92→    92→      "(b) sp^{2} संकरण",
    93→    93→      "(c) sp^{3} संकरण",
    94→    94→      "(d) dsp^{2} संकरण",
    95→    95→      2.0,
    96→    96→      "समबाहु या त्रिकोणीय समतलीय ज्यामिति sp^{2} संकरण (बंध कोण 120^{\\circ}) द्वारा बनती है।",
    97→    97→      "CBSE AIPMT",
    98→    98→      1988.0,
    99→    99→      null
   100→   100→    ]
   101→   101→  },
   102→   102→  {
   103→   103→    "sheet": "Class11",
   104→   104→    "row": 408,
   105→   105→    "data": [
   106→   106→      "Chemistry",
   107→   107→      3.0,
   108→   108→      "रासायनिक आबंधन तथा आण्विक संरचना",
   109→   109→      "Hindi",
   110→   110→      "एक s-कक्षक और एक p-कक्षक के अतिव्यापन (overlapping) के बीच का कोण है:",
   111→   111→      "(a) 180^{\\circ}",
   112→   112→      "(b) 120^{\\circ}",
   113→   113→      "(c) 109^{\\circ}28'",
   114→   114→      "(d) 120^{\\circ}, 60'",
   115→   115→      1.0,
   116→   116→      "जब s-कक्षक और p-कक्षक एक दूसरे को अतिव्यापित करते हैं, तो बना बंध कोण 180^{\\circ} होता है।",
   117→   117→      "CBSE AIPMT",
   118→   118→      1988.0,
   119→   119→      null
   120→   120→    ]
   121→   121→  },
   122→   122→  {
   123→   123→    "sheet": "Class11",
   124→   124→    "row": 409,
   125→   125→    "data": [
   126→   126→      "Chemistry",
   127→   127→      3.0,
   128→   128→      "रासायनिक आबंधन तथा आण्विक संरचना",
   129→   129→      "Hindi",
   130→   130→      "उस अणु की पहचान करें जो अस्तित्व में नहीं है।",
   131→   131→      "(a) Li_{2}",
   132→   132→      "(b) C_{2}",
   133→   133→      "(c) O_{2}",
   134→   134→      "(d) He_{2}",
   135→   135→      4.0,
