     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 3040,
     5→     5→    "data": [
     6→     6→      "Biology",
     7→     7→      3.0,
     8→     8→      "Plant Kingdom",
     9→     9→      "English",
    10→    10→      "Which one of the following has haplontic life cycle?",
    11→    11→      "Funaria",
    12→    12→      "Polytrichum",
    13→    13→      "Ustilago",
    14→    14→      "Wheat",
    15→    15→      3.0,
    16→    16→      "Ustilago has haplontic life cycle. In their sexual phase, only zygospore is diploid structure. All others are haploid, such a sexual cycle is termed as haploid or haplontic.",
    17→    17→      "CBSE AIPMT 2009",
    18→    18→      2009.0,
    19→    19→      null,
    20→    20→      null
    21→    21→    ]
    22→    22→  },
    23→    23→  {
    24→    24→    "sheet": "Class11",
    25→    25→    "row": 3041,
    26→    26→    "data": [
    27→    27→      "Biology",
    28→    28→      3.0,
    29→    29→      "Plant Kingdom",
    30→    30→      "English",
    31→    31→      "Which of the following algae contains mannitol as reserve food material?",
    32→    32→      "Ectocarpus",
    33→    33→      "Gracilaria",
    34→    34→      "Volvox",
    35→    35→      "Ulothrix",
    36→    36→      1.0,
    37→    37→      "Ectocarpus is a cosmopolitan marine brown seaweed. Mannitol is stored as a food reserve in Ectocarpus. Other options: Gracilaria (red algae) stores floridean starch. Volvox (green algae) stores starch. Ulothrix (green algae) stores starch.",
    38→    38→      "NEET",
    39→    39→      2021.0,
    40→    40→      null,
    41→    41→      null
    42→    42→    ]
    43→    43→  },
    44→    44→  {
    45→    45→    "sheet": "Class11",
    46→    46→    "row": 3042,
    47→    47→    "data": [
    48→    48→      "Biology",
    49→    49→      3.0,
    50→    50→      "Plant Kingdom",
    51→    51→      "English",
    52→    52→      "Which of the following algae produces carrageen?",
    53→    53→      "Green algae",
    54→    54→      "Brown algae",
    55→    55→      "Red algae",
    56→    56→      "Blue-green algae",
    57→    57→      3.0,
    58→    58→      "Carrageen is a common name given to polysaccharides (carbohydrates) that are extracted from seaweeds like red algae. Carrageen is known for its gelling properties.",
    59→    59→      "NEET",
    60→    60→      2021.0,
    61→    61→      null,
    62→    62→      null
    63→    63→    ]
    64→    64→  },
    65→    65→  {
    66→    66→    "sheet": "Class11",
    67→    67→    "row": 3043,
    68→    68→    "data": [
    69→    69→      "Biology",
    70→    70→      3.0,
    71→    71→      "Plant Kingdom",
    72→    72→      "English",
    73→    73→      "Phycoerythrin is the major pigment in",
    74→    74→      "red algae",
    75→    75→      "blue-green algae",
    76→    76→      "green algae",
    77→    77→      "brown algae",
    78→    78→      1.0,
    79→    79→      "Phycoerythrin is the major pigment in red algae or rhodophytes. The photosynthetic pigments in red algae include chlorophyll-a, carotenoids, and phycobilins. Phycoerythrin belongs to the phycobilins. These pigments are soluble in water.",
    80→    80→      "NEET (Oct.)",
    81→    81→      2020.0,
    82→    82→      null,
    83→    83→      null
    84→    84→    ]
    85→    85→  },
    86→    86→  {
    87→    87→    "sheet": "Class11",
    88→    88→    "row": 3044,
    89→    89→    "data": [
    90→    90→      "Biology",
    91→    91→      3.0,
    92→    92→      "Plant Kingdom",
    93→    93→      "English",
    94→    94→      "Which of the following pairs is of unicellular algae?",
    95→    95→      "Gelidium and Gracilaria",
    96→    96→      "Anabaena and Volvox",
    97→    97→      "Chlorella and Spirulina",
    98→    98→      "Laminaria and Sargassum",
    99→    99→      3.0,
   100→   100→      "Chlorella and Spirulina are unicellular algae, rich in proteins, and used as food supplements. Gelidium, Gracilaria, Laminaria, and Sargassum are multicellular. Volvox is colonial.",
   101→   101→      "NEET (Sep.)",
   102→   102→      2020.0,
   103→   103→      null,
   104→   104→      null
   105→   105→    ]
   106→   106→  },
   107→   107→  {
   108→   108→    "sheet": "Class11",
   109→   109→    "row": 3045,
   110→   110→    "data": [
   111→   111→      "Biology",
   112→   112→      3.0,
   113→   113→      "Plant Kingdom",
   114→   114→      "English",
   115→   115→      "Which one is wrongly matched?",
   116→   116→      "Gemma cups – Marchantia",
   117→   117→      "Biflagellate zoospores – Brown algae",
   118→   118→      "Oogamy - Algae",
   119→   119→      "Unicellular organism - Chlorella",
   120→   120→      3.0,
   121→   121→      "In oogamy, only the male gamete is motile, while the female gamete is non-motile. In isogamy and anisogamy, both gametes are motile. Chlorella is a unicellular green alga. Biflagellate zoospores are characteristic of brown algae. Gemma cups are found in Marchantia.",
   122→   122→      "NEET",
   123→   123→      2018.0,
   124→   124→      null,
   125→   125→      null
   126→   126→    ]
   127→   127→  },
   128→   128→  {
   129→   129→    "sheet": "Class11",
   130→   130→    "row": 3046,
   131→   131→    "data": [
   132→   132→      "Biology",
   133→   133→      3.0,
   134→   134→      "Plant Kingdom",
   135→   135→      "English",
   136→   136→      "Zygotic meiosis is characteristic of",
   137→   137→      "Marchantia",
   138→   138→      "Fucus",
   139→   139→      "Funaria",
   140→   140→      "Chlamydomonas",
   141→   141→      4.0,
   142→   142→      "Zygotic meiosis is represented in the haplontic life cycle of many algae, including Chlamydomonas. In such a life cycle, all cells are haploid except the zygote. Meiosis occurs in the zygote, resulting in four haploid cells that give rise to haploid plants.",
   143→   143→      "NEET",
   144→   144→      2017.0,
   145→   145→      null,
   146→   146→      null
   147→   147→    ]
   148→   148→  },
   149→   149→  {
   150→   150→    "sheet": "Class11",
   151→   151→    "row": 3047,
   152→   152→    "data": [
   153→   153→      "Biology",
   154→   154→      3.0,
   155→   155→      "Plant Kingdom",
   156→   156→      "English",
   157→   157→      "Which one produces carrageen?",
   158→   158→      "Green algae",
   159→   159→      "Brown algae",
   160→   160→      "Red algae",
   161→   161→      "Blue-green algae",
