     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 1309,
     5→     5→    "data": [
     6→     6→      "Biology",
     7→     7→      2.0,
     8→     8→      "Biological Classification",
     9→     9→      "English",
    10→    10→      "Columella is a specialised structure found in the sporangium of",
    11→    11→      "(a) Ulothrix",
    12→    12→      "(b) Rhizopus",
    13→    13→      "(c) Spirogyra",
    14→    14→      "(d) None of these",
    15→    15→      2.0,
    16→    16→      "Columella is a sterile, dome-shaped structure found in the sporangium of Rhizopus.",
    17→    17→      "CBSE AIPMT",
    18→    18→      1999.0,
    19→    19→      null
    20→    20→    ]
    21→    21→  },
    22→    22→  {
    23→    23→    "sheet": "Class11",
    24→    24→    "row": 1310,
    25→    25→    "data": [
    26→    26→      "Biology",
    27→    27→      2.0,
    28→    28→      "Biological Classification",
    29→    29→      "English",
    30→    30→      "Puccinia forms",
    31→    31→      "(a) uredia and aecia on wheat leaves",
    32→    32→      "(b) uredia and telia on wheat leaves",
    33→    33→      "(c) uredia and aecia on barbery leaves",
    34→    34→      "(d) uredia and pycnia on barbery leaves",
    35→    35→      2.0,
    36→    36→      "Puccinia graminis produces urediniospores (in uredia) and teliospores (in telia) on the primary host, wheat.",
    37→    37→      "CBSE AIPMT",
    38→    38→      1998.0,
    39→    39→      null
    40→    40→    ]
    41→    41→  },
    42→    42→  {
    43→    43→    "sheet": "Class11",
    44→    44→    "row": 1311,
    45→    45→    "data": [
    46→    46→      "Biology",
    47→    47→      2.0,
    48→    48→      "Biological Classification",
    49→    49→      "English",
    50→    50→      "Most of the lichens consist of",
    51→    51→      "(a) blue-green algae and Basidomycetes",
    52→    52→      "(b) blue-green algae and Ascomycetes",
    53→    53→      "(c) red algae and Ascomycetes",
    54→    54→      "(d) brown algae and Phycomycetes",
    55→    55→      2.0,
    56→    56→      "Most lichens are an association between an ascomycete fungus and a green alga or cyanobacterium (blue-green alga).",
    57→    57→      "CBSE AIPMT",
    58→    58→      1997.0,
    59→    59→      null
    60→    60→    ]
    61→    61→  },
    62→    62→  {
    63→    63→    "sheet": "Class11",
    64→    64→    "row": 1313,
    65→    65→    "data": [
    66→    66→      "Biology",
    67→    67→      2.0,
    68→    68→      "जीव जगत का वर्गीकरण",
    69→    69→      "Hindi",
    70→    70→      "रोग और उसके कारक जीव के लिए कौन सा जोड़ा गलत है?",
    71→    71→      "(a) Late blight of potato — Alternaria solani",
    72→    72→      "(b) Black rust of wheat — Puccinia graminis",
    73→    73→      "(c) Loose smut of wheat — Ustilago nuda",
    74→    74→      "(d) Root-knot of vegetables — Meloidogyne sp.",
    75→    75→      1.0,
    76→    76→      "Late blight of potato Phytophthora infestans के कारण होता है। Alternaria solani आलू के early blight का कारण बनता है।",
    77→    77→      "CBSE AIPMT",
    78→    78→      2009.0,
    79→    79→      null
    80→    80→    ]
    81→    81→  },
    82→    82→  {
    83→    83→    "sheet": "Class11",
    84→    84→    "row": 1314,
    85→    85→    "data": [
    86→    86→      "Biology",
    87→    87→      2.0,
    88→    88→      "जीव जगत का वर्गीकरण",
    89→    89→      "Hindi",
    90→    90→      "Trichoderma harzianum किसके लिए एक उपयोगी सूक्ष्मजीव साबित हुआ है?",
    91→    91→      "(a) दूषित मिट्टी का bioremediation",
    92→    92→      "(b) बंजर भूमि का सुधार (reclamation)",
    93→    93→      "(c) उच्च पौधों में जीन स्थानांतरण (gene transfer)",
    94→    94→      "(d) मिट्टी से उत्पन्न होने वाले पौधों के रोगजनकों का जैविक नियंत्रण (biological control)",
    95→    95→      4.0,
    96→    96→      "Trichoderma harzianum एक कवक है जिसका उपयोग कई मिट्टी से उत्पन्न होने वाले पौधों के रोगजनकों के खिलाफ जैविक नियंत्रण एजेंट के रूप में किया जाता है।",
    97→    97→      "CBSE AIPMT",
    98→    98→      2008.0,
    99→    99→      null
   100→   100→    ]
   101→   101→  },
   102→   102→  {
   103→   103→    "sheet": "Class11",
   104→   104→    "row": 1315,
   105→   105→    "data": [
   106→   106→      "Biology",
   107→   107→      2.0,
   108→   108→      "जीव जगत का वर्गीकरण",
   109→   109→      "Hindi",
   110→   110→      "Cellulose किसकी कोशिका भित्ति (cell walls) का प्रमुख घटक है?",
   111→   111→      "(a) Pythium",
   112→   112→      "(b) Xanthomonas",
   113→   113→      "(c) Pseudomonas",
   114→   114→      "(d) Saccharomyces",
   115→   115→      1.0,
   116→   116→      "Pythium, Oomycetes से संबंधित है, जहाँ कोशिका भित्ति मुख्य रूप से सेलूलोज़ से बनी होती है, जबकि सच्चे कवक में काइटिन होता है।",
   117→   117→      "CBSE AIPMT",
   118→   118→      2008.0,
   119→   119→      null
   120→   120→    ]
   121→   121→  },
   122→   122→  {
   123→   123→    "sheet": "Class11",
   124→   124→    "row": 1316,
   125→   125→    "data": [
   126→   126→      "Biology",
   127→   127→      2.0,
   128→   128→      "जीव जगत का वर्गीकरण",
   129→   129→      "Hindi",
   130→   130→      "निम्नलिखित में से कौन एक स्लाइम मोल्ड (slime mold) है?",
   131→   131→      "(a) Rhizopus",
   132→   132→      "(b) Physarum",
   133→   133→      "(c) Thiobacillus",
   134→   134→      "(d) Anabaena",
   135→   135→      2.0,
   136→   136→      "Physarum एक स्लाइम मोल्ड (Myxomycetes) है। Rhizopus एक कवक है, Thiobacillus एक बैक्टीरिया है, और Anabaena एक सायनोबैक्टीरियम है।",
   137→   137→      "CBSE AIPMT",
   138→   138→      2007.0,
   139→   139→      null
   140→   140→    ]
   141→   141→  },
   142→   142→  {
   143→   143→    "sheet": "Class11",
   144→   144→    "row": 1317,
