     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 2190,
     5→     5→    "data": [
     6→     6→      "Biology",
     7→     7→      null,
     8→     8→      "Photosynthesis in Higher Plants",
     9→     9→      "English",
    10→    10→      "At a temperature above 35°C",
    11→    11→      "rate of photosynthesis will decline earlier than that of respiration",
    12→    12→      "rate of respiration will decline earlier than that of photosynthesis",
    13→    13→      "there is no fixed pattern",
    14→    14→      "both decline simultaneously",
    15→    15→      1.0,
    16→    16→      "Optimum temperature for photosynthesis is 10°-25°C for C3-plants and 30°-45°C for C4-plants. Optimum temperature for respiration is 20°C–30°C, i.e. respiration has a higher temperature optimum than photosynthesis and thus declines later.",
    17→    17→      "CBSE AIPMT",
    18→    18→      null,
    19→    19→      null
    20→    20→    ]
    21→    21→  },
    22→    22→  {
    23→    23→    "sheet": "Class11",
    24→    24→    "row": 2191,
    25→    25→    "data": [
    26→    26→      "Biology",
    27→    27→      null,
    28→    28→      "Photosynthesis in Higher Plants",
    29→    29→      "English",
    30→    30→      "During monsoon, the rice crop of Eastern states of India shows lesser yield due to limiting factor of",
    31→    31→      "CO2",
    32→    32→      "light",
    33→    33→      "temperature",
    34→    34→      "water",
    35→    35→      2.0,
    36→    36→      "According to the principle of limiting factor, the rate of the process is limited by the pace of the slowest factor. Light intensity varies with latitude, altitude, season, topography, presence or absence of interceptors like cloud, dust, fog, humidity, etc. In Eastern states, low light intensity during monsoon results in low photosynthesis and hence, lesser yield. 14 Respiration in Plants TOPIC 1 Glycolysis",
    37→    37→      "CBSE AIPMT",
    38→    38→      null,
    39→    39→      null
    40→    40→    ]
    41→    41→  },
    42→    42→  {
    43→    43→    "sheet": "Class11",
    44→    44→    "row": 2192,
    45→    45→    "data": [
    46→    46→      "Biology",
    47→    47→      null,
    48→    48→      "Respiration in Plants",
    49→    49→      "English",
    50→    50→      "Conversion of glucose to glucose-6-phosphate, the first irreversible reaction of glycolysis, is catalysed by",
    51→    51→      "hexokinase",
    52→    52→      "enolase",
    53→    53→      "phosphofructokinase",
    54→    54→      "aldolase",
    55→    55→      1.0,
    56→    56→      "Conversion of glucose to glucose-6-phosphate during glycolysis is catalysed by the enzyme hexokinase. During this step, glucose is phosphorylated to glucose-6-phosphate by ATP. It is the first step of activation phase of glycolysis.",
    57→    57→      "NEET (National)",
    58→    58→      null,
    59→    59→      null
    60→    60→    ]
    61→    61→  },
    62→    62→  {
    63→    63→    "sheet": "Class11",
    64→    64→    "row": 2193,
    65→    65→    "data": [
    66→    66→      "Biology",
    67→    67→      null,
    68→    68→      "Respiration in Plants",
    69→    69→      "English",
    70→    70→      "Which of the following biomolecules is common to respiration-mediated breakdown of fats, carbohydrates and proteins?",
    71→    71→      "Glucose-6-phosphate",
    72→    72→      "Fructose 1,6-bisphosphate",
    73→    73→      "Pyruvic acid",
    74→    74→      "Acetyl Co-A",
    75→    75→      4.0,
    76→    76→      "Carbohydrates, fats and proteins, all can be used as a substrate in cellular respiration. All of them first get converted to acetyl Co-A to enter into Krebs’ cycle of aerobic cellular respiration. Thus, it is the common factor of respiration entering Krebs’ cycle after breakdown of carbohydrates, fats and proteins.",
    77→    77→      "NEET , Phase II",
    78→    78→      null,
    79→    79→      null
    80→    80→    ]
    81→    81→  },
    82→    82→  {
    83→    83→    "sheet": "Class11",
    84→    84→    "row": 2194,
    85→    85→    "data": [
    86→    86→      "Biology",
    87→    87→      null,
    88→    88→      "Respiration in Plants",
    89→    89→      "English",
    90→    90→      "In glycolysis, during oxidation electrons are removed by",
    91→    91→      "ATP",
    92→    92→      "glyceraldehyde-3-phosphate",
    93→    93→      "NAD+",
    94→    94→      "molecular oxygen",
    95→    95→      3.0,
    96→    96→      "When 3-phosphoglyceraldehyde is converted into 1,3 diphosphoglyceric acid, two electrons and two protons are released which are utilised to convert NAD + to NADH and one H +. NAD + 2H + 2e NADH + H ++ + − → .",
    97→    97→      "CBSE AIPMT",
    98→    98→      null,
    99→    99→      null
   100→   100→    ]
   101→   101→  },
   102→   102→  {
   103→   103→    "sheet": "Class11",
   104→   104→    "row": 2195,
   105→   105→    "data": [
   106→   106→      "Biology",
   107→   107→      null,
   108→   108→      "Respiration in Plants",
   109→   109→      "English",
   110→   110→      "In animal cells, the first stage of glucose breakdown is",
   111→   111→      "Krebs’ cycle",
   112→   112→      "glycolysis",
   113→   113→      "oxidative phosphorylation",
   114→   114→      "ETC",
   115→   115→      2.0,
   116→   116→      "Glycolysis refers to the sequence of reactions by which glucose is degraded anaerobically into pyruvic acid inside cytoplasm. The net gain of molecules of ATP during glycolysis is 2.",
   117→   117→      "CBSE AIPMT",
   118→   118→      null,
   119→   119→      null
   120→   120→    ]
   121→   121→  },
   122→   122→  {
   123→   123→    "sheet": "Class11",
   124→   124→    "row": 2196,
   125→   125→    "data": [
   126→   126→      "Biology",
   127→   127→      null,
   128→   128→      "Respiration in Plants",
   129→   129→      "English",
   130→   130→      "End product of glycolysis is",
   131→   131→      "acetyl Co-A",
   132→   132→      "pyruvic acid",
   133→   133→      "glucose 1-phosphate",
   134→   134→      "fructose 1-phosphate",
   135→   135→      2.0,
   136→   136→      "During glycolysis one molecule of glucose is broken down into two molecules of pyruvic acid in the cytoplasm. Glycolysis is the common path of aerobic and anaerobic respiration.",
   137→   137→      "CBSE AIPMT",
   138→   138→      null,
   139→   139→      null
   140→   140→    ]
   141→   141→  },
   142→   142→  {
   143→   143→    "sheet": "Class11",
   144→   144→    "row": 2197,
   145→   145→    "data": [
   146→   146→      "Biology",
   147→   147→      null,
