     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 2090,
     5→     5→    "data": [
     6→     6→      "Biology",
     7→     7→      null,
     8→     8→      "Photosynthesis in Higher Plants",
     9→     9→      "English",
    10→    10→      "The core metal of chlorophyll is",
    11→    11→      "iron",
    12→    12→      "magnesium",
    13→    13→      "nickel",
    14→    14→      "copper",
    15→    15→      2.0,
    16→    16→      "Chlorophyll molecule, is made up of porphyrin ring which is a structure with alternating single and double bonds containing four small pyrrole rings. It has magnesium atom at the centre.",
    17→    17→      "CBSE AIPMT",
    18→    18→      null,
    19→    19→      null
    20→    20→    ]
    21→    21→  },
    22→    22→  {
    23→    23→    "sheet": "Class11",
    24→    24→    "row": 2091,
    25→    25→    "data": [
    26→    26→      "Biology",
    27→    27→      null,
    28→    28→      "Mineral Nutrition",
    29→    29→      "English",
    30→    30→      "Which one of the following is not an essential element for plants?",
    31→    31→      "Potassium",
    32→    32→      "Iron",
    33→    33→      "Iodine",
    34→    34→      "Zinc",
    35→    35→      3.0,
    36→    36→      "Essential elements are those element which are absolutely necessary for supporting normal growth and reproduction of plants, the elements are specific in their action and are directly involved in the nutrition of the plant. Potassium is macroelement, zinc and iron are microelement. Iodine and sodium are essential for animals and are not required by most of the plants however, iodine is found in certain marine algae.",
    37→    37→      "CBSE AIPMT",
    38→    38→      null,
    39→    39→      null
    40→    40→    ]
    41→    41→  },
    42→    42→  {
    43→    43→    "sheet": "Class11",
    44→    44→    "row": 2092,
    45→    45→    "data": [
    46→    46→      "Biology",
    47→    47→      null,
    48→    48→      "Mineral Nutrition",
    49→    49→      "English",
    50→    50→      "Which one of the following is a micronutrient for plants?",
    51→    51→      "Calcium",
    52→    52→      "Magnesium",
    53→    53→      "Manganese",
    54→    54→      "Nitrogen",
    55→    55→      3.0,
    56→    56→      "Micronutrients are needed in very small amounts by plants, e.g. Manganese, copper, molybdenum, zinc, boron and chlorine.",
    57→    57→      "CBSE AIPMT",
    58→    58→      null,
    59→    59→      null
    60→    60→    ]
    61→    61→  },
    62→    62→  {
    63→    63→    "sheet": "Class11",
    64→    64→    "row": 2093,
    65→    65→    "data": [
    66→    66→      "Biology",
    67→    67→      null,
    68→    68→      "Mineral Nutrition",
    69→    69→      "English",
    70→    70→      "Phosphorus and nitrogen ions generally get depleted in soil because they usually occur as",
    71→    71→      "neutral ions",
    72→    72→      "negatively charged ions",
    73→    73→      "positively charged ions",
    74→    74→      "both positively and negatively charged but disproportionate mixture",
    75→    75→      2.0,
    76→    76→      "In the soil, phosphorus and nitrogen are present as negatively charged ions, e.g. H PO 2 4−,NO2−,NO3− ions. These are usually supplied by fertilisers as urea.",
    77→    77→      "CBSE AIPMT",
    78→    78→      null,
    79→    79→      null
    80→    80→    ]
    81→    81→  },
    82→    82→  {
    83→    83→    "sheet": "Class11",
    84→    84→    "row": 2094,
    85→    85→    "data": [
    86→    86→      "Biology",
    87→    87→      null,
    88→    88→      "Biomolecules",
    89→    89→      "English",
    90→    90→      "The four elements making 99% of living system are",
    91→    91→      "CHOS",
    92→    92→      "CHOP",
    93→    93→      "CHON",
    94→    94→      "CNOP",
    95→    95→      3.0,
    96→    96→      "Carbon, hydrogen, oxygen and nitrogen are called as big four of the cell. C is 18%, O is 65%, H is 10% and N is 2.5%. These are principal non-metal elements and form 95% of total cellular materials.",
    97→    97→      "CBSE AIPMT",
    98→    98→      null,
    99→    99→      null
   100→   100→    ]
   101→   101→  },
   102→   102→  {
   103→   103→    "sheet": "Class11",
   104→   104→    "row": 2095,
   105→   105→    "data": [
   106→   106→      "Biology",
   107→   107→      null,
   108→   108→      "Mineral Nutrition",
   109→   109→      "English",
   110→   110→      "Mineral associated with cytochrome is",
   111→   111→      "Cu",
   112→   112→      "Mg",
   113→   113→      "Fe and Mg",
   114→   114→      "Fe and Cu",
   115→   115→      4.0,
   116→   116→      "Cytochromes are iron-porphyrin (haem) proteins discovered by Mac Cunn. Cytochromes are infact, the conjugated proteins, composed of a protein molecule and a non-protein group, i.e. inorganic factor iron. It is to be noted, that cell cytochromes have iron only, though cyt-a3 possesses both Fe and Cu. Fe has a role in picking up of electrons and Cu hands over the electrons to oxygen. TOPIC 2 Nitrogen Metabolism",
   117→   117→      "CBSE AIPMT",
   118→   118→      null,
   119→   119→      null
   120→   120→    ]
   121→   121→  },
   122→   122→  {
   123→   123→    "sheet": "Class11",
   124→   124→    "row": 2096,
   125→   125→    "data": [
   126→   126→      "Biology",
   127→   127→      null,
   128→   128→      "Mineral Nutrition",
   129→   129→      "English",
   130→   130→      "Match the Column -I with Column-II.  Column I Column II A. Nitrococcus 1. Denitrification B. Rhizobium 2. Conversion of ammonia to nitrite C. Thiobacillus 3. Conversion of nitrite to nitrate D. Nitrobacter 4. Conversion of atmospheric nitrogen to ammonia Choose the correct answer from options given below. A BC D",
   131→   131→      "2 4 1 3",
   132→   132→      "1 2 3 4",
   133→   133→      "3 1 4 2",
   134→   134→      "4 3 2 1",
   135→   135→      1.0,
   136→   136→      "(A)-(2), (B)-(4), (C)-(1), (D)-(3) Nitrification is the process of conversion of ammonia into nitrites and nitrites into nitrates. It is facilitated by microorganism like Nitrococcus and Nitrobacter. Rhizobium is involved in biological nitrogen fixation, i.e. it converts atmospheric nitrogen to ammonia. These are symbiotically associated with the roots of leguminous plants. Thiobacillus are involved in conversion of nitrate to nitrogen gas by the process called denitrification",
   137→   137→      "NEET",
   138→   138→      null,
   139→   139→      null
   140→   140→    ]
   141→   141→  },
   142→   142→  {
   143→   143→    "sheet": "Class11",
