     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 3640,
     5→     5→    "data": [
     6→     6→      "Biology",
     7→     7→      10.0,
     8→     8→      "Cell Cycle and Cell Division",
     9→     9→      "English",
    10→    10→      "Which one of the following structures will not be common to mitotic cells of higher plants?",
    11→    11→      "Cell plate",
    12→    12→      "Centriole",
    13→    13→      "Centromere",
    14→    14→      "Spindle fibres",
    15→    15→      2.0,
    16→    16→      "Centrosomes are found in animal cells, Euglena, Nitella, some fungi, and members of dinoflagellates. They are absent in higher plant cells. Centrioles are not common to mitotic cells of higher plants. The main function of centrosomes is during cell division when the two centrioles separate and move to opposite poles. Aster and spindle are formed from it, which help in the movement of chromatids.",
    17→    17→      "CBSE AIPMT",
    18→    18→      1997.0,
    19→    19→      null,
    20→    20→      null
    21→    21→    ]
    22→    22→  },
    23→    23→  {
    24→    24→    "sheet": "Class11",
    25→    25→    "row": 3641,
    26→    26→    "data": [
    27→    27→      "Biology",
    28→    28→      10.0,
    29→    29→      "Cell Cycle and Cell Division",
    30→    30→      "English",
    31→    31→      "The point, at which polytene chromosomes appear to be attached together, is called",
    32→    32→      "centriole",
    33→    33→      "centromere",
    34→    34→      "chromomere",
    35→    35→      "chromocentre",
    36→    36→      4.0,
    37→    37→      "Polytene chromosomes are formed by the pairing of two somatic homologous chromosomes which undergo repeated endomitosis, forming a number of strands. These strands remain attached to a common large chromocentre of all polytene chromosomes and are rich in heterochromatin.",
    38→    38→      "CBSE AIPMT",
    39→    39→      1995.0,
    40→    40→      null,
    41→    41→      null
    42→    42→    ]
    43→    43→  },
    44→    44→  {
    45→    45→    "sheet": "Class11",
    46→    46→    "row": 3642,
    47→    47→    "data": [
    48→    48→      "Biology",
    49→    49→      10.0,
    50→    50→      "Cell Cycle and Cell Division",
    51→    51→      "English",
    52→    52→      "Best stage to observe shape, size and number of chromosomes is",
    53→    53→      "interphase",
    54→    54→      "metaphase",
    55→    55→      "prophase",
    56→    56→      "telophase",
    57→    57→      2.0,
    58→    58→      "Metaphase can be characterized by chromosomes that are least coiled, show maximum condensation, and are shortest in length. It is the best stage to study the structure, size, and number of chromosomes in a cell. An idiogram/karyotype of chromosomes is prepared at metaphase.",
    59→    59→      "CBSE AIPMT",
    60→    60→      1994.0,
    61→    61→      null,
    62→    62→      null
    63→    63→    ]
    64→    64→  },
    65→    65→  {
    66→    66→    "sheet": "Class11",
    67→    67→    "row": 3643,
    68→    68→    "data": [
    69→    69→      "Biology",
    70→    70→      10.0,
    71→    71→      "Cell Cycle and Cell Division",
    72→    72→      "English",
    73→    73→      "In salivary gland chromosomes/polytene chromosomes pairing is",
    74→    74→      "absent",
    75→    75→      "occasional",
    76→    76→      "formed between non-homologous chromosomes",
    77→    77→      "formed between homologous chromosomes",
    78→    78→      4.0,
    79→    79→      "Polytene chromosomes/salivary gland chromosomes were reported by Balbiani (1881) from cells of salivary glands of Chironomus larva. The polytene chromosomes become giant due to endoduplication, i.e., repeated replication of chromatids without their separation and cytokinesis. In fact, each polytene chromosome is formed by the pairing of two somatic homologous chromosomes which undergo repeated endomitosis to form numerous strands attached to a common large chromocentre.",
    80→    80→      "CBSE AIPMT",
    81→    81→      1993.0,
    82→    82→      null,
    83→    83→      null
    84→    84→    ]
    85→    85→  },
    86→    86→  {
    87→    87→    "sheet": "Class11",
    88→    88→    "row": 3644,
    89→    89→    "data": [
    90→    90→      "Biology",
    91→    91→      10.0,
    92→    92→      "Cell Cycle and Cell Division",
    93→    93→      "English",
    94→    94→      "Number of chromatids at metaphase is",
    95→    95→      "two each in mitosis and meiosis",
    96→    96→      "two in mitosis and one in meiosis",
    97→    97→      "two in mitosis and four in meiosis",
    98→    98→      "one in mitosis and two in meiosis",
    99→    99→      1.0,
   100→   100→      "In metaphase, chromosomes are thick, shortest, least coiled, and minimum in size. Each chromosome has both its chromatids attached at the centromere, oriented at the equator of the spindle apparatus. In meiotic metaphase, each chromosome with two chromatids in a bivalent is connected to the spindle pole of its side by a kinetochore microtubule instead of two as in metaphase of mitosis.",
   101→   101→      "CBSE AIPMT",
   102→   102→      1992.0,
   103→   103→      null,
   104→   104→      null
   105→   105→    ]
   106→   106→  },
   107→   107→  {
   108→   108→    "sheet": "Class11",
   109→   109→    "row": 3645,
   110→   110→    "data": [
   111→   111→      "Biology",
   112→   112→      10.0,
   113→   113→      "Cell Cycle and Cell Division",
   114→   114→      "English",
   115→   115→      "Mitotic anaphase differs from metaphase in possessing",
   116→   116→      "same number of chromosomes and same number of chromatids",
   117→   117→      "half number of chromosomes and half number of chromatids",
   118→   118→      "half number of chromosomes and same number of chromatids",
   119→   119→      "same number of chromosomes and half number of chromatids",
   120→   120→      4.0,
   121→   121→      "Mitotic metaphase is the best stage to observe the structure, size, and number of chromosomes in a cell. Centromeres of all chromosomes lie closely at the equator, and their arms are directed towards the poles. In mitotic anaphase, the centromeres split, and sister chromatids separate, moving towards opposite poles. Therefore, the number of chromosomes doubles, and the number of chromatids becomes zero at each pole (effectively, as they are now considered individual chromosomes). So, while the number of chromosomes temporarily doubles in the entire cell, the number of chromatids per chromosome is effectively halved as they separate.",
   122→   122→      "CBSE AIPMT",
   123→   123→      1991.0,
   124→   124→      null,
   125→   125→      null
   126→   126→    ]
   127→   127→  },
   128→   128→  {
   129→   129→    "sheet": "Class11",
   130→   130→    "row": 3646,
   131→   131→    "data": [
   132→   132→      "Biology",
   133→   133→      10.0,
   134→   134→      "Cell Cycle and Cell Division",
   135→   135→      "English",
   136→   136→      "The centriole undergoes duplication during",
