     1→     1→{
     2→     2→ "batch": 8,
     3→     3→ "questions": [
     4→     4→  {
     5→     5→   "Subject": "Science",
     6→     6→   "Chapter No.": "2.0",
     7→     7→   "Chapter Name": "Acids, Bases and Salts",
     8→     8→   "Medium": "English",
     9→     9→   "Question": "The chemical formula of 'Dead Burnt Plaster' is:",
    10→    10→   "Option 1": "$CaSO_4 \\cdot 2H_2O$",
    11→    11→   "Option 2": "$CaSO_4 \\cdot 1/2 H_2O$",
    12→    12→   "Option 3": "$CaSO_4$",
    13→    13→   "Option 4": "$CaCO_3$",
    14→    14→   "Correct Option": "3.0",
    15→    15→   "Explanation": "When Gypsum is heated above 373 K (100°C), it loses all its water of crystallization to form anhydrous Calcium Sulphate, known as dead burnt plaster.",
    16→    16→   "Exam": "HBSE",
    17→    17→   "Year": "2021.0",
    18→    18→   "_sheet_row": 352
    19→    19→  },
    20→    20→  {
    21→    21→   "Subject": "Science",
    22→    22→   "Chapter No.": "2.0",
    23→    23→   "Chapter Name": "Acids, Bases and Salts",
    24→    24→   "Medium": "English",
    25→    25→   "Question": "Acidic strength of a solution depends on:",
    26→    26→   "Option 1": "Concentration of $OH^-$ ions",
    27→    27→   "Option 2": "Concentration of $H^+$ ions",
    28→    28→   "Option 3": "Concentration of $Cl^-$ ions",
    29→    29→   "Option 4": "Nature of the container",
    30→    30→   "Correct Option": "2.0",
    31→    31→   "Explanation": "Acidity is specifically the measure of the concentration of Hydronium or Hydrogen ions in the solution.",
    32→    32→   "Exam": "Bihar Board",
    33→    33→   "Year": "2020.0",
    34→    34→   "_sheet_row": 353
    35→    35→  },
    36→    36→  {
    37→    37→   "Subject": "Science",
    38→    38→   "Chapter No.": "2.0",
    39→    39→   "Chapter Name": "Acids, Bases and Salts",
    40→    40→   "Medium": "English",
    41→    41→   "Question": "Which of the following is used in the 'Solvay Process'?",
    42→    42→   "Option 1": "$NaCl, NH_3, CaCO_3$",
    43→    43→   "Option 2": "$NaOH, Cl_2$",
    44→    44→   "Option 3": "$NaCl, H_2SO_4$",
    45→    45→   "Option 4": "$Na_2CO_3, CaO$",
    46→    46→   "Correct Option": "1.0",
    47→    47→   "Explanation": "The Solvay process for manufacturing Sodium Carbonate uses Brine ($NaCl$), Ammonia ($NH_3$), and Limestone ($CaCO_3$) as raw materials.",
    48→    48→   "Exam": "",
    49→    49→   "Year": "",
    50→    50→   "_sheet_row": 354
    51→    51→  },
    52→    52→  {
    53→    53→   "Subject": "Science",
    54→    54→   "Chapter No.": "2.0",
    55→    55→   "Chapter Name": "Acids, Bases and Salts",
    56→    56→   "Medium": "English",
    57→    57→   "Question": "An indicator 'X' turns colorless in acid and pink in base. 'X' is:",
    58→    58→   "Option 1": "Methyl Orange",
    59→    59→   "Option 2": "Phenolphthalein",
    60→    60→   "Option 3": "Litmus",
    61→    61→   "Option 4": "Turmeric",
    62→    62→   "Correct Option": "2.0",
    63→    63→   "Explanation": "Phenolphthalein is a synthetic indicator that remains colorless in acidic or neutral pH but turns deep pink in alkaline (basic) solutions.",
    64→    64→   "Exam": "CBSE",
    65→    65→   "Year": "2019.0",
    66→    66→   "_sheet_row": 355
    67→    67→  },
    68→    68→  {
    69→    69→   "Subject": "Science",
    70→    70→   "Chapter No.": "2.0",
    71→    71→   "Chapter Name": "Acids, Bases and Salts",
    72→    72→   "Medium": "English",
    73→    73→   "Question": "Which of the following is an acidic salt?",
    74→    74→   "Option 1": "$Na_2SO_4$",
    75→    75→   "Option 2": "$NH_4Cl$",
    76→    76→   "Option 3": "$CH_3COONa$",
    77→    77→   "Option 4": "$KCl$",
    78→    78→   "Correct Option": "2.0",
    79→    79→   "Explanation": "Ammonium Chloride is formed from a strong acid ($HCl$) and a weak base ($NH_4OH$), resulting in a salt that produces an acidic solution in water.",
    80→    80→   "Exam": "CBSE",
    81→    81→   "Year": "2021.0",
    82→    82→   "_sheet_row": 356
    83→    83→  },
    84→    84→  {
    85→    85→   "Subject": "Science",
    86→    86→   "Chapter No.": "2.0",
    87→    87→   "Chapter Name": "Acids, Bases and Salts",
    88→    88→   "Medium": "English",
    89→    89→   "Question": "The pH of a basic solution is 12. If it is diluted 10 times, the pH will:",
    90→    90→   "Option 1": "Increase",
    91→    91→   "Option 2": "Decrease",
    92→    92→   "Option 3": "Remain the same",
    93→    93→   "Option 4": "Become 7",
    94→    94→   "Correct Option": "2.0",
    95→    95→   "Explanation": "Diluting a base reduces the concentration of $OH^-$ ions, making the solution less basic and bringing the pH closer to the neutral value of 7.",
    96→    96→   "Exam": "",
    97→    97→   "Year": "",
    98→    98→   "_sheet_row": 357
    99→    99→  },
   100→   100→  {
   101→   101→   "Subject": "Science",
   102→   102→   "Chapter No.": "2.0",
   103→   103→   "Chapter Name": "Acids, Bases and Salts",
   104→   104→   "Medium": "English",
   105→   105→   "Question": "Reaction of a metal carbonate with an acid produces:",
   106→   106→   "Option 1": "Salt + Water + $H_2$",
   107→   107→   "Option 2": "Salt + Water + $CO_2$",
   108→   108→   "Option 3": "Salt + $H_2$",
   109→   109→   "Option 4": "Acid + Base",
   110→   110→   "Correct Option": "2.0",
   111→   111→   "Explanation": "Whenever a metal carbonate (like $Na_2CO_3$) reacts with an acid, it consistently produces a salt, water, and Carbon Dioxide gas.",
   112→   112→   "Exam": "UP Board",
   113→   113→   "Year": "2022.0",
   114→   114→   "_sheet_row": 358
   115→   115→  },
   116→   116→  {
   117→   117→   "Subject": "Science",
   118→   118→   "Chapter No.": "2.0",
   119→   119→   "Chapter Name": "Acids, Bases and Salts",
   120→   120→   "Medium": "English",
   121→   121→   "Question": "Which of the following is a dehydrating agent?",
   122→   122→   "Option 1": "Concentrated $H_2SO_4$",
   123→   123→   "Option 2": "Dilute $HCl$",
   124→   124→   "Option 3": "$Ca(OH)_2$",
   125→   125→   "Option 4": "$NaOH$",
   126→   126→   "Correct Option": "1.0",
   127→   127→   "Explanation": "Concentrated Sulphuric acid has a very strong affinity for water and can even remove elements of water from organic compounds (like sugar).",
   128→   128→   "Exam": "ICSE",
   129→   129→   "Year": "2018.0",
   130→   130→   "_sheet_row": 359
   131→   131→  },
   132→   132→  {
   133→   133→   "Subject": "Science",
   134→   134→   "Chapter No.": "2.0",
   135→   135→   "Chapter Name": "Acids, Bases and Salts",
   136→   136→   "Medium": "English",
   137→   137→   "Question": "Sodium hydroxide is also known as:",
   138→   138→   "Option 1": "Baking soda",
   139→   139→   "Option 2": "Caustic soda",
   140→   140→   "Option 3": "Washing soda",
   141→   141→   "Option 4": "Slaked lime",
   142→   142→   "Correct Option": "2.0",
   143→   143→   "Explanation": "$NaOH$ is commonly called Caustic Soda because of its corrosive (caustic) action on animal and vegetable tissues.",
   144→   144→   "Exam": "MP Board",
   145→   145→   "Year": "2021.0",
   146→   146→   "_sheet_row": 360
   147→   147→  },
   148→   148→  {
   149→   149→   "Subject": "Science",
   150→   150→   "Chapter No.": "2.0",
   151→   151→   "Chapter Name": "Acids, Bases and Salts",
   152→   152→   "Medium": "English",
   153→   153→   "Question": "Aqueous solution of Copper Sulphate is:",
   154→   154→   "Option 1": "Acidic",
   155→   155→   "Option 2": "Basic",
   156→   156→   "Option 3": "Neutral",
   157→   157→   "Option 4": "Amphoteric",
   158→   158→   "Correct Option": "1.0",
   159→   159→   "Explanation": "Copper Sulphate is a salt of a strong acid ($H_2SO_4$) and a weak base [$Cu(OH)_2$]. Its hydrolysis in water produces a slight excess of $H^+$ ions, making it acidic.",
   160→   160→   "Exam": "CBSE",
   161→   161→   "Year": "2023.0",
   162→   162→   "_sheet_row": 361
   163→   163→  },
   164→   164→  {
   165→   165→   "Subject": "Science",
   166→   166→   "Chapter No.": "2.0",
   167→   167→   "Chapter Name": "अम्ल, क्षारक एवं लवण",
   168→   168→   "Medium": "Hindi",
   169→   169→   "Question": "एक विलयन में $H^+$ आयन की सांद्रता $10^{-4}$ mol/L है। इसका pH और प्रकृति क्या है?",
   170→   170→   "Option 1": "pH 4, क्षारीय",
   171→   171→   "Option 2": "pH 10, अम्लीय",
   172→   172→   "Option 3": "pH 4, अम्लीय",
   173→   173→   "Option 4": "pH 10, क्षारीय",
   174→   174→   "Correct Option": "3.0",
   175→   175→   "Explanation": "pH की गणना $-log[H^+]$ के रूप में की जाती है। अतः, $-log(10^{-4}) = 4$। चूँकि pH 7 से कम है, इसलिए विलयन अम्लीय है।",
   176→   176→   "Exam": "",
   177→   177→   "Year": "",
   178→   178→   "_sheet_row": 362
   179→   179→  },
   180→   180→  {
   181→   181→   "Subject": "Science",
   182→   182→   "Chapter No.": "2.0",
   183→   183→   "Chapter Name": "अम्ल, क्षारक एवं लवण",
   184→   184→   "Medium": "Hindi",
   185→   185→   "Question": "बढ़ती हुई अम्लीय शक्ति का सही क्रम निम्नलिखित में से कौन सा है?",
   186→   186→   "Option 1": "जल < एसिटिक अम्ल < हाइड्रोक्लोरिक अम्ल",
   187→   187→   "Option 2": "जल < हाइड्रोक्लोरिक अम्ल < एसिटिक अम्ल",
   188→   188→   "Option 3": "एसिटिक अम्ल < जल < हाइड्रोक्लोरिक अम्ल",
   189→   189→   "Option 4": "हाइड्रोक्लोरिक अम्ल < जल < एसिटिक अम्ल",
   190→   190→   "Correct Option": "1.0",
   191→   191→   "Explanation": "जल उदासीन है (pH 7), एसिटिक अम्ल एक दुर्बल कार्बनिक अम्ल है, और हाइड्रोक्लोरिक अम्ल एक प्रबल खनिज अम्ल है जो पूरी तरह से आयनित होता है।",
   192→   192→   "Exam": "CBSE",
   193→   193→   "Year": "2022.0",
   194→   194→   "_sheet_row": 363
   195→   195→  },
   196→   196→  {
   197→   197→   "Subject": "Science",
   198→   198→   "Chapter No.": "2.0",
   199→   199→   "Chapter Name": "अम्ल, क्षारक एवं लवण",
   200→   200→   "Medium": "Hindi",
   201→   201→   "Question": "मिट्टी के एक नमूने को पानी में मिलाकर स्थिर छोड़ दिया गया। साफ ऊपरी विलयन pH पेपर को पीला-नारंगी कर देता है। निम्नलिखित में से कौन इस pH पेपर का रंग बदलकर हरा-नीला कर देगा?",
   202→   202→   "Option 1": "नींबू का रस",
   203→   203→   "Option 2": "सिरका",
   204→   204→   "Option 3": "साधारण नमक",
   205→   205→   "Option 4": "एक एंटासिड (Antacid)",
   206→   206→   "Correct Option": "4.0",
   207→   207→   "Explanation": "पीला-नारंगी रंग दर्शाता है कि मिट्टी अम्लीय है। इसे हरे-नीले (क्षारीय सीमा) की ओर ले जाने के लिए, एंटासिड (मैग्नीशियम हाइड्रॉक्साइड) जैसा क्षारक मिलाना होगा।",
   208→   208→   "Exam": "CBSE",
   209→   209→   "Year": "2021.0",
   210→   210→   "_sheet_row": 364
   211→   211→  },
   212→   212→  {
   213→   213→   "Subject": "Science",
   214→   214→   "Chapter No.": "2.0",
   215→   215→   "Chapter Name": "अम्ल, क्षारक एवं लवण",
   216→   216→   "Medium": "Hindi",
   217→   217→   "Question": "हिलाते हुए तनु हाइड्रोक्लोरिक अम्ल में थोड़ी मात्रा में कॉपर (II) ऑक्साइड मिलाने पर क्या प्रेक्षण होता है?",
   218→   218→   "Option 1": "विलयन नीला-हरा हो जाता है और CuO घुल जाता है",
   219→   219→   "Option 2": "विलयन रंगहीन हो जाता है",
   220→   220→   "Option 3": "तीखी गंध वाली गैस निकलती है",
   221→   221→   "Option 4": "एक पीला अवक्षेप बनता है",
   222→   222→   "Correct Option": "1.0",
   223→   223→   "Explanation": "क्षारीय धातु ऑक्साइड अम्ल के साथ अभिक्रिया करके कॉपर (II) क्लोराइड और जल बनाता है: $CuO + 2HCl \\rightarrow CuCl_2 + H_2O$। $CuCl_2$ विलयन को विशिष्ट नीला-हरा रंग प्रदान करता है।",
   224→   224→   "Exam": "CBSE",
   225→   225→   "Year": "2019.0",
   226→   226→   "_sheet_row": 365
   227→   227→  },
   228→   228→  {
   229→   229→   "Subject": "Science",
   230→   230→   "Chapter No.": "2.0",
   231→   231→   "Chapter Name": "अम्ल, क्षारक एवं लवण",
   232→   232→   "Medium": "Hindi",
   233→   233→   "Question": "ब्राइन (Brine) के विद्युत अपघटन के दौरान कैथोड पर कौन सी गैस मुक्त होती है?",
   234→   234→   "Option 1": "ऑक्सीजन",
   235→   235→   "Option 2": "क्लोरीन",
   236→   236→   "Option 3": "हाइड्रोजन",
   237→   237→   "Option 4": "नाइट्रोजन",
   238→   238→   "Correct Option": "3.0",
   239→   239→   "Explanation": "क्लोर-क्षार प्रक्रिया में, एनोड पर $Cl_2$ बनती है, जबकि कैथोड पर $H_2$ गैस और $NaOH$ विलयन का निर्माण होता है।",
   240→   240→   "Exam": "CBSE",
   241→   241→   "Year": "2020.0",
   242→   242→   "_sheet_row": 366
   243→   243→  },
   244→   244→  {
   245→   245→   "Subject": "Science",
   246→   246→   "Chapter No.": "2.0",
   247→   247→   "Chapter Name": "अम्ल, क्षारक एवं लवण",
   248→   248→   "Medium": "Hindi",
   249→   249→   "Question": "1M $HCl$ और 1M $NaOH$ के समान आयतन को मिलाया जाता है। परिणामी विलयन का pH होगा:",
   250→   250→   "Option 1": "1.0",
   251→   251→   "Option 2": "7.0",
   252→   252→   "Option 3": "14.0",
   253→   253→   "Option 4": "0.0",
   254→   254→   "Correct Option": "2.0",
   255→   255→   "Explanation": "समान सांद्रता वाले प्रबल अम्ल और प्रबल क्षारक की समान मात्रा मिलाने पर पूर्ण उदासीनीकरण होता है, जिससे pH 7 वाला उदासीन लवण ($NaCl$) और जल बनता है।",
   256→   256→   "Exam": "",
   257→   257→   "Year": "",
   258→   258→   "_sheet_row": 367
   259→   259→  },
   260→   260→  {
   261→   261→   "Subject": "Science",
   262→   262→   "Chapter No.": "2.0",
   263→   263→   "Chapter Name": "अम्ल, क्षारक एवं लवण",
   264→   264→   "Medium": "Hindi",
   265→   265→   "Question": "जब चूने के पानी में अतिरिक्त $CO_2$ प्रवाहित की जाती है, तो दूधियापन किसके बनने के कारण गायब हो जाता है?",
   266→   266→   "Option 1": "CaCO3",
   267→   267→   "Option 2": "Ca(OH)2",
   268→   268→   "Option 3": "Ca(HCO3)2",
   269→   269→   "Option 4": "CaO",
   270→   270→   "Correct Option": "3.0",
   271→   271→   "Explanation": "प्रारंभिक दूधियापन $CaCO_3$ के कारण होता है। अतिरिक्त $CO_2$ आगे अभिक्रिया करके कैल्शियम हाइड्रोजनकार्बोनेट बनाती है, जो पानी में घुलनशील है, जिससे विलयन फिर से साफ हो जाता है।",
   272→   272→   "Exam": "CBSE",
   273→   273→   "Year": "2017.0",
   274→   274→   "_sheet_row": 368
   275→   275→  },
   276→   276→  {
   277→   277→   "Subject": "Science",
   278→   278→   "Chapter No.": "2.0",
   279→   279→   "Chapter Name": "अम्ल, क्षारक एवं लवण",
   280→   280→   "Medium": "Hindi",
