     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 1572,
     5→     5→    "data": [
     6→     6→      "Biology",
     7→     7→      3.0,
     8→     8→      "वनस्पति जगत",
     9→     9→      "Hindi",
    10→    10→      "Pinus, आम (mango) से किसमें भिन्न है?",
    11→    11→      "(a) वृक्ष की आदत (tree habit)",
    12→    12→      "(b) हरी पत्तियां",
    13→    13→      "(c) ovules अंडाशय (ovary) में बंद नहीं होते",
    14→    14→      "(d) लकड़ी (wood)",
    15→    15→      3.0,
    16→    16→      "Pinus एक gymnosperm है (नग्न बीज, ovules अंडाशय में नहीं), जबकि आम एक angiosperm है (बीज फलों/अंडाशय में बंद)।",
    17→    17→      "CBSE AIPMT",
    18→    18→      1993.0,
    19→    19→      null
    20→    20→    ]
    21→    21→  },
    22→    22→  {
    23→    23→    "sheet": "Class11",
    24→    24→    "row": 1573,
    25→    25→    "data": [
    26→    26→      "Biology",
    27→    27→      3.0,
    28→    28→      "वनस्पति जगत",
    29→    29→      "Hindi",
    30→    30→      "विकासवादी दृष्टिकोण से कौन सा सबसे अधिक उन्नत (advanced) है?",
    31→    31→      "(a) Selaginella",
    32→    32→      "(b) Funaria",
    33→    33→      "(c) Chlamydomonas",
    34→    34→      "(d) Pinus",
    35→    35→      4.0,
    36→    36→      "Pinus (gymnosperm) विकासवादी रूप से Selaginella (pteridophyte), Funaria (bryophyte), और Chlamydomonas (algae) से अधिक उन्नत है।",
    37→    37→      "CBSE AIPMT",
    38→    38→      1993.0,
    39→    39→      null
    40→    40→    ]
    41→    41→  },
    42→    42→  {
    43→    43→    "sheet": "Class11",
    44→    44→    "row": 1574,
    45→    45→    "data": [
    46→    46→      "Biology",
    47→    47→      3.0,
    48→    48→      "वनस्पति जगत",
    49→    49→      "Hindi",
    50→    50→      "वह पौधा जिसमें बीज होते हैं लेकिन फूल और फल नहीं होते, वह किस वर्ग का है?",
    51→    51→      "(a) pteridophytes",
    52→    52→      "(b) mosses",
    53→    53→      "(c) ferns",
    54→    54→      "(d) gymnosperms",
    55→    55→      4.0,
    56→    56→      "Gymnosperms को नग्न बीज वाले पौधे कहा जाता है क्योंकि उनके बीजांड ढके नहीं होते हैं और उनमें फूल और फल अनुपस्थित होते हैं।",
    57→    57→      "CBSE AIPMT",
    58→    58→      1992.0,
    59→    59→      null
    60→    60→    ]
    61→    61→  },
    62→    62→  {
    63→    63→    "sheet": "Class11",
    64→    64→    "row": 1575,
    65→    65→    "data": [
    66→    66→      "Biology",
    67→    67→      3.0,
    68→    68→      "वनस्पति जगत",
    69→    69→      "Hindi",
    70→    70→      "Pinus में, यदि pollen grain में 6 गुणसूत्र (chromosomes) हैं, तो इसके endosperm में कितने गुणसूत्र होंगे?",
    71→    71→      "(a) 12",
    72→    72→      "(b) 18",
    73→    73→      "(c) 6",
    74→    74→      "(d) 24",
    75→    75→      3.0,
    76→    76→      "Gymnosperms (Pinus) में, endosperm निषेचन से पहले बनता है और अगुणित (n) होता है। यदि pollen (n) 6 है, तो endosperm भी 6 होगा।",
    77→    77→      "CBSE AIPMT",
    78→    78→      1992.0,
    79→    79→      null
    80→    80→    ]
    81→    81→  },
    82→    82→  {
    83→    83→    "sheet": "Class11",
    84→    84→    "row": 1576,
    85→    85→    "data": [
    86→    86→      "Biology",
    87→    87→      3.0,
    88→    88→      "वनस्पति जगत",
    89→    89→      "Hindi",
    90→    90→      "Resin और terpentine किससे प्राप्त होते हैं?",
    91→    91→      "(a) Cycas",
    92→    92→      "(b) Pinus",
    93→    93→      "(c) Cedrus",
    94→    94→      "(d) Abies",
    95→    95→      2.0,
    96→    96→      "Pinus roxburghii राल (resin) और तारपीन (terpentine) का एक स्रोत है।",
    97→    97→      "CBSE AIPMT",
    98→    98→      1992.0,
    99→    99→      null
   100→   100→    ]
   101→   101→  },
   102→   102→  {
   103→   103→    "sheet": "Class11",
   104→   104→    "row": 1577,
   105→   105→    "data": [
   106→   106→      "Biology",
   107→   107→      3.0,
   108→   108→      "वनस्पति जगत",
   109→   109→      "Hindi",
   110→   110→      "Pinus/gymnosperms में, अगुणित (haploid) संरचनाएं हैं:",
   111→   111→      "(a) megaspore, endosperm और embryo",
   112→   112→      "(b) megaspore, pollen grain और endosperm",
   113→   113→      "(c) megaspore, integument और root",
   114→   114→      "(d) pollen grain, leaf और root",
   115→   115→      2.0,
   116→   116→      "Gymnosperms में, megaspore, pollen grain, और endosperm अगुणित होते हैं। Embryo, integument, root, और leaf द्विगुणित होते हैं।",
   117→   117→      "CBSE AIPMT",
   118→   118→      1989.0,
   119→   119→      null
   120→   120→    ]
   121→   121→  },
   122→   122→  {
   123→   123→    "sheet": "Class11",
   124→   124→    "row": 1578,
   125→   125→    "data": [
   126→   126→      "Biology",
   127→   127→      3.0,
   128→   128→      "वनस्पति जगत",
   129→   129→      "Hindi",
   130→   130→      "Pinus/Cycas/gymnosperms में, endosperm होता है:",
   131→   131→      "(a) triploid",
   132→   132→      "(b) haploid",
   133→   133→      "(c) diploid",
   134→   134→      "(d) tetraploid",
   135→   135→      2.0,
   136→   136→      "Gymnosperms में, जैसे Pinus, Cycas में, endosperm निषेचन से पहले विकसित होता है और प्रकृति में अगुणित (haploid) होता है।",
   137→   137→      "CBSE AIPMT",
   138→   138→      1988.0,
   139→   139→      null
   140→   140→    ]
   141→   141→  },
   142→   142→  {
   143→   143→    "sheet": "Class11",
   144→   144→    "row": 1580,
   145→   145→    "data": [
   146→   146→      "Biology",
   147→   147→      3.0,
   148→   148→      "Plant Kingdom",
   149→   149→      "English",
