     1→     1→{
     2→     2→ "batch": 6,
     3→     3→ "questions": [
     4→     4→  {
     5→     5→   "Subject": "Science",
     6→     6→   "Chapter No.": "2.0",
     7→     7→   "Chapter Name": "अम्ल, क्षारक एवं लवण",
     8→     8→   "Medium": "Hindi",
     9→     9→   "Question": "pH स्केल की सीमा (Range) क्या है?",
    10→    10→   "Option 1": "1 से 10",
    11→    11→   "Option 2": "0 से 14",
    12→    12→   "Option 3": "1 से 14",
    13→    13→   "Option 4": "0 से 10",
    14→    14→   "Correct Option": "2.0",
    15→    15→   "Explanation": "pH स्केल, जो $H^+$ आयनों की सांद्रता को मापता है, 0 (अत्यधिक अम्लीय) से 14 (अत्यधिक क्षारीय) तक होता है।",
    16→    16→   "Exam": "Bihar Board",
    17→    17→   "Year": "2021.0",
    18→    18→   "_sheet_row": 252
    19→    19→  },
    20→    20→  {
    21→    21→   "Subject": "Science",
    22→    22→   "Chapter No.": "2.0",
    23→    23→   "Chapter Name": "अम्ल, क्षारक एवं लवण",
    24→    24→   "Medium": "Hindi",
    25→    25→   "Question": "जब कोई अम्ल धातु के साथ अभिक्रिया करता है तो आमतौर पर कौन सी गैस निकलती है?",
    26→    26→   "Option 1": "नाइट्रोजन",
    27→    27→   "Option 2": "ऑक्सीजन",
    28→    28→   "Option 3": "हाइड्रोजन",
    29→    29→   "Option 4": "कार्बन डाइऑक्साइड",
    30→    30→   "Correct Option": "3.0",
    31→    31→   "Explanation": "अम्ल सक्रिय धातुओं के साथ अभिक्रिया करके धातु लवण बनाते हैं और हाइड्रोजन गैस छोड़ते हैं, जो 'पॉप' ध्वनि के साथ जलती है।",
    32→    32→   "Exam": "CBSE",
    33→    33→   "Year": "2019.0",
    34→    34→   "_sheet_row": 253
    35→    35→  },
    36→    36→  {
    37→    37→   "Subject": "Science",
    38→    38→   "Chapter No.": "2.0",
    39→    39→   "Chapter Name": "अम्ल, क्षारक एवं लवण",
    40→    40→   "Medium": "Hindi",
    41→    41→   "Question": "दांतों को सड़ने से बचाने के लिए हमें नियमित ब्रश करने की सलाह दी जाती है। टूथपेस्ट की प्रकृति होती है:",
    42→    42→   "Option 1": "अम्लीय",
    43→    43→   "Option 2": "उदासीन",
    44→    44→   "Option 3": "क्षारीय",
    45→    45→   "Option 4": "संक्षारक",
    46→    46→   "Correct Option": "3.0",
    47→    47→   "Explanation": "मुँह में बैक्टीरिया चीनी से अम्ल पैदा करते हैं। टूथपेस्ट क्षारीय होता है ताकि इन अम्लों को उदासीन कर इनेमल के क्षरण को रोका जा सके।",
    48→    48→   "Exam": "CBSE",
    49→    49→   "Year": "2023.0",
    50→    50→   "_sheet_row": 254
    51→    51→  },
    52→    52→  {
    53→    53→   "Subject": "Science",
    54→    54→   "Chapter No.": "2.0",
    55→    55→   "Chapter Name": "अम्ल, क्षारक एवं लवण",
    56→    56→   "Medium": "Hindi",
    57→    57→   "Question": "प्लास्टर ऑफ पेरिस किसके द्वारा कठोर हो जाता है?",
    58→    58→   "Option 1": "CO2 खोकर",
    59→    59→   "Option 2": "CO2 सोखकर",
    60→    60→   "Option 3": "जल के साथ जलयोजन से",
    61→    61→   "Option 4": "जल खोकर",
    62→    62→   "Correct Option": "3.0",
    63→    63→   "Explanation": "जब $CaSO_4 \\cdot 1/2 H_2O$ (POP) में जल मिलाया जाता है, तो यह वापस $CaSO_4 \\cdot 2H_2O$ (जिप्सम) में बदल जाता है, जो एक कठोर ठोस द्रव्यमान है।",
    64→    64→   "Exam": "CBSE",
    65→    65→   "Year": "2022.0",
    66→    66→   "_sheet_row": 255
    67→    67→  },
    68→    68→  {
    69→    69→   "Subject": "Science",
    70→    70→   "Chapter No.": "2.0",
    71→    71→   "Chapter Name": "अम्ल, क्षारक एवं लवण",
    72→    72→   "Medium": "Hindi",
    73→    73→   "Question": "एक जलीय विलयन लाल लिटमस को नीला कर देता है। निम्नलिखित में से किसे अधिक मात्रा में मिलाने पर यह परिवर्तन उलट जाएगा?",
    74→    74→   "Option 1": "बेकिंग पाउडर",
    75→    75→   "Option 2": "चूना",
    76→    76→   "Option 3": "अमोनियम हाइड्रॉक्साइड",
    77→    77→   "Option 4": "हाइड्रोक्लोरिक अम्ल",
    78→    78→   "Correct Option": "4.0",
    79→    79→   "Explanation": "विलयन क्षारीय है। इसे उलटने के लिए (अम्लीय बनाने के लिए), $HCl$ जैसे अम्ल को अधिक मात्रा में मिलाना होगा।",
    80→    80→   "Exam": "CBSE",
    81→    81→   "Year": "2020.0",
    82→    82→   "_sheet_row": 256
    83→    83→  },
    84→    84→  {
    85→    85→   "Subject": "Science",
    86→    86→   "Chapter No.": "2.0",
    87→    87→   "Chapter Name": "अम्ल, क्षारक एवं लवण",
    88→    88→   "Medium": "Hindi",
    89→    89→   "Question": "साधारण नमक का रासायनिक नाम क्या है?",
    90→    90→   "Option 1": "सोडियम कार्बोनेट",
    91→    91→   "Option 2": "सोडियम क्लोराइड",
    92→    92→   "Option 3": "सोडियम बाइकार्बोनेट",
    93→    93→   "Option 4": "सोडियम हाइड्रॉक्साइड",
    94→    94→   "Correct Option": "2.0",
    95→    95→   "Explanation": "सोडियम क्लोराइड ($NaCl$) वह नमक है जिसका उपयोग भोजन में किया जाता है और यह समुद्र के पानी या सेंधा नमक से प्राप्त होता है।",
    96→    96→   "Exam": "MP Board",
    97→    97→   "Year": "2021.0",
    98→    98→   "_sheet_row": 257
    99→    99→  },
   100→   100→  {
   101→   101→   "Subject": "Science",
   102→   102→   "Chapter No.": "2.0",
   103→   103→   "Chapter Name": "अम्ल, क्षारक एवं लवण",
   104→   104→   "Medium": "Hindi",
   105→   105→   "Question": "कौन सा सूचक क्षारीय विलयन में गुलाबी रंग देता है?",
   106→   106→   "Option 1": "मिथाइल ऑरेंज",
   107→   107→   "Option 2": "लिटमस",
   108→   108→   "Option 3": "फेनोल्फथलीन",
   109→   109→   "Option 4": "हल्दी",
   110→   110→   "Correct Option": "3.0",
   111→   111→   "Explanation": "फेनोल्फथलीन अम्लीय या उदासीन विलयन में रंगहीन रहता है लेकिन क्षारीय विलयन में चमकीला गुलाबी हो जाता है।",
   112→   112→   "Exam": "CBSE",
   113→   113→   "Year": "2018.0",
   114→   114→   "_sheet_row": 258
   115→   115→  },
   116→   116→  {
   117→   117→   "Subject": "Science",
   118→   118→   "Chapter No.": "2.0",
   119→   119→   "Chapter Name": "अम्ल, क्षारक एवं लवण",
   120→   120→   "Medium": "Hindi",
   121→   121→   "Question": "जब अम्ल वर्षा का जल नदियों में बहता है, तो यह pH कम कर देता है। इससे जलीय जीवन का जीवित रहना:",
   122→   122→   "Option 1": "आसान हो जाता है",
   123→   123→   "Option 2": "कठिन हो जाता है",
   124→   124→   "Option 3": "अपरिवर्तित रहता है",
   125→   125→   "Option 4": "बेहतर हो जाता है",
   126→   126→   "Correct Option": "2.0",
   127→   127→   "Explanation": "अधिकांश जलीय जीव pH की एक संकीर्ण सीमा में ही जीवित रह सकते हैं। अम्ल वर्षा (pH < 5.6) पानी को मछलियों के लिए बहुत अम्लीय बना देती है।",
   128→   128→   "Exam": "CBSE",
   129→   129→   "Year": "2021.0",
   130→   130→   "_sheet_row": 259
   131→   131→  },
   132→   132→  {
   133→   133→   "Subject": "Science",
   134→   134→   "Chapter No.": "2.0",
   135→   135→   "Chapter Name": "अम्ल, क्षारक एवं लवण",
   136→   136→   "Medium": "Hindi",
   137→   137→   "Question": "नेटल (Nettle) की पत्तियों के डंक से किसकी उपस्थिति के कारण जलन वाला दर्द होता है?",
   138→   138→   "Option 1": "साइट्रिक अम्ल",
   139→   139→   "Option 2": "मेथेनोइक अम्ल",
   140→   140→   "Option 3": "टार्टरिक अम्ल",
   141→   141→   "Option 4": "सल्फ्यूरिक अम्ल",
   142→   142→   "Correct Option": "2.0",
   143→   143→   "Explanation": "नेटल की पत्ती के बाल त्वचा में मेथेनोइक अम्ल (फॉर्मिक अम्ल) इंजेक्ट करते हैं, जिससे दर्दनाक जलन महसूस होती है।",
   144→   144→   "Exam": "CBSE",
   145→   145→   "Year": "2017.0",
   146→   146→   "_sheet_row": 260
   147→   147→  },
   148→   148→  {
   149→   149→   "Subject": "Science",
   150→   150→   "Chapter No.": "2.0",
   151→   151→   "Chapter Name": "अम्ल, क्षारक एवं लवण",
   152→   152→   "Medium": "Hindi",
   153→   153→   "Question": "क्लोर-क्षार (Chlor-alkali) प्रक्रिया का उपयोग किसे बनाने के लिए किया जाता है?",
   154→   154→   "Option 1": "H2 और Cl2",
   155→   155→   "Option 2": "NaOH, H2 और Cl2",
   156→   156→   "Option 3": "NaCl",
   157→   157→   "Option 4": "NaHCO3",
   158→   158→   "Correct Option": "2.0",
   159→   159→   "Explanation": "जब ब्राइन ($NaCl$ विलयन) से बिजली गुजारी जाती है, तो यह क्लोरीन गैस ($Cl_2$), हाइड्रोजन गैस ($H_2$) और सोडियम हाइड्रॉक्साइड ($NaOH$) देने के लिए अपघटित हो जाता है।",
   160→   160→   "Exam": "CBSE",
   161→   161→   "Year": "2019.0",
   162→   162→   "_sheet_row": 261
   163→   163→  },
   164→   164→  {
   165→   165→   "Subject": "Science",
   166→   166→   "Chapter No.": "2.0",
   167→   167→   "Chapter Name": "Acids, Bases and Salts",
   168→   168→   "Medium": "English",
   169→   169→   "Question": "Which of the following is an olfactory indicator?",
   170→   170→   "Option 1": "Litmus",
   171→   171→   "Option 2": "Vanilla essence",
   172→   172→   "Option 3": "Methyl orange",
   173→   173→   "Option 4": "Phenolphthalein",
   174→   174→   "Correct Option": "2.0",
   175→   175→   "Explanation": "Olfactory indicators are substances whose odor changes in acidic or basic media. Vanilla essence retains its smell in acid but loses it in basic solutions.",
   176→   176→   "Exam": "CBSE",
   177→   177→   "Year": "2020.0",
   178→   178→   "_sheet_row": 262
   179→   179→  },
   180→   180→  {
   181→   181→   "Subject": "Science",
   182→   182→   "Chapter No.": "2.0",
   183→   183→   "Chapter Name": "Acids, Bases and Salts",
   184→   184→   "Medium": "English",
   185→   185→   "Question": "What is the chemical name of the compound which is used as an oxidizing agent in many chemical industries and for disinfecting drinking water?",
   186→   186→   "Option 1": "Sodium chloride",
   187→   187→   "Option 2": "Calcium oxychloride",
   188→   188→   "Option 3": "Calcium sulphate",
   189→   189→   "Option 4": "Sodium hydrogencarbonate",
   190→   190→   "Correct Option": "2.0",
   191→   191→   "Explanation": "Calcium oxychloride (Bleaching powder, $CaOCl_2$) releases chlorine which kills germs and acts as a strong oxidizing agent.",
   192→   192→   "Exam": "CBSE",
   193→   193→   "Year": "2017.0",
   194→   194→   "_sheet_row": 263
   195→   195→  },
   196→   196→  {
   197→   197→   "Subject": "Science",
   198→   198→   "Chapter No.": "2.0",
   199→   199→   "Chapter Name": "Acids, Bases and Salts",
   200→   200→   "Medium": "English",
   201→   201→   "Question": "The pH of gastric juices released during digestion is:",
   202→   202→   "Option 1": "Less than 7",
   203→   203→   "Option 2": "More than 7",
   204→   204→   "Option 3": "Equal to 7",
   205→   205→   "Option 4": "Equal to 0",
   206→   206→   "Correct Option": "1.0",
   207→   207→   "Explanation": "The stomach produces Hydrochloric acid ($HCl$) to help in digestion, making the gastric juice highly acidic with a pH usually between 1.5 and 3.5.",
   208→   208→   "Exam": "CBSE",
   209→   209→   "Year": "2019.0",
   210→   210→   "_sheet_row": 264
   211→   211→  },
   212→   212→  {
   213→   213→   "Subject": "Science",
   214→   214→   "Chapter No.": "2.0",
   215→   215→   "Chapter Name": "Acids, Bases and Salts",
   216→   216→   "Medium": "English",
   217→   217→   "Question": "Which of the following statements is correct about an aqueous solution of an acid and of a base? (i) Higher the pH, stronger the acid (ii) Higher the pH, weaker the acid (iii) Lower the pH, stronger the base (iv) Lower the pH, weaker the base",
   218→   218→   "Option 1": "(i) and (iii)",
   219→   219→   "Option 2": "(ii) and (iii)",
   220→   220→   "Option 3": "(i) and (iv)",
   221→   221→   "Option 4": "(ii) and (iv)",
   222→   222→   "Correct Option": "4.0",
   223→   223→   "Explanation": "The pH scale is inversely proportional to $H^+$ concentration. A high pH means low $H^+$ (weak acid) and low pH means high $H^+$ (weak base/strong acid).",
   224→   224→   "Exam": "CBSE",
   225→   225→   "Year": "2021.0",
   226→   226→   "_sheet_row": 265
   227→   227→  },
   228→   228→  {
   229→   229→   "Subject": "Science",
   230→   230→   "Chapter No.": "2.0",
   231→   231→   "Chapter Name": "Acids, Bases and Salts",
   232→   232→   "Medium": "English",
   233→   233→   "Question": "Copper sulphate crystals when heated in a test tube turn:",
   234→   234→   "Option 1": "Blue to Green",
   235→   235→   "Option 2": "Blue to White",
   236→   236→   "Option 3": "White to Blue",
   237→   237→   "Option 4": "Blue to Black",
   238→   238→   "Correct Option": "2.0",
   239→   239→   "Explanation": "Hydrated copper sulphate ($CuSO_4 \\cdot 5H_2O$) is blue. On heating, it loses its water of crystallization to become anhydrous copper sulphate ($CuSO_4$), which is white.",
   240→   240→   "Exam": "CBSE",
   241→   241→   "Year": "2018.0",
   242→   242→   "_sheet_row": 266
   243→   243→  },
   244→   244→  {
   245→   245→   "Subject": "Science",
   246→   246→   "Chapter No.": "2.0",
   247→   247→   "Chapter Name": "Acids, Bases and Salts",
   248→   248→   "Medium": "English",
   249→   249→   "Question": "Which of the following is used to treat a bee sting?",
   250→   250→   "Option 1": "Vinegar",
   251→   251→   "Option 2": "Lemon juice",
   252→   252→   "Option 3": "Baking soda",
   253→   253→   "Option 4": "Hydrochloric acid",
   254→   254→   "Correct Option": "3.0",
   255→   255→   "Explanation": "A bee sting is acidic (methanoic acid). Applying a mild base like Baking soda ($NaHCO_3$) neutralizes the acid and provides relief.",
   256→   256→   "Exam": "UP Board",
   257→   257→   "Year": "2020.0",
   258→   258→   "_sheet_row": 267
   259→   259→  },
   260→   260→  {
   261→   261→   "Subject": "Science",
   262→   262→   "Chapter No.": "2.0",
   263→   263→   "Chapter Name": "Acids, Bases and Salts",
   264→   264→   "Medium": "English",
   265→   265→   "Question": "A solution reacts with crushed eggshells to give a gas that turns lime-water milky. The solution contains:",
   266→   266→   "Option 1": "$NaCl$",
   267→   267→   "Option 2": "$HCl$",
   268→   268→   "Option 3": "$LiCl$",
   269→   269→   "Option 4": "$KCl$",
   270→   270→   "Correct Option": "2.0",
   271→   271→   "Explanation": "Eggshells are made of Calcium Carbonate ($CaCO_3$). It reacts with $HCl$ to release $CO_2$ gas, which turns lime water milky.",
   272→   272→   "Exam": "CBSE",
   273→   273→   "Year": "2023.0",
   274→   274→   "_sheet_row": 268
   275→   275→  },
   276→   276→  {
   277→   277→   "Subject": "Science",
   278→   278→   "Chapter No.": "2.0",
   279→   279→   "Chapter Name": "Acids, Bases and Salts",
   280→   280→   "Medium": "English",
   281→   281→   "Question": "Which of the following is a strong base?",
