     1→     1→{
     2→     2→ "batch": 1,
     3→     3→ "questions": [
     4→     4→  {
     5→     5→   "Subject": "Science",
     6→     6→   "Chapter No.": "1.0",
     7→     7→   "Chapter Name": "Chemical Reactions and Equations",
     8→     8→   "Medium": "English",
     9→     9→   "Question": "Which of the following is a decomposition reaction?",
    10→    10→   "Option 1": "NaOH + HCl -> NaCl + H2O",
    11→    11→   "Option 2": "NH4Cl -> NH3 + HCl",
    12→    12→   "Option 3": "H2 + Cl2 -> 2HCl",
    13→    13→   "Option 4": "Zn + CuSO4 -> ZnSO4 + Cu",
    14→    14→   "Correct Option": "2.0",
    15→    15→   "Explanation": "A decomposition reaction involves a single compound breaking down into two or more simpler substances. Ammonium chloride breaking into ammonia and hydrogen chloride is a classic example.",
    16→    16→   "Exam": "CBSE",
    17→    17→   "Year": "2020.0",
    18→    18→   "_sheet_row": 2
    19→    19→  },
    20→    20→  {
    21→    21→   "Subject": "Science",
    22→    22→   "Chapter No.": "1.0",
    23→    23→   "Chapter Name": "Chemical Reactions and Equations",
    24→    24→   "Medium": "English",
    25→    25→   "Question": "What happens when dilute hydrochloric acid is added to iron filings?",
    26→    26→   "Option 1": "Hydrogen gas and iron chloride are produced",
    27→    27→   "Option 2": "Chlorine gas and iron hydroxide are produced",
    28→    28→   "Option 3": "No reaction takes place",
    29→    29→   "Option 4": "Iron salt and water are produced",
    30→    30→   "Correct Option": "1.0",
    31→    31→   "Explanation": "When a metal reacts with an acid, it displaces hydrogen to form a metal salt and hydrogen gas. Fe + 2HCl -> FeCl2 + H2.",
    32→    32→   "Exam": "CBSE",
    33→    33→   "Year": "2023.0",
    34→    34→   "_sheet_row": 3
    35→    35→  },
    36→    36→  {
    37→    37→   "Subject": "Science",
    38→    38→   "Chapter No.": "2.0",
    39→    39→   "Chapter Name": "Acids, Bases and Salts",
    40→    40→   "Medium": "English",
    41→    41→   "Question": "Which gas is evolved when sodium hydrogencarbonate reacts with ethanoic acid?",
    42→    42→   "Option 1": "Hydrogen",
    43→    43→   "Option 2": "Carbon dioxide",
    44→    44→   "Option 3": "Oxygen",
    45→    45→   "Option 4": "Nitrogen",
    46→    46→   "Correct Option": "2.0",
    47→    47→   "Explanation": "Sodium hydrogencarbonate (baking soda) reacts with acids to produce carbon dioxide gas, which turns lime water milky.",
    48→    48→   "Exam": "CBSE",
    49→    49→   "Year": "2019.0",
    50→    50→   "_sheet_row": 4
    51→    51→  },
    52→    52→  {
    53→    53→   "Subject": "Science",
    54→    54→   "Chapter No.": "2.0",
    55→    55→   "Chapter Name": "Acids, Bases and Salts",
    56→    56→   "Medium": "English",
    57→    57→   "Question": "The pH of a solution is 3. The solution is:",
    58→    58→   "Option 1": "Strongly Basic",
    59→    59→   "Option 2": "Weakly Basic",
    60→    60→   "Option 3": "Strongly Acidic",
    61→    61→   "Option 4": "Neutral",
    62→    62→   "Correct Option": "3.0",
    63→    63→   "Explanation": "On the pH scale, values from 0 to 6 are acidic. A pH of 3 is considered strongly acidic as it is far from the neutral value of 7.",
    64→    64→   "Exam": "HBSE",
    65→    65→   "Year": "2022.0",
    66→    66→   "_sheet_row": 5
    67→    67→  },
    68→    68→  {
    69→    69→   "Subject": "Science",
    70→    70→   "Chapter No.": "3.0",
    71→    71→   "Chapter Name": "Metals and Non-metals",
    72→    72→   "Medium": "English",
    73→    73→   "Question": "Which of the following metals exists in a liquid state at room temperature?",
    74→    74→   "Option 1": "Sodium",
    75→    75→   "Option 2": "Mercury",
    76→    76→   "Option 3": "Magnesium",
    77→    77→   "Option 4": "Gallium",
    78→    78→   "Correct Option": "2.0",
    79→    79→   "Explanation": "Mercury is the only metal that remains in a liquid state at standard room temperature and pressure.",
    80→    80→   "Exam": "CBSE",
    81→    81→   "Year": "2021.0",
    82→    82→   "_sheet_row": 6
    83→    83→  },
    84→    84→  {
    85→    85→   "Subject": "Science",
    86→    86→   "Chapter No.": "3.0",
    87→    87→   "Chapter Name": "Metals and Non-metals",
    88→    88→   "Medium": "English",
    89→    89→   "Question": "An alloy is:",
    90→    90→   "Option 1": "An element",
    91→    91→   "Option 2": "A compound",
    92→    92→   "Option 3": "A homogeneous mixture",
    93→    93→   "Option 4": "A heterogeneous mixture",
    94→    94→   "Correct Option": "3.0",
    95→    95→   "Explanation": "An alloy is a homogeneous mixture of two or more metals, or a metal and a non-metal, designed to enhance properties like strength or corrosion resistance.",
    96→    96→   "Exam": "ICSE",
    97→    97→   "Year": "2018.0",
    98→    98→   "_sheet_row": 7
    99→    99→  },
   100→   100→  {
   101→   101→   "Subject": "Science",
   102→   102→   "Chapter No.": "6.0",
   103→   103→   "Chapter Name": "Life Processes",
   104→   104→   "Medium": "English",
   105→   105→   "Question": "The breakdown of pyruvate to give carbon dioxide, water and energy takes place in:",
   106→   106→   "Option 1": "Cytoplasm",
   107→   107→   "Option 2": "Mitochondria",
   108→   108→   "Option 3": "Chloroplast",
   109→   109→   "Option 4": "Nucleus",
   110→   110→   "Correct Option": "2.0",
   111→   111→   "Explanation": "Aerobic respiration occurs in the mitochondria, where pyruvate is completely oxidized into CO2, water, and ATP.",
   112→   112→   "Exam": "CBSE",
   113→   113→   "Year": "2020.0",
   114→   114→   "_sheet_row": 8
   115→   115→  },
   116→   116→  {
   117→   117→   "Subject": "Science",
   118→   118→   "Chapter No.": "6.0",
   119→   119→   "Chapter Name": "Life Processes",
   120→   120→   "Medium": "English",
   121→   121→   "Question": "Which of the following is the site of exchange of gases in humans?",
   122→   122→   "Option 1": "Trachea",
   123→   123→   "Option 2": "Alveoli",
   124→   124→   "Option 3": "Bronchi",
   125→   125→   "Option 4": "Larynx",
   126→   126→   "Correct Option": "2.0",
   127→   127→   "Explanation": "Alveoli are tiny balloon-like structures in the lungs that provide a large surface area for the diffusion of oxygen and carbon dioxide.",
   128→   128→   "Exam": "UP Board",
   129→   129→   "Year": "2022.0",
   130→   130→   "_sheet_row": 9
   131→   131→  },
   132→   132→  {
   133→   133→   "Subject": "Science",
   134→   134→   "Chapter No.": "10.0",
   135→   135→   "Chapter Name": "Light - Reflection and Refraction",
   136→   136→   "Medium": "English",
   137→   137→   "Question": "The image formed by a concave mirror is real, inverted and of the same size as the object. The position of the object is:",
   138→   138→   "Option 1": "At focus",
   139→   139→   "Option 2": "At infinity",
   140→   140→   "Option 3": "At the centre of curvature",
   141→   141→   "Option 4": "Between focus and pole",
   142→   142→   "Correct Option": "3.0",
   143→   143→   "Explanation": "When an object is placed at the Centre of Curvature (C), the image is also formed at C, is real, inverted, and exactly the same size.",
   144→   144→   "Exam": "CBSE",
   145→   145→   "Year": "2023.0",
   146→   146→   "_sheet_row": 10
   147→   147→  },
   148→   148→  {
   149→   149→   "Subject": "Science",
   150→   150→   "Chapter No.": "10.0",
   151→   151→   "Chapter Name": "Light - Reflection and Refraction",
   152→   152→   "Medium": "English",
   153→   153→   "Question": "A convex lens has a focal length of 20 cm. What is its power?",
   154→   154→   "Option 1": "(+) 5 D",
   155→   155→   "Option 2": "-5 D",
   156→   156→   "Option 3": "(+)2 D",
   157→   157→   "Option 4": "",
   158→   158→   "Correct Option": "1.0",
   159→   159→   "Explanation": "Power (P) = 1/f (in meters). So, P = 1/0.20 = +5 Dioptres. Convex lenses always have positive power.",
   160→   160→   "Exam": "HBSE",
   161→   161→   "Year": "2021.0",
   162→   162→   "_sheet_row": 11
   163→   163→  },
   164→   164→  {
   165→   165→   "Subject": "Science",
   166→   166→   "Chapter No.": "12.0",
   167→   167→   "Chapter Name": "Electricity",
   168→   168→   "Medium": "English",
   169→   169→   "Question": "The unit of electrical resistivity is:",
   170→   170→   "Option 1": "Ohm",
   171→   171→   "Option 2": "Ohm-meter",
   172→   172→   "Option 3": "Ampere",
   173→   173→   "Option 4": "Volt",
   174→   174→   "Correct Option": "2.0",
   175→   175→   "Explanation": "Resistivity is a property of the material. From R = ρ(L/A), we get ρ = RA/L, which gives units as Ohm * m^2 / m = Ohm-meter.",
   176→   176→   "Exam": "CBSE",
   177→   177→   "Year": "2022.0",
   178→   178→   "_sheet_row": 12
   179→   179→  },
   180→   180→  {
   181→   181→   "Subject": "Science",
   182→   182→   "Chapter No.": "12.0",
   183→   183→   "Chapter Name": "Electricity",
   184→   184→   "Medium": "English",
   185→   185→   "Question": "Three resistors of 2 ohms each are connected in series. The equivalent resistance is:",
   186→   186→   "Option 1": "2/3 ohm",
   187→   187→   "Option 2": "6 ohms",
   188→   188→   "Option 3": "3/2 ohms",
   189→   189→   "Option 4": "4 ohms",
   190→   190→   "Correct Option": "2.0",
   191→   191→   "Explanation": "In a series connection, the total resistance is the sum of individual resistances: 2 + 2 + 2 = 6 ohms.",
   192→   192→   "Exam": "CBSE",
   193→   193→   "Year": "2017.0",
   194→   194→   "_sheet_row": 13
   195→   195→  },
   196→   196→  {
   197→   197→   "Subject": "Science",
   198→   198→   "Chapter No.": "4.0",
   199→   199→   "Chapter Name": "Carbon and its Compounds",
   200→   200→   "Medium": "English",
   201→   201→   "Question": "Which functional group is present in Ethanol?",
   202→   202→   "Option 1": "-CHO",
   203→   203→   "Option 2": "-COOH",
   204→   204→   "Option 3": "-OH",
   205→   205→   "Option 4": "-CO-",
   206→   206→   "Correct Option": "3.0",
   207→   207→   "Explanation": "Ethanol belongs to the alcohol family, which is characterized by the hydroxyl (-OH) functional group.",
   208→   208→   "Exam": "CBSE",
   209→   209→   "Year": "2019.0",
   210→   210→   "_sheet_row": 14
   211→   211→  },
   212→   212→  {
   213→   213→   "Subject": "Science",
   214→   214→   "Chapter No.": "4.0",
   215→   215→   "Chapter Name": "Carbon and its Compounds",
   216→   216→   "Medium": "English",
   217→   217→   "Question": "Buckminsterfullerene is an allotropic form of:",
   218→   218→   "Option 1": "Phosphorus",
   219→   219→   "Option 2": "Sulphur",
   220→   220→   "Option 3": "Carbon",
   221→   221→   "Option 4": "Tin",
   222→   222→   "Correct Option": "3.0",
   223→   223→   "Explanation": "Fullerenes are a class of carbon allotropes where atoms are arranged in a hollow sphere, the most famous being C60.",
   224→   224→   "Exam": "ICSE",
   225→   225→   "Year": "2020.0",
   226→   226→   "_sheet_row": 15
   227→   227→  },
   228→   228→  {
   229→   229→   "Subject": "Science",
   230→   230→   "Chapter No.": "8.0",
   231→   231→   "Chapter Name": "How do Organisms Reproduce?",
   232→   232→   "Medium": "English",
   233→   233→   "Question": "Asexual reproduction takes place through budding in:",
   234→   234→   "Option 1": "Amoeba",
   235→   235→   "Option 2": "Yeast",
   236→   236→   "Option 3": "Plasmodium",
   237→   237→   "Option 4": "Leishmania",
   238→   238→   "Correct Option": "2.0",
   239→   239→   "Explanation": "Yeast cells reproduce by developing a small outgrowth or 'bud' that eventually detaches to become a new individual.",
   240→   240→   "Exam": "CBSE",
   241→   241→   "Year": "2023.0",
   242→   242→   "_sheet_row": 16
   243→   243→  },
   244→   244→  {
   245→   245→   "Subject": "Science",
   246→   246→   "Chapter No.": "9.0",
   247→   247→   "Chapter Name": "Heredity",
   248→   248→   "Medium": "English",
   249→   249→   "Question": "The process by which new species develop from existing ones is called:",
   250→   250→   "Option 1": "Evolution",
   251→   251→   "Option 2": "Speciation",
   252→   252→   "Option 3": "Hybridization",
   253→   253→   "Option 4": "Genetic Drift",
   254→   254→   "Correct Option": "2.0",
   255→   255→   "Explanation": "Speciation is the evolutionary process by which populations evolve to become distinct species.",
   256→   256→   "Exam": "Bihar Board",
   257→   257→   "Year": "2021.0",
   258→   258→   "_sheet_row": 17
   259→   259→  },
   260→   260→  {
   261→   261→   "Subject": "Science",
   262→   262→   "Chapter No.": "13.0",
   263→   263→   "Chapter Name": "Magnetic Effects of Electric Current",
   264→   264→   "Medium": "English",
   265→   265→   "Question": "The device used for producing electric current is called a:",
   266→   266→   "Option 1": "Generator",
   267→   267→   "Option 2": "Galvanometer",
   268→   268→   "Option 3": "Ammeter",
   269→   269→   "Option 4": "Motor",
   270→   270→   "Correct Option": "1.0",
   271→   271→   "Explanation": "An electric generator converts mechanical energy into electrical energy based on electromagnetic induction.",
   272→   272→   "Exam": "CBSE",
   273→   273→   "Year": "2018.0",
   274→   274→   "_sheet_row": 18
   275→   275→  },
   276→   276→  {
   277→   277→   "Subject": "Science",
   278→   278→   "Chapter No.": "13.0",
   279→   279→   "Chapter Name": "Magnetic Effects of Electric Current",
   280→   280→   "Medium": "English",
   281→   281→   "Question": "Inside a bar magnet, the magnetic field lines move from:",
   282→   282→   "Option 1": "North to South",
   283→   283→   "Option 2": "South to North",
   284→   284→   "Option 3": "West to East",
   285→   285→   "Option 4": "East to West",
   286→   286→   "Correct Option": "2.0",
   287→   287→   "Explanation": "While field lines go North to South outside the magnet, they complete the loop by traveling South to North inside the magnet.",
   288→   288→   "Exam": "CBSE",
   289→   289→   "Year": "2022.0",
   290→   290→   "_sheet_row": 19
   291→   291→  },
   292→   292→  {
   293→   293→   "Subject": "Science",
   294→   294→   "Chapter No.": "15.0",
   295→   295→   "Chapter Name": "Our Environment",
   296→   296→   "Medium": "English",
   297→   297→   "Question": "In a food chain, the third trophic level is always occupied by:",
   298→   298→   "Option 1": "Carnivores",
   299→   299→   "Option 2": "Herbivores",
   300→   300→   "Option 3": "Decomposers",
   301→   301→   "Option 4": "Producers",
   302→   302→   "Correct Option": "1.0",
   303→   303→   "Explanation": "Producers are 1st, Herbivores are 2nd, and Carnivores that eat herbivores occupy the 3rd trophic level.",
   304→   304→   "Exam": "",
   305→   305→   "Year": "",
   306→   306→   "_sheet_row": 20
   307→   307→  },
   308→   308→  {
   309→   309→   "Subject": "Science",
   310→   310→   "Chapter No.": "2.0",
   311→   311→   "Chapter Name": "Acids, Bases and Salts",
   312→   312→   "Medium": "English",
   313→   313→   "Question": "Which of the following is used for softening hard water?",
   314→   314→   "Option 1": "Baking soda",
   315→   315→   "Option 2": "Washing soda",
   316→   316→   "Option 3": "Bleaching powder",
   317→   317→   "Option 4": "Plaster of Paris",
   318→   318→   "Correct Option": "2.0",
   319→   319→   "Explanation": "Sodium carbonate (Washing Soda) is used in the treatment of hard water to remove permanent hardness.",
   320→   320→   "Exam": "CBSE",
   321→   321→   "Year": "2021.0",
   322→   322→   "_sheet_row": 21
   323→   323→  },
   324→   324→  {
   325→   325→   "Subject": "Science",
   326→   326→   "Chapter No.": "1.0",
   327→   327→   "Chapter Name": "रासायनिक अभिक्रियाएँ एवं समीकरण",
   328→   328→   "Medium": "Hindi",
   329→   329→   "Question": "निम्नलिखित में से कौन सी एक वियोजन (Decomposition) अभिक्रिया है?",
   330→   330→   "Option 1": "NaOH + HCl -> NaCl + H2O",
   331→   331→   "Option 2": "NH4Cl -> NH3 + HCl",
   332→   332→   "Option 3": "H2 + Cl2 -> 2HCl",
