     1→     1→{
     2→     2→ "batch": 14,
     3→     3→ "questions": [
     4→     4→  {
     5→     5→   "Subject": "Science",
     6→     6→   "Chapter No.": "4.0",
     7→     7→   "Chapter Name": "कार्बन एवं उसके यौगिक",
     8→     8→   "Medium": "Hindi",
     9→     9→   "Question": "खाना पकाते समय यदि बर्तन का तल बाहर से काला हो रहा है, तो इसका अर्थ है कि:",
    10→    10→   "Option 1": "भोजन पूरी तरह से नहीं पका है",
    11→    11→   "Option 2": "ईंधन का पूर्ण दहन नहीं हो रहा है",
    12→    12→   "Option 3": "ईंधन गीला है",
    13→    13→   "Option 4": "ईंधन पूरी तरह से जल रहा है",
    14→    14→   "Correct Option": "2.0",
    15→    15→   "Explanation": "बर्तन का काला होना (कालिख बनना) अपूर्ण दहन को दर्शाता है, जो आमतौर पर बर्नर के वायु छिद्रों से ऑक्सीजन की अपर्याप्त आपूर्ति के कारण होता है।",
    16→    16→   "Exam": "CBSE",
    17→    17→   "Year": "2017.0",
    18→    18→   "_sheet_row": 652
    19→    19→  },
    20→    20→  {
    21→    21→   "Subject": "Science",
    22→    22→   "Chapter No.": "4.0",
    23→    23→   "Chapter Name": "कार्बन एवं उसके यौगिक",
    24→    24→   "Medium": "Hindi",
    25→    25→   "Question": "निम्नलिखित में से असंतृप्त (Unsaturated) यौगिक की पहचान करें:",
    26→    26→   "Option 1": "प्रोपेन",
    27→    27→   "Option 2": "प्रोपीन",
    28→    28→   "Option 3": "प्रोपाइन",
    29→    29→   "Option 4": "2 और 3 दोनों",
    30→    30→   "Correct Option": "4.0",
    31→    31→   "Explanation": "प्रोपीन (द्वि-बंध) और प्रोपाइन (त्रि-बंध) असंतृप्त हैं। प्रोपेन (एकल बंध) संतृप्त है।",
    32→    32→   "Exam": "CBSE",
    33→    33→   "Year": "2019.0",
    34→    34→   "_sheet_row": 653
    35→    35→  },
    36→    36→  {
    37→    37→   "Subject": "Science",
    38→    38→   "Chapter No.": "4.0",
    39→    39→   "Chapter Name": "कार्बन एवं उसके यौगिक",
    40→    40→   "Medium": "Hindi",
    41→    41→   "Question": "कार्बन अपने चार संयोजकता इलेक्ट्रॉनों को चार एकसंयोजी परमाणुओं (जैसे हाइड्रोजन) के साथ साझा करके चार सहसंयोजक बंध बनाता है। चार बंधों के निर्माण के बाद, कार्बन किसका इलेक्ट्रॉनिक विन्यास प्राप्त करता है?",
    42→    42→   "Option 1": "हीलियम",
    43→    43→   "Option 2": "नियोन",
    44→    44→   "Option 3": "आर्गन",
    45→    45→   "Option 4": "क्रिप्टोन",
    46→    46→   "Correct Option": "2.0",
    47→    47→   "Explanation": "कार्बन (परमाणु संख्या 6, विन्यास 2,4) 4 इलेक्ट्रॉन साझा करके कुल 10 इलेक्ट्रॉन प्राप्त करता है, जो नियोन का विन्यास है।",
    48→    48→   "Exam": "CBSE",
    49→    49→   "Year": "2018.0",
    50→    50→   "_sheet_row": 654
    51→    51→  },
    52→    52→  {
    53→    53→   "Subject": "Science",
    54→    54→   "Chapter No.": "4.0",
    55→    55→   "Chapter Name": "कार्बन एवं उसके यौगिक",
    56→    56→   "Medium": "Hindi",
    57→    57→   "Question": "यौगिक $CH_3-CH_2-CHO$ का IUPAC नाम क्या है?",
    58→    58→   "Option 1": "प्रोपेनॉल",
    59→    59→   "Option 2": "प्रोपेनल",
    60→    60→   "Option 3": "प्रोपेनोइक अम्ल",
    61→    61→   "Option 4": "प्रोपेनोन",
    62→    62→   "Correct Option": "2.0",
    63→    63→   "Explanation": "यौगिक में 3 कार्बन परमाणु (Prop-) और एक एल्डिहाइड समूह (-CHO) है, इसलिए इसका नाम प्रोपेनल है।",
    64→    64→   "Exam": "HBSE",
    65→    65→   "Year": "2022.0",
    66→    66→   "_sheet_row": 655
    67→    67→  },
    68→    68→  {
    69→    69→   "Subject": "Science",
    70→    70→   "Chapter No.": "4.0",
    71→    71→   "Chapter Name": "कार्बन एवं उसके यौगिक",
    72→    72→   "Medium": "Hindi",
    73→    73→   "Question": "कार्बन का कौन सा अपररूप स्नेहक और पेंसिल में उपयोग किया जाता है?",
    74→    74→   "Option 1": "हीरा",
    75→    75→   "Option 2": "ग्रेफाइट",
    76→    76→   "Option 3": "फुलरीन",
    77→    77→   "Option 4": "कोक",
    78→    78→   "Correct Option": "2.0",
    79→    79→   "Explanation": "ग्रेफाइट की परतीय संरचना होती है जिसमें परतों के बीच कमजोर बल होते हैं, जो इसे नरम और फिसलन भरा बनाता है।",
    80→    80→   "Exam": "MP Board",
    81→    81→   "Year": "2021.0",
    82→    82→   "_sheet_row": 656
    83→    83→  },
    84→    84→  {
    85→    85→   "Subject": "Science",
    86→    86→   "Chapter No.": "4.0",
    87→    87→   "Chapter Name": "कार्बन एवं उसके यौगिक",
    88→    88→   "Medium": "Hindi",
    89→    89→   "Question": "एल्काइन समजातीय श्रेणी का प्रथम सदस्य कौन सा है?",
    90→    90→   "Option 1": "एथाइन",
    91→    91→   "Option 2": "मेथीन",
    92→    92→   "Option 3": "मेथाइन",
    93→    93→   "Option 4": "एथीन",
    94→    94→   "Correct Option": "1.0",
    95→    95→   "Explanation": "चूंकि त्रि-बंध के लिए कम से कम दो कार्बन परमाणुओं की आवश्यकता होती है, इसलिए यह श्रेणी एथाइन ($C_2H_2$) से शुरू होती है, जिसे एसिटिलीन भी कहा जाता है।",
    96→    96→   "Exam": "CBSE",
    97→    97→   "Year": "2023.0",
    98→    98→   "_sheet_row": 657
    99→    99→  },
   100→   100→  {
   101→   101→   "Subject": "Science",
   102→   102→   "Chapter No.": "4.0",
   103→   103→   "Chapter Name": "कार्बन एवं उसके यौगिक",
   104→   104→   "Medium": "Hindi",
   105→   105→   "Question": "वायुमंडल में कार्बन किस रूप में विद्यमान है?",
   106→   106→   "Option 1": "केवल कार्बन मोनोऑक्साइड",
   107→   107→   "Option 2": "अल्प मात्रा में कार्बन मोनोऑक्साइड और कार्बन डाइऑक्साइड",
   108→   108→   "Option 3": "केवल कार्बन डाइऑक्साइड",
   109→   109→   "Option 4": "कोयला",
   110→   110→   "Correct Option": "2.0",
   111→   111→   "Explanation": "वायुमंडलीय कार्बन मुख्य रूप से $CO_2$ (लगभग 0.03%) और सूक्ष्म मात्रा में $CO$ के रूप में मौजूद है।",
   112→   112→   "Exam": "CBSE",
   113→   113→   "Year": "2021.0",
   114→   114→   "_sheet_row": 658
   115→   115→  },
   116→   116→  {
   117→   117→   "Subject": "Science",
   118→   118→   "Chapter No.": "4.0",
   119→   119→   "Chapter Name": "कार्बन एवं उसके यौगिक",
   120→   120→   "Medium": "Hindi",
   121→   121→   "Question": "निम्नलिखित में से कौन एक ही समजातीय श्रेणी से संबंधित नहीं है?",
   122→   122→   "Option 1": "CH4",
   123→   123→   "Option 2": "C2H6",
   124→   124→   "Option 3": "C3H8",
   125→   125→   "Option 4": "C4H8",
   126→   126→   "Correct Option": "4.0",
   127→   127→   "Explanation": "$CH_4, C_2H_6$ और $C_3H_8$ एल्केन सूत्र ($C_nH_{2n+2}$) का पालन करते हैं। $C_4H_8$ एल्कीन सूत्र ($C_nH_{2n}$) का पालन करता है।",
   128→   128→   "Exam": "CBSE",
   129→   129→   "Year": "2022.0",
   130→   130→   "_sheet_row": 659
   131→   131→  },
   132→   132→  {
   133→   133→   "Subject": "Science",
   134→   134→   "Chapter No.": "4.0",
   135→   135→   "Chapter Name": "कार्बन एवं उसके यौगिक",
   136→   136→   "Medium": "Hindi",
   137→   137→   "Question": "जब एथेनोइक अम्ल सोडियम कार्बोनेट के साथ अभिक्रिया करता है तो कौन सी गैस निकलती है?",
   138→   138→   "Option 1": "H2",
   139→   139→   "Option 2": "CO2",
   140→   140→   "Option 3": "O2",
   141→   141→   "Option 4": "CH4",
   142→   142→   "Correct Option": "2.0",
   143→   143→   "Explanation": "खनिज अम्लों की तरह, एथेनोइक अम्ल भी कार्बोनेट के साथ अभिक्रिया करके लवण, जल और कार्बन डाइऑक्साइड गैस उत्पन्न करता है।",
   144→   144→   "Exam": "CBSE",
   145→   145→   "Year": "2019.0",
   146→   146→   "_sheet_row": 660
   147→   147→  },
   148→   148→  {
   149→   149→   "Subject": "Science",
   150→   150→   "Chapter No.": "4.0",
   151→   151→   "Chapter Name": "कार्बन एवं उसके यौगिक",
   152→   152→   "Medium": "Hindi",
   153→   153→   "Question": "कार्बन की संयोजकता कितनी होती है?",
   154→   154→   "Option 1": "2.0",
   155→   155→   "Option 2": "3.0",
   156→   156→   "Option 3": "4.0",
   157→   157→   "Option 4": "1.0",
   158→   158→   "Correct Option": "3.0",
   159→   159→   "Explanation": "कार्बन के सबसे बाहरी कोश में 4 इलेक्ट्रॉन होते हैं और वह 4 सहसंयोजक बंध बनाने के लिए उन्हें साझा करता है, अतः इसकी संयोजकता 4 (चतुःसंयोजकता) है।",
   160→   160→   "Exam": "Bihar Board",
   161→   161→   "Year": "2020.0",
   162→   162→   "_sheet_row": 661
   163→   163→  },
   164→   164→  {
   165→   165→   "Subject": "Science",
   166→   166→   "Chapter No.": "4.0",
   167→   167→   "Chapter Name": "Carbon and its Compounds",
   168→   168→   "Medium": "English",
   169→   169→   "Question": "Which of the following represents the correct electron dot structure of Nitrogen ($N_2$)?",
   170→   170→   "Option 1": "Two nitrogen atoms sharing 1 pair of electrons",
   171→   171→   "Option 2": "Two nitrogen atoms sharing 2 pairs of electrons",
   172→   172→   "Option 3": "Two nitrogen atoms sharing 3 pairs of electrons",
   173→   173→   "Option 4": "Two nitrogen atoms sharing 4 pairs of electrons",
   174→   174→   "Correct Option": "3.0",
   175→   175→   "Explanation": "Nitrogen has 5 valence electrons and needs 3 more to complete its octet. Thus, two Nitrogen atoms share three pairs of electrons, forming a triple covalent bond.",
   176→   176→   "Exam": "CBSE",
   177→   177→   "Year": "2022.0",
   178→   178→   "_sheet_row": 662
   179→   179→  },
   180→   180→  {
   181→   181→   "Subject": "Science",
   182→   182→   "Chapter No.": "4.0",
   183→   183→   "Chapter Name": "Carbon and its Compounds",
   184→   184→   "Medium": "English",
   185→   185→   "Question": "Vegetable oils are converted into vegetable ghee using:",
   186→   186→   "Option 1": "Hydrogen gas and Palladium catalyst",
   187→   187→   "Option 2": "Oxygen gas and Heat",
   188→   188→   "Option 3": "Carbon dioxide and Nickel catalyst",
   189→   189→   "Option 4": "Hydrogen gas and Nickel catalyst",
   190→   190→   "Correct Option": "4.0",
   191→   191→   "Explanation": "This is called Hydrogenation. Unsaturated vegetable oils react with Hydrogen in the presence of a catalyst like Nickel or Palladium to become saturated vegetable ghee.",
   192→   192→   "Exam": "CBSE",
   193→   193→   "Year": "2019.0",
   194→   194→   "_sheet_row": 663
   195→   195→  },
   196→   196→  {
   197→   197→   "Subject": "Science",
   198→   198→   "Chapter No.": "4.0",
   199→   199→   "Chapter Name": "Carbon and its Compounds",
   200→   200→   "Medium": "English",
   201→   201→   "Question": "Which of the following will give a sootier flame on combustion?",
   202→   202→   "Option 1": "Methane",
   203→   203→   "Option 2": "Ethane",
   204→   204→   "Option 3": "LPG",
   205→   205→   "Option 4": "Benzene",
   206→   206→   "Correct Option": "4.0",
   207→   207→   "Explanation": "Unsaturated and cyclic hydrocarbons like Benzene ($C_6H_6$) have a higher carbon-to-hydrogen ratio, leading to incomplete combustion and a yellow sooty flame.",
   208→   208→   "Exam": "CBSE",
   209→   209→   "Year": "2020.0",
   210→   210→   "_sheet_row": 664
   211→   211→  },
   212→   212→  {
   213→   213→   "Subject": "Science",
   214→   214→   "Chapter No.": "4.0",
   215→   215→   "Chapter Name": "Carbon and its Compounds",
   216→   216→   "Medium": "English",
   217→   217→   "Question": "The functional group $-COOH$ is characteristic of:",
   218→   218→   "Option 1": "Alcohols",
   219→   219→   "Option 2": "Aldehydes",
   220→   220→   "Option 3": "Ketones",
   221→   221→   "Option 4": "Carboxylic acids",
   222→   222→   "Correct Option": "4.0",
   223→   223→   "Explanation": "The carboxyl group consists of a carbonyl and a hydroxyl group attached to the same carbon atom. Examples include Methanoic and Ethanoic acid.",
   224→   224→   "Exam": "UP Board",
   225→   225→   "Year": "2021.0",
   226→   226→   "_sheet_row": 665
   227→   227→  },
   228→   228→  {
   229→   229→   "Subject": "Science",
   230→   230→   "Chapter No.": "4.0",
   231→   231→   "Chapter Name": "Carbon and its Compounds",
   232→   232→   "Medium": "English",
   233→   233→   "Question": "What is the observation when a piece of Sodium metal is dropped into Ethanol?",
   234→   234→   "Option 1": "Brisk effervescence of $CO_2$",
   235→   235→   "Option 2": "Evolution of Hydrogen gas",
   236→   236→   "Option 3": "No reaction",
   237→   237→   "Option 4": "Formation of a black precipitate",
   238→   238→   "Correct Option": "2.0",
   239→   239→   "Explanation": "Ethanol reacts with active metals like Sodium to form Sodium Ethoxide and release Hydrogen gas: $2CH_3CH_2OH + 2Na \\rightarrow 2CH_3CH_2ONa + H_2$.",
   240→   240→   "Exam": "CBSE",
   241→   241→   "Year": "2018.0",
   242→   242→   "_sheet_row": 666
   243→   243→  },
   244→   244→  {
   245→   245→   "Subject": "Science",
   246→   246→   "Chapter No.": "4.0",
   247→   247→   "Chapter Name": "Carbon and its Compounds",
   248→   248→   "Medium": "English",
   249→   249→   "Question": "Soaps are sodium or potassium salts of long chain:",
   250→   250→   "Option 1": "Aldehydes",
   251→   251→   "Option 2": "Ketones",
   252→   252→   "Option 3": "Carboxylic acids",
   253→   253→   "Option 4": "Alcohols",
   254→   254→   "Correct Option": "3.0",
   255→   255→   "Explanation": "Soaps are formed by the saponification of fats/oils, resulting in sodium or potassium salts of higher fatty acids (long-chain carboxylic acids).",
   256→   256→   "Exam": "CBSE",
   257→   257→   "Year": "2017.0",
   258→   258→   "_sheet_row": 667
   259→   259→  },
   260→   260→  {
   261→   261→   "Subject": "Science",
   262→   262→   "Chapter No.": "4.0",
   263→   263→   "Chapter Name": "Carbon and its Compounds",
   264→   264→   "Medium": "English",
   265→   265→   "Question": "Which of the following reagents is used for the oxidation of Ethanol to Ethanoic acid?",
   266→   266→   "Option 1": "Alkaline $KMnO_4$",
   267→   267→   "Option 2": "Acidified $K_2Cr_2O_7$",
   268→   268→   "Option 3": "Concentrated $H_2SO_4$",
   269→   269→   "Option 4": "Both 1 and 2",
   270→   270→   "Correct Option": "4.0",
   271→   271→   "Explanation": "Alkaline Potassium Permanganate or Acidified Potassium Dichromate are strong oxidizing agents that convert alcohols into carboxylic acids.",
   272→   272→   "Exam": "CBSE",
   273→   273→   "Year": "2023.0",
   274→   274→   "_sheet_row": 668
   275→   275→  },
   276→   276→  {
   277→   277→   "Subject": "Science",
   278→   278→   "Chapter No.": "4.0",
   279→   279→   "Chapter Name": "Carbon and its Compounds",
   280→   280→   "Medium": "English",
   281→   281→   "Question": "The hydrophobic end of a soap molecule is:",
