     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 888,
     5→     5→    "data": [
     6→     6→      "Physics",
     7→     7→      3.0,
     8→     8→      "Motion in a Plane",
     9→     9→      "English",
    10→    10→      "The position vector of a particle R as a function of time is given by R=4\\sin(2\\pi t)\\hat{i}+4\\cos(2\\pi t)\\hat{j} where R is in metre, t is in seconds and i and j denote unit vectors along x and y-directions, respectively. Which one of the following statements is wrong for the motion of particle?",
    11→    11→      "(a) Acceleration is along -R",
    12→    12→      "(b) Magnitude of acceleration vector is \\frac{v^{2}}{R}, where v is the velocity of particle",
    13→    13→      "(c) Magnitude of the velocity of particle is 8 m/s",
    14→    14→      "(d) Path of the particle is a circle of radius 4 m",
    15→    15→      3.0,
    16→    16→      "\\vec{v} = \\frac{dR}{dt} = 8\\pi \\cos(2\\pi t)\\hat{i} - 8\\pi \\sin(2\\pi t)\\hat{j}. Magnitude is 8\\pi, not 8.",
    17→    17→      "CBSE AIPMT",
    18→    18→      2015.0,
    19→    19→      null
    20→    20→    ]
    21→    21→  },
    22→    22→  {
    23→    23→    "sheet": "Class11",
    24→    24→    "row": 889,
    25→    25→    "data": [
    26→    26→      "Physics",
    27→    27→      3.0,
    28→    28→      "Motion in a Plane",
    29→    29→      "English",
    30→    30→      "A projectile is fired from the surface of the earth with a velocity of 5~ms^{-1} at angle \\theta with the horizontal. Another projectile fired from another planet with a velocity of 3~ms^{-1} at the same angle follows a trajectory which is identical with the trajectory of the projectile fired from the earth. The value of the acceleration due to gravity on the planet is (in ms^{-2}) is (given, g=9.8~ms^{-2})",
    31→    31→      "(a) 3.5",
    32→    32→      "(b) 5.9",
    33→    33→      "(c) 16.3",
    34→    34→      "(d) 110.8",
    35→    35→      1.0,
    36→    36→      "Trajectory y = x\\tan\\theta - \\frac{gx^2}{2u^2\\cos^2\\theta}. For identical trajectory, \\frac{g}{u^2} is constant. \\frac{9.8}{5^2} = \\frac{g'}{3^2} \\Rightarrow g' = 3.5.",
    37→    37→      "CBSE AIPMT",
    38→    38→      2014.0,
    39→    39→      null
    40→    40→    ]
    41→    41→  },
    42→    42→  {
    43→    43→    "sheet": "Class11",
    44→    44→    "row": 890,
    45→    45→    "data": [
    46→    46→      "Physics",
    47→    47→      3.0,
    48→    48→      "Motion in a Plane",
    49→    49→      "English",
    50→    50→      "A particle is moving such that its position co-ordinates (x, y) are (2m, 3m) at time t=0, (6m, 7m) at time t=2 and (13m, 14m) at time t=5~s. Average velocity vector (v_{av}) from t=0~to~t=5s is",
    51→    51→      "(a) \\frac{1}{5}(13\\hat{i}+14\\hat{j})",
    52→    52→      "(b) \\frac{7}{3}(\\hat{i}+\\hat{j})",
    53→    53→      "(c) 2(\\hat{i}+\\hat{j})",
    54→    54→      "(d) \\frac{11}{5}(\\hat{i}+\\hat{j})",
    55→    55→      4.0,
    56→    56→      "\\vec{v}_{av} = \\frac{\\Delta\\vec{r}}{\\Delta t} = \\frac{(13-2)\\hat{i} + (14-3)\\hat{j}}{5-0} = \\frac{11\\hat{i}+11\\hat{j}}{5} = \\frac{11}{5}(\\hat{i}+\\hat{j}).",
    57→    57→      "CBSE AIPMT",
    58→    58→      2014.0,
    59→    59→      null
    60→    60→    ]
    61→    61→  },
    62→    62→  {
    63→    63→    "sheet": "Class11",
    64→    64→    "row": 892,
    65→    65→    "data": [
    66→    66→      "Physics",
    67→    67→      3.0,
    68→    68→      "समतल में गति",
    69→    69→      "Hindi",
    70→    70→      "यदि दो vectors के योग का परिमाण उनके अंतर के परिमाण के बराबर है, तो इन vectors के बीच का कोण है",
    71→    71→      "(a) 90^{\\circ}",
    72→    72→      "(b) 45^{\\circ}",
    73→    73→      "(c) 180^{\\circ}",
    74→    74→      "(d) 0^{\\circ}",
    75→    75→      1.0,
    76→    76→      "यदि दोनों पक्षों का वर्ग करने पर हमें\n मिलता है।\nअतः दोनों सदिशों के बीच का कोण  (समकोण) होता है।",
    77→    77→      "CBSE AIPMT",
    78→    78→      1991.0,
    79→    79→      null
    80→    80→    ]
    81→    81→  },
    82→    82→  {
    83→    83→    "sheet": "Class11",
    84→    84→    "row": 893,
    85→    85→    "data": [
    86→    86→      "Physics",
    87→    87→      3.0,
    88→    88→      "समतल में गति",
    89→    89→      "Hindi",
    90→    90→      "यदि vectors A=\\cos\\omega t\\hat{i}+\\sin\\omega t\\hat{j} और B=\\cos\\frac{\\omega t}{2}\\hat{i}+\\sin\\frac{\\omega t}{2}\\hat{j} समय के फलन हैं, तो t का वह मान जिस पर वे एक-दूसरे के लंबवत (orthogonal) हैं, है",
    91→    91→      "(a) t=\\frac{\\pi}{4\\omega}",
    92→    92→      "(b) t=\\frac{\\pi}{2\\omega}",
    93→    93→      "(c) t=\\frac{\\pi}{\\omega}",
    94→    94→      "(d) t=0",
    95→    95→      3.0,
    96→    96→      "लंबवत होने के लिए, \\vec{A} \\cdot \\vec{B} = 0 \\Rightarrow \\cos\\omega t \\cos\\frac{\\omega t}{2} + \\sin\\omega t \\sin\\frac{\\omega t}{2} = 0 \\Rightarrow \\cos(\\omega t - \\frac{\\omega t}{2}) = 0 \\Rightarrow \\frac{\\omega t}{2} = \\frac{\\pi}{2} \\Rightarrow t = \\frac{\\pi}{\\omega}",
    97→    97→      "CBSE AIPMT",
    98→    98→      2015.0,
    99→    99→      null
   100→   100→    ]
   101→   101→  },
   102→   102→  {
   103→   103→    "sheet": "Class11",
   104→   104→    "row": 894,
   105→   105→    "data": [
   106→   106→      "Physics",
   107→   107→      3.0,
   108→   108→      "समतल में गति",
