     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 1940,
     5→     5→    "data": [
     6→     6→      "Biology",
     7→     7→      null,
     8→     8→      "Cell: The Unit of Life",
     9→     9→      "English",
    10→    10→      "An outer covering membrane is absent over",
    11→    11→      "nucleolus",
    12→    12→      "lysosome",
    13→    13→      "mitochondrion",
    14→    14→      "plastids",
    15→    15→      1.0,
    16→    16→      "Nucleolus was discovered by Fontana (1781) and named by Bowman (1840) is a naked roughly rounded darkly stained structure. It is attached to chromatin at specific spot called nucleolar organiser region or NOR. Nucleolus constitute 35% mass of nucleus and is the largest part of nucleus.",
    17→    17→      "CBSE AIPMT",
    18→    18→      null,
    19→    19→      null
    20→    20→    ]
    21→    21→  },
    22→    22→  {
    23→    23→    "sheet": "Class11",
    24→    24→    "row": 1941,
    25→    25→    "data": [
    26→    26→      "Biology",
    27→    27→      null,
    28→    28→      "Cell: The Unit of Life",
    29→    29→      "English",
    30→    30→      "Ribosomes are the centre for",
    31→    31→      "respiration",
    32→    32→      "photosynthesis",
    33→    33→      "protein synthesis",
    34→    34→      "fat synthesis",
    35→    35→      3.0,
    36→    36→      "Ribosomes are smallest, membraneless sub- microscopic organelles, called as protein factories. They act as a template, bringing together different components involved in the protein synthesis.",
    37→    37→      "CBSE AIPMT",
    38→    38→      null,
    39→    39→      null
    40→    40→    ]
    41→    41→  },
    42→    42→  {
    43→    43→    "sheet": "Class11",
    44→    44→    "row": 1942,
    45→    45→    "data": [
    46→    46→      "Biology",
    47→    47→      null,
    48→    48→      "Cell: The Unit of Life",
    49→    49→      "English",
    50→    50→      "Which one is apparato reticolare interno?",
    51→    51→      "Golgi apparatus",
    52→    52→      "Endoplasmic reticulum",
    53→    53→      "Microfilaments",
    54→    54→      "Microtubules",
    55→    55→      1.0,
    56→    56→      "Golgi body (dictyosomes, lipochondria) is a stack of flattened membrane bound sac-like body. They form internal reticulare apparatus (apparato reticolare interno).",
    57→    57→      "CBSE AIPMT",
    58→    58→      null,
    59→    59→      null
    60→    60→    ]
    61→    61→  },
    62→    62→  {
    63→    63→    "sheet": "Class11",
    64→    64→    "row": 1943,
    65→    65→    "data": [
    66→    66→      "Biology",
    67→    67→      null,
    68→    68→      "Cell: The Unit of Life",
    69→    69→      "English",
    70→    70→      "Experiments on Acetabularia by Hammerling proved the role of",
    71→    71→      "cytoplasm in controlling differentiation",
    72→    72→      "nucleus in heredity",
    73→    73→      "chromosomes in heredity",
    74→    74→      "nucleocytoplasmic ratio",
    75→    75→      2.0,
    76→    76→      "J Hammerling (1953) carried the grafting experiments involving exchange of nucleus (located at the base) in Acetabularia. He proved the role of nucleus in heredity, growth, etc. Cell: The Unit of Life 93",
    77→    77→      "CBSE AIPMT",
    78→    78→      null,
    79→    79→      null
    80→    80→    ]
    81→    81→  },
    82→    82→  {
    83→    83→    "sheet": "Class11",
    84→    84→    "row": 1944,
    85→    85→    "data": [
    86→    86→      "Biology",
    87→    87→      null,
    88→    88→      "Cell: The Unit of Life",
    89→    89→      "English",
    90→    90→      "Ribosomes were discovered by",
    91→    91→      "Golgi",
    92→    92→      "Porter",
    93→    93→      "de Robertis",
    94→    94→      "Palade",
    95→    95→      4.0,
    96→    96→      "Ribosomes were first observed by Claude (1941), he called them as microsomes. Robinson and Brown (1950) noticed them in plant cells of bean roots and Palade (1955) detected them in animal cells and called these structures as ribosomes.",
    97→    97→      "CBSE AIPMT",
    98→    98→      null,
    99→    99→      null
   100→   100→    ]
   101→   101→  },
   102→   102→  {
   103→   103→    "sheet": "Class11",
   104→   104→    "row": 1945,
   105→   105→    "data": [
   106→   106→      "Biology",
   107→   107→      null,
   108→   108→      "Cell: The Unit of Life",
   109→   109→      "English",
   110→   110→      "Polyribosomes are aggregates of",
   111→   111→      "ribosomes and rRNA",
   112→   112→      "only rRNA",
   113→   113→      "peroxisomes",
   114→   114→      "several ribosomes held together by string of mRNA",
   115→   115→      4.0,
   116→   116→      "Polyribosomes or ergasomes are formed by the combination of 6-8 ribosomes attached on a single-strand of mRNA. mRNA brings about polymerisation of a specific protein molecule, with the help of ribosomes, from amino acid molecules found in the cytosol.",
   117→   117→      "CBSE AIPMT",
   118→   118→      null,
   119→   119→      null
   120→   120→    ]
   121→   121→  },
   122→   122→  {
   123→   123→    "sheet": "Class11",
   124→   124→    "row": 1946,
   125→   125→    "data": [
   126→   126→      "Biology",
   127→   127→      null,
   128→   128→      "Biomolecules",
   129→   129→      "English",
   130→   130→      "Organelles can be separated from cell homogenate through",
   131→   131→      "chromatography",
   132→   132→      "X-rays diffraction",
   133→   133→      "differential centrifugation",
   134→   134→      "auto-radiography",
   135→   135→      3.0,
   136→   136→      "Differential centrifugation is the mechanical separation of individual sub-cellular components from homogenate in centrifuge at low speed. Depending upon the size, specific gravity, mass, density, different organelles are separated and settled at the bottom of the centrifuge tube at different centrifugal speeds. Ultracentrifuges have 50,000-1,00,000 rpm and are used for the separation of minute cell organelles and constitutents on the basis of different densities. 09 Biomolecules TOPIC 1 Carbohydrates",
   137→   137→      "CBSE AIPMT",
   138→   138→      null,
   139→   139→      null
   140→   140→    ]
   141→   141→  },
   142→   142→  {
   143→   143→    "sheet": "Class11",
   144→   144→    "row": 1947,
   145→   145→    "data": [
   146→   146→      "Biology",
   147→   147→      null,
   148→   148→      "Biomolecules",
   149→   149→      "English",
   150→   150→      "Which of the following are not secondary metabolites in plants?",
   151→   151→      "Morphine, codeine",
   152→   152→      "Amino acids, glucose",
   153→   153→      "Vinblastine, curcumin",
   154→   154→      "Rubber, gums",
