     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 3140,
     5→     5→    "data": [
     6→     6→      "Biology",
     7→     7→      3.0,
     8→     8→      "Plant Kingdom",
     9→     9→      "English",
    10→    10→      "After karyogamy followed by meiosis, spores are produced exogenously in",
    11→    11→      "Agaricus",
    12→    12→      "Alternaria",
    13→    13→      "Neurospora",
    14→    14→      "Saccharomyces",
    15→    15→      null,
    16→    16→      "Agaricus Meiospores are produced exogenously after karyogamy and meiosis. It belongs to Basidiomycetes. Alternaria belongs to the Deuteromycetes class of fungi. The fungi of this class lack sexual reproduction. Therefore, sexual spores are not formed. Neurospora and Saccharomyces belong to Ascomycetes class of fungi. They produce ascopores as meiospores. Their ascospores are produced endogenously.",
    17→    17→      "NEET",
    18→    18→      2018.0,
    19→    19→      null,
    20→    20→      null
    21→    21→    ]
    22→    22→  },
    23→    23→  {
    24→    24→    "sheet": "Class11",
    25→    25→    "row": 3141,
    26→    26→    "data": [
    27→    27→      "Biology",
    28→    28→      3.0,
    29→    29→      "Plant Kingdom",
    30→    30→      "English",
    31→    31→      "Which contribute to the success of Mendel?",
    32→    32→      "Qualitative analysis of data",
    33→    33→      "Observation of distinct inherited traits",
    34→    34→      "It took one trait at a time for his experiments",
    35→    35→      "All of the above",
    36→    36→      4.0,
    37→    37→      "Mendel's success was due to his meticulous approach. He analyzed his data quantitatively, observed distinct and contrasting inherited traits, and focused on one trait at a time in his experiments, which simplified the analysis.",
    38→    38→      "CBSE AIPMT 1988",
    39→    39→      1988.0,
    40→    40→      null,
    41→    41→      null
    42→    42→    ]
    43→    43→  },
    44→    44→  {
    45→    45→    "sheet": "Class11",
    46→    46→    "row": 3142,
    47→    47→    "data": [
    48→    48→      "Biology",
    49→    49→      3.0,
    50→    50→      "Plant Kingdom",
    51→    51→      "English",
    52→    52→      "Which of the following plants is used as a source of edible oil?",
    53→    53→      "Linseed",
    54→    54→      "Fennel",
    55→    55→      "Pea",
    56→    56→      "Hibiscus",
    57→    57→      1.0,
    58→    58→      "Linseed (flaxseed) is a common source of edible oil. Fennel is used for its seeds (flavoring) and essential oil. Peas are legumes eaten as vegetables. Hibiscus is known for its flowers and some species are used for medicinal purposes or fiber, not typically for edible oil.",
    59→    59→      "NEET",
    60→    60→      2023.0,
    61→    61→      null,
    62→    62→      null
    63→    63→    ]
    64→    64→  },
    65→    65→  {
    66→    66→    "sheet": "Class11",
    67→    67→    "row": 3143,
    68→    68→    "data": [
    69→    69→      "Biology",
    70→    70→      3.0,
    71→    71→      "Plant Kingdom",
    72→    72→      "English",
    73→    73→      "The vascular bundles are conjoint, collateral and closed in:",
    74→    74→      "Monocotyledonous stem",
    75→    75→      "Dicotyledonous root",
    76→    76→      "Dicotyledonous stem",
    77→    77→      "Monocotyledonous root",
    78→    78→      1.0,
    79→    79→      "Vascular bundles are conjoint, collateral, and closed in monocotyledonous stems. In dicot stems, they are conjoint, collateral, but open. In monocot and dicot roots, vascular bundles are radial.",
    80→    80→      "NEET",
    81→    81→      2023.0,
    82→    82→      null,
    83→    83→      null
    84→    84→    ]
    85→    85→  },
    86→    86→  {
    87→    87→    "sheet": "Class11",
    88→    88→    "row": 3144,
    89→    89→    "data": [
    90→    90→      "Biology",
    91→    91→      3.0,
    92→    92→      "Plant Kingdom",
    93→    93→      "English",
    94→    94→      "Which of the following is a unique character of phylum Bryophyta?",
    95→    95→      "Presence of vascular tissues",
    96→    96→      "Dominance of sporophyte",
    97→    97→      "Absence of gametophyte",
    98→    98→      "Gametophytic plant body",
    99→    99→      4.0,
   100→   100→      "The gametophytic plant body is the dominant phase in the life cycle of bryophytes. They lack vascular tissues and have a dependent sporophyte.",
   101→   101→      "NEET",
   102→   102→      2023.0,
   103→   103→      null,
   104→   104→      null
   105→   105→    ]
   106→   106→  },
   107→   107→  {
   108→   108→    "sheet": "Class11",
   109→   109→    "row": 3145,
   110→   110→    "data": [
   111→   111→      "Biology",
   112→   112→      4.0,
   113→   113→      "Animal Kingdom",
   114→   114→      "English",
   115→   115→      "Which of the following animal groups is responsible for the decline in the population of Australian 'brushtail possum'?",
   116→   116→      "Sharks",
   117→   117→      "Bats",
   118→   118→      "Crocodiles",
   119→   119→      "Foxes",
   120→   120→      4.0,
   121→   121→      "Foxes, being introduced predators in Australia, are known to prey on native marsupials like the brushtail possum, contributing to their population decline.",
   122→   122→      "NEET",
   123→   123→      2020.0,
   124→   124→      null,
   125→   125→      null
   126→   126→    ]
   127→   127→  },
   128→   128→  {
   129→   129→    "sheet": "Class11",
   130→   130→    "row": 3146,
   131→   131→    "data": [
   132→   132→      "Biology",
   133→   133→      4.0,
   134→   134→      "Animal Kingdom",
   135→   135→      "English",
   136→   136→      "In which of the following animals, the adult organism is radially symmetrical but the larva is bilaterally symmetrical?",
   137→   137→      "Asterias",
   138→   138→      "Ophiothrix",
   139→   139→      "Ancylostoma",
   140→   140→      "Hirudinaria",
   141→   141→      1.0,
   142→   142→      "Asterias (Starfish) exhibits radial symmetry in its adult stage, but its larval stage is bilaterally symmetrical. This is an example of a transition in symmetry during development.",
   143→   143→      "NEET",
   144→   144→      2019.0,
   145→   145→      null,
   146→   146→      null
   147→   147→    ]
   148→   148→  },
   149→   149→  {
   150→   150→    "sheet": "Class11",
   151→   151→    "row": 3147,
   152→   152→    "data": [
   153→   153→      "Biology",
   154→   154→      4.0,
   155→   155→      "Animal Kingdom",
   156→   156→      "English",
   157→   157→      "Which of the following characters is not typical of the phylum Annelida?",
   158→   158→      "Nervous system",
   159→   159→      "Coelomate",
