     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 835,
     5→     5→    "data": [
     6→     6→      "Physics",
     7→     7→      2.0,
     8→     8→      "सरल रेखा में गति",
     9→     9→      "Hindi",
    10→    10→      "एक कण एक नियत बल की क्रिया के तहत विरामावस्था से अपनी गति शुरू करता है। यदि पहले 10 s में तय की गई दूरी s_1 है, और पहले 20 s में तय की गई दूरी s_2 है, तो:",
    11→    11→      "(a) s_2 = 2s_1",
    12→    12→      "(b) s_2 = 3s_1",
    13→    13→      "(c) s_2 = 4s_1",
    14→    14→      "(d) s_2 = s_1",
    15→    15→      3.0,
    16→    16→      "s \\propto t^2 (u=0 के लिए)। \\frac{s_2}{s_1} = (\\frac{20}{10})^2 = 4 \\Rightarrow s_2 = 4s_1।",
    17→    17→      "CBSE AIPMT",
    18→    18→      2009.0,
    19→    19→      null
    20→    20→    ]
    21→    21→  },
    22→    22→  {
    23→    23→    "sheet": "Class11",
    24→    24→    "row": 836,
    25→    25→    "data": [
    26→    26→      "Physics",
    27→    27→      2.0,
    28→    28→      "सरल रेखा में गति",
    29→    29→      "Hindi",
    30→    30→      "एक कण एक सीधी रेखा में नियत त्वरण (constant acceleration) के साथ गति करता है। t सेकंड में 135 m की दूरी तय करते हुए इसका वेग 10~ms^{-1} से 20~ms^{-1} में बदल जाता है। t का मान है:",
    31→    31→      "(a) 10",
    32→    32→      "(b) 1.8",
    33→    33→      "(c) 12",
    34→    34→      "(d) 9",
    35→    35→      4.0,
    36→    36→      "v^2 - u^2 = 2as \\Rightarrow 400 - 100 = 2a(135) \\Rightarrow 300 = 270a \\Rightarrow a = \\frac{10}{9}। v = u + at \\Rightarrow 20 = 10 + \\frac{10}{9}t \\Rightarrow 10 = \\frac{10}{9}t \\Rightarrow t = 9~s।",
    37→    37→      "CBSE AIPMT",
    38→    38→      2008.0,
    39→    39→      null
    40→    40→    ]
    41→    41→  },
    42→    42→  {
    43→    43→    "sheet": "Class11",
    44→    44→    "row": 837,
    45→    45→    "data": [
    46→    46→      "Physics",
    47→    47→      2.0,
    48→    48→      "सरल रेखा में गति",
    49→    49→      "Hindi",
    50→    50→      "विरामावस्था से शुरू होकर 4/3~ms^{-2} के त्वरण के साथ चलने वाले एक कण द्वारा तीसरे सेकंड (third-second) में तय की गई दूरी है:",
    51→    51→      "(a) 6 m",
    52→    52→      "(b) 4 m",
    53→    53→      "(c) 10/3~m",
    54→    54→      "(d) 19/3~m",
    55→    55→      3.0,
    56→    56→      "S_{nth} = u + \\frac{a}{2}(2n-1) = 0 + \\frac{4/3}{2}(2 \\times 3 - 1) = \\frac{2}{3}(5) = 10/3~m।",
    57→    57→      "CBSE AIPMT",
    58→    58→      2008.0,
    59→    59→      null
    60→    60→    ]
    61→    61→  },
    62→    62→  {
    63→    63→    "sheet": "Class11",
    64→    64→    "row": 838,
    65→    65→    "data": [
    66→    66→      "Physics",
    67→    67→      2.0,
    68→    68→      "सरल रेखा में गति",
    69→    69→      "Hindi",
    70→    70→      "दो पिंड A (द्रव्यमान 1 kg) और B (द्रव्यमान 3 kg) क्रमशः 16 m और 25 m की ऊंचाई से गिराए जाते हैं। उनके जमीन तक पहुंचने में लिए गए समय का अनुपात है:",
    71→    71→      "(a) 5/4",
    72→    72→      "(b) 12/5",
    73→    73→      "(c) 5/12",
    74→    74→      "(d) 4/5",
    75→    75→      4.0,
    76→    76→      "गिरने का समय द्रव्यमान पर निर्भर नहीं करता। t = \\sqrt{\\frac{2h}{g}} \\propto \\sqrt{h}। अनुपात \\frac{t_A}{t_B} = \\sqrt{\\frac{16}{25}} = \\frac{4}{5}।",
    77→    77→      "CBSE AIPMT",
    78→    78→      2006.0,
    79→    79→      null
    80→    80→    ]
    81→    81→  },
    82→    82→  {
    83→    83→    "sheet": "Class11",
    84→    84→    "row": 839,
    85→    85→    "data": [
    86→    86→      "Physics",
    87→    87→      2.0,
    88→    88→      "सरल रेखा में गति",
    89→    89→      "Hindi",
    90→    90→      "एक आदमी एक के बाद एक 2 s के अंतराल पर समान चाल से लंबवत ऊपर की ओर गेंदें फेंकता है। फेंकने की चाल क्या होनी चाहिए ताकि किसी भी समय आकाश में दो से अधिक गेंदें हों? (मान लें g=9.8~m/s^2)",
    91→    91→      "(a) 19.6~m/s से कम कोई भी चाल",
    92→    92→      "(b) केवल 19.6~m/s चाल के साथ",
    93→    93→      "(c) 19.6~m/s से अधिक",
    94→    94→      "(d) कम से कम 9.8~m/s",
    95→    95→      3.0,
    96→    96→      "2 से अधिक गेंदें हवा में होने के लिए, उड्डयन काल (time of flight) T > 2 \\times 2 = 4s होना चाहिए। T = \\frac{2u}{g} > 4 \\Rightarrow u > 2g = 19.6~m/s।",
    97→    97→      "CBSE AIPMT",
    98→    98→      2003.0,
    99→    99→      null
   100→   100→    ]
   101→   101→  },
   102→   102→  {
   103→   103→    "sheet": "Class11",
   104→   104→    "row": 840,
   105→   105→    "data": [
   106→   106→      "Physics",
   107→   107→      2.0,
   108→   108→      "सरल रेखा में गति",
   109→   109→      "Hindi",
   110→   110→      "यदि एक गेंद को u चाल के साथ लंबवत ऊपर की ओर फेंका जाता है, तो इसके ऊपर जाने (ascent) के अंतिम t सेकंड के दौरान तय की गई दूरी है:",
   111→   111→      "(a) ut - \\frac{1}{2}gt^2",
   112→   112→      "(b) (u+gt)t",
   113→   113→      "(c) ut",
   114→   114→      "(d) \\frac{1}{2}gt^2",
   115→   115→      4.0,
