     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 783,
     5→     5→    "data": [
     6→     6→      "Physics",
     7→     7→      2.0,
     8→     8→      "सरल रेखा में गति",
     9→     9→      "Hindi",
    10→    10→      "प्रीति मेट्रो स्टेशन पहुंची और पाया कि एस्केलेटर काम नहीं कर रहा था। वह रुके हुए एस्केलेटर पर समय t_1 में ऊपर चढ़ गई। अन्य दिनों में, यदि वह चलते हुए एस्केलेटर पर स्थिर रहती है, तो एस्केलेटर उसे समय t_2 में ऊपर ले जाता है। चलते हुए एस्केलेटर पर उसके द्वारा ऊपर चढ़ने में लिया गया समय होगा",
    11→    11→      "(a) (t_1+t_2)/2",
    12→    12→      "(b) t_1t_2/(t_2-t_1)",
    13→    13→      "(c) t_1t_2/(t_2+t_1)",
    14→    14→      "(d) t_1-t_2",
    15→    15→      3.0,
    16→    16→      "v_1 = \\frac{L}{t_1}, v_2 = \\frac{L}{t_2}। कुल चाल v = v_1 + v_2। समय t = \\frac{L}{v} = \\frac{L}{\\frac{L}{t_1} + \\frac{L}{t_2}} = \\frac{t_1 t_2}{t_1 + t_2}।",
    17→    17→      "NEET",
    18→    18→      2017.0,
    19→    19→      null
    20→    20→    ]
    21→    21→  },
    22→    22→  {
    23→    23→    "sheet": "Class11",
    24→    24→    "row": 784,
    25→    25→    "data": [
    26→    26→      "Physics",
    27→    27→      2.0,
    28→    28→      "सरल रेखा में गति",
    29→    29→      "Hindi",
    30→    30→      "यदि एक कण का velocity v=At+Bt^2 है, जहाँ A और B नियतांक हैं, तो 1s और 2s के बीच इसके द्वारा तय की गई दूरी है",
    31→    31→      "(a) 3A+7B",
    32→    32→      "(b) \\frac{3}{2}A + \\frac{7}{3}B",
    33→    33→      "(c) \\frac{A}{2} + \\frac{B}{3}",
    34→    34→      "(d) \\frac{3}{2}A + 4B",
    35→    35→      2.0,
    36→    36→      "x = \\int_1^2 (At + Bt^2) dt = [\\frac{At^2}{2} + \\frac{Bt^3}{3}]_1^2 = \\frac{A}{2}(4-1) + \\frac{B}{3}(8-1) = \\frac{3}{2}A + \\frac{7}{3}B।",
    37→    37→      "NEET",
    38→    38→      2016.0,
    39→    39→      null
    40→    40→    ]
    41→    41→  },
    42→    42→  {
    43→    43→    "sheet": "Class11",
    44→    44→    "row": 785,
    45→    45→    "data": [
    46→    46→      "Physics",
    47→    47→      2.0,
    48→    48→      "सरल रेखा में गति",
    49→    49→      "Hindi",
    50→    50→      "दो कारें P और Q एक बिंदु से एक ही समय पर एक सीधी रेखा में चलना शुरू करती हैं और उनकी स्थिति x_p(t)=at+bt^2 और x_Q(t)=ft-t^2 द्वारा दर्शायी जाती है। किस समय पर कारों का velocity समान होगा?",
    51→    51→      "(a) \\frac{a-f}{1+b}",
    52→    52→      "(b) \\frac{a+f}{2(b-1)}",
    53→    53→      "(c) \\frac{a+f}{2(1+b)}",
    54→    54→      "(d) \\frac{f-a}{2(1+b)}",
    55→    55→      4.0,
    56→    56→      "v_P = a + 2bt, v_Q = f - 2t। v_P = v_Q \\Rightarrow a + 2bt = f - 2t \\Rightarrow 2t(b+1) = f-a \\Rightarrow t = \\frac{f-a}{2(1+b)}।",
    57→    57→      "NEET",
    58→    58→      2016.0,
    59→    59→      null
    60→    60→    ]
    61→    61→  },
    62→    62→  {
    63→    63→    "sheet": "Class11",
    64→    64→    "row": 786,
    65→    65→    "data": [
    66→    66→      "Physics",
    67→    67→      2.0,
    68→    68→      "सरल रेखा में गति",
    69→    69→      "Hindi",
    70→    70→      "इकाई द्रव्यमान का एक कण एक-विमीय गति (one-dimensional motion) करता है जैसे कि इसका velocity v(x) = \\beta x^{-2n} के अनुसार बदलता है जहाँ \\beta और n नियतांक हैं और x कण की स्थिति है। x के फलन के रूप में कण का acceleration दिया जाता है",
    71→    71→      "(a) -2n\\beta^2 x^{-2n-1}",
    72→    72→      "(b) -2n\\beta^2 x^{-4n-1}",
    73→    73→      "(c) -2\\beta^2 x^{-2n+1}",
    74→    74→      "(d) -2n\\beta^2 x^{-4n+1}",
    75→    75→      2.0,
    76→    76→      "a = v \\frac{dv}{dx} = (\\beta x^{-2n}) \\frac{d}{dx}(\\beta x^{-2n}) = (\\beta x^{-2n}) (-2n \\beta x^{-2n-1}) = -2n \\beta^2 x^{-4n-1}।",
    77→    77→      "CBSE AIPMT",
    78→    78→      2015.0,
    79→    79→      null
    80→    80→    ]
    81→    81→  },
    82→    82→  {
    83→    83→    "sheet": "Class11",
    84→    84→    "row": 787,
    85→    85→    "data": [
    86→    86→      "Physics",
    87→    87→      2.0,
    88→    88→      "सरल रेखा में गति",
    89→    89→      "Hindi",
    90→    90→      "एक सीधी रेखा के अनुदिश एक कण की गति को समीकरण x=8+12t-t^3 द्वारा वर्णित किया गया है जहाँ x मीटर में और t सेकंड में है। जब कण का velocity शून्य हो जाता है, तो उसका मंदन (retardation) है",
    91→    91→      "(a) 24 ms^{-2}",
    92→    92→      "(b) शून्य",
    93→    93→      "(c) 6 ms^{-2}",
    94→    94→      "(d) 12 ms^{-2}",
    95→    95→      4.0,
    96→    96→      "v = 12 - 3t^2। v=0 \\Rightarrow t=2s। a = -6t। t=2 पर, a = -12 ms^{-2}। मंदन 12 ms^{-2} है।",
    97→    97→      "CBSE AIPMT",
    98→    98→      2012.0,
    99→    99→      null
   100→   100→    ]
   101→   101→  },
   102→   102→  {
   103→   103→    "sheet": "Class11",
   104→   104→    "row": 788,
   105→   105→    "data": [
   106→   106→      "Physics",
   107→   107→      2.0,
