     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 35,
     5→     5→    "data": [
     6→     6→      "Chemistry",
     7→     7→      1.0,
     8→     8→      "रसायन विज्ञान की कुछ मूल अवधारणाएँ",
     9→     9→      "Hindi",
    10→    10→      "बोरोन के दो स्थिर समस्थानिक, ¹⁰B (19%) और ¹¹B (81%) हैं। आवर्त सारणी में बोरोन के औसत परमाणु भार की गणना करें।",
    11→    11→      "(a) 10.8",
    12→    12→      "(b) 10.2",
    13→    13→      "(c) 11.2",
    14→    14→      "(d) 10.0",
    15→    15→      1.0,
    16→    16→      "औसत भार = (19×10 + 81×11) / 100 = 10.81.",
    17→    17→      "NEET",
    18→    18→      1990.0,
    19→    19→      null
    20→    20→    ]
    21→    21→  },
    22→    22→  {
    23→    23→    "sheet": "Class11",
    24→    24→    "row": 36,
    25→    25→    "data": [
    26→    26→      "Chemistry",
    27→    27→      1.0,
    28→    28→      "रसायन विज्ञान की कुछ मूल अवधारणाएँ",
    29→    29→      "Hindi",
    30→    30→      "अपने अयस्क से एक तत्व निकालते समय, अयस्क को पीसा जाता है और घुलनशील उत्पाद पोटेशियम अर्जेंटो-सायनाइड बनाने के लिए तनु KCN विलयन के साथ निक्षालित (leach) किया जाता है। तत्व है:",
    31→    31→      "(a) लेड (lead)",
    32→    32→      "(b) क्रोमियम (chromium)",
    33→    33→      "(c) मैंगनीज (manganese)",
    34→    34→      "(d) सिल्वर (silver)",
    35→    35→      4.0,
    36→    36→      "सिल्वर (Ag) को K[Ag(CN)₂] बनाते हुए सायनाइड प्रक्रिया द्वारा निष्कर्षित किया जाता है।",
    37→    37→      "NEET",
    38→    38→      1989.0,
    39→    39→      null
    40→    40→    ]
    41→    41→  },
    42→    42→  {
    43→    43→    "sheet": "Class11",
    44→    44→    "row": 37,
    45→    45→    "data": [
    46→    46→      "Chemistry",
    47→    47→      1.0,
    48→    48→      "रसायन विज्ञान की कुछ मूल अवधारणाएँ",
    49→    49→      "Hindi",
    50→    50→      "एक धातु ऑक्साइड का सूत्र Z₂O₃ है। इसे मुक्त धातु और पानी देने के लिए हाइड्रोजन द्वारा अपचयित (reduced) किया जा सकता है। 0.1596 g धातु ऑक्साइड को पूर्ण अपचयन के लिए 6 mg हाइड्रोजन की आवश्यकता होती है। धातु का परमाणु भार है:",
    51→    51→      "(a) 27.9",
    52→    52→      "(b) 159.6",
    53→    53→      "(c) 79.8",
    54→    54→      "(d) 55.8",
    55→    55→      4.0,
    56→    56→      "Z₂O₃ का तुल्यांकी भार = (भार/H₂ भार) = 0.1596 / 0.006 = 26.6. धातु का तुल्यांकी भार = 26.6 - 8 = 18.6. परमाणु भार = 18.6 × 3 = 55.8.",
    57→    57→      "NEET",
    58→    58→      1989.0,
    59→    59→      null
    60→    60→    ]
    61→    61→  },
    62→    62→  {
    63→    63→    "sheet": "Class11",
    64→    64→    "row": 38,
    65→    65→    "data": [
    66→    66→      "Chemistry",
    67→    67→      1.0,
    68→    68→      "रसायन विज्ञान की कुछ मूल अवधारणाएँ",
    69→    69→      "Hindi",
    70→    70→      "कार्बन परमाणु के एक मोल का वजन 12 g है, इसमें परमाणुओं की संख्या किसके बराबर है? (कार्बन-12 का द्रव्यमान 1.9926x10⁻²³ g है)",
    71→    71→      "(a) 1.2 x 10²³",
    72→    72→      "(b) 6.022 x 10²²",
    73→    73→      "(c) 12 x 10²²",
    74→    74→      "(d) 6.022 x 10²³",
    75→    75→      4.0,
    76→    76→      "1 मोल में परमाणुओं की संख्या आवोगाद्रो संख्या होती है = 12 / (1.9926 × 10⁻²³) ≈ 6.022 × 10²³.",
    77→    77→      "NEET",
    78→    78→      2020.0,
    79→    79→      null
    80→    80→    ]
    81→    81→  },
    82→    82→  {
    83→    83→    "sheet": "Class11",
    84→    84→    "row": 39,
    85→    85→    "data": [
    86→    86→      "Chemistry",
    87→    87→      1.0,
    88→    88→      "रसायन विज्ञान की कुछ मूल अवधारणाएँ",
    89→    89→      "Hindi",
    90→    90→      "निम्नलिखित में से किसमें परमाणुओं की संख्या अधिकतम है?",
    91→    91→      "(a) 1 g Mg(s) [Mg का परमाणु द्रव्यमान = 24]",
    92→    92→      "(b) 1 g O₂(g) [O का परमाणु द्रव्यमान = 16]",
    93→    93→      "(c) 1 g Li(s) [Li का परमाणु द्रव्यमान = 7]",
    94→    94→      "(d) 1 g Ag(s) [Ag का परमाणु द्रव्यमान = 108]",
    95→    95→      3.0,
    96→    96→      "परमाणुओं की संख्या ∝ 1/परमाणु द्रव्यमान (एकपरमाणुक के लिए)। Li का परमाणु द्रव्यमान (7) सबसे कम है, इसलिए 1g Li में अधिकतम परमाणु हैं।",
    97→    97→      "NEET",
    98→    98→      2020.0,
    99→    99→      null
   100→   100→    ]
   101→   101→  },
   102→   102→  {
   103→   103→    "sheet": "Class11",
   104→   104→    "row": 40,
   105→   105→    "data": [
   106→   106→      "Chemistry",
   107→   107→      1.0,
   108→   108→      "रसायन विज्ञान की कुछ मूल अवधारणाएँ",
   109→   109→      "Hindi",
   110→   110→      "किस मामले में पानी के अणुओं की संख्या अधिकतम है?",
   111→   111→      "(a) 1 atm और 273 K पर 0.00224 L जल वाष्प",
   112→   112→      "(b) 0.18 g पानी",
   113→   113→      "(c) 18 mL पानी",
   114→   114→      "(d) 10⁻³ mol पानी",
   115→   115→      3.0,
   116→   116→      "18 mL पानी = 18 g = 1 मोल = NA अणु। जबकि (a) 10⁻⁴ मोल, (b) 10⁻² मोल, (d) 10⁻³ मोल हैं।",
   117→   117→      "NEET",
