     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 2140,
     5→     5→    "data": [
     6→     6→      "Biology",
     7→     7→      null,
     8→     8→      "Photosynthesis in Higher Plants",
     9→     9→      "English",
    10→    10→      "In photosystem-I the first electron acceptor is",
    11→    11→      "cytochrome",
    12→    12→      "plastocyanin",
    13→    13→      "an iron-sulphur protein",
    14→    14→      "ferredoxin",
    15→    15→      3.0,
    16→    16→      "In photosystem-I, the primary electron acceptor is probably a Fe-S protein. The reduced primary acceptor transfers the electrons to secondary electron acceptor (most probablyP430 ). The sequence of electron transfer is as called red drop. Reaction centre of PS-II isP680 while that of PS-I isP700 . So in the red drop reaction PS-II is inactivated.",
    17→    17→      "CBSE AIPMT",
    18→    18→      null,
    19→    19→      null
    20→    20→    ]
    21→    21→  },
    22→    22→  {
    23→    23→    "sheet": "Class11",
    24→    24→    "row": 2141,
    25→    25→    "data": [
    26→    26→      "Biology",
    27→    27→      null,
    28→    28→      "Photosynthesis in Higher Plants",
    29→    29→      "English",
    30→    30→      "Photochemical reactions in the chloroplast are directly involved in",
    31→    31→      "formation of phosphoglyceric acid",
    32→    32→      "fixation of carbon dioxide",
    33→    33→      "synthesis of glucose and starch",
    34→    34→      "photolysis of water and phosphorylation of ADP to ATP",
    35→    35→      4.0,
    36→    36→      "CO2 is fixed in the stroma of the chloroplast leading to the synthesis of PGA from which glyceraldehyde phosphate is formed. From glyceraldehyde phosphate, sugar and starch are formed. All these do not require light. However, photolysis of water and phosphorylation of ADP to ATP requires light energy.",
    37→    37→      "CBSE AIPMT",
    38→    38→      null,
    39→    39→      null
    40→    40→    ]
    41→    41→  },
    42→    42→  {
    43→    43→    "sheet": "Class11",
    44→    44→    "row": 2142,
    45→    45→    "data": [
    46→    46→      "Biology",
    47→    47→      null,
    48→    48→      "Photosynthesis in Higher Plants",
    49→    49→      "English",
    50→    50→      "Which one occurs both during cyclic and non-cyclic modes of photophosphorylation?",
    51→    51→      "Involvement of both PS-I and PS-II",
    52→    52→      "Formation of ATP",
    53→    53→      "Release ofO2",
    54→    54→      "Formation of NADPH",
    55→    55→      2.0,
    56→    56→      "Cyclic photophosphorylation is that type of light energised ATP synthesis in which electron expelled by excited photocentre does not return to them. It involves two Photochemical Systems (PS-I and PS-II) and produces assimilatory power (ATP and NADPH). In both, cyclic and non-cyclic photophosphorylation, formation of ATP takes place.",
    57→    57→      "CBSE AIPMT",
    58→    58→      null,
    59→    59→      null
    60→    60→    ]
    61→    61→  },
    62→    62→  {
    63→    63→    "sheet": "Class11",
    64→    64→    "row": 2143,
    65→    65→    "data": [
    66→    66→      "Biology",
    67→    67→      null,
    68→    68→      "Photosynthesis in Higher Plants",
    69→    69→      "English",
    70→    70→      "Formation of ATP in photosynthesis and respiration is an oxidation process which utilises the energy from",
    71→    71→      "cytochromes",
    72→    72→      "ferredoxin follows : →− (a) 2 hydrogen atoms in one of its",
    73→    73→      "electrons",
    74→    74→      "carbon dioxide − − e e e P— A —A 700 → → — A pyrrole rings",
    75→    75→      3.0,
    76→    76→      "+ (Chl-a ) 1 (Phyloquinone) 2 (Fe -S 3 (P ) p rotein) 430 (b) 2 hydrogen atoms in two of its Cytochromes (Keilin; 1925) are the The reducedP430 passes its electrons to ferredoxin (Fd) present at outer surface of thylakoid membrane. 28 Which of the following absorb light energy for photosynthesis? [CBSE AIPMT 2002] (a) Chlorophyll (b) Water molecule (c)O2 (d) RuBP  a  Chlorophyll molecule absorbs light for photosynthesis.H O2 molecules provide H+ ions and electrons during photosynthesis.O2 is liberated during photosynthesis. RuBP (Ribulose 1, 5-bisphosphate) reacts with CO2 during dark reaction of photosynthesis. This process takes place in the presence of enzyme RuBisCO. 29 Which pigment system is inactivated in red drop? [CBSE AIPMT 2001] (a) PS-I and PS-II (b) PS-I (c) PS-II (d) None of these  c  The fall in photosynthetic yield beyond red region of spectrum (680 nm) is pyrrole rings (c) 4 hydrogen atoms in one of its pyrrole rings (d) 4 hydrogen atoms in two of its pyrrole rings  a  Protochlorophyll differs from chlorophyll in lacking 2 hydrogen atoms in one of its pyrrole rings. 32 NADPH is generated through [CBSE AIPMT 1997] (a) photosystem-I (b) photosystem-II (c) anaerobic respiration (d) glycolysis  b  NADPH is generated through photosystem-II. In non-cyclic photophosphorylation (which involves both PS-I and II) protons released from photolysis and electrons emitted from P700 are ultimately passed on to NADP+ resulting in the formation of NADPH. In cyclic photophosphorylation (which involves only PS-I) electrons flow in a cyclic manner but there is no net formation of NADPH andO2 . electron transport intermediates containing heme (or related prosthetic groups) in which the iron undergoes valency changes during electron transfer and produces energy (ATP) in both photosynthesis and respiration.",
    77→    77→      "CBSE AIPMT",
    78→    78→      null,
    79→    79→      null
    80→    80→    ]
    81→    81→  },
    82→    82→  {
    83→    83→    "sheet": "Class11",
    84→    84→    "row": 2144,
    85→    85→    "data": [
    86→    86→      "Biology",
    87→    87→      null,
    88→    88→      "Photosynthesis in Higher Plants",
    89→    89→      "English",
    90→    90→      "Photosystem-II occurs in",
    91→    91→      "stroma",
    92→    92→      "cytochrome",
    93→    93→      "grana",
    94→    94→      "mitochondrial surface",
    95→    95→      3.0,
    96→    96→      "PS-II is present in appressed part of granal thylakoids. PS-I is present in stroma thylakoids and non-appressed parts of granal thylakoids.",
    97→    97→      "CBSE AIPMT",
    98→    98→      null,
    99→    99→      null
   100→   100→    ]
   101→   101→  },
   102→   102→  {
   103→   103→    "sheet": "Class11",
   104→   104→    "row": 2145,
   105→   105→    "data": [
   106→   106→      "Biology",
   107→   107→      null,
