     1→     1→{
     2→     2→ "batch": 16,
     3→     3→ "questions": [
     4→     4→  {
     5→     5→   "Subject": "Science",
     6→     6→   "Chapter No.": "4.0",
     7→     7→   "Chapter Name": "Carbon and its Compounds",
     8→     8→   "Medium": "English",
     9→     9→   "Question": "Which of the following is used in the manufacturing of Tincture Iodine?",
    10→    10→   "Option 1": "Ethanoic acid",
    11→    11→   "Option 2": "Ethanol",
    12→    12→   "Option 3": "Methanol",
    13→    13→   "Option 4": "Acetone",
    14→    14→   "Correct Option": "2.0",
    15→    15→   "Explanation": "Tincture Iodine is a solution of 2-3% iodine in a mixture of alcohol (ethanol) and water.",
    16→    16→   "Exam": "CBSE",
    17→    17→   "Year": "2017.0",
    18→    18→   "_sheet_row": 752
    19→    19→  },
    20→    20→  {
    21→    21→   "Subject": "Science",
    22→    22→   "Chapter No.": "4.0",
    23→    23→   "Chapter Name": "Carbon and its Compounds",
    24→    24→   "Medium": "English",
    25→    25→   "Question": "The catalyst used in the industrial preparation of vegetable ghee from oils is:",
    26→    26→   "Option 1": "Iron",
    27→    27→   "Option 2": "Nickel",
    28→    28→   "Option 3": "Copper",
    29→    29→   "Option 4": "Platinum",
    30→    30→   "Correct Option": "2.0",
    31→    31→   "Explanation": "Nickel acts as a catalyst for the addition of hydrogen to unsaturated fats (oils) to convert them into saturated fats (ghee).",
    32→    32→   "Exam": "MP Board",
    33→    33→   "Year": "2021.0",
    34→    34→   "_sheet_row": 753
    35→    35→  },
    36→    36→  {
    37→    37→   "Subject": "Science",
    38→    38→   "Chapter No.": "4.0",
    39→    39→   "Chapter Name": "Carbon and its Compounds",
    40→    40→   "Medium": "English",
    41→    41→   "Question": "What is the general formula of the Alcohols homologous series?",
    42→    42→   "Option 1": "$C_nH_{2n+1}OH$",
    43→    43→   "Option 2": "$C_nH_{2n}OH$",
    44→    44→   "Option 3": "$C_nH_{2n+2}OH$",
    45→    45→   "Option 4": "$C_nH_{2n-1}OH$",
    46→    46→   "Correct Option": "1.0",
    47→    47→   "Explanation": "Alcohols are formed by replacing one hydrogen of an alkane ($C_nH_{2n+2}$) with an $-OH$ group, resulting in $C_nH_{2n+1}OH$.",
    48→    48→   "Exam": "CBSE",
    49→    49→   "Year": "2021.0",
    50→    50→   "_sheet_row": 754
    51→    51→  },
    52→    52→  {
    53→    53→   "Subject": "Science",
    54→    54→   "Chapter No.": "4.0",
    55→    55→   "Chapter Name": "Carbon and its Compounds",
    56→    56→   "Medium": "English",
    57→    57→   "Question": "Which of the following carbon compounds is used as an anaesthetic in surgery?",
    58→    58→   "Option 1": "Methane",
    59→    59→   "Option 2": "Ethanol",
    60→    60→   "Option 3": "Chloroform",
    61→    61→   "Option 4": "Ethanoic acid",
    62→    62→   "Correct Option": "3.0",
    63→    63→   "Explanation": "Chloroform ($CHCl_3$) was historically used as an anaesthetic, though safer alternatives are used today.",
    64→    64→   "Exam": "ICSE",
    65→    65→   "Year": "2020.0",
    66→    66→   "_sheet_row": 755
    67→    67→  },
    68→    68→  {
    69→    69→   "Subject": "Science",
    70→    70→   "Chapter No.": "4.0",
    71→    71→   "Chapter Name": "Carbon and its Compounds",
    72→    72→   "Medium": "English",
    73→    73→   "Question": "A mixture of Ethyne and Oxygen is used for welding. Why is a mixture of Ethyne and Air not used?",
    74→    74→   "Option 1": "Air contains Nitrogen which is explosive",
    75→    75→   "Option 2": "Combustion in air is incomplete and less hot",
    76→    76→   "Option 3": "Ethyne does not burn in air",
    77→    77→   "Option 4": "Air is too expensive",
    78→    78→   "Correct Option": "2.0",
    79→    79→   "Explanation": "Air contains only 21% Oxygen. Burning ethyne in air results in incomplete combustion (sooty flame) and insufficient temperature for melting metal.",
    80→    80→   "Exam": "CBSE",
    81→    81→   "Year": "2022.0",
    82→    82→   "_sheet_row": 756
    83→    83→  },
    84→    84→  {
    85→    85→   "Subject": "Science",
    86→    86→   "Chapter No.": "4.0",
    87→    87→   "Chapter Name": "Carbon and its Compounds",
    88→    88→   "Medium": "English",
    89→    89→   "Question": "The property of carbon to form four bonds is known as:",
    90→    90→   "Option 1": "Catenation",
    91→    91→   "Option 2": "Isomerism",
    92→    92→   "Option 3": "Tetravalency",
    93→    93→   "Option 4": "Allotropy",
    94→    94→   "Correct Option": "3.0",
    95→    95→   "Explanation": "Carbon has four valence electrons, allowing it to bond with four other atoms. This is called its tetravalent nature.",
    96→    96→   "Exam": "Bihar Board",
    97→    97→   "Year": "2021.0",
    98→    98→   "_sheet_row": 757
    99→    99→  },
   100→   100→  {
   101→   101→   "Subject": "Science",
   102→   102→   "Chapter No.": "4.0",
   103→   103→   "Chapter Name": "Carbon and its Compounds",
   104→   104→   "Medium": "English",
   105→   105→   "Question": "Which of the following does not contain a carboxyl group?",
   106→   106→   "Option 1": "Vinegar",
   107→   107→   "Option 2": "Lemon juice",
   108→   108→   "Option 3": "Tomato",
   109→   109→   "Option 4": "Ethanol",
   110→   110→   "Correct Option": "4.0",
   111→   111→   "Explanation": "Vinegar (Acetic acid), Lemon (Citric acid), and Tomato (Oxalic acid) are all acids. Ethanol is an alcohol and contains the hydroxyl group ($-OH$).",
   112→   112→   "Exam": "CBSE",
   113→   113→   "Year": "2023.0",
   114→   114→   "_sheet_row": 758
   115→   115→  },
   116→   116→  {
   117→   117→   "Subject": "Science",
   118→   118→   "Chapter No.": "4.0",
   119→   119→   "Chapter Name": "Carbon and its Compounds",
   120→   120→   "Medium": "English",
   121→   121→   "Question": "When ethanoic acid reacts with sodium hydroxide, the salt formed is:",
   122→   122→   "Option 1": "Sodium ethanoate",
   123→   123→   "Option 2": "Sodium methanoate",
   124→   124→   "Option 3": "Sodium propanoate",
   125→   125→   "Option 4": "Sodium chloride",
   126→   126→   "Correct Option": "1.0",
   127→   127→   "Explanation": "The reaction is: $CH_3COOH + NaOH \\rightarrow CH_3COONa + H_2O$. The salt $CH_3COONa$ is Sodium Ethanoate (Sodium Acetate).",
   128→   128→   "Exam": "CBSE",
   129→   129→   "Year": "2018.0",
   130→   130→   "_sheet_row": 759
   131→   131→  },
   132→   132→  {
   133→   133→   "Subject": "Science",
   134→   134→   "Chapter No.": "4.0",
   135→   135→   "Chapter Name": "Carbon and its Compounds",
   136→   136→   "Medium": "English",
   137→   137→   "Question": "Carbon and its compounds are used as fuels because:",
   138→   138→   "Option 1": "They have low calorific value",
   139→   139→   "Option 2": "They burn with a clean flame and high heat",
   140→   140→   "Option 3": "They are very cheap",
   141→   141→   "Option 4": "They are available in the form of diamonds",
   142→   142→   "Correct Option": "2.0",
   143→   143→   "Explanation": "Most carbon compounds release a large amount of heat energy upon combustion and burn efficiently, making them excellent fuels.",
   144→   144→   "Exam": "CBSE",
   145→   145→   "Year": "2020.0",
   146→   146→   "_sheet_row": 760
   147→   147→  },
   148→   148→  {
   149→   149→   "Subject": "Science",
   150→   150→   "Chapter No.": "4.0",
   151→   151→   "Chapter Name": "Carbon and its Compounds",
   152→   152→   "Medium": "English",
   153→   153→   "Question": "Which of the following is the second member of the Alkyne series?",
   154→   154→   "Option 1": "Ethyne",
   155→   155→   "Option 2": "Propyne",
   156→   156→   "Option 3": "Butyne",
   157→   157→   "Option 4": "Methene",
   158→   158→   "Correct Option": "2.0",
   159→   159→   "Explanation": "The first member is Ethyne ($C_2H_2$). The second member, with three carbon atoms, is Propyne ($C_3H_4$).",
   160→   160→   "Exam": "HBSE",
   161→   161→   "Year": "2021.0",
   162→   162→   "_sheet_row": 761
   163→   163→  },
   164→   164→  {
   165→   165→   "Subject": "Science",
   166→   166→   "Chapter No.": "4.0",
   167→   167→   "Chapter Name": "कार्बन एवं उसके यौगिक",
   168→   168→   "Medium": "Hindi",
   169→   169→   "Question": "एल्कीन (Alkenes) की समजातीय श्रेणी के तीसरे सदस्य का रासायनिक सूत्र क्या है?",
   170→   170→   "Option 1": "C3H6",
   171→   171→   "Option 2": "C4H8",
   172→   172→   "Option 3": "C4H10",
   173→   173→   "Option 4": "C5H10",
   174→   174→   "Correct Option": "2.0",
   175→   175→   "Explanation": "एल्कीन श्रेणी एथीन ($C_2H_4$) से शुरू होती है। दूसरा सदस्य प्रोपीन ($C_3H_6$) है, और तीसरा सदस्य ब्यूटीन ($C_4H_8$) है।",
   176→   176→   "Exam": "CBSE",
   177→   177→   "Year": "2021.0",
   178→   178→   "_sheet_row": 762
   179→   179→  },
   180→   180→  {
   181→   181→   "Subject": "Science",
   182→   182→   "Chapter No.": "4.0",
   183→   183→   "Chapter Name": "कार्बन एवं उसके यौगिक",
   184→   184→   "Medium": "Hindi",
   185→   185→   "Question": "स्पिरिट लैम्पों में ईंधन के रूप में निम्नलिखित में से किस कार्बन यौगिक का उपयोग किया जाता है?",
   186→   186→   "Option 1": "एथेनोइक अम्ल",
   187→   187→   "Option 2": "एथेनॉल",
   188→   188→   "Option 3": "मेथेन",
   189→   189→   "Option 4": "बेंजीन",
   190→   190→   "Correct Option": "2.0",
   191→   191→   "Explanation": "एथेनॉल ($C_2H_5OH$) अत्यधिक ज्वलनशील है और स्वच्छ लौ के साथ जलता है, जो इसे स्पिरिट लैम्पों और पेट्रोल में मिलावट के लिए आदर्श बनाता है।",
   192→   192→   "Exam": "CBSE",
   193→   193→   "Year": "2019.0",
   194→   194→   "_sheet_row": 763
   195→   195→  },
   196→   196→  {
   197→   197→   "Subject": "Science",
   198→   198→   "Chapter No.": "4.0",
   199→   199→   "Chapter Name": "कार्बन एवं उसके यौगिक",
   200→   200→   "Medium": "Hindi",
   201→   201→   "Question": "अम्ल उत्प्रेरक की उपस्थिति में एथेनोइक अम्ल की एथेनॉल के साथ अभिक्रिया को क्या कहा जाता है?",
   202→   202→   "Option 1": "साबुनीकरण",
   203→   203→   "Option 2": "हाइड्रोजनीकरण",
   204→   204→   "Option 3": "एस्टरीकरण",
   205→   205→   "Option 4": "प्रतिस्थापन",
   206→   206→   "Correct Option": "3.0",
   207→   207→   "Explanation": "एथेनोइक अम्ल और एथेनॉल अभिक्रिया करके एथिल एथेनोएट (एक एस्टर) और जल बनाते हैं। इसकी मीठी फलों जैसी गंध एस्टर की पहचान है।",
   208→   208→   "Exam": "CBSE",
   209→   209→   "Year": "2018.0",
   210→   210→   "_sheet_row": 764
   211→   211→  },
   212→   212→  {
   213→   213→   "Subject": "Science",
   214→   214→   "Chapter No.": "4.0",
   215→   215→   "Chapter Name": "कार्बन एवं उसके यौगिक",
   216→   216→   "Medium": "Hindi",
   217→   217→   "Question": "साबुन तैलीय गंदगी के साथ मिसेल बनाते हैं। साबुन के अणु की 'पूंछ' (Tail) होती है:",
   218→   218→   "Option 1": "जलरागी (Hydrophilic)",
   219→   219→   "Option 2": "जलविरागी (Hydrophobic)",
   220→   220→   "Option 3": "आयनिक",
   221→   221→   "Option 4": "अम्लीय",
   222→   222→   "Correct Option": "2.0",
   223→   223→   "Explanation": "लंबी हाइड्रोकार्बन पूंछ अध्रुवीय और जलविरागी (पानी से दूर रहने वाली) होती है, इसलिए यह पानी के बजाय तेल/ग्रीस में घुल जाती है।",
   224→   224→   "Exam": "CBSE",
   225→   225→   "Year": "2022.0",
   226→   226→   "_sheet_row": 765
   227→   227→  },
   228→   228→  {
   229→   229→   "Subject": "Science",
   230→   230→   "Chapter No.": "4.0",
   231→   231→   "Chapter Name": "कार्बन एवं उसके यौगिक",
   232→   232→   "Medium": "Hindi",
   233→   233→   "Question": "जब मेथेन को हवा की अधिकता में जलाया जाता है तो क्या होता है?",
   234→   234→   "Option 1": "कार्बन मोनोऑक्साइड और जल बनते हैं",
   235→   235→   "Option 2": "कार्बन और हाइड्रोजन बनते हैं",
   236→   236→   "Option 3": "कार्बन डाइऑक्साइड और जल बनते हैं",
   237→   237→   "Option 4": "एथेन बनता है",
   238→   238→   "Correct Option": "3.0",
   239→   239→   "Explanation": "ऑक्सीजन की अधिकता में एल्केन के पूर्ण दहन से हमेशा कार्बन डाइऑक्साइड, जल वाष्प और बड़ी मात्रा में ऊष्मा/प्रकाश उत्पन्न होता है।",
   240→   240→   "Exam": "UP Board",
   241→   241→   "Year": "2021.0",
   242→   242→   "_sheet_row": 766
   243→   243→  },
   244→   244→  {
   245→   245→   "Subject": "Science",
   246→   246→   "Chapter No.": "4.0",
   247→   247→   "Chapter Name": "कार्बन एवं उसके यौगिक",
   248→   248→   "Medium": "Hindi",
   249→   249→   "Question": "निम्नलिखित में से कौन एक संतृप्त चक्रीय हाइड्रोकार्बन का उदाहरण है?",
   250→   250→   "Option 1": "बेंजीन",
   251→   251→   "Option 2": "साइक्लोहेक्सेन",
   252→   252→   "Option 3": "साइक्लोहेक्सीन",
   253→   253→   "Option 4": "एथेन",
   254→   254→   "Correct Option": "2.0",
   255→   255→   "Explanation": "साइक्लोहेक्सेन ($C_6H_{12}$) में छह कार्बन परमाणु एकल सहसंयोजक बंधों द्वारा एक वलय (Ring) में जुड़े होते हैं, जो इसे संतृप्त बनाता है।",
   256→   256→   "Exam": "CBSE",
   257→   257→   "Year": "2023.0",
   258→   258→   "_sheet_row": 767
   259→   259→  },
   260→   260→  {
   261→   261→   "Subject": "Science",
   262→   262→   "Chapter No.": "4.0",
   263→   263→   "Chapter Name": "कार्बन एवं उसके यौगिक",
   264→   264→   "Medium": "Hindi",
   265→   265→   "Question": "एस्टर को वापस अल्कोहल और कार्बोक्सिलिक अम्ल के सोडियम लवण में बदलने की प्रक्रिया है:",
   266→   266→   "Option 1": "एस्टरीकरण",
   267→   267→   "Option 2": "उदासीनीकरण",
   268→   268→   "Option 3": "साबुनीकरण",
   269→   269→   "Option 4": "किण्वन (Fermentation)",
   270→   270→   "Correct Option": "3.0",
   271→   271→   "Explanation": "जब एक एस्टर सोडियम हाइड्रॉक्साइड ($NaOH$) के साथ अभिक्रिया करता है, तो वह अपने मूल अल्कोहल और अम्ल के सोडियम लवण (साबुन) में टूट जाता है।",
   272→   272→   "Exam": "CBSE",
   273→   273→   "Year": "2020.0",
   274→   274→   "_sheet_row": 768
   275→   275→  },
   276→   276→  {
   277→   277→   "Subject": "Science",
   278→   278→   "Chapter No.": "4.0",
   279→   279→   "Chapter Name": "कार्बन एवं उसके यौगिक",
   280→   280→   "Medium": "Hindi",
   281→   281→   "Question": "यौगिक $CH_3CH_2Cl$ में कौन सा कार्यात्मक समूह मौजूद है?",
   282→   282→   "Option 1": "अल्कोहल",
   283→   283→   "Option 2": "हैलो समूह",
   284→   284→   "Option 3": "एल्डिहाइड",
   285→   285→   "Option 4": "कीटोन",
   286→   286→   "Correct Option": "2.0",
   287→   287→   "Explanation": "एल्किल श्रृंखला से जुड़े क्लोरीन परमाणु की उपस्थिति हैलोजन (हैलो) कार्यात्मक समूह का प्रतिनिधित्व करती है।",
   288→   288→   "Exam": "HBSE",
   289→   289→   "Year": "2021.0",
