     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 941,
     5→     5→    "data": [
     6→     6→      "Physics",
     7→     7→      3.0,
     8→     8→      "समतल में गति",
     9→     9→      "Hindi",
    10→    10→      "समान द्रव्यमान और समान वेग वाले दो प्रक्षेप्यों को क्षैतिज के साथ 60^{\\circ} और 30^{\\circ} के कोण पर फेंका जाता है, तो कौन सी राशि समान रहेगी?",
    11→    11→      "(a) उड्डयन काल",
    12→    12→      "(b) प्रक्षेप्य की परास",
    13→    13→      "(c) अधिकतम ऊंचाई",
    14→    14→      "(d) ये सभी",
    15→    15→      2.0,
    16→    16→      "30^{\\circ} और 60^{\\circ} पूरक कोण हैं, इसलिए उनकी क्षैतिज परास समान होगी।",
    17→    17→      "CBSE AIPMT",
    18→    18→      2000.0,
    19→    19→      null
    20→    20→    ]
    21→    21→  },
    22→    22→  {
    23→    23→    "sheet": "Class11",
    24→    24→    "row": 942,
    25→    25→    "data": [
    26→    26→      "Physics",
    27→    27→      3.0,
    28→    28→      "समतल में गति",
    29→    29→      "Hindi",
    30→    30→      "एक कण 5 cm त्रिज्या के वृत्त में नियत चाल और आवर्तकाल (time period) 0.2\\pi s के साथ गति करता है। कण का त्वरण है",
    31→    31→      "(a) 15~m/s^{2}",
    32→    32→      "(b) 25~m/s^{2}",
    33→    33→      "(c) 36~m/s^{2}",
    34→    34→      "(d) 5~m/s^{2}",
    35→    35→      4.0,
    36→    36→      "a = \\omega^2 r = (\\frac{2\\pi}{T})^2 r = (\\frac{2\\pi}{0.2\\pi})^2 (5 \\times 10^{-2}) = 100 \\times 0.05 = 5~m/s^2।",
    37→    37→      "CBSE AIPMT",
    38→    38→      2011.0,
    39→    39→      null
    40→    40→    ]
    41→    41→  },
    42→    42→  {
    43→    43→    "sheet": "Class11",
    44→    44→    "row": 943,
    45→    45→    "data": [
    46→    46→      "Physics",
    47→    47→      3.0,
    48→    48→      "समतल में गति",
    49→    49→      "Hindi",
    50→    50→      "1 m लंबी एक डोरी के सिरे से बंधा एक पत्थर एक क्षैतिज वृत्त में नियत चाल से घुमाया जाता है। यदि पत्थर 44 सेकंड में 22 चक्कर लगाता है, तो पत्थर के त्वरण का परिमाण और दिशा क्या है?",
    51→    51→      "(a) \\pi^{2}~ms^{-2} और दिशा त्रिज्या के अनुदिश केंद्र की ओर",
    52→    52→      "(b) \\pi^{2}~ms^{-2} और दिशा त्रिज्या के अनुदिश केंद्र से दूर",
    53→    53→      "(c) \\pi^{2}~ms^{-2} और दिशा वृत्त की स्पर्शरेखा के अनुदिश",
    54→    54→      "(d) \\pi^{2}/4~ms^{-2} और दिशा त्रिज्या के अनुदिश केंद्र की ओर",
    55→    55→      1.0,
    56→    56→      "\\omega = 2\\pi f = 2\\pi(22/44) = \\pi rad/s। a = \\omega^2 r = \\pi^2(1) = \\pi^2। दिशा अभिकेंद्रीय (केंद्र की ओर) होती है।",
    57→    57→      "CBSE AIPMT",
    58→    58→      2005.0,
    59→    59→      null
    60→    60→    ]
    61→    61→  },
    62→    62→  {
    63→    63→    "sheet": "Class11",
    64→    64→    "row": 944,
    65→    65→    "data": [
    66→    66→      "Physics",
    67→    67→      3.0,
    68→    68→      "समतल में गति",
    69→    69→      "Hindi",
    70→    70→      "द्रव्यमान m और 4m की दो रेसिंग कारें क्रमशः r और 2r त्रिज्या के वृत्तों में गति कर रही हैं। यदि उनकी चाल ऐसी है कि प्रत्येक समान समय t में एक पूरा चक्कर लगाती है, तो पहली और दूसरी कार की कोणीय चाल का अनुपात है",
    71→    71→      "(a) 8 : 1",
    72→    72→      "(b) 1 : 4",
    73→    73→      "(c) 1 : 1",
    74→    74→      "(d) 1 : 2",
    75→    75→      3.0,
    76→    76→      "कोणीय चाल \\omega = \\frac{2\\pi}{T}। चूँकि आवर्तकाल T समान है, इसलिए \\omega का अनुपात 1:1 है।",
    77→    77→      "CBSE AIPMT",
    78→    78→      1999.0,
    79→    79→      null
    80→    80→    ]
    81→    81→  },
    82→    82→  {
    83→    83→    "sheet": "Class11",
    84→    84→    "row": 945,
    85→    85→    "data": [
    86→    86→      "Physics",
    87→    87→      3.0,
    88→    88→      "समतल में गति",
    89→    89→      "Hindi",
    90→    90→      "एक कण r त्रिज्या के वृत्ताकार पथ पर नियत चाल v के साथ गति करता है और समय T में वृत्त पूरा करता है। कण का त्वरण है",
    91→    91→      "(a) 2\\pi v/T",
    92→    92→      "(b) 2\\pi r/T",
    93→    93→      "(c) 2\\pi v^2/T",
    94→    94→      "(d) 2\\pi r^2/T",
    95→    95→      1.0,
    96→    96→      "a = \\frac{v^2}{r}। चूँकि v = \\frac{2\\pi r}{T} \\Rightarrow r = \\frac{vT}{2\\pi}। अतः a = \\frac{v^2}{vT/2\\pi} = \\frac{2\\pi v}{T}।",
    97→    97→      "CBSE AIPMT",
    98→    98→      1990.0,
    99→    99→      null
   100→   100→    ]
   101→   101→  },
   102→   102→  {
   103→   103→    "sheet": "Class11",
   104→   104→    "row": 946,
   105→   105→    "data": [
   106→   106→      "Physics",
   107→   107→      3.0,
   108→   108→      "समतल में गति",
   109→   109→      "Hindi",
   110→   110→      "एक पिंड को 20 cm त्रिज्या के क्षैतिज वृत्त में घुमाया जाता है। इसका कोणीय वेग 10 rad/s है। वृत्ताकार पथ पर किसी भी बिंदु पर इसका रैखिक वेग क्या है?",
   111→   111→      "(a) 20~m/s",
   112→   112→      "(b) \\sqrt{2}~m/s",
   113→   113→      "(c) 10~m/s",
   114→   114→      "(d) 2~m/s",
   115→   115→      4.0,
