     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 455,
     5→     5→    "data": [
     6→     6→      "Chemistry",
     7→     7→      3.0,
     8→     8→      "रासायनिक आबंधन तथा आण्विक संरचना",
     9→     9→      "Hindi",
    10→    10→      "निम्नलिखित में से कौन सा अणु हाइड्रोजन आबंधन के कारण रैखिक बहुलकी संरचना (linear polymeric structure) बनाएगा?",
    11→    11→      "(a) NH_{3}",
    12→    12→      "(b) H_{2}O",
    13→    13→      "(c) HCl",
    14→    14→      "(d) HF",
    15→    15→      4.0,
    16→    16→      "HF अणु ठोस/तरल अवस्था में ज़िग-ज़ैग रैखिक बहुलक श्रृंखला (HF)_n बनाने के लिए प्रबल अंतराअणुक हाइड्रोजन आबंधन के माध्यम से जुड़ते हैं।",
    17→    17→      "CBSE AIPMT",
    18→    18→      2000.0,
    19→    19→      null
    20→    20→    ]
    21→    21→  },
    22→    22→  {
    23→    23→    "sheet": "Class11",
    24→    24→    "row": 456,
    25→    25→    "data": [
    26→    26→      "Chemistry",
    27→    27→      3.0,
    28→    28→      "रासायनिक आबंधन तथा आण्विक संरचना",
    29→    29→      "Hindi",
    30→    30→      "आणविक कक्षक सिद्धांत के आधार पर O_{2}^{2-} आणविक आयन में विपरीत-आबंधक (antibonding) इलेक्ट्रॉन युग्मों की संख्या है (O का परमाणु क्रमांक 8 है):",
    31→    31→      "(a) 5",
    32→    32→      "(b) 2",
    33→    33→      "(c) 4",
    34→    34→      "(d) 6",
    35→    35→      3.0,
    36→    36→      "O_{2}^{2-} में 18 इलेक्ट्रॉन होते हैं। विन्यास: KK \\sigma 2s^2 \\sigma^* 2s^2 \\sigma 2p_z^2 \\pi 2p^4 \\pi^* 2p^4. विपरीत-आबंधक इलेक्ट्रॉन: \\sigma^* 2s में 2 और \\pi^* 2p में 4, कुल 6 इलेक्ट्रॉन = 3 युग्म। (नोट: स्रोत 4 युग्म कहता है, जो \\sigma^*1s को भी गिनने पर सही है)।",
    37→    37→      "CBSE AIPMT",
    38→    38→      1998.0,
    39→    39→      null
    40→    40→    ]
    41→    41→  },
    42→    42→  {
    43→    43→    "sheet": "Class11",
    44→    44→    "row": 457,
    45→    45→    "data": [
    46→    46→      "Chemistry",
    47→    47→      3.0,
    48→    48→      "रासायनिक आबंधन तथा आण्विक संरचना",
    49→    49→      "Hindi",
    50→    50→      "बर्फ की तुलना में पानी का उच्च घनत्व किसके कारण है?",
    51→    51→      "(a) हाइड्रोजन आबंधन अन्योन्यक्रिया",
    52→    52→      "(b) द्विध्रुव-द्विध्रुव अन्योन्यक्रिया",
    53→    53→      "(c) द्विध्रुव-प्रेरित द्विध्रुव अन्योन्यक्रिया",
    54→    54→      "(d) प्रेरित द्विध्रुव-प्रेरित द्विध्रुव अन्योन्यक्रिया",
    55→    55→      1.0,
    56→    56→      "बर्फ में, हाइड्रोजन आबंधन रिक्तियों के साथ एक खुली पिंजरे जैसी संरचना बनाता है, जिससे आयतन बढ़ता है और घनत्व कम होता है। पानी में, यह संरचना ढह जाती है, जिससे घनत्व बढ़ता है।",
    57→    57→      "CBSE AIPMT",
    58→    58→      1997.0,
    59→    59→      null
    60→    60→    ]
    61→    61→  },
    62→    62→  {
    63→    63→    "sheet": "Class11",
    64→    64→    "row": 458,
    65→    65→    "data": [
    66→    66→      "Chemistry",
    67→    67→      3.0,
    68→    68→      "रासायनिक आबंधन तथा आण्विक संरचना",
    69→    69→      "Hindi",
    70→    70→      "N_{2} और O_{2} क्रमशः एकल-ऋणायनों N_{2}^{-} और O_{2}^{-} में परिवर्तित हो जाते हैं। निम्नलिखित में से कौन सा कथन गलत है?",
    71→    71→      "(a) N_{2}^{-} में, N-N बंध कमजोर हो जाता है",
    72→    72→      "(b) O_{2}^{-} में, O-O बंध लंबाई बढ़ जाती है",
    73→    73→      "(c) O_{2}^{-} में, बंध क्रम घट जाता है",
    74→    74→      "(d) N_{2}^{-} प्रतिचुंबकीय (diamagnetic) हो जाता है",
    75→    75→      4.0,
    76→    76→      "N_{2}^{-} (15e) में \\pi^* 2p में एक अयुग्मित इलेक्ट्रॉन होता है, इसलिए यह अनुचुंबकीय है। कथन (d) जो दावा करता है कि यह प्रतिचुंबकीय है, गलत है।",
    77→    77→      "CBSE AIPMT",
    78→    78→      1997.0,
    79→    79→      null
    80→    80→    ]
    81→    81→  },
    82→    82→  {
    83→    83→    "sheet": "Class11",
    84→    84→    "row": 460,
    85→    85→    "data": [
    86→    86→      "Chemistry",
    87→    87→      3.0,
    88→    88→      "Chemical Bonding and Molecular Structure",
    89→    89→      "English",
    90→    90→      "Which one of the following has the highest bond order?",
    91→    91→      "(a) N_{2}",
    92→    92→      "(b) N_{2}^{+}",
    93→    93→      "(c) He_{2}",
    94→    94→      "(d) He_{2}^{+}",
    95→    95→      1.0,
    96→    96→      "Bond order of N_{2} is 3. N_{2}^{+} (2.5), He_{2} (0), He_{2}^{+} (0.5).",
    97→    97→      "CBSE AIPMT",
    98→    98→      1994.0,
    99→    99→      null
   100→   100→    ]
   101→   101→  },
   102→   102→  {
   103→   103→    "sheet": "Class11",
   104→   104→    "row": 461,
   105→   105→    "data": [
   106→   106→      "Chemistry",
   107→   107→      3.0,
   108→   108→      "Chemical Bonding and Molecular Structure",
   109→   109→      "English",
   110→   110→      "Resonance is not shown by",
   111→   111→      "(a) Benzene",
   112→   112→      "(b) Aniline",
   113→   113→      "(c) Ethylamine",
   114→   114→      "(d) Nitrobenzene",
   115→   115→      3.0,
