     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 3790,
     5→     5→    "data": [
     6→     6→      "Biology",
     7→     7→      12.0,
     8→     8→      "Mineral Nutrition",
     9→     9→      "English",
    10→    10→      "Which one of the following is not an essential element for plants?",
    11→    11→      "Potassium",
    12→    12→      "Iron",
    13→    13→      "Iodine",
    14→    14→      "Zinc",
    15→    15→      3.0,
    16→    16→      "Essential elements are those element which are absolutely necessary for supporting normal growth and reproduction of plants, the elements are specific in their action and are directly involved in the nutrition of the plant. Potassium is macroelement, zinc and iron are microelement. Iodine and sodium are essential for animals and are not required by most of the plants however, iodine is found in certain marine algae.",
    17→    17→      "CBSE AIPMT",
    18→    18→      1996.0,
    19→    19→      null,
    20→    20→      null
    21→    21→    ]
    22→    22→  },
    23→    23→  {
    24→    24→    "sheet": "Class11",
    25→    25→    "row": 3791,
    26→    26→    "data": [
    27→    27→      "Biology",
    28→    28→      12.0,
    29→    29→      "Mineral Nutrition",
    30→    30→      "English",
    31→    31→      "Which one of the following is a micronutrient for plants?",
    32→    32→      "Calcium",
    33→    33→      "Magnesium",
    34→    34→      "Manganese",
    35→    35→      "Nitrogen",
    36→    36→      3.0,
    37→    37→      "Micronutrients are needed in very small amounts by plants, e.g. Manganese, copper, molybdenum, zinc, boron and chlorine.",
    38→    38→      "CBSE AIPMT",
    39→    39→      1996.0,
    40→    40→      null,
    41→    41→      null
    42→    42→    ]
    43→    43→  },
    44→    44→  {
    45→    45→    "sheet": "Class11",
    46→    46→    "row": 3792,
    47→    47→    "data": [
    48→    48→      "Biology",
    49→    49→      12.0,
    50→    50→      "Mineral Nutrition",
    51→    51→      "English",
    52→    52→      "Phosphorus and nitrogen ions generally get depleted in soil because they usually occur as",
    53→    53→      "neutral ions",
    54→    54→      "negatively charged ions",
    55→    55→      "positively charged ions",
    56→    56→      "both positively and negatively charged but disproportionate mixture",
    57→    57→      2.0,
    58→    58→      "In the soil, phosphorus and nitrogen are present as negatively charged ions, e.g. H PO 2 4−,NO2−,NO3− ions. These are usually supplied by fertilisers as urea.",
    59→    59→      "CBSE AIPMT",
    60→    60→      1989.0,
    61→    61→      null,
    62→    62→      null
    63→    63→    ]
    64→    64→  },
    65→    65→  {
    66→    66→    "sheet": "Class11",
    67→    67→    "row": 3793,
    68→    68→    "data": [
    69→    69→      "Biology",
    70→    70→      12.0,
    71→    71→      "Mineral Nutrition",
    72→    72→      "English",
    73→    73→      "Mineral associated with cytochrome is",
    74→    74→      "Cu",
    75→    75→      "Mg",
    76→    76→      "Fe and Mg",
    77→    77→      "Fe and Cu",
    78→    78→      4.0,
    79→    79→      "Cytochromes are iron-porphyrin (haem) proteins discovered by Mac Cunn. Cytochromes are infact, the conjugated proteins, composed of a protein molecule and a non-protein group, i.e. inorganic factor iron. It is to be noted, that cell cytochromes have iron only, though cyt-a3 possesses both Fe and Cu. Fe has a role in picking up of electrons and Cu hands over the electrons to oxygen.",
    80→    80→      "CBSE AIPMT",
    81→    81→      1991.0,
    82→    82→      null,
    83→    83→      null
    84→    84→    ]
    85→    85→  },
    86→    86→  {
    87→    87→    "sheet": "Class11",
    88→    88→    "row": 3794,
    89→    89→    "data": [
    90→    90→      "Biology",
    91→    91→      12.0,
    92→    92→      "Mineral Nutrition",
    93→    93→      "English",
    94→    94→      "Match the Column-I with Column-II.\nColumn I\nA. Nitrococcus\nB. Rhizobium\nC. Thiobacillus\nD. Nitrobacter\nColumn II\n1. Denitrification\n2. Conversion of ammonia to nitrite\n3. Conversion of nitrite to nitrate\n4. Conversion of atmospheric nitrogen to ammonia\nChoose the correct answer from options given below.\nA B C D\n(a) 2 4 1 3\n(b) 1 2 3 4\n(c) 3 1 4 2\n(d) 4 3 2 1",
    95→    95→      "(a) 2 4 1 3",
    96→    96→      "(b) 1 2 3 4",
    97→    97→      "(c) 3 1 4 2",
    98→    98→      "(d) 4 3 2 1",
    99→    99→      1.0,
   100→   100→      "Nitrification is the process of conversion of ammonia into nitrites and nitrites into nitrates. It is facilitated by microorganism like Nitrococcus and Nitrobacter. Rhizobium is involved in biological nitrogen fixation, i.e. it converts atmospheric nitrogen to ammonia. These are symbiotically associated with the roots of leguminous plants. Thiobacillus are involved in conversion of nitrate to nitrogen gas by the process called denitrification",
   101→   101→      "NEET 2021",
   102→   102→      2021.0,
   103→   103→      null,
   104→   104→      null
   105→   105→    ]
   106→   106→  },
   107→   107→  {
   108→   108→    "sheet": "Class11",
   109→   109→    "row": 3795,
   110→   110→    "data": [
   111→   111→      "Biology",
   112→   112→      12.0,
   113→   113→      "Mineral Nutrition",
   114→   114→      "English",
   115→   115→      "In Glycine max, the product of biological nitrogen fixation is transported from the root nodules to other parts as",
   116→   116→      "ammonia",
   117→   117→      "glutamate",
   118→   118→      "nitrates",
   119→   119→      "ureides",
   120→   120→      3.0,
   121→   121→      "In Glycine max (Soyabean), the product of biological nitrogen fixation is transported from the root nodules to other parts as nitrate.",
   122→   122→      "NEET (Oct.) 2020",
   123→   123→      2020.0,
   124→   124→      null,
   125→   125→      null
   126→   126→    ]
   127→   127→  },
   128→   128→  {
   129→   129→    "sheet": "Class11",
   130→   130→    "row": 3796,
   131→   131→    "data": [
   132→   132→      "Biology",
   133→   133→      12.0,
   134→   134→      "Mineral Nutrition",
   135→   135→      "English",
   136→   136→      "The product(s) of reaction catalysed by nitrogenase in root nodules of leguminous plants is/are",
   137→   137→      "nitrate only",
   138→   138→      "ammonia and oxygen",
   139→   139→      "ammonia and hydrogen",
   140→   140→      "ammonia only",
