     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 2890,
     5→     5→    "data": [
     6→     6→      "Biology",
     7→     7→      2.0,
     8→     8→      "Biological Classification",
     9→     9→      "English",
    10→    10→      "Methanogens belong to",
    11→    11→      "eubacteria",
    12→    12→      "archaebacteria",
    13→    13→      "dinoflagellates",
    14→    14→      "slime moulds",
    15→    15→      2.0,
    16→    16→      "Methanogens belong to archaebacteria. It contains three major classes of primitive bacteria, i.e. methanogens, halophilic and thermoacidophilic.",
    17→    17→      "NEET Phase II",
    18→    18→      2016.0,
    19→    19→      null,
    20→    20→      null
    21→    21→    ]
    22→    22→  },
    23→    23→  {
    24→    24→    "sheet": "Class11",
    25→    25→    "row": 2891,
    26→    26→    "data": [
    27→    27→      "Biology",
    28→    28→      2.0,
    29→    29→      "Biological Classification",
    30→    30→      "English",
    31→    31→      "Archaebacteria differ from eubacteria in",
    32→    32→      "cell membrane structure",
    33→    33→      "mode of nutrition",
    34→    34→      "cell shape",
    35→    35→      "mode of reproduction",
    36→    36→      1.0,
    37→    37→      "Archaebacteria different from eubacteria in that eubacteria have cell membrane composed mainly of glycerol-ester lipids, while archaebacteria have membrane made up of glycerol-ether lipid. Ether lipids are chemically more resistant then ester lipids.",
    38→    38→      "CBSE AIPMT",
    39→    39→      2014.0,
    40→    40→      null,
    41→    41→      null
    42→    42→    ]
    43→    43→  },
    44→    44→  {
    45→    45→    "sheet": "Class11",
    46→    46→    "row": 2892,
    47→    47→    "data": [
    48→    48→      "Biology",
    49→    49→      2.0,
    50→    50→      "Biological Classification",
    51→    51→      "English",
    52→    52→      "Besides paddy fields, cyanobacteria are also found inside vegetative part of",
    53→    53→      "Pinus",
    54→    54→      "Cycas",
    55→    55→      "Equisetum",
    56→    56→      "Psilotum",
    57→    57→      2.0,
    58→    58→      "Cyanobacteria within the coralloid roots of Cycas are chemoheterotrophic and specifically adapted to life in symbiosis.",
    59→    59→      "NEET",
    60→    60→      2013.0,
    61→    61→      null,
    62→    62→      null
    63→    63→    ]
    64→    64→  },
    65→    65→  {
    66→    66→    "sheet": "Class11",
    67→    67→    "row": 2893,
    68→    68→    "data": [
    69→    69→      "Biology",
    70→    70→      2.0,
    71→    71→      "Biological Classification",
    72→    72→      "English",
    73→    73→      "Pigment-containing membranous extensions in some cyanobacteria are",
    74→    74→      "heterocysts",
    75→    75→      "basal bodies",
    76→    76→      "pneumatophores",
    77→    77→      "chromatophores",
    78→    78→      4.0,
    79→    79→      "Cyanobacteria contain chlorophyll but the chlorophyll is not located in chloroplasts, rather it is found in chromatophores which are infolding of the plasma membrane, where photosynthesis is carried out.",
    80→    80→      "CBSE AIPMT",
    81→    81→      2012.0,
    82→    82→      null,
    83→    83→      null
    84→    84→    ]
    85→    85→  },
    86→    86→  {
    87→    87→    "sheet": "Class11",
    88→    88→    "row": 2894,
    89→    89→    "data": [
    90→    90→      "Biology",
    91→    91→      2.0,
    92→    92→      "Biological Classification",
    93→    93→      "English",
    94→    94→      "Which of the following are likely to be present in deep sea water?",
    95→    95→      "Archaebacteria",
    96→    96→      "Eubacteria",
    97→    97→      "Blue-green algae",
    98→    98→      "Saprophytic fungi",
    99→    99→      1.0,
   100→   100→      "Archaebacteria can flourish in hot springs and deep sea hypothermal vents.",
   101→   101→      "CBSE AIPMT",
   102→   102→      2012.0,
   103→   103→      null,
   104→   104→      null
   105→   105→    ]
   106→   106→  },
   107→   107→  {
   108→   108→    "sheet": "Class11",
   109→   109→    "row": 2895,
   110→   110→    "data": [
   111→   111→      "Biology",
   112→   112→      2.0,
   113→   113→      "Biological Classification",
   114→   114→      "English",
   115→   115→      "The cyanobacteria are also referred to as",
   116→   116→      "protists",
   117→   117→      "golden algae",
   118→   118→      "slime moulds",
   119→   119→      "blue-green algae",
   120→   120→      4.0,
   121→   121→      "Cyanobacteria, also known as blue-green algae (BGA) are most primitive prokaryotic organisms.",
   122→   122→      "CBSE AIPMT",
   123→   123→      2012.0,
   124→   124→      null,
   125→   125→      null
   126→   126→    ]
   127→   127→  },
   128→   128→  {
   129→   129→    "sheet": "Class11",
   130→   130→    "row": 2896,
   131→   131→    "data": [
   132→   132→      "Biology",
   133→   133→      2.0,
   134→   134→      "Biological Classification",
   135→   135→      "English",
   136→   136→      "Nuclear membrane is absent in",
   137→   137→      "Penicillium",
   138→   138→      "Agaricus",
   139→   139→      "Volvox",
   140→   140→      "Nostoc",
   141→   141→      4.0,
   142→   142→      "Nostoc is a prokaryote. Prokaryotic cells lack membrane bound organelles and well organised nucleus, i.e. nuclear envelope is absent.",
   143→   143→      "CBSE AIPMT",
   144→   144→      2012.0,
   145→   145→      null,
   146→   146→      null
   147→   147→    ]
   148→   148→  },
   149→   149→  {
   150→   150→    "sheet": "Class11",
   151→   151→    "row": 2897,
   152→   152→    "data": [
   153→   153→      "Biology",
   154→   154→      2.0,
   155→   155→      "Biological Classification",
   156→   156→      "English",
   157→   157→      "In eubacteria, a cellular component that resembles eukaryotic cells is",
   158→   158→      "nucleus",
   159→   159→      "ribosomes",
   160→   160→      "cell wall",
   161→   161→      "plasma membrane",
   162→   162→      4.0,
   163→   163→      "The plasma membrane of eubacteria resembles to that of eukaryotic cell. It is made of phospholipid, protein and some amount of polysaccharides.",
   164→   164→      "CBSE AIPMT",
   165→   165→      2011.0,
   166→   166→      null,
   167→   167→      null
   168→   168→    ]
   169→   169→  },
   170→   170→  {
   171→   171→    "sheet": "Class11",
   172→   172→    "row": 2898,
   173→   173→    "data": [
   174→   174→      "Biology",
