     1→     1→     1→[
     2→     2→     2→  {
     3→     3→     3→    "sheet": "Class11",
     4→     4→     4→    "row": 1204,
     5→     5→     5→    "data": [
     6→     6→     6→      "Biology",
     7→     7→     7→      2.0,
     8→     8→     8→      "जीव जगत का वर्गीकरण",
     9→     9→     9→      "Hindi",
    10→    10→    10→      "बैक्टीरिया में श्वसन (respiration) का स्थल है",
    11→    11→    11→      "(a) episome",
    12→    12→    12→      "(b) mesosome",
    13→    13→    13→      "(c) ribosome",
    14→    14→    14→      "(d) microsome",
    15→    15→    15→      2.0,
    16→    16→    16→      "Mesosomes बैक्टीरिया में प्लाज्मा झिल्ली (plasma membrane) के अंतर्वलन (infoldings) हैं जिनमें श्वसन एंजाइम होते हैं।",
    17→    17→    17→      "CBSE AIPMT",
    18→    18→    18→      1997.0,
    19→    19→    19→      null
    20→    20→    20→    ]
    21→    21→    21→  },
    22→    22→    22→  {
    23→    23→    23→    "sheet": "Class11",
    24→    24→    24→    "row": 1205,
    25→    25→    25→    "data": [
    26→    26→    26→      "Biology",
    27→    27→    27→      2.0,
    28→    28→    28→      "जीव जगत का वर्गीकरण",
    29→    29→    29→      "Hindi",
    30→    30→    30→      "बैक्टीरियल गुणसूत्रों (bacterial chromosomes) में, न्यूक्लिक एसिड पॉलिमर होते हैं",
    31→    31→    31→      "(a) रैखिक DNA अणु",
    32→    32→    32→      "(b) गोलाकार DNA अणु",
    33→    33→    33→      "(c) दो प्रकार के - DNA और RNA",
    34→    34→    34→      "(d) रैखिक RNA अणु",
    35→    35→    35→      2.0,
    36→    36→    36→      "बैक्टीरियल न्यूक्लियॉइड (nucleoid) में एक एकल गोलाकार DNA अणु होता है।",
    37→    37→    37→      "CBSE AIPMT",
    38→    38→    38→      1996.0,
    39→    39→    39→      null
    40→    40→    40→    ]
    41→    41→    41→  },
    42→    42→    42→  {
    43→    43→    43→    "sheet": "Class11",
    44→    44→    44→    "row": 1206,
    45→    45→    45→    "data": [
    46→    46→    46→      "Biology",
    47→    47→    47→      2.0,
    48→    48→    48→      "जीव जगत का वर्गीकरण",
    49→    49→    49→      "Hindi",
    50→    50→    50→      "बैक्टीरिया में सेक्स फैक्टर (Sex factor) है",
    51→    51→    51→      "(a) chromosomal replicon",
    52→    52→    52→      "(b) F-replicon",
    53→    53→    53→      "(c) RNA",
    54→    54→    54→      "(d) sex-pilus",
    55→    55→    55→      2.0,
    56→    56→    56→      "F-factor (fertility factor) एक प्लाज्मिड (F-replicon) है जो सेक्स पाइलस (sex pilus) के निर्माण के लिए कोड करता है।",
    57→    57→    57→      "CBSE AIPMT",
    58→    58→    58→      1996.0,
    59→    59→    59→      null
    60→    60→    60→    ]
    61→    61→    61→  },
    62→    62→    62→  {
    63→    63→    63→    "sheet": "Class11",
    64→    64→    64→    "row": 1208,
    65→    65→    65→    "data": [
    66→    66→    66→      "Biology",
    67→    67→    67→      2.0,
    68→    68→    68→      "Biological Classification",
    69→    69→    69→      "English",
    70→    70→    70→      "The plasmid",
    71→    71→    71→      "(a) helps in respiration",
    72→    72→    72→      "(b) genes found inside nucleus",
    73→    73→    73→      "(c) is a component of cell wall of bacteria",
    74→    74→    74→      "(d) is the genetic part in addition to DNA in microorganisms",
    75→    75→    75→      4.0,
    76→    76→    76→      "Plasmids are small, self-replicating, extrachromosomal, non-essential genetic elements in bacteria. Each plasmid has a ring of circular, supercoiled, double stranded DNA.",
    77→    77→    77→      "CBSE AIPMT",
    78→    78→    78→      1995.0,
    79→    79→    79→      null
    80→    80→    80→    ]
    81→    81→    81→  },
    82→    82→    82→  {
    83→    83→    83→    "sheet": "Class11",
    84→    84→    84→    "row": 1209,
    85→    85→    85→    "data": [
    86→    86→    86→      "Biology",
    87→    87→    87→      2.0,
    88→    88→    88→      "Biological Classification",
    89→    89→    89→      "English",
