     1→     1→{
     2→     2→ "batch": 13,
     3→     3→ "questions": [
     4→     4→  {
     5→     5→   "Subject": "Science",
     6→     6→   "Chapter No.": "3.0",
     7→     7→   "Chapter Name": "धातु एवं अधातु",
     8→     8→   "Medium": "Hindi",
     9→     9→   "Question": "एक तत्व 'X' हवा में सुनहरी पीली लौ के साथ जलता है और जल के साथ अभिक्रिया करके 'Y' बनाता है। जब 'Y' एल्युमीनियम के साथ अभिक्रिया करता है, तो गैस 'Z' उत्पन्न होती है। 'X', 'Y' और 'Z' को पहचानें।",
    10→    10→   "Option 1": "X=Na, Y=NaOH, Z=H2",
    11→    11→   "Option 2": "X=Mg, Y=MgO, Z=O2",
    12→    12→   "Option 3": "X=Ca, Y=CaO, Z=H2",
    13→    13→   "Option 4": "X=K, Y=KOH, Z=H2",
    14→    14→   "Correct Option": "1.0",
    15→    15→   "Explanation": "सोडियम (Na) सुनहरी पीली लौ देता है। यह जल के साथ अभिक्रिया करके सोडियम हाइड्रॉक्साइड (NaOH) बनाता है। NaOH उभयधर्मी एल्युमीनियम के साथ अभिक्रिया करके हाइड्रोजन गैस (H2) छोड़ता है।",
    16→    16→   "Exam": "",
    17→    17→   "Year": "",
    18→    18→   "_sheet_row": 602
    19→    19→  },
    20→    20→  {
    21→    21→   "Subject": "Science",
    22→    22→   "Chapter No.": "3.0",
    23→    23→   "Chapter Name": "धातु एवं अधातु",
    24→    24→   "Medium": "Hindi",
    25→    25→   "Question": "एल्युमीनियम जैसी अत्यधिक अभिक्रियाशील धातुओं के निष्कर्षण के लिए निम्नलिखित में से किस प्रक्रिया का उपयोग किया जाता है?",
    26→    26→   "Option 1": "कार्बन अपचयन",
    27→    27→   "Option 2": "विद्युत अपघटनी अपचयन",
    28→    28→   "Option 3": "CO के साथ अपचयन",
    29→    29→   "Option 4": "हवा में गर्म करना",
    30→    30→   "Correct Option": "2.0",
    31→    31→   "Explanation": "अत्यधिक अभिक्रियाशील धातुओं की ऑक्सीजन के प्रति बंधुता कार्बन से अधिक होती है, इसलिए कार्बन उनके ऑक्साइड को अपचयित नहीं कर सकता। उनका निष्कर्षण उनके गलित ऑक्साइड के विद्युत अपघटन (हॉल-हेरॉल्ट प्रक्रिया) द्वारा किया जाता है।",
    32→    32→   "Exam": "CBSE",
    33→    33→   "Year": "2023.0",
    34→    34→   "_sheet_row": 603
    35→    35→  },
    36→    36→  {
    37→    37→   "Subject": "Science",
    38→    38→   "Chapter No.": "3.0",
    39→    39→   "Chapter Name": "धातु एवं अधातु",
    40→    40→   "Medium": "Hindi",
    41→    41→   "Question": "22-कैरेट सोने में सोने की सांद्रता कितनी होती है?",
    42→    42→   "Option 1": "1.0",
    43→    43→   "Option 2": "0.916",
    44→    44→   "Option 3": "0.75",
    45→    45→   "Option 4": "0.5",
    46→    46→   "Correct Option": "2.0",
    47→    47→   "Explanation": "शुद्ध सोना 24-कैरेट का होता है। 22-कैरेट सोने में 22 भाग सोना और 2 भाग तांबा या चांदी होता है। गणना: (22/24) * 100 ≈ 91.6%।",
    48→    48→   "Exam": "CBSE",
    49→    49→   "Year": "2020.0",
    50→    50→   "_sheet_row": 604
    51→    51→  },
    52→    52→  {
    53→    53→   "Subject": "Science",
    54→    54→   "Chapter No.": "3.0",
    55→    55→   "Chapter Name": "धातु एवं अधातु",
    56→    56→   "Medium": "Hindi",
    57→    57→   "Question": "अभिक्रिया: $Fe_2O_3 + 2Al \\rightarrow Al_2O_3 + 2Fe$ + ऊष्मा के संबंध में सही कथन की पहचान करें।",
    58→    58→   "Option 1": "एल्युमीनियम अपचयित होता है",
    59→    59→   "Option 2": "आयरन अपचायक है",
    60→    60→   "Option 3": "एल्युमीनियम अपचायक है",
    61→    61→   "Option 4": "यह एक ऊष्माशोषी अभिक्रिया है",
    62→    62→   "Correct Option": "3.0",
    63→    63→   "Explanation": "एल्युमीनियम आयरन ऑक्साइड से ऑक्सीजन लेता है, अतः एल्युमीनियम ऑक्सीकृत होता है और अपचायक (Reducing agent) के रूप में कार्य करता है। यह अभिक्रिया अत्यधिक ऊष्माक्षेपी है।",
    64→    64→   "Exam": "CBSE",
    65→    65→   "Year": "2021.0",
    66→    66→   "_sheet_row": 605
    67→    67→  },
    68→    68→  {
    69→    69→   "Subject": "Science",
    70→    70→   "Chapter No.": "3.0",
    71→    71→   "Chapter Name": "धातु एवं अधातु",
    72→    72→   "Medium": "Hindi",
    73→    73→   "Question": "एक धातु 'M' ठंडे जल के साथ अभिक्रिया करके आणविक सूत्र 'MOH' वाला एक क्षारक देती है और गैस 'X' मुक्त करती है। 'X' 'पॉप' ध्वनि के साथ जलती है। 'M' है:",
    74→    74→   "Option 1": "कैल्शियम",
    75→    75→   "Option 2": "सोडियम",
    76→    76→   "Option 3": "मैग्नीशियम",
    77→    77→   "Option 4": "लोहा",
    78→    78→   "Correct Option": "2.0",
    79→    79→   "Explanation": "सोडियम ठंडे जल के साथ अभिक्रिया करके NaOH (MOH) और हाइड्रोजन गैस (X) बनाता है। कैल्शियम $Ca(OH)_2$ बनाता है, जिसका सूत्र अलग ($M(OH)_2$) होता है।",
    80→    80→   "Exam": "HBSE",
    81→    81→   "Year": "2021.0",
    82→    82→   "_sheet_row": 606
    83→    83→  },
    84→    84→  {
    85→    85→   "Subject": "Science",
    86→    86→   "Chapter No.": "3.0",
    87→    87→   "Chapter Name": "धातु एवं अधातु",
    88→    88→   "Medium": "Hindi",
    89→    89→   "Question": "लोहे की भाप के साथ लंबे समय तक अभिक्रिया करने पर लोहे का कौन सा ऑक्साइड प्राप्त होगा?",
    90→    90→   "Option 1": "FeO",
    91→    91→   "Option 2": "Fe2O3",
    92→    92→   "Option 3": "Fe3O4",
    93→    93→   "Option 4": "Fe2O3 और Fe3O4",
    94→    94→   "Correct Option": "3.0",
    95→    95→   "Explanation": "लोहा भाप के साथ अभिक्रिया करके $Fe_3O_4$ (मैग्नेटाइट) बनाता है। यह $FeO$ और $Fe_2O_3$ का एक मिश्रित ऑक्साइड है।",
    96→    96→   "Exam": "CBSE",
    97→    97→   "Year": "2018.0",
    98→    98→   "_sheet_row": 607
    99→    99→  },
   100→   100→  {
   101→   101→   "Subject": "Science",
   102→   102→   "Chapter No.": "3.0",
   103→   103→   "Chapter Name": "धातु एवं अधातु",
   104→   104→   "Medium": "Hindi",
   105→   105→   "Question": "स्नेहक (Lubricants) बनाने के लिए उपयोग किया जाने वाला कार्बन का अपररूप कौन सा है?",
   106→   106→   "Option 1": "हीरा",
   107→   107→   "Option 2": "कोक",
   108→   108→   "Option 3": "ग्रेफाइट",
   109→   109→   "Option 4": "कोयला",
   110→   110→   "Correct Option": "3.0",
   111→   111→   "Explanation": "ग्रेफाइट की संरचना परतीय और फिसलन भरी होती है जहाँ परतें एक-दूसरे पर फिसल सकती हैं, जो इसे मशीनों के लिए एक उत्कृष्ट शुष्क स्नेहक बनाती है।",
   112→   112→   "Exam": "Bihar Board",
   113→   113→   "Year": "2022.0",
   114→   114→   "_sheet_row": 608
   115→   115→  },
   116→   116→  {
   117→   117→   "Subject": "Science",
   118→   118→   "Chapter No.": "3.0",
   119→   119→   "Chapter Name": "धातु एवं अधातु",
   120→   120→   "Medium": "Hindi",
   121→   121→   "Question": "एक छात्र ने गलती से तांबे के सिक्के पर कुछ सांद्र $HNO_3$ गिरा दिया। एक लाल-भूरे रंग की गैस निकली। यह गैस है:",
   122→   122→   "Option 1": "H2",
   123→   123→   "Option 2": "NO2",
   124→   124→   "Option 3": "O2",
   125→   125→   "Option 4": "N2O",
   126→   126→   "Correct Option": "2.0",
   127→   127→   "Explanation": "जब तांबा सांद्र नाइट्रिक अम्ल के साथ अभिक्रिया करता है, तो अम्ल एक प्रबल ऑक्सीकारक के रूप में कार्य करता है और नाइट्रोजन डाइऑक्साइड ($NO_2$) उत्पन्न करता है, जो लाल-भूरे रंग की गैस है।",
   128→   128→   "Exam": "CBSE",
   129→   129→   "Year": "2019.0",
   130→   130→   "_sheet_row": 609
   131→   131→  },
   132→   132→  {
   133→   133→   "Subject": "Science",
   134→   134→   "Chapter No.": "3.0",
   135→   135→   "Chapter Name": "धातु एवं अधातु",
   136→   136→   "Medium": "Hindi",
   137→   137→   "Question": "बिजली के बल्बों का फिलामेंट बनाने के लिए निम्नलिखित में से किस तत्व का उपयोग किया जाता है?",
   138→   138→   "Option 1": "लोहा",
   139→   139→   "Option 2": "तांबा",
   140→   140→   "Option 3": "टंगस्टन",
   141→   141→   "Option 4": "एल्युमीनियम",
   142→   142→   "Correct Option": "3.0",
   143→   143→   "Explanation": "टंगस्टन (W) का गलनांक बहुत उच्च (लगभग 3422°C) और प्रतिरोध उच्च होता है, जिससे यह बिना पिघले चमक सकता है।",
   144→   144→   "Exam": "MP Board",
   145→   145→   "Year": "2021.0",
   146→   146→   "_sheet_row": 610
   147→   147→  },
   148→   148→  {
   149→   149→   "Subject": "Science",
   150→   150→   "Chapter No.": "3.0",
   151→   151→   "Chapter Name": "धातु एवं अधातु",
   152→   152→   "Medium": "Hindi",
   153→   153→   "Question": "आयनिक यौगिक $MgCl_2$ एक ठोस है क्योंकि:",
   154→   154→   "Option 1": "इसमें सहसंयोजक बंध हैं",
   155→   155→   "Option 2": "इसका गलनांक कम है",
   156→   156→   "Option 3": "प्रबल स्थिरवैद्युत आकर्षण बल है",
   157→   157→   "Option 4": "यह एक अधातु है",
   158→   158→   "Correct Option": "3.0",
   159→   159→   "Explanation": "आयनिक यौगिक $Mg^{2+}$ और $Cl^-$ आयनों के बीच प्रबल स्थिरवैद्युत बलों द्वारा जुड़े क्रिस्टल जालक बनाते हैं, जिन्हें तोड़ने के लिए उच्च ऊर्जा की आवश्यकता होती है।",
   160→   160→   "Exam": "CBSE",
   161→   161→   "Year": "2022.0",
   162→   162→   "_sheet_row": 611
   163→   163→  },
   164→   164→  {
   165→   165→   "Subject": "Science",
   166→   166→   "Chapter No.": "3.0",
   167→   167→   "Chapter Name": "धातु एवं अधातु",
   168→   168→   "Medium": "Hindi",
   169→   169→   "Question": "कौन सी धातु स्व-रक्षी ऑक्साइड परत (Self-protecting oxide layer) द्वारा आगे के संक्षारण से सुरक्षित रहती है?",
   170→   170→   "Option 1": "लोहा",
   171→   171→   "Option 2": "चांदी",
   172→   172→   "Option 3": "एल्युमीनियम",
   173→   173→   "Option 4": "सोना",
   174→   174→   "Correct Option": "3.0",
   175→   175→   "Explanation": "एल्युमीनियम ऑक्सीजन के साथ अभिक्रिया करके $Al_2O_3$ की एक पतली, स्थिर परत बनाता है जो नीचे की धातु तक ऑक्सीजन को पहुँचने से रोकती है।",
   176→   176→   "Exam": "CBSE",
   177→   177→   "Year": "2017.0",
   178→   178→   "_sheet_row": 612
   179→   179→  },
   180→   180→  {
   181→   181→   "Subject": "Science",
   182→   182→   "Chapter No.": "3.0",
   183→   183→   "Chapter Name": "धातु एवं अधातु",
   184→   184→   "Medium": "Hindi",
   185→   185→   "Question": "चांदी के विद्युत अपघटनी परिष्करण में, शुद्ध चांदी का उपयोग किस रूप में किया जाता है?",
   186→   186→   "Option 1": "एनोड",
   187→   187→   "Option 2": "कैथोड",
   188→   188→   "Option 3": "विद्युत अपघट्य पंक",
   189→   189→   "Option 4": "केसिंग",
   190→   190→   "Correct Option": "2.0",
   191→   191→   "Explanation": "परिष्करण के दौरान, शुद्ध धातु की पतली पट्टी को हमेशा कैथोड (ऋणात्मक) बनाया जाता है, जहाँ विलयन से धातु आयन अपचयित होकर जमा होते हैं।",
   192→   192→   "Exam": "CBSE",
   193→   193→   "Year": "2023.0",
   194→   194→   "_sheet_row": 613
   195→   195→  },
   196→   196→  {
   197→   197→   "Subject": "Science",
   198→   198→   "Chapter No.": "3.0",
   199→   199→   "Chapter Name": "धातु एवं अधातु",
   200→   200→   "Medium": "Hindi",
   201→   201→   "Question": "पीतल (Brass) में तांबे और जस्ते का अनुपात क्या होता है?",
   202→   202→   "Option 1": "2 days, 22:30:00",
   203→   203→   "Option 2": "2 days, 2:50:00",
   204→   204→   "Option 3": "3 days, 18:10:00",
   205→   205→   "Option 4": "1 day, 7:10:00",
   206→   206→   "Correct Option": "1.0",
   207→   207→   "Explanation": "पीतल आमतौर पर लगभग 70% तांबे और 30% जस्ते से बना होता है, हालाँकि वांछित शक्ति के आधार पर यह अनुपात बदल सकता है।",
   208→   208→   "Exam": "",
   209→   209→   "Year": "",
   210→   210→   "_sheet_row": 614
   211→   211→  },
   212→   212→  {
   213→   213→   "Subject": "Science",
   214→   214→   "Chapter No.": "3.0",
   215→   215→   "Chapter Name": "धातु एवं अधातु",
   216→   216→   "Medium": "Hindi",
   217→   217→   "Question": "पेंसिल लेड बनाने के लिए निम्नलिखित में से किस अधातु का उपयोग किया जाता है?",
   218→   218→   "Option 1": "सल्फर",
   219→   219→   "Option 2": "फास्फोरस",
   220→   220→   "Option 3": "ग्रेफाइट",
   221→   221→   "Option 4": "नाइट्रोजन",
   222→   222→   "Correct Option": "3.0",
   223→   223→   "Explanation": "ग्रेफाइट को मिट्टी (Clay) के साथ मिलाकर पेंसिल लेड बनाया जाता है क्योंकि यह नरम होता है और कागज पर काला निशान छोड़ता है।",
   224→   224→   "Exam": "UP Board",
   225→   225→   "Year": "2020.0",
   226→   226→   "_sheet_row": 615
   227→   227→  },
   228→   228→  {
   229→   229→   "Subject": "Science",
   230→   230→   "Chapter No.": "3.0",
   231→   231→   "Chapter Name": "धातु एवं अधातु",
   232→   232→   "Medium": "Hindi",
   233→   233→   "Question": "धातुओं के किस जोड़े को 'आसवन' (Distillation) की प्रक्रिया द्वारा परिष्कृत किया जाता है?",
   234→   234→   "Option 1": "Cu, Ag",
   235→   235→   "Option 2": "Zn, Hg",
   236→   236→   "Option 3": "Na, K",
   237→   237→   "Option 4": "Fe, Ni",
   238→   238→   "Correct Option": "2.0",
   239→   239→   "Explanation": "कम क्वथनांक वाली धातुओं, जैसे जस्ता (Zinc) और पारा (Mercury), को आसवन द्वारा परिष्कृत किया जाता है, जहाँ धातु को वाष्पित किया जाता है और फिर संघनित किया जाता है।",
   240→   240→   "Exam": "",
   241→   241→   "Year": "",
   242→   242→   "_sheet_row": 616
   243→   243→  },
   244→   244→  {
   245→   245→   "Subject": "Science",
   246→   246→   "Chapter No.": "3.0",
   247→   247→   "Chapter Name": "धातु एवं अधातु",
   248→   248→   "Medium": "Hindi",
   249→   249→   "Question": "सल्फाइड अयस्कों के समृद्धिकरण के दौरान, 'चीड़ के तेल' (Pine oil) का उपयोग किसलिए किया जाता है?",
   250→   250→   "Option 1": "अयस्क को घोलने के लिए",
   251→   251→   "Option 2": "गैंग कणों को भिगोने के लिए",
   252→   252→   "Option 3": "झाग बढ़ाने के लिए",
   253→   253→   "Option 4": "अयस्क के कणों को भिगोने के लिए",
