     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 2490,
     5→     5→    "data": [
     6→     6→      "Biology",
     7→     7→      null,
     8→     8→      "पौधों में परिवहन",
     9→     9→      "Hindi",
    10→    10→      "जाइलम स्थानांतरित होता है",
    11→    11→      "केवल पानी और खनिज लवण",
    12→    12→      "केवल पानी, खनिज लवण और कुछ कार्बनिक नाइट्रोजन",
    13→    13→      "पानी, खनिज लवण, कुछ कार्बनिक नाइट्रोजन और हार्मोन",
    14→    14→      "केवल पानी",
    15→    15→      3.0,
    16→    16→      "पौधों में जाइलम मिट्टी से पौधे के ऊपरी भागों तक पानी, खनिज लवण, कुछ कार्बनिक नाइट्रोजन और हार्मोन के परिवहन में सहायता करता है। इस प्रक्रिया को रस का आरोहण कहा जाता है और इसमें चार प्रमुख बल शामिल होते हैं, जैसे जड़ दाब, केशिका क्रिया, वाष्पोत्सर्जन खिंचाव और जल अणु तथा कोशिका भित्ति का संसंजन और आसंजन।",
    17→    17→      "NEET (National)",
    18→    18→      null,
    19→    19→      null
    20→    20→    ]
    21→    21→  },
    22→    22→  {
    23→    23→    "sheet": "Class11",
    24→    24→    "row": 2491,
    25→    25→    "data": [
    26→    26→      "Biology",
    27→    27→      null,
    28→    28→      "पादपों में परिवहन",
    29→    29→      "Hindi",
    30→    30→      "शुद्ध जल की जल विभव है",
    31→    31→      "शून्य",
    32→    32→      "शून्य से कम",
    33→    33→      "शून्य से अधिक, लेकिन एक से कम",
    34→    34→      "एक से अधिक",
    35→    35→      1.0,
    36→    36→      "शुद्ध जल का जल विभव सबसे अधिक होता है और यह शून्य होता है। जल के अणुओं में गतिज ऊर्जा होती है। किसी भी प्रणाली में जल की सांद्रता जितनी अधिक होती है, उसकी गतिज ऊर्जा या जल विभव उतना ही अधिक होता है। यदि हम जल में विलेय मिलाते हैं, तो विलयन में मुक्त जल के अणु कम हो जाते हैं और जल की सांद्रता घट जाती है, जिससे उसका जल विभव कम हो जाता है।",
    37→    37→      "NEET",
    38→    38→      null,
    39→    39→      null
    40→    40→    ]
    41→    41→  },
    42→    42→  {
    43→    43→    "sheet": "Class11",
    44→    44→    "row": 2492,
    45→    45→    "data": [
    46→    46→      "Biology",
    47→    47→      null,
    48→    48→      "पादपों में परिवहन",
    49→    49→      "Hindi",
    50→    50→      "दो कोशिकाएँ A और B आपस में सटी हुई हैं। कोशिका A का परासरण दाब 10 atm, आच्छादन दाब 7 atm और विसरण दाब की कमी 3 atm है। कोशिका B का परासरण दाब 8 atm, आच्छादन दाब 3 atm और विसरण दाब की कमी 5 atm है। परिणाम क्या होगा?",
    51→    51→      "कोशिका B-A से जल का संचलन",
    52→    52→      "पानी की कोई हलचल नहीं",
    53→    53→      "दोनों के बीच संतुलन",
    54→    54→      "कोशिका A से B तक जल का संचलन",
    55→    55→      4.0,
    56→    56→      "जल निम्न डीपीडी से उच्च डीपीडी की ओर गति करता है, अर्थात् कोशिका A से कोशिका B की ओर। ऐसा इसलिए होता है क्योंकि जब किसी कोशिका को शुद्ध जल में रखा जाता है, तो कोशिका रस के विसरण दाब की कमी (डीपीडी) के परिणामस्वरूप जल कोशिका में प्रवेश करता है। डीपीडी/ओपी/टीपी = −।",
    57→    57→      "CBSE AIPMT",
    58→    58→      null,
    59→    59→      null
    60→    60→    ]
    61→    61→  },
    62→    62→  {
    63→    63→    "sheet": "Class11",
    64→    64→    "row": 2493,
    65→    65→    "data": [
    66→    66→      "Biology",
    67→    67→      null,
    68→    68→      "पौधों में परिवहन",
    69→    69→      "Hindi",
    70→    70→      "पानी कोशिका में प्रवेश करता है",
    71→    71→      "सेशन",
    72→    72→      "सपा",
    73→    73→      "टीपी",
    74→    74→      "डब्ल्यूपी",
    75→    75→      2.0,
    76→    76→      "चूषण दाब (जिसे डीपीडी भी कहा जाता है) शुद्ध विलायक/हाइपोटोनिक विलयन से जल को सोखने (जल के अणुओं की गति उत्पन्न करने) का कार्य करता है। यह कोशिकाओं की जल अवशोषित करने की क्षमता का माप है। बी.एस. मेयर (1938) ने चूषण दाब या डीपीडी शब्द का प्रतिपादन किया था।",
    77→    77→      "CBSE AIPMT",
    78→    78→      null,
    79→    79→      null
    80→    80→    ]
    81→    81→  },
    82→    82→  {
    83→    83→    "sheet": "Class11",
    84→    84→    "row": 2494,
    85→    85→    "data": [
    86→    86→      "Biology",
    87→    87→      null,
    88→    88→      "पौधों में परिवहन",
    89→    89→      "Hindi",
    90→    90→      "मिट्टी में, जड़ों (पौधों) के लिए उपलब्ध पानी की मात्रा",
    91→    91→      "केशिका जल",
    92→    92→      "आर्द्रताशोषक जल",
    93→    93→      "गुरुत्वाकर्षण जल",
    94→    94→      "रासायनिक रूप से बंधा हुआ पानी",
    95→    95→      1.0,
    96→    96→      "मिट्टी के कणों के बीच की जगह में पानी मौजूद होता है। गुरुत्वाकर्षण बल के विपरीत, पानी का एक बड़ा हिस्सा मिट्टी के कणों के बीच ही रुका रहता है। इसे केशिका जल कहते हैं। यह पौधों को जड़ों द्वारा आसानी से अवशोषित करने के लिए उपलब्ध होता है।",
    97→    97→      "CBSE AIPMT , 91",
    98→    98→      null,
    99→    99→      null
   100→   100→    ]
   101→   101→  },
   102→   102→  {
   103→   103→    "sheet": "Class11",
   104→   104→    "row": 2495,
   105→   105→    "data": [
   106→   106→      "Biology",
   107→   107→      null,
   108→   108→      "पौधों में परिवहन",
   109→   109→      "Hindi",
   110→   110→      "शुद्ध जल की जल विभव और परासरण विभव इस प्रकार हैं:",
   111→   111→      "100 और शून्य",
