     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 3190,
     5→     5→    "data": [
     6→     6→      "Biology",
     7→     7→      4.0,
     8→     8→      "Animal Kingdom",
     9→     9→      "English",
    10→    10→      "One very special feature in the earthworm Pheretima is that",
    11→    11→      "the typhlosole greatly increases the effective absorption area of the digested food in the intestine",
    12→    12→      "the S-shaped setae embedded in the integument are the defensive weapons used against the enemies",
    13→    13→      "it has a long dorsal tubular heart",
    14→    14→      "fertilisation of eggs occurs inside the body",
    15→    15→      1.0,
    16→    16→      "A pair of short and conical intestinal caecae project from the intestine on the 26th segment. The characteristic feature of the intestine between 26-35 segments is the presence of internal median fold of dorsal wall called typhlosole. This increases the effective area of absorption in the intestine.",
    17→    17→      "CBSE AIPMT",
    18→    18→      2011.0,
    19→    19→      null,
    20→    20→      null
    21→    21→    ]
    22→    22→  },
    23→    23→  {
    24→    24→    "sheet": "Class11",
    25→    25→    "row": 3191,
    26→    26→    "data": [
    27→    27→      "Biology",
    28→    28→      4.0,
    29→    29→      "Animal Kingdom",
    30→    30→      "English",
    31→    31→      "If a live earthworm is pricked with a needle on its outer surface without damaging its gut, the fluid that comes out is",
    32→    32→      "excretory fluid",
    33→    33→      "coelomic fluid",
    34→    34→      "haemolymph",
    35→    35→      "slimy mucus",
    36→    36→      2.0,
    37→    37→      "The body cavity of earthworm is true coelom (schizocoel) as it is formed by the division of mesoderm. The coelom is filled with milky, alkaline coelomic fluid, which contains different types of corpuscles. Thus, if alive earthworm is prickled with a needle on its outer surface, the coelomic fluid will come out.",
    38→    38→      "CBSE AIPMT",
    39→    39→      2009.0,
    40→    40→      null,
    41→    41→      null
    42→    42→    ]
    43→    43→  },
    44→    44→  {
    45→    45→    "sheet": "Class11",
    46→    46→    "row": 3192,
    47→    47→    "data": [
    48→    48→      "Biology",
    49→    49→      4.0,
    50→    50→      "Animal Kingdom",
    51→    51→      "English",
    52→    52→      "Which one of the following is not a characteristic of phylum–Annelida?",
    53→    53→      "Closed circulatory system",
    54→    54→      "Segmentation",
    55→    55→      "Pseudocoelom",
    56→    56→      "Ventral nerve cord",
    57→    57→      3.0,
    58→    58→      "Name of the phylum–Annelida was first coined by Lamarck. The body of annelids is elongated, bilaterally symmetrical, triploblastic, truely coelomate and metamerically segmented into similar metameres. The coelom is true, schizocoelous. Blood vascular system is closed. The nervous system is with a pair of cerebral ganglia and a double ventral nerve cord bearing ganglia and lateral nerves in each segment. The blood vascular system consists of blood vessels and capillaries. Blood is composed of fluid plasma and colourless corpuscles, physiologically comparable to the leucocytes of vertebrates. Pseudocoelom is the body cavity of Aschelminthes (roundworm).",
    59→    59→      "CBSE AIPMT",
    60→    60→      2008.0,
    61→    61→      null,
    62→    62→      null
    63→    63→    ]
    64→    64→  },
    65→    65→  {
    66→    66→    "sheet": "Class11",
    67→    67→    "row": 3193,
    68→    68→    "data": [
    69→    69→      "Biology",
    70→    70→      4.0,
    71→    71→      "Animal Kingdom",
    72→    72→      "English",
    73→    73→      "Earthworms have no skeleton but during burrowing, the anterior end becomes turgid and acts as a hydraulic skeleton. It is due to",
    74→    74→      "coelomic fluid",
    75→    75→      "blood",
    76→    76→      "gut peristalsis",
    77→    77→      "setae",
    78→    78→      1.0,
    79→    79→      "The body cavity (coelom) of earthworm is filled with an alkaline, colourless or milky coelomic fluid containing water, salts some proteins and four types of coelomic corpuscles i.e. phagocytes, mucocytes, circular nucleated cells and chloragogen cells. During burrowing the coelomic fluid becomes turgid and acts as hydraulic skeleton.",
    80→    80→      "CBSE AIPMT",
    81→    81→      2008.0,
    82→    82→      null,
    83→    83→      null
    84→    84→    ]
    85→    85→  },
    86→    86→  {
    87→    87→    "sheet": "Class11",
    88→    88→    "row": 3194,
    89→    89→    "data": [
    90→    90→      "Biology",
    91→    91→      4.0,
    92→    92→      "Animal Kingdom",
    93→    93→      "English",
    94→    94→      "Which one of the following is correct matching pair of a body feature and the animal possessing it?",
    95→    95→      "Post-anal tail — Octopus",
    96→    96→      "Ventral central nervous system — Leech",
    97→    97→      "Pharyngeal gills slits absent in embryo — Chameleon",
    98→    98→      "Ventral heart — Scorpion",
    99→    99→      2.0,
   100→   100→      "The nervous system of leech consists of ventral central nervous system, peripheral nervous system and sympathetic nervous system.",
   101→   101→      "CBSE AIPMT",
   102→   102→      2007.0,
   103→   103→      null,
   104→   104→      null
   105→   105→    ]
   106→   106→  },
   107→   107→  {
   108→   108→    "sheet": "Class11",
   109→   109→    "row": 3195,
   110→   110→    "data": [
   111→   111→      "Biology",
   112→   112→      4.0,
   113→   113→      "Animal Kingdom",
   114→   114→      "English",
   115→   115→      "In which of the following chlorocruorin pigment is found?",
   116→   116→      "Annelida",
   117→   117→      "Echinodermata",
   118→   118→      "Insecta",
   119→   119→      "Lower Chordata",
   120→   120→      1.0,
   121→   121→      "Chlorocruorin is a respiratory pigment (green, fluorescing red) dissolved in the plasma of some polychaete worms (annelid).",
   122→   122→      "CBSE AIPMT",
   123→   123→      2001.0,
   124→   124→      null,
   125→   125→      null
   126→   126→    ]
   127→   127→  },
   128→   128→  {
   129→   129→    "sheet": "Class11",
   130→   130→    "row": 3196,
   131→   131→    "data": [
   132→   132→      "Biology",
   133→   133→      4.0,
   134→   134→      "Animal Kingdom",
   135→   135→      "English",
   136→   136→      "Functionwise, just as there are nephridia in an earthworm, so are",
   137→   137→      "parotid glands in toad",
   138→   138→      "statocysts in prawn",
   139→   139→      "flame cells in liver fluke",
   140→   140→      "myotomes in fish",
   141→   141→      3.0,
