     1→     1→{
     2→     2→ "batch": 4,
     3→     3→ "questions": [
     4→     4→  {
     5→     5→   "Subject": "Science",
     6→     6→   "Chapter No.": "1.0",
     7→     7→   "Chapter Name": "Chemical Reactions and Equations",
     8→     8→   "Medium": "English",
     9→     9→   "Question": "Which gas is produced during the fermentation of sugar?",
    10→    10→   "Option 1": "Oxygen",
    11→    11→   "Option 2": "Nitrogen",
    12→    12→   "Option 3": "Carbon Dioxide",
    13→    13→   "Option 4": "Methane",
    14→    14→   "Correct Option": "3.0",
    15→    15→   "Explanation": "Fermentation is a chemical process where sugar is broken down by yeast into alcohol and Carbon Dioxide gas.",
    16→    16→   "Exam": "MP Board",
    17→    17→   "Year": "2021.0",
    18→    18→   "_sheet_row": 152
    19→    19→  },
    20→    20→  {
    21→    21→   "Subject": "Science",
    22→    22→   "Chapter No.": "1.0",
    23→    23→   "Chapter Name": "Chemical Reactions and Equations",
    24→    24→   "Medium": "English",
    25→    25→   "Question": "The chemical formula of Plaster of Paris is:",
    26→    26→   "Option 1": "$CaSO_4 \\cdot 2H_2O$",
    27→    27→   "Option 2": "$CaSO_4 \\cdot 1/2 H_2O$",
    28→    28→   "Option 3": "$CaCO_3$",
    29→    29→   "Option 4": "$CaO$",
    30→    30→   "Correct Option": "2.0",
    31→    31→   "Explanation": "Plaster of Paris (Calcium Sulphate Hemihydrate) is formed by heating Gypsum. It hardens when mixed with water. Note: While this is also in Ch 2, it is often asked as a product of a chemical reaction in Ch 1.",
    32→    32→   "Exam": "CBSE",
    33→    33→   "Year": "2018.0",
    34→    34→   "_sheet_row": 153
    35→    35→  },
    36→    36→  {
    37→    37→   "Subject": "Science",
    38→    38→   "Chapter No.": "1.0",
    39→    39→   "Chapter Name": "Chemical Reactions and Equations",
    40→    40→   "Medium": "English",
    41→    41→   "Question": "Which of the following is a displacement reaction?",
    42→    42→   "Option 1": "$MgCO_3 \\rightarrow MgO + CO_2$",
    43→    43→   "Option 2": "$2Na + 2H_2O \\rightarrow 2NaOH + H_2$",
    44→    44→   "Option 3": "$2H_2 + O_2 \\rightarrow 2H_2O$",
    45→    45→   "Option 4": "$2KI + Pb(NO_3)_2 \\rightarrow PbI_2 + 2KNO_3$",
    46→    46→   "Correct Option": "2.0",
    47→    47→   "Explanation": "Sodium is highly reactive and displaces hydrogen from water to form sodium hydroxide and hydrogen gas.",
    48→    48→   "Exam": "CBSE",
    49→    49→   "Year": "2020.0",
    50→    50→   "_sheet_row": 154
    51→    51→  },
    52→    52→  {
    53→    53→   "Subject": "Science",
    54→    54→   "Chapter No.": "1.0",
    55→    55→   "Chapter Name": "Chemical Reactions and Equations",
    56→    56→   "Medium": "English",
    57→    57→   "Question": "A balanced chemical equation is in accordance with:",
    58→    58→   "Option 1": "Law of constant proportions",
    59→    59→   "Option 2": "Law of conservation of mass",
    60→    60→   "Option 3": "Law of gaseous volumes",
    61→    61→   "Option 4": "Avogadro's Law",
    62→    62→   "Correct Option": "2.0",
    63→    63→   "Explanation": "The Law of Conservation of Mass states that mass can neither be created nor destroyed in a chemical reaction. Thus, the number of atoms of each element must remain the same on both sides.",
    64→    64→   "Exam": "CBSE",
    65→    65→   "Year": "2017.0",
    66→    66→   "_sheet_row": 155
    67→    67→  },
    68→    68→  {
    69→    69→   "Subject": "Science",
    70→    70→   "Chapter No.": "1.0",
    71→    71→   "Chapter Name": "Chemical Reactions and Equations",
    72→    72→   "Medium": "English",
    73→    73→   "Question": "In the reaction $3MnO_2 + 4Al \\rightarrow 3Mn + 2Al_2O_3$, which substance is the oxidizing agent?",
    74→    74→   "Option 1": "$Al$",
    75→    75→   "Option 2": "$MnO_2$",
    76→    76→   "Option 3": "$Mn$",
    77→    77→   "Option 4": "$Al_2O_3$",
    78→    78→   "Correct Option": "2.0",
    79→    79→   "Explanation": "An oxidizing agent is a substance that gives oxygen or removes hydrogen. Here, $MnO_2$ provides oxygen to Aluminium, hence $MnO_2$ is the oxidizing agent.",
    80→    80→   "Exam": "CBSE",
    81→    81→   "Year": "2023.0",
    82→    82→   "_sheet_row": 156
    83→    83→  },
    84→    84→  {
    85→    85→   "Subject": "Science",
    86→    86→   "Chapter No.": "1.0",
    87→    87→   "Chapter Name": "Chemical Reactions and Equations",
    88→    88→   "Medium": "English",
    89→    89→   "Question": "What happens when Copper is heated in air?",
    90→    90→   "Option 1": "It turns green",
    91→    91→   "Option 2": "It turns black",
    92→    92→   "Option 3": "It turns white",
    93→    93→   "Option 4": "It remains brown",
    94→    94→   "Correct Option": "2.0",
    95→    95→   "Explanation": "Copper reacts with oxygen in the air to form Copper (II) Oxide ($CuO$), which is a black-colored substance.",
    96→    96→   "Exam": "CBSE",
    97→    97→   "Year": "2019.0",
    98→    98→   "_sheet_row": 157
    99→    99→  },
   100→   100→  {
   101→   101→   "Subject": "Science",
   102→   102→   "Chapter No.": "1.0",
   103→   103→   "Chapter Name": "Chemical Reactions and Equations",
   104→   104→   "Medium": "English",
   105→   105→   "Question": "Methane gas burns in oxygen to yield:",
   106→   106→   "Option 1": "$CO + H_2O$",
   107→   107→   "Option 2": "$CO_2 + H_2$",
   108→   108→   "Option 3": "$CO_2 + H_2O$",
   109→   109→   "Option 4": "$C + H_2O$",
   110→   110→   "Correct Option": "3.0",
   111→   111→   "Explanation": "Combustion of hydrocarbons like methane ($CH_4$) always produces carbon dioxide and water vapor along with heat and light.",
   112→   112→   "Exam": "ICSE",
   113→   113→   "Year": "2018.0",
   114→   114→   "_sheet_row": 158
   115→   115→  },
   116→   116→  {
   117→   117→   "Subject": "Science",
   118→   118→   "Chapter No.": "1.0",
   119→   119→   "Chapter Name": "Chemical Reactions and Equations",
   120→   120→   "Medium": "English",
   121→   121→   "Question": "Which of the following is an example of a double displacement reaction?",
   122→   122→   "Option 1": "$Fe + S \\rightarrow FeS$",
   123→   123→   "Option 2": "$NaOH + HCl \\rightarrow NaCl + H_2O$",
   124→   124→   "Option 3": "$2H_2 + O_2 \\rightarrow 2H_2O$",
   125→   125→   "Option 4": "$CH_4 + 2O_2 \\rightarrow CO_2 + 2H_2O$",
   126→   126→   "Correct Option": "2.0",
   127→   127→   "Explanation": "Neutralization reactions between an acid and a base are technically double displacement reactions where $H^+$ and $OH^-$ ions exchange partners with the metal and non-metal ions.",
   128→   128→   "Exam": "CBSE",
   129→   129→   "Year": "2022.0",
   130→   130→   "_sheet_row": 159
   131→   131→  },
   132→   132→  {
   133→   133→   "Subject": "Science",
   134→   134→   "Chapter No.": "1.0",
   135→   135→   "Chapter Name": "Chemical Reactions and Equations",
   136→   136→   "Medium": "English",
   137→   137→   "Question": "The reaction $S + O_2 \\rightarrow SO_2$ is:",
   138→   138→   "Option 1": "Combination only",
   139→   139→   "Option 2": "Oxidation only",
   140→   140→   "Option 3": "Redox reaction",
   141→   141→   "Option 4": "All of these",
   142→   142→   "Correct Option": "4.0",
   143→   143→   "Explanation": "This is a combination reaction (two reactants, one product), an oxidation reaction (addition of oxygen to sulfur), and therefore a redox reaction.",
   144→   144→   "Exam": "",
   145→   145→   "Year": "",
   146→   146→   "_sheet_row": 160
   147→   147→  },
   148→   148→  {
   149→   149→   "Subject": "Science",
   150→   150→   "Chapter No.": "1.0",
   151→   151→   "Chapter Name": "Chemical Reactions and Equations",
   152→   152→   "Medium": "English",
   153→   153→   "Question": "What is the color of Magnesium Oxide?",
   154→   154→   "Option 1": "Black",
   155→   155→   "Option 2": "White",
   156→   156→   "Option 3": "Blue",
   157→   157→   "Option 4": "Yellow",
   158→   158→   "Correct Option": "2.0",
   159→   159→   "Explanation": "When Magnesium ribbon burns with a dazzling white flame, it produces a white powder called Magnesium Oxide ($MgO$).",
   160→   160→   "Exam": "CBSE",
   161→   161→   "Year": "2020.0",
   162→   162→   "_sheet_row": 161
   163→   163→  },
   164→   164→  {
   165→   165→   "Subject": "Science",
   166→   166→   "Chapter No.": "1.0",
   167→   167→   "Chapter Name": "रासायनिक अभिक्रियाएँ एवं समीकरण",
   168→   168→   "Medium": "Hindi",
   169→   169→   "Question": "निम्नलिखित में से कौन सा विस्थापन अभिक्रिया का उदाहरण नहीं है?",
   170→   170→   "Option 1": "Zn + CuSO4 -> ZnSO4 + Cu",
   171→   171→   "Option 2": "Pb + CuCl2 -> PbCl2 + Cu",
   172→   172→   "Option 3": "Fe + CuSO4 -> FeSO4 + Cu",
   173→   173→   "Option 4": "2KI + Cl2 -> 2KCl + I2",
   174→   174→   "Correct Option": "4.0",
   175→   175→   "Explanation": "यद्यपि चौथे विकल्प में क्लोरीन आयोडीन को विस्थापित कर रही है (अधातु विस्थापन), लेकिन बोर्ड परीक्षाओं में अक्सर इस तरह के विकल्प भ्रमित करने के लिए दिए जाते हैं। तकनीकी रूप से ये सभी विस्थापन हैं, लेकिन धातु विस्थापन के संदर्भ में चौथे को अलग माना जा सकता है।",
   176→   176→   "Exam": "",
   177→   177→   "Year": "",
   178→   178→   "_sheet_row": 162
   179→   179→  },
   180→   180→  {
   181→   181→   "Subject": "Science",
   182→   182→   "Chapter No.": "1.0",
   183→   183→   "Chapter Name": "रासायनिक अभिक्रियाएँ एवं समीकरण",
   184→   184→   "Medium": "Hindi",
   185→   185→   "Question": "लेड नाइट्रेट के वियोजन के संतुलित रासायनिक समीकरण में $NO_2$ का गुणांक (Coefficient) क्या है?",
   186→   186→   "Option 1": "1.0",
   187→   187→   "Option 2": "2.0",
   188→   188→   "Option 3": "4.0",
   189→   189→   "Option 4": "3.0",
   190→   190→   "Correct Option": "3.0",
   191→   191→   "Explanation": "संतुलित समीकरण $2Pb(NO_3)_2 \\rightarrow 2PbO + 4NO_2 + O_2$ है। अतः नाइट्रोजन डाइऑक्साइड का गुणांक 4 है।",
   192→   192→   "Exam": "CBSE",
   193→   193→   "Year": "2021.0",
   194→   194→   "_sheet_row": 163
   195→   195→  },
   196→   196→  {
   197→   197→   "Subject": "Science",
   198→   198→   "Chapter No.": "1.0",
   199→   199→   "Chapter Name": "रासायनिक अभिक्रियाएँ एवं समीकरण",
   200→   200→   "Medium": "Hindi",
   201→   201→   "Question": "वियोजन अभिक्रिया की एक मुख्य विशेषता क्या है?",
   202→   202→   "Option 1": "दो अभिकारक मिलकर एक उत्पाद बनाते हैं",
   203→   203→   "Option 2": "ऊष्मा/प्रकाश/विद्युत की आवश्यकता होती है",
   204→   204→   "Option 3": "हमेशा एक अवक्षेप बनता है",
   205→   205→   "Option 4": "धातु को अधातु द्वारा विस्थापित किया जाता है",
   206→   206→   "Correct Option": "2.0",
   207→   207→   "Explanation": "वियोजन अभिक्रियाओं में एक एकल अभिकारक को सरल उत्पादों में तोड़ने के लिए ऊर्जा की आवश्यकता होती है, जो ऊष्मा, प्रकाश या विद्युत के रूप में हो सकती है।",
   208→   208→   "Exam": "",
   209→   209→   "Year": "",
   210→   210→   "_sheet_row": 164
   211→   211→  },
   212→   212→  {
   213→   213→   "Subject": "Science",
   214→   214→   "Chapter No.": "1.0",
   215→   215→   "Chapter Name": "रासायनिक अभिक्रियाएँ एवं समीकरण",
   216→   216→   "Medium": "Hindi",
   217→   217→   "Question": "जब बिना बुझे चूने ($CaO$) में जल मिलाया जाता है, तो पात्र गर्म हो जाता है। यह क्या दर्शाता है?",
   218→   218→   "Option 1": "ऊष्माशोषी अभिक्रिया",
   219→   219→   "Option 2": "ऊष्माक्षेपी अभिक्रिया",
   220→   220→   "Option 3": "समतापी अभिक्रिया",
   221→   221→   "Option 4": "प्रकाश-रासायनिक अभिक्रिया",
   222→   222→   "Correct Option": "2.0",
   223→   223→   "Explanation": "अभिक्रिया $CaO + H_2O \\rightarrow Ca(OH)_2$ में भारी मात्रा में ऊष्मा ऊर्जा बाहर निकलती है, जिससे यह एक ऊष्माक्षेपी अभिक्रिया कहलाती है।",
   224→   224→   "Exam": "UP Board",
   225→   225→   "Year": "2018.0",
   226→   226→   "_sheet_row": 165
   227→   227→  },
   228→   228→  {
   229→   229→   "Subject": "Science",
   230→   230→   "Chapter No.": "1.0",
   231→   231→   "Chapter Name": "रासायनिक अभिक्रियाएँ एवं समीकरण",
   232→   232→   "Medium": "Hindi",
   233→   233→   "Question": "जब बेरियम क्लोराइड के जलीय विलयन को सोडियम सल्फेट के साथ मिलाया जाता है, तो क्या प्रेक्षण होता है?",
   234→   234→   "Option 1": "तीखी गंध वाली गैस निकलती है",
   235→   235→   "Option 2": "विलयन नीला हो जाता है",
   236→   236→   "Option 3": "सफेद अवक्षेप बनता है",
   237→   237→   "Option 4": "कोई अभिक्रिया नहीं होती",
   238→   238→   "Correct Option": "3.0",
   239→   239→   "Explanation": "यहाँ एक द्वि-विस्थापन अभिक्रिया होती है: $BaCl_2 + Na_2SO_4 \\rightarrow BaSO_4 + 2NaCl$। बनने वाला बेरियम सल्फेट एक अघुलनशील सफेद ठोस (अवक्षेप) है।",
   240→   240→   "Exam": "CBSE",
   241→   241→   "Year": "2019.0",
   242→   242→   "_sheet_row": 166
   243→   243→  },
   244→   244→  {
   245→   245→   "Subject": "Science",
   246→   246→   "Chapter No.": "1.0",
   247→   247→   "Chapter Name": "रासायनिक अभिक्रियाएँ एवं समीकरण",
   248→   248→   "Medium": "Hindi",
   249→   249→   "Question": "निम्नलिखित में से कौन सा प्रकाश-रासायनिक वियोजन का उदाहरण है?",
   250→   250→   "Option 1": "2H2O -> 2H2 + O2",
   251→   251→   "Option 2": "CaCO3 -> CaO + CO2",
   252→   252→   "Option 3": "2AgBr -> 2Ag + Br2",
   253→   253→   "Option 4": "NH4Cl -> NH3 + HCl",
   254→   254→   "Correct Option": "3.0",
   255→   255→   "Explanation": "सिल्वर ब्रोमाइड प्रकाश के संपर्क में आने पर सिल्वर और ब्रोमीन गैस में टूट जाता है। इसका उपयोग फोटोग्राफी में किया जाता है।",
   256→   256→   "Exam": "CBSE",
   257→   257→   "Year": "2023.0",
   258→   258→   "_sheet_row": 167
   259→   259→  },
   260→   260→  {
   261→   261→   "Subject": "Science",
   262→   262→   "Chapter No.": "1.0",
   263→   263→   "Chapter Name": "रासायनिक अभिक्रियाएँ एवं समीकरण",
   264→   264→   "Medium": "Hindi",
   265→   265→   "Question": "समीकरण $Cu + 2AgNO_3 \\rightarrow Cu(NO_3)_2 + 2Ag$ क्या दर्शाता है?",
   266→   266→   "Option 1": "संयोजन",
   267→   267→   "Option 2": "वियोजन",
   268→   268→   "Option 3": "विस्थापन",
   269→   269→   "Option 4": "द्वि-विस्थापन",
   270→   270→   "Correct Option": "3.0",
   271→   271→   "Explanation": "कॉपर सिल्वर की तुलना में अधिक अभिक्रियाशील है और सिल्वर को उसके नाइट्रेट विलयन से विस्थापित कर देता है। इसलिए, यह एक विस्थापन अभिक्रिया है।",
   272→   272→   "Exam": "HBSE",
   273→   273→   "Year": "2020.0",
