     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 509,
     5→     5→    "data": [
     6→     6→      "Chemistry",
     7→     7→      4.0,
     8→     8→      "रासायनिक ऊष्मप्रवैगिकी",
     9→     9→      "Hindi",
    10→    10→      "समतापीय स्थिति के तहत, एक गैस 300 K पर 2 bar के स्थिर बाह्य दाब के विरुद्ध 0.1 L से 0.25 L तक प्रसारित होती है। गैस द्वारा किया गया कार्य है (दिया गया है 1 L bar = 100 J):",
    11→    11→      "(a) 5 kJ",
    12→    12→      "(b) 25 J",
    13→    13→      "(c) 30 J",
    14→    14→      "(d) -30 J",
    15→    15→      4.0,
    16→    16→      "किया गया कार्य W = -P_{ext}(V_2 - V_1) = -2 \\text{ bar} (0.25 - 0.1) \\text{ L} = -0.3 \\text{ L bar}। चूँकि 1 L bar = 100 J, इसलिए W = -30 \\text{ J}.",
    17→    17→      "NEET",
    18→    18→      2019.0,
    19→    19→      null
    20→    20→    ]
    21→    21→  },
    22→    22→  {
    23→    23→    "sheet": "Class11",
    24→    24→    "row": 510,
    25→    25→    "data": [
    26→    26→      "Chemistry",
    27→    27→      4.0,
    28→    28→      "रासायनिक ऊष्मप्रवैगिकी",
    29→    29→      "Hindi",
    30→    30→      "एक आदर्श गैस 300 K पर 10^{5} Nm^{-2} के स्थिर दाब के विरुद्ध 10^{-3} m^{3} से 10^{-2} m^{3} तक समतापीय रूप से प्रसारित होती है। गैस पर किया गया कार्य है:",
    31→    31→      "(a) +270 kJ",
    32→    32→      "(b) -900 J",
    33→    33→      "(c) +900 kJ",
    34→    34→      "(d) -900 kJ",
    35→    35→      2.0,
    36→    36→      "W = -P_{ext}(V_2 - V_1) = -10^5 (10^{-2} - 10^{-3}) = -10^5 (0.009) = -900 \\text{ J}.",
    37→    37→      "NEET",
    38→    38→      2019.0,
    39→    39→      null
    40→    40→    ]
    41→    41→  },
    42→    42→  {
    43→    43→    "sheet": "Class11",
    44→    44→    "row": 511,
    45→    45→    "data": [
    46→    46→      "Chemistry",
    47→    47→      4.0,
    48→    48→      "रासायनिक ऊष्मप्रवैगिकी",
    49→    49→      "Hindi",
    50→    50→      "एक गैस को एक अच्छी तरह से अछूते (insulated) कंटेनर में 2.5 atm के स्थिर बाह्य दाब के विरुद्ध 2.50 L के प्रारंभिक आयतन से 4.50 L के अंतिम आयतन तक प्रसारित होने दिया जाता है। जूल में गैस की आंतरिक ऊर्जा \\Delta U में परिवर्तन होगा:",
    51→    51→      "(a) 1136.25 J",
    52→    52→      "(b) -500 J",
    53→    53→      "(c) -505 J",
    54→    54→      "(d) +505 J",
    55→    55→      3.0,
    56→    56→      "रुद्धोष्म प्रक्रिया (q=0) के लिए, \\Delta U = w = -P_{ext}\\Delta V = -2.5 \\text{ atm} (4.50 - 2.50) \\text{ L} = -5 \\text{ L atm}। 1 \\text{ L atm} = 101.3 \\text{ J}, इसलिए \\Delta U = -506.5 \\text{ J} \\approx -505 \\text{ J}.",
    57→    57→      "NEET",
    58→    58→      2017.0,
    59→    59→      null
    60→    60→    ]
    61→    61→  },
    62→    62→  {
    63→    63→    "sheet": "Class11",
    64→    64→    "row": 512,
    65→    65→    "data": [
    66→    66→      "Chemistry",
    67→    67→      4.0,
    68→    68→      "रासायनिक ऊष्मप्रवैगिकी",
    69→    69→      "Hindi",
    70→    70→      "रुद्धोष्म स्थिति के तहत एक आदर्श गैस के मुक्त प्रसार के लिए निम्नलिखित में से कौन सा विकल्प सही है?",
    71→    71→      "(a) q \\neq 0, \\Delta T = 0, W = 0",
    72→    72→      "(b) q = 0, \\Delta T = 0, W = 0",
    73→    73→      "(c) q = 0, \\Delta T < 0, W \\neq 0",
    74→    74→      "(d) q = 0, \\Delta T \\neq 0, W = 0",
    75→    75→      2.0,
    76→    76→      "रुद्धोष्म प्रक्रिया में q=0 होता है। मुक्त प्रसार का अर्थ है शून्य बाह्य दाब (P_{ext}=0) के विरुद्ध प्रसार, इसलिए W=0। इस प्रकार \\Delta U = 0 और \\Delta T = 0।",
    77→    77→      "NEET",
    78→    78→      2011.0,
    79→    79→      null
    80→    80→    ]
    81→    81→  },
    82→    82→  {
    83→    83→    "sheet": "Class11",
    84→    84→    "row": 513,
    85→    85→    "data": [
    86→    86→      "Chemistry",
    87→    87→      4.0,
    88→    88→      "रासायनिक ऊष्मप्रवैगिकी",
    89→    89→      "Hindi",
    90→    90→      "निम्नलिखित में से कौन अवस्था फलन (state functions) नहीं हैं?\n I. q + w\n II. q\n III. w\n IV. H - TS",
    91→    91→      "(a) I और IV",
    92→    92→      "(b) II, III और IV",
    93→    93→      "(c) I, II और III",
    94→    94→      "(d) II और III",
    95→    95→      4.0,
    96→    96→      "q+w = \\Delta U (अवस्था फलन)। H-TS = G (अवस्था फलन)। q (ऊष्मा) और w (कार्य) पथ फलन (path functions) हैं, अवस्था फलन नहीं।",
    97→    97→      "NEET",
    98→    98→      2008.0,
    99→    99→      null
   100→   100→    ]
   101→   101→  },
   102→   102→  {
   103→   103→    "sheet": "Class11",
   104→   104→    "row": 514,
   105→   105→    "data": [
   106→   106→      "Chemistry",
   107→   107→      4.0,
   108→   108→      "रासायनिक ऊष्मप्रवैगिकी",
   109→   109→      "Hindi",
   110→   110→      "3 atm के स्थिर बाह्य दाब के विरुद्ध 4 dm^{3} से 6 dm^{3} तक गैस के प्रसार के दौरान किया गया कार्य है:",
   111→   111→      "(a) -6 J",
   112→   112→      "(b) -608 J",
   113→   113→      "(c) +304 J",
   114→   114→      "(d) -304 J",
   115→   115→      2.0,
