     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 3540,
     5→     5→    "data": [
     6→     6→      "Biology",
     7→     7→      9.0,
     8→     8→      "Biomolecules",
     9→     9→      "English",
    10→    10→      "The pyrenoids are made up of",
    11→    11→      "proteinaceous centre and starchy sheath",
    12→    12→      "core of protein surrounded by fatty sheath",
    13→    13→      "core of starch surrounded by sheath of protein",
    14→    14→      "core of nucleic acid surrounded by protein sheath",
    15→    15→      null,
    16→    16→      "Pyrenoids consist of dense proteinaceous area surrounded by starchy sheath. These are unique to chloroplast of algae and are associated in polymerising sugars into reserve polymers (starch).",
    17→    17→      "CBSE AIPMT",
    18→    18→      1995.0,
    19→    19→      null,
    20→    20→      null
    21→    21→    ]
    22→    22→  },
    23→    23→  {
    24→    24→    "sheet": "Class11",
    25→    25→    "row": 3541,
    26→    26→    "data": [
    27→    27→      "Biology",
    28→    28→      9.0,
    29→    29→      "Biomolecules",
    30→    30→      "English",
    31→    31→      "Amino acids are produced from",
    32→    32→      "proteins",
    33→    33→      "fatty acids",
    34→    34→      "essential oils",
    35→    35→      "α-keto acids",
    36→    36→      null,
    37→    37→      "Amino acids are smallest structural units of proteins. Plants and some microorganisms can synthesise these amino acids from inorganic nitrogen/α-keto acids by reductive amination and transamination. Amino acids besides bearing a carboxyl group, possess an amino group attached to α-carbon, hence, called asα-amino acids.",
    38→    38→      "CBSE AIPMT",
    39→    39→      1992.0,
    40→    40→      null,
    41→    41→      null
    42→    42→    ]
    43→    43→  },
    44→    44→  {
    45→    45→    "sheet": "Class11",
    46→    46→    "row": 3542,
    47→    47→    "data": [
    48→    48→      "Biology",
    49→    49→      9.0,
    50→    50→      "Biomolecules",
    51→    51→      "English",
    52→    52→      "Following are the statements with reference to lipids.\nI. Lipids having only single bonds are called unsaturated fatty acids.\nII. Lecithin is a phospholipid.\nIII. Trihydroxy propane is glycerol.\nIV. Palmitic acid has 20 carbon atoms including carboxyl carbon.\nV. Arachidonic acid has 16 carbon atoms.\nChoose the correct answer from the options given below",
    53→    53→      "I and III",
    54→    54→      "III and IV",
    55→    55→      "II and III",
    56→    56→      "II and V",
    57→    57→      null,
    58→    58→      "Statements I, IV and V are incorrect, while II and III are correct. The incorrect statements can be corrected as Lipid having only single bonds are called saturated fatty acids. Palmitic acid has 16 carbon atoms including carboxyl carbon. Arachidonic acid has 20 carbon atoms.",
    59→    59→      "NEET",
    60→    60→      2021.0,
    61→    61→      null,
    62→    62→      null
    63→    63→    ]
    64→    64→  },
    65→    65→  {
    66→    66→    "sheet": "Class11",
    67→    67→    "row": 3543,
    68→    68→    "data": [
    69→    69→      "Biology",
    70→    70→      9.0,
    71→    71→      "Biomolecules",
    72→    72→      "English",
    73→    73→      "Which of the following are not polymeric ?",
    74→    74→      "Nucleic acid",
    75→    75→      "Proteins",
    76→    76→      "Polysaccharides",
    77→    77→      "Lipids",
    78→    78→      null,
    79→    79→      "Among the given options except lipids all are polymers. These are formed by the polymerisation of monomers. The basic unit of lipid are fatty acids and glycerol molecules that do not form repetitive chains. Instead they form triglycerides from three fatty acids and one glycerol molecules.",
    80→    80→      "NEET",
    81→    81→      2017.0,
    82→    82→      null,
    83→    83→      null
    84→    84→    ]
    85→    85→  },
    86→    86→  {
    87→    87→    "sheet": "Class11",
    88→    88→    "row": 3544,
    89→    89→    "data": [
    90→    90→      "Biology",
    91→    91→      9.0,
    92→    92→      "Biomolecules",
    93→    93→      "English",
    94→    94→      "A typical fat molecule is made up of",
    95→    95→      "One glycerol and three fatty acid molecules",
    96→    96→      "One glycerol and one fatty acid molecule",
    97→    97→      "Three glycerol and three fatty acid molecules",
    98→    98→      "Three glycerol molecules and one fatty acid molecule",
    99→    99→      null,
   100→   100→      "A typical fat molecule is triglyceride formed by esterification of one glycerol and three fatty acid molecules. The three fatty acids can be of same type or different depending on the type of the fat molecules.",
   101→   101→      "NEET",
   102→   102→      2016.0,
   103→   103→      null,
   104→   104→      null
   105→   105→    ]
   106→   106→  },
   107→   107→  {
   108→   108→    "sheet": "Class11",
   109→   109→    "row": 3545,
   110→   110→    "data": [
   111→   111→      "Biology",
   112→   112→      9.0,
   113→   113→      "Biomolecules",
   114→   114→      "English",
   115→   115→      "A phosphoglyceride is always made up of",
   116→   116→      "only a saturated fatty acid esterified to a glycerol molecule to which a phosphate group is also attached",
   117→   117→      "only an unsaturated fatty acid esterified to a glycerol molecule to which a phosphate group is also attached",
   118→   118→      "a saturated or unsaturated fatty acid esterified to a glycerol molecule to which a phosphate group is also attached",
   119→   119→      "a saturated or unsaturated fatty acid esterified to a phosphate group, which is also attached to a glycerol molecule",
   120→   120→      null,
   121→   121→      "A fat is formed of two kinds of smaller molecules, i.e. glycerol and fatty acids. In making a fat free fatty acid molecules join to glycerol by an ester linkage. A fatty acid has a long carbon skeleton, usually 16 or 18 carbon atoms in length. If there are no double bonds between carbon atoms composing the chain, then as many hydrogen atoms as possible are bonded to the carbon skeleton.This is called saturated fatty acid. Unsaturated fatty acid has one or more double bonds. Phosphoglycerides are esters of two fatty acids, phosphoric acid and a trifunctional alcohol glycerol. The fatty acids are attached to the glycerol at the 1 and 2 position on glycerol through ester bonds.",
   122→   122→      "NEET",
   123→   123→      2013.0,
   124→   124→      null,
   125→   125→      null
   126→   126→    ]
   127→   127→  },
   128→   128→  {
   129→   129→    "sheet": "Class11",
   130→   130→    "row": 3546,
   131→   131→    "data": [
   132→   132→      "Biology",
   133→   133→      9.0,
   134→   134→      "Biomolecules",
   135→   135→      "English",
