     1→     1→{
     2→     2→ "batch": 7,
     3→     3→ "questions": [
     4→     4→  {
     5→     5→   "Subject": "Science",
     6→     6→   "Chapter No.": "2.0",
     7→     7→   "Chapter Name": "Acids, Bases and Salts",
     8→     8→   "Medium": "English",
     9→     9→   "Question": "Which of the following is used for dissolving gold?",
    10→    10→   "Option 1": "Hydrochloric acid",
    11→    11→   "Option 2": "Sulphuric acid",
    12→    12→   "Option 3": "Nitric acid",
    13→    13→   "Option 4": "Aqua regia",
    14→    14→   "Correct Option": "4.0",
    15→    15→   "Explanation": "Aqua regia is a freshly prepared mixture of concentrated Hydrochloric acid and concentrated Nitric acid in the ratio of 3:1. It is one of the few reagents that can dissolve gold and platinum.",
    16→    16→   "Exam": "CBSE",
    17→    17→   "Year": "2020.0",
    18→    18→   "_sheet_row": 302
    19→    19→  },
    20→    20→  {
    21→    21→   "Subject": "Science",
    22→    22→   "Chapter No.": "2.0",
    23→    23→   "Chapter Name": "Acids, Bases and Salts",
    24→    24→   "Medium": "English",
    25→    25→   "Question": "The pH of the soil is 5.2. Which of the following should be added to the soil to neutralize it for better crop production?",
    26→    26→   "Option 1": "Calcium Oxide",
    27→    27→   "Option 2": "Vinegar",
    28→    28→   "Option 3": "Lemon juice",
    29→    29→   "Option 4": "Ammonium Chloride",
    30→    30→   "Correct Option": "1.0",
    31→    31→   "Explanation": "The soil is acidic (pH 5.2). Calcium Oxide (Quicklime) is basic and is commonly used by farmers to neutralize acidic soil.",
    32→    32→   "Exam": "UP Board",
    33→    33→   "Year": "2021.0",
    34→    34→   "_sheet_row": 303
    35→    35→  },
    36→    36→  {
    37→    37→   "Subject": "Science",
    38→    38→   "Chapter No.": "2.0",
    39→    39→   "Chapter Name": "Acids, Bases and Salts",
    40→    40→   "Medium": "English",
    41→    41→   "Question": "Which of the following is a neutral salt?",
    42→    42→   "Option 1": "Sodium Chloride",
    43→    43→   "Option 2": "Sodium Carbonate",
    44→    44→   "Option 3": "Ammonium Chloride",
    45→    45→   "Option 4": "Sodium Acetate",
    46→    46→   "Correct Option": "1.0",
    47→    47→   "Explanation": "Sodium Chloride ($NaCl$) is formed from a strong acid ($HCl$) and a strong base ($NaOH$), making it neutral with a pH of 7.",
    48→    48→   "Exam": "Bihar Board",
    49→    49→   "Year": "2019.0",
    50→    50→   "_sheet_row": 304
    51→    51→  },
    52→    52→  {
    53→    53→   "Subject": "Science",
    54→    54→   "Chapter No.": "2.0",
    55→    55→   "Chapter Name": "Acids, Bases and Salts",
    56→    56→   "Medium": "English",
    57→    57→   "Question": "What is the observation when a small amount of Baking Soda is added to Vinegar?",
    58→    58→   "Option 1": "No reaction takes place",
    59→    59→   "Option 2": "A pop sound is heard",
    60→    60→   "Option 3": "Brisk effervescence occurs",
    61→    61→   "Option 4": "The solution turns blue",
    62→    62→   "Correct Option": "3.0",
    63→    63→   "Explanation": "Vinegar contains acetic acid which reacts with Baking Soda (Sodium Hydrogencarbonate) to release Carbon Dioxide gas, resulting in brisk effervescence.",
    64→    64→   "Exam": "CBSE",
    65→    65→   "Year": "2022.0",
    66→    66→   "_sheet_row": 305
    67→    67→  },
    68→    68→  {
    69→    69→   "Subject": "Science",
    70→    70→   "Chapter No.": "2.0",
    71→    71→   "Chapter Name": "Acids, Bases and Salts",
    72→    72→   "Medium": "English",
    73→    73→   "Question": "Which of the following chemicals is used in fire extinguishers?",
    74→    74→   "Option 1": "Sodium carbonate",
    75→    75→   "Option 2": "Sodium hydrogencarbonate",
    76→    76→   "Option 3": "Calcium chloride",
    77→    77→   "Option 4": "Sodium sulphate",
    78→    78→   "Correct Option": "2.0",
    79→    79→   "Explanation": "Sodium hydrogencarbonate (Baking soda) reacts with an acid inside the extinguisher to produce $CO_2$ gas, which helps put out fires by cutting off oxygen.",
    80→    80→   "Exam": "CBSE",
    81→    81→   "Year": "2018.0",
    82→    82→   "_sheet_row": 306
    83→    83→  },
    84→    84→  {
    85→    85→   "Subject": "Science",
    86→    86→   "Chapter No.": "2.0",
    87→    87→   "Chapter Name": "Acids, Bases and Salts",
    88→    88→   "Medium": "English",
    89→    89→   "Question": "During the preparation of Hydrogen Chloride gas on a humid day, the gas is usually passed through a guard tube containing Calcium Chloride. The role of Calcium Chloride is:",
    90→    90→   "Option 1": "To absorb the evolved gas",
    91→    91→   "Option 2": "To moisten the gas",
    92→    92→   "Option 3": "To absorb moisture from the gas",
    93→    93→   "Option 4": "To act as a catalyst",
    94→    94→   "Correct Option": "3.0",
    95→    95→   "Explanation": "Calcium Chloride ($CaCl_2$) is a powerful dehydrating agent (desiccant). It is used to dry the $HCl$ gas by removing moisture from it.",
    96→    96→   "Exam": "CBSE",
    97→    97→   "Year": "2021.0",
    98→    98→   "_sheet_row": 307
    99→    99→  },
   100→   100→  {
   101→   101→   "Subject": "Science",
   102→   102→   "Chapter No.": "2.0",
   103→   103→   "Chapter Name": "Acids, Bases and Salts",
   104→   104→   "Medium": "English",
   105→   105→   "Question": "The color of methyl orange indicator in an acidic solution is:",
   106→   106→   "Option 1": "Yellow",
   107→   107→   "Option 2": "Pink",
   108→   108→   "Option 3": "Red",
   109→   109→   "Option 4": "Orange",
   110→   110→   "Correct Option": "3.0",
   111→   111→   "Explanation": "Methyl orange is a synthetic indicator that turns red in acidic solutions and yellow in basic solutions.",
   112→   112→   "Exam": "HBSE",
   113→   113→   "Year": "2020.0",
   114→   114→   "_sheet_row": 308
   115→   115→  },
   116→   116→  {
   117→   117→   "Subject": "Science",
   118→   118→   "Chapter No.": "2.0",
   119→   119→   "Chapter Name": "Acids, Bases and Salts",
   120→   120→   "Medium": "English",
   121→   121→   "Question": "In an attempt to demonstrate electrical conductivity through an electrolyte, which of the following will not conduct electricity?",
   122→   122→   "Option 1": "Dilute $HCl$",
   123→   123→   "Option 2": "Dilute $NaOH$",
   124→   124→   "Option 3": "Glucose solution",
   125→   125→   "Option 4": "Dilute $H_2SO_4$",
   126→   126→   "Correct Option": "3.0",
   127→   127→   "Explanation": "Glucose and Alcohol do not dissociate into ions in water. Since there are no free ions to carry charge, they do not conduct electricity.",
   128→   128→   "Exam": "CBSE",
   129→   129→   "Year": "2023.0",
   130→   130→   "_sheet_row": 309
   131→   131→  },
   132→   132→  {
   133→   133→   "Subject": "Science",
   134→   134→   "Chapter No.": "2.0",
   135→   135→   "Chapter Name": "Acids, Bases and Salts",
   136→   136→   "Medium": "English",
   137→   137→   "Question": "Which of the following is an example of a synthetic indicator?",
   138→   138→   "Option 1": "Turmeric",
   139→   139→   "Option 2": "Litmus",
   140→   140→   "Option 3": "Methyl orange",
   141→   141→   "Option 4": "China rose",
   142→   142→   "Correct Option": "3.0",
   143→   143→   "Explanation": "Methyl orange and Phenolphthalein are man-made (synthetic) indicators, whereas Turmeric, Litmus, and China rose are natural indicators.",
   144→   144→   "Exam": "MP Board",
   145→   145→   "Year": "2021.0",
   146→   146→   "_sheet_row": 310
   147→   147→  },
   148→   148→  {
   149→   149→   "Subject": "Science",
   150→   150→   "Chapter No.": "2.0",
   151→   151→   "Chapter Name": "Acids, Bases and Salts",
   152→   152→   "Medium": "English",
   153→   153→   "Question": "The chemical formula of soda ash is:",
   154→   154→   "Option 1": "$Na_2CO_3 \\cdot 10H_2O$",
   155→   155→   "Option 2": "$Na_2CO_3$",
   156→   156→   "Option 3": "$NaHCO_3$",
   157→   157→   "Option 4": "$NaOH$",
   158→   158→   "Correct Option": "2.0",
   159→   159→   "Explanation": "Anhydrous Sodium Carbonate (Washing soda without water of crystallization) is commonly known as soda ash.",
   160→   160→   "Exam": "ICSE",
   161→   161→   "Year": "2019.0",
   162→   162→   "_sheet_row": 311
   163→   163→  },
   164→   164→  {
   165→   165→   "Subject": "Science",
   166→   166→   "Chapter No.": "2.0",
   167→   167→   "Chapter Name": "Acids, Bases and Salts",
   168→   168→   "Medium": "English",
   169→   169→   "Question": "What is the pH of a solution that turns phenolphthalein pink?",
   170→   170→   "Option 1": "4.0",
   171→   171→   "Option 2": "7.0",
   172→   172→   "Option 3": "2.0",
   173→   173→   "Option 4": "9.0",
   174→   174→   "Correct Option": "4.0",
   175→   175→   "Explanation": "Phenolphthalein turns pink only in basic solutions (pH > 7). Among the options, only 9 is in the basic range.",
   176→   176→   "Exam": "CBSE",
   177→   177→   "Year": "2022.0",
   178→   178→   "_sheet_row": 312
   179→   179→  },
   180→   180→  {
   181→   181→   "Subject": "Science",
   182→   182→   "Chapter No.": "2.0",
   183→   183→   "Chapter Name": "Acids, Bases and Salts",
   184→   184→   "Medium": "English",
   185→   185→   "Question": "Which salt is used in the manufacture of borax?",
   186→   186→   "Option 1": "Baking soda",
   187→   187→   "Option 2": "Washing soda",
   188→   188→   "Option 3": "Common salt",
   189→   189→   "Option 4": "Bleaching powder",
   190→   190→   "Correct Option": "2.0",
   191→   191→   "Explanation": "Sodium Carbonate (Washing soda) is a key raw material used in the industrial production of borax.",
   192→   192→   "Exam": "CBSE",
   193→   193→   "Year": "2017.0",
   194→   194→   "_sheet_row": 313
   195→   195→  },
   196→   196→  {
   197→   197→   "Subject": "Science",
   198→   198→   "Chapter No.": "2.0",
   199→   199→   "Chapter Name": "Acids, Bases and Salts",
   200→   200→   "Medium": "English",
   201→   201→   "Question": "When a base reacts with a non-metal oxide, it produces:",
   202→   202→   "Option 1": "Salt and Water",
   203→   203→   "Option 2": "Salt and Hydrogen",
   204→   204→   "Option 3": "Acid and Water",
   205→   205→   "Option 4": "Base and Oxygen",
   206→   206→   "Correct Option": "1.0",
   207→   207→   "Explanation": "Non-metal oxides (like $CO_2$) are acidic. Their reaction with a base is a neutralization reaction, producing salt and water.",
   208→   208→   "Exam": "CBSE",
   209→   209→   "Year": "2020.0",
   210→   210→   "_sheet_row": 314
   211→   211→  },
   212→   212→  {
   213→   213→   "Subject": "Science",
   214→   214→   "Chapter No.": "2.0",
   215→   215→   "Chapter Name": "Acids, Bases and Salts",
   216→   216→   "Medium": "English",
   217→   217→   "Question": "The tartaric acid is found in:",
   218→   218→   "Option 1": "Lemons",
   219→   219→   "Option 2": "Tamarind",
   220→   220→   "Option 3": "Vinegar",
   221→   221→   "Option 4": "Curd",
   222→   222→   "Correct Option": "2.0",
   223→   223→   "Explanation": "Tamarind and grapes are rich sources of tartaric acid. Curd contains lactic acid and vinegar contains acetic acid.",
   224→   224→   "Exam": "UP Board",
   225→   225→   "Year": "2019.0",
   226→   226→   "_sheet_row": 315
   227→   227→  },
   228→   228→  {
   229→   229→   "Subject": "Science",
   230→   230→   "Chapter No.": "2.0",
   231→   231→   "Chapter Name": "Acids, Bases and Salts",
   232→   232→   "Medium": "English",
   233→   233→   "Question": "Which of the following is used as an ingredient in making cakes?",
   234→   234→   "Option 1": "Sodium chloride",
   235→   235→   "Option 2": "Sodium hydrogencarbonate",
   236→   236→   "Option 3": "Calcium oxychloride",
   237→   237→   "Option 4": "Calcium sulphate",
   238→   238→   "Correct Option": "2.0",
   239→   239→   "Explanation": "Sodium hydrogencarbonate (Baking soda) releases $CO_2$ gas when heated or mixed with acid, making the cake rise and become fluffy.",
   240→   240→   "Exam": "CBSE",
   241→   241→   "Year": "2021.0",
   242→   242→   "_sheet_row": 316
   243→   243→  },
   244→   244→  {
   245→   245→   "Subject": "Science",
   246→   246→   "Chapter No.": "2.0",
   247→   247→   "Chapter Name": "Acids, Bases and Salts",
   248→   248→   "Medium": "English",
   249→   249→   "Question": "The change in color of moist litmus paper by $HCl$ gas is due to:",
   250→   250→   "Option 1": "Presence of $H^+$ ions",
   251→   251→   "Option 2": "Presence of $Cl^-$ ions",
   252→   252→   "Option 3": "Presence of water",
   253→   253→   "Option 4": "Presence of $H_3O^+$ ions",
   254→   254→   "Correct Option": "4.0",
   255→   255→   "Explanation": "In the presence of moisture, $HCl$ gas dissociates to form $H^+$ ions which combine with water to form Hydronium ions ($H_3O^+$). These ions are responsible for the acidic property.",
   256→   256→   "Exam": "CBSE",
   257→   257→   "Year": "2023.0",
   258→   258→   "_sheet_row": 317
   259→   259→  },
   260→   260→  {
   261→   261→   "Subject": "Science",
   262→   262→   "Chapter No.": "2.0",
   263→   263→   "Chapter Name": "Acids, Bases and Salts",
   264→   264→   "Medium": "English",
   265→   265→   "Question": "What is the effect of acid on blue litmus paper?",
   266→   266→   "Option 1": "Turns it red",
   267→   267→   "Option 2": "No effect",
   268→   268→   "Option 3": "Turns it yellow",
   269→   269→   "Option 4": "Turns it colorless",
   270→   270→   "Correct Option": "1.0",
   271→   271→   "Explanation": "Acids have the property of turning blue litmus paper red. Bases turn red litmus blue.",
   272→   272→   "Exam": "Bihar Board",
   273→   273→   "Year": "2022.0",
   274→   274→   "_sheet_row": 318
   275→   275→  },
   276→   276→  {
   277→   277→   "Subject": "Science",
   278→   278→   "Chapter No.": "2.0",
   279→   279→   "Chapter Name": "Acids, Bases and Salts",
   280→   280→   "Medium": "English",
   281→   281→   "Question": "Which of the following is a strong acid?",
   282→   282→   "Option 1": "Acetic acid",
   283→   283→   "Option 2": "Citric acid",
   284→   284→   "Option 3": "Nitric acid",
   285→   285→   "Option 4": "Oxalic acid",
   286→   286→   "Correct Option": "3.0",
   287→   287→   "Explanation": "Nitric acid ($HNO_3$) is a mineral acid that ionizes completely in water, unlike organic acids which are weak.",
   288→   288→   "Exam": "HBSE",
   289→   289→   "Year": "2021.0",
   290→   290→   "_sheet_row": 319
   291→   291→  },
   292→   292→  {
   293→   293→   "Subject": "Science",
   294→   294→   "Chapter No.": "2.0",
   295→   295→   "Chapter Name": "Acids, Bases and Salts",
   296→   296→   "Medium": "English",
   297→   297→   "Question": "The acid found in ant stings is:",
   298→   298→   "Option 1": "Methanoic acid",
   299→   299→   "Option 2": "Acetic acid",
   300→   300→   "Option 3": "Citric acid",
   301→   301→   "Option 4": "Oxalic acid",
   302→   302→   "Correct Option": "1.0",
   303→   303→   "Explanation": "Ant stings contain methanoic acid (also known as formic acid), which causes irritation and pain.",
   304→   304→   "Exam": "CBSE",
   305→   305→   "Year": "2018.0",
   306→   306→   "_sheet_row": 320
   307→   307→  },
   308→   308→  {
   309→   309→   "Subject": "Science",
   310→   310→   "Chapter No.": "2.0",
   311→   311→   "Chapter Name": "Acids, Bases and Salts",
   312→   312→   "Medium": "English",
   313→   313→   "Question": "What happens when a solution of Sodium Hydrogencarbonate is heated?",
   314→   314→   "Option 1": "Sodium carbonate is formed",
   315→   315→   "Option 2": "Sodium oxide is formed",
   316→   316→   "Option 3": "Sodium hydroxide is formed",
   317→   317→   "Option 4": "No reaction",
   318→   318→   "Correct Option": "1.0",
   319→   319→   "Explanation": "Heating $NaHCO_3$ leads to its decomposition into Sodium Carbonate ($Na_2CO_3$), water, and Carbon Dioxide gas.",
   320→   320→   "Exam": "CBSE",
