     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 3390,
     5→     5→    "data": [
     6→     6→      "Biology",
     7→     7→      7.0,
     8→     8→      "Structural Organisation in Animals",
     9→     9→      "English",
    10→    10→      "Which of the following is an example of Cnidaria?",
    11→    11→      "Starfish",
    12→    12→      "Jellyfish",
    13→    13→      "Earthworm",
    14→    14→      "Sponge",
    15→    15→      2.0,
    16→    16→      "Jellyfish, belonging to the class Scyphozoa, are marine invertebrates that are characteristic members of the phylum Cnidaria. Starfish are echinoderms, earthworms are annelids, and sponges are poriferans.",
    17→    17→      "NEET",
    18→    18→      2018.0,
    19→    19→      null,
    20→    20→      null
    21→    21→    ]
    22→    22→  },
    23→    23→  {
    24→    24→    "sheet": "Class11",
    25→    25→    "row": 3391,
    26→    26→    "data": [
    27→    27→      "Biology",
    28→    28→      7.0,
    29→    29→      "Structural Organisation in Animals",
    30→    30→      "English",
    31→    31→      "Which of the following is a characteristic feature of sponges?",
    32→    32→      "Presence of gastrovascular cavity",
    33→    33→      "Presence of choanocytes",
    34→    34→      "Presence of nerve cells",
    35→    35→      "Presence of a muscular pharynx",
    36→    36→      2.0,
    37→    37→      "Sponges (Phylum Porifera) are characterized by the presence of choanocytes, also known as collar cells, which are specialized flagellated cells that help in feeding and water circulation.",
    38→    38→      "NEET",
    39→    39→      2017.0,
    40→    40→      null,
    41→    41→      null
    42→    42→    ]
    43→    43→  },
    44→    44→  {
    45→    45→    "sheet": "Class11",
    46→    46→    "row": 3392,
    47→    47→    "data": [
    48→    48→      "Biology",
    49→    49→      8.0,
    50→    50→      "Cell: The Unit of Life",
    51→    51→      "English",
    52→    52→      "Which of the following is not a part of a plant cell?",
    53→    53→      "Cell wall",
    54→    54→      "Chloroplast",
    55→    55→      "Centriole",
    56→    56→      "Mitochondrion",
    57→    57→      3.0,
    58→    58→      "Centrioles are involved in cell division in animal cells and some lower plant forms, but they are typically absent in higher plant cells.",
    59→    59→      "NEET",
    60→    60→      2020.0,
    61→    61→      null,
    62→    62→      null
    63→    63→    ]
    64→    64→  },
    65→    65→  {
    66→    66→    "sheet": "Class11",
    67→    67→    "row": 3393,
    68→    68→    "data": [
    69→    69→      "Biology",
    70→    70→      8.0,
    71→    71→      "Cell: The Unit of Life",
    72→    72→      "English",
    73→    73→      "Which of the following biomolecules is an enzyme?",
    74→    74→      "Starch",
    75→    75→      "Cholesterol",
    76→    76→      "Lipase",
    77→    77→      "Insulin",
    78→    78→      3.0,
    79→    79→      "Lipase is an enzyme that catalyzes the breakdown of fats. Starch is a carbohydrate, cholesterol is a lipid, and insulin is a protein hormone.",
    80→    80→      "NEET",
    81→    81→      2019.0,
    82→    82→      null,
    83→    83→      null
    84→    84→    ]
    85→    85→  },
    86→    86→  {
    87→    87→    "sheet": "Class11",
    88→    88→    "row": 3394,
    89→    89→    "data": [
    90→    90→      "Biology",
    91→    91→      8.0,
    92→    92→      "Cell: The Unit of Life",
    93→    93→      "English",
    94→    94→      "The fluid mosaic model of the cell membrane was proposed by:",
    95→    95→      "Singer and Nicolson",
    96→    96→      "Robertson",
    97→    97→      "Danielli and Davson",
    98→    98→      "Gorter and Grendel",
    99→    99→      1.0,
   100→   100→      "The fluid mosaic model, which describes the structure of the cell membrane as a fluid phospholipid bilayer with embedded proteins, was proposed by S.J. Singer and E.J. Nicolson in 1972.",
   101→   101→      "NEET",
   102→   102→      2018.0,
   103→   103→      null,
   104→   104→      null
   105→   105→    ]
   106→   106→  },
   107→   107→  {
   108→   108→    "sheet": "Class11",
   109→   109→    "row": 3395,
   110→   110→    "data": [
   111→   111→      "Biology",
   112→   112→      8.0,
   113→   113→      "Cell: The Unit of Life",
   114→   114→      "English",
   115→   115→      "The cell wall of a plant cell is made up of:",
   116→   116→      "Cellulose",
   117→   117→      "Pectin",
   118→   118→      "Lignin",
   119→   119→      "Hemicellulose",
   120→   120→      1.0,
   121→   121→      "The primary cell wall of plant cells is primarily composed of cellulose, a polysaccharide. Pectin, lignin, and hemicellulose are also present, but cellulose is the main structural component.",
   122→   122→      "NEET",
   123→   123→      2017.0,
   124→   124→      null,
   125→   125→      null
   126→   126→    ]
   127→   127→  },
   128→   128→  {
   129→   129→    "sheet": "Class11",
   130→   130→    "row": 3396,
   131→   131→    "data": [
   132→   132→      "Biology",
   133→   133→      8.0,
   134→   134→      "Cell: The Unit of Life",
   135→   135→      "English",
   136→   136→      "Which one is apparato reticolare interno?",
   137→   137→      "Golgi apparatus",
   138→   138→      "Endoplasmic reticulum",
   139→   139→      "Microfilaments",
   140→   140→      "Microtubules",
   141→   141→      1.0,
   142→   142→      "Golgi body (dictyosomes, lipochondria) is a stack of flattened membrane bound sac-like body. They form internal reticulare apparatus (apparato reticolare interno).",
   143→   143→      "CBSE AIPMT",
   144→   144→      1992.0,
   145→   145→      null,
   146→   146→      null
   147→   147→    ]
   148→   148→  },
   149→   149→  {
   150→   150→    "sheet": "Class11",
   151→   151→    "row": 3397,
   152→   152→    "data": [
   153→   153→      "Biology",
   154→   154→      8.0,
   155→   155→      "Cell: The Unit of Life",
   156→   156→      "English",
   157→   157→      "Experiments on Acetabularia by Hammerling proved the role of",
   158→   158→      "cytoplasm in controlling differentiation",
   159→   159→      "nucleus in heredity",
   160→   160→      "chromosomes in heredity",
   161→   161→      "nucleocytoplasmic ratio",
   162→   162→      2.0,
   163→   163→      "J Hammerling (1953) carried the grafting experiments involving exchange of nucleus (located at the base) in Acetabularia. He proved the role of nucleus in heredity, growth, etc.",
   164→   164→      "CBSE AIPMT",
