     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 561,
     5→     5→    "data": [
     6→     6→      "Chemistry",
     7→     7→      4.0,
     8→     8→      "रासायनिक ऊष्मप्रवैगिकी",
     9→     9→      "Hindi",
    10→    10→      "अभिक्रिया, CH_{4} + \\frac{1}{2}O_{2} \\rightarrow CH_{3}OH की एन्थैल्पी ऋणात्मक है। यदि CH_{4} और CH_{3}OH के दहन की एन्थैल्पी क्रमशः x और y हैं, तो कौन सा संबंध सही है?",
    11→    11→      "(a) x > y",
    12→    12→      "(b) x < y",
    13→    13→      "(c) x = y",
    14→    14→      "(d) x \\ge y",
    15→    15→      1.0,
    16→    16→      "\\Delta H = x - y (दहन की ऊष्मा परिमाण मानकर)। चूँकि अभिक्रिया ऊष्माक्षेपी है (\\Delta H < 0), इसलिए अभिकारकों का दहन ऊष्मा उत्पादों से अधिक होना चाहिए (magnitude wise, x > y)।",
    17→    17→      "CBSE AIPMT",
    18→    18→      2001.0,
    19→    19→      null
    20→    20→    ]
    21→    21→  },
    22→    22→  {
    23→    23→    "sheet": "Class11",
    24→    24→    "row": 562,
    25→    25→    "data": [
    26→    26→      "Chemistry",
    27→    27→      4.0,
    28→    28→      "रासायनिक ऊष्मप्रवैगिकी",
    29→    29→      "Hindi",
    30→    30→      "अभिक्रिया 2H_{2}O_{2}(l) \\rightarrow 2H_{2}O(l) + O_{2}(g) के लिए एन्थैल्पी में परिवर्तन क्या है यदि H_{2}O_{2}(l) और H_{2}O(l) की निर्माण ऊष्मा क्रमशः -188 और -286 kJ/mol है?",
    31→    31→      "(a) -196 kJ/mol",
    32→    32→      "(b) +196 kJ/mol",
    33→    33→      "(c) +948 kJ/mol",
    34→    34→      "(d) -948 kJ/mol",
    35→    35→      1.0,
    36→    36→      "\\Delta H = [2 \\Delta H_f(H_2O) + \\Delta H_f(O_2)] - [2 \\Delta H_f(H_2O_2)]। \\Delta H = [2(-286) + 0] - [2(-188)] = -572 + 376 = -196 kJ/mol।",
    37→    37→      "CBSE AIPMT",
    38→    38→      2001.0,
    39→    39→      null
    40→    40→    ]
    41→    41→  },
    42→    42→  {
    43→    43→    "sheet": "Class11",
    44→    44→    "row": 563,
    45→    45→    "data": [
    46→    46→      "Chemistry",
    47→    47→      4.0,
    48→    48→      "रासायनिक ऊष्मप्रवैगिकी",
    49→    49→      "Hindi",
    50→    50→      "यदि स्थिर आयतन पर C_{2}H_{5}OH(l) + 3O_{2}(g) \\rightarrow 2CO_{2}(g) + 3H_{2}O(l) के लिए अभिक्रिया ऊष्मा \\Delta E है, तो \\Delta H (स्थिर दाब पर अभिक्रिया ऊष्मा) के लिए सही संबंध है:",
    51→    51→      "(a) \\Delta H = \\Delta E + RT",
    52→    52→      "(b) \\Delta H = \\Delta E - RT",
    53→    53→      "(c) \\Delta H = \\Delta E - 2RT",
    54→    54→      "(d) \\Delta H = \\Delta E + 2RT",
    55→    55→      2.0,
    56→    56→      "\\Delta H = \\Delta E + \\Delta n_g RT। \\Delta n_g = n_{gas}(products) - n_{gas}(reactants)। \\Delta n_g = 2 - 3 = -1। इसलिए \\Delta H = \\Delta E - RT।",
    57→    57→      "CBSE AIPMT",
    58→    58→      2000.0,
    59→    59→      null
    60→    60→    ]
    61→    61→  },
    62→    62→  {
    63→    63→    "sheet": "Class11",
    64→    64→    "row": 564,
    65→    65→    "data": [
    66→    66→      "Chemistry",
    67→    67→      4.0,
    68→    68→      "रासायनिक ऊष्मप्रवैगिकी",
    69→    69→      "Hindi",
    70→    70→      "दी गई अभिक्रियाओं से,\n S(s) + \\frac{3}{2}O_{2}(g) \\rightarrow SO_{3}(g) + 2x kcal\n SO_{2}(g) + \\frac{1}{2}O_{2}(g) \\rightarrow SO_{3}(g) + y kcal,\n SO_{2} के निर्माण की ऊष्मा है:",
    71→    71→      "(a) (x + y)",
    72→    72→      "(b) (x - y)",
    73→    73→      "(c) (2x + y)",
    74→    74→      "(d) (2x - y)",
    75→    75→      4.0,
    76→    76→      "\\Delta H_1 = -2x, \\Delta H_2 = -y। लक्ष्य: S + O_2 \\rightarrow SO_2। समीकरण (1) - (2): S + 1.5O_2 - SO_2 - 0.5O_2 \\rightarrow 0 \\Rightarrow S + O_2 \\rightarrow SO_2। \\Delta H = \\Delta H_1 - \\Delta H_2 = -2x - (-y) = y - 2x। (नोट: ऊर्जा मुक्त होने के संदर्भ में विकल्प 2x-y सही है)।",
    77→    77→      "CBSE AIPMT",
    78→    78→      1999.0,
    79→    79→      null
    80→    80→    ]
    81→    81→  },
    82→    82→  {
    83→    83→    "sheet": "Class11",
    84→    84→    "row": 565,
    85→    85→    "data": [
    86→    86→      "Chemistry",
    87→    87→      4.0,
    88→    88→      "रासायनिक ऊष्मप्रवैगिकी",
    89→    89→      "Hindi",
    90→    90→      "दिया गया है कि, C(s) + O_{2}(g) \\rightarrow CO_{2}(g), \\Delta H^{\\circ} = -x kJ\n 2CO(g) + O_{2}(g) \\rightarrow 2CO_{2}(g), \\Delta H^{\\circ} = -y kJ\n कार्बन मोनोऑक्साइड के निर्माण की एन्थैल्पी होगी:",
    91→    91→      "(a) y - 2x",
    92→    92→      "(b) 2x - y",
    93→    93→      "(c) \\frac{y-2x}{2}",
    94→    94→      "(d) \\frac{2x-y}{2}",
    95→    95→      3.0,
