     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 2840,
     5→     5→    "data": [
     6→     6→      "Biology",
     7→     7→      null,
     8→     8→      "शरीर द्रव तथा परिसंचरण",
     9→     9→      "Hindi",
    10→    10→      "ताजा एकत्रित रक्त से कैल्शियम को हटाने से",
    11→    11→      "विलंबित रक्त के थक्के का कारण बनता है",
    12→    12→      "थक्के बनने से रोकें",
    13→    13→      "तत्काल थक्का जमने का कारण",
    14→    14→      "हीमोग्लोबिन के विनाश को रोकें",
    15→    15→      2.0,
    16→    16→      "रक्त का थक्का जमना तब शुरू होता है जब प्रोथ्रोम्बिनेज़ एंजाइम कैल्शियम (Ca2+) की उपस्थिति में निष्क्रिय प्रोथ्रोम्बिन को थ्रोम्बिन में परिवर्तित करता है, जो बदले में घुले हुए फाइब्रिनोजेन प्रोटीन को महीन धागे जैसी फाइब्रिन में बदल देता है। फाइब्रिन का यह जाल घाव को ढक लेता है, जिसमें रक्त कणिकाएं जुड़कर थक्का बना लेती हैं। कैल्शियम (Ca2+) को हटा देने पर थक्का जमना रुक जाता है।",
    17→    17→      "CBSE AIPMT",
    18→    18→      null,
    19→    19→      null,
    20→    20→      null
    21→    21→    ]
    22→    22→  },
    23→    23→  {
    24→    24→    "sheet": "Class11",
    25→    25→    "row": 2841,
    26→    26→    "data": [
    27→    27→      "Biology",
    28→    28→      null,
    29→    29→      "शरीर द्रव तथा परिसंचरण",
    30→    30→      "Hindi",
    31→    31→      "एबीओ रक्त समूह प्रणाली में, यदि दोनों प्रतिजन मौजूद हों लेकिन कोई एंटीबॉडी न हो, तो व्यक्ति का रक्त समूह होगा",
    32→    32→      "बी",
    33→    33→      "हे",
    34→    34→      "अब",
    35→    35→      "ए",
    36→    36→      3.0,
    37→    37→      "रक्त समूह A में A एंटीजन और b एंटीबॉडी होती है, जबकि रक्त समूह O में कोई एंटीजन नहीं होता है और A और B दोनों एंटीबॉडी होती हैं। इसलिए, यदि रक्त समूह A वाले किसी मरीज को रक्त की आवश्यकता होती है, तो उसे A और O दोनों प्रकार के रक्त समूह का रक्त दिया जा सकता है।",
    38→    38→      "CBSE AIPMT , 1991",
    39→    39→      null,
    40→    40→      null,
    41→    41→      null
    42→    42→    ]
    43→    43→  },
    44→    44→  {
    45→    45→    "sheet": "Class11",
    46→    46→    "row": 2842,
    47→    47→    "data": [
    48→    48→      "Biology",
    49→    49→      null,
    50→    50→      "मानव स्वास्थ्य और रोग",
    51→    51→      "Hindi",
    52→    52→      "इनमें से कौन सा रोगजनकों को तेजी से अवशोषित करता है?",
    53→    53→      "एसिडोफिल्स",
    54→    54→      "मोनोसाइट्स",
    55→    55→      "basophils",
    56→    56→      "न्यूट्रोफिल",
    57→    57→      4.0,
    58→    58→      "न्यूट्रोफिल ग्रैनुलोसाइट्स होते हैं, यानी इनका साइटोप्लाज्म बारीक कणों से भरा होता है। ये कण वास्तव में लाइसोसोम और गोल्जी पिंड होते हैं। ये शरीर की प्रमुख फैगोसाइटिक कोशिकाएं हैं और फैगोसाइटोसिस द्वारा रोगाणुओं को निगल लेती हैं, इसलिए न्यूट्रोफिल को शरीर के सैनिक भी कहा जाता है।",
    59→    59→      "CBSE AIPMT",
    60→    60→      null,
    61→    61→      null,
    62→    62→      null
    63→    63→    ]
    64→    64→  },
    65→    65→  {
    66→    66→    "sheet": "Class11",
    67→    67→    "row": 2843,
    68→    68→    "data": [
    69→    69→      "Biology",
    70→    70→      null,
    71→    71→      "वंशागति तथा विविधता के सिद्धांत",
    72→    72→      "Hindi",
    73→    73→      "विवाह में शिशु की मृत्यु हो सकती है",
    74→    74→      "Rh + पुरुष और Rh + महिला",
    75→    75→      "Rh + पुरुष और Rh−महिला",
    76→    76→      "Rh− पुरुष और Rh− महिला",
    77→    77→      "Rh− पुरुष और Rh + महिला",
    78→    78→      2.0,
    79→    79→      "यदि गर्भावस्था के दौरान भ्रूण का रक्त प्लेसेंटा से रिसकर बाहर आ जाता है, तो Rh-प्रतिजन के विरुद्ध एंटीबॉडी बनाने का काम मां के शरीर में शुरू हो जाती हैं। ऐसे में Rh-प्रतिजन वाले भ्रूण को खतरा हो सकता है और उसे हीमोलिसिस हो सकता है।",
    80→    80→      "CBSE AIPMT , 2000",
    81→    81→      null,
    82→    82→      null,
    83→    83→      null
    84→    84→    ]
    85→    85→  },
    86→    86→  {
    87→    87→    "sheet": "Class11",
    88→    88→    "row": 2844,
    89→    89→    "data": [
    90→    90→      "Biology",
    91→    91→      null,
    92→    92→      "रुधिर और परिसंचरण",
    93→    93→      "Hindi",
    94→    94→      "आरबीसी इसमें नहीं पाए जाते हैं",
    95→    95→      "मेंढक",
    96→    96→      "गाय",
    97→    97→      "ऊंट",
    98→    98→      "तिलचट्टे की प्रणाली, जिसमें यकृत पोर्टल शिरा भोजन युक्त रक्त को रक्त समूहों, लाल रक्त कोशिकाओं पर मौजूद प्रतिजनों और सीरम में मौजूद एंटीबॉडीज से ले जाती है।",
    99→    99→      4.0,
