     1→     1→[
     2→     2→  {
     3→     3→    "sheet": "Class11",
     4→     4→    "row": 2290,
     5→     5→    "data": [
     6→     6→      "Biology",
     7→     7→      null,
     8→     8→      "Plant Growth and Development",
     9→     9→      "English",
    10→    10→      "Abscisic acid causes",
    11→    11→      "stomatal closure",
    12→    12→      "stem elongation",
    13→    13→      "leaf expansion",
    14→    14→      "root elongation",
    15→    15→      1.0,
    16→    16→      "Application of minute quantity of abscisic acid to leaves shall reduce transpiration to a great extent through partial closure of stomata.",
    17→    17→      "CBSE AIPMT",
    18→    18→      null,
    19→    19→      null
    20→    20→    ]
    21→    21→  },
    22→    22→  {
    23→    23→    "sheet": "Class11",
    24→    24→    "row": 2291,
    25→    25→    "data": [
    26→    26→      "Biology",
    27→    27→      null,
    28→    28→      "Plant Growth and Development",
    29→    29→      "English",
    30→    30→      "The hormone responsible for apical dominance is",
    31→    31→      "IAA",
    32→    32→      "GA",
    33→    33→      "ABA",
    34→    34→      "florigen",
    35→    35→      1.0,
    36→    36→      "Apical dominance is the phenomenon in which the presence of apical bud does not allow the nearby lateral buds to grow. This is characteristically caused by high auxin concentration.",
    37→    37→      "CBSE AIPMT , 92",
    38→    38→      null,
    39→    39→      null
    40→    40→    ]
    41→    41→  },
    42→    42→  {
    43→    43→    "sheet": "Class11",
    44→    44→    "row": 2292,
    45→    45→    "data": [
    46→    46→      "Biology",
    47→    47→      null,
    48→    48→      "Plant Growth and Development",
    49→    49→      "English",
    50→    50→      "Which of the following movement is not related to auxin level?",
    51→    51→      "Bending of shoot towards light",
    52→    52→      "Movement of root towards soil",
    53→    53→      "Nyctinastic leaf movements",
    54→    54→      "Movement of sunflower head tracking the sun",
    55→    55→      3.0,
    56→    56→      "Phototropic movements, e.g. bending of shoot toward light, movement of sunflower head tracking the sun, etc. and geotropic movement, e.g. movement of root towards soil are mediated through differential distribution of IAA. Nyctinastic leaf movements are affected by diurnal variation of light intensity and temperature, such as elliptical up and down movement of the two lateral leaflet.",
    57→    57→      "CBSE AIPMT",
    58→    58→      null,
    59→    59→      null
    60→    60→    ]
    61→    61→  },
    62→    62→  {
    63→    63→    "sheet": "Class11",
    64→    64→    "row": 2293,
    65→    65→    "data": [
    66→    66→      "Biology",
    67→    67→      null,
    68→    68→      "Plant Growth and Development",
    69→    69→      "English",
    70→    70→      "Phototropic and geotropic movements are linked to",
    71→    71→      "gibberellins",
    72→    72→      "enzymes",
    73→    73→      "auxins",
    74→    74→      "cytokinins",
    75→    75→      3.0,
    76→    76→      "Differential distribution of indole 3-acetic acid produces tropical plant responses like phototropism and geotropism. Phototropism is directional growth movement of curvature induced by direction of light while geotropism is directional movement of curvature caused by the unilateral application of force of gravity.",
    77→    77→      "CBSE AIPMT",
    78→    78→      null,
    79→    79→      null
    80→    80→    ]
    81→    81→  },
    82→    82→  {
    83→    83→    "sheet": "Class11",
    84→    84→    "row": 2294,
    85→    85→    "data": [
    86→    86→      "Biology",
    87→    87→      null,
    88→    88→      "Plant Growth and Development",
    89→    89→      "English",
    90→    90→      "Phytohormones are",
    91→    91→      "chemicals regulating flowering",
    92→    92→      "chemicals regulating secondary growth",
    93→    93→      "hormones regulating growth from seed to adulthood",
    94→    94→      "regulators synthesised by plants and influencing physiological processes",
    95→    95→      4.0,
    96→    96→      "Phytohormones (Thimann; 1948) are the plant hormones, i.e. the organic substances which are naturally produced in plants, control the growth or other physiological functions at a site away from their place of synthesis and active in extremely minute quantities. 148",
    97→    97→      "CBSE AIPMT",
    98→    98→      null,
    99→    99→      null
   100→   100→    ]
   101→   101→  },
   102→   102→  {
   103→   103→    "sheet": "Class11",
   104→   104→    "row": 2295,
   105→   105→    "data": [
   106→   106→      "Biology",
   107→   107→      null,
   108→   108→      "Plant Growth and Development",
   109→   109→      "English",
   110→   110→      "Abscisic acid controls",
   111→   111→      "cell division",
   112→   112→      "leaf fall and dormancy",
   113→   113→      "shoot elongation",
   114→   114→      "cell elongation and wall formation",
   115→   115→      2.0,
   116→   116→      "Abscisic Acid (ABA) is called stress hormone or dormin. It is a growth retarding hormone which induces dormancy, promotes ageing and abscission of fruits, leaves and flowers. It also causes closure of stomata and overcome the conditions of stress.",
   117→   117→      "CBSE AIPMT , 93, 99, 2000",
   118→   118→      null,
   119→   119→      null
   120→   120→    ]
   121→   121→  },
   122→   122→  {
   123→   123→    "sheet": "Class11",
   124→   124→    "row": 2296,
   125→   125→    "data": [
   126→   126→      "Biology",
   127→   127→      null,
   128→   128→      "Plant Growth and Development",
   129→   129→      "English",
   130→   130→      "Mowing grass lawn facilitates better maintenance because",
   131→   131→      "wounding stimulates regeneration",
   132→   132→      "removal of apical dominance and stimulation of intercalary meristem",
   133→   133→      "removal of apical dominance",
   134→   134→      "removal of apical dominance and promotion of lateral meristem",
   135→   135→      4.0,
   136→   136→      "Apical dominance of terminal bud is due to the secretion of auxin (IAA) by it. According to Thimann and Skoog (1933) removal of apical bud causes sprouting of lateral buds with stimulation of intercalary meristem and this is the reason that mowing grass lawn facilitates better maintenance.",
   137→   137→      "CBSE AIPMT",
   138→   138→      null,
   139→   139→      null
   140→   140→    ]
   141→   141→  },
   142→   142→  {
   143→   143→    "sheet": "Class11",
   144→   144→    "row": 2297,
   145→   145→    "data": [
   146→   146→      "Biology",
   147→   147→      null,
   148→   148→      "Plant Growth and Development",
   149→   149→      "English",
   150→   150→      "Leaf fall can be prevented with the help of",
   151→   151→      "abscisic acid",
   152→   152→      "auxins",
   153→   153→      "florigen",
   154→   154→      "cytokinins",
   155→   155→      4.0,
